time,in,out
2022-05-31 19:26:06,7483.198,0
2022-05-31 19:26:05,933.1635,0
2022-05-31 19:26:04,637.5792,0
2022-05-31 19:26:03,13904.053,0
2022-05-31 19:26:02,5378.368,0
2022-05-31 19:26:01,0,0
2022-05-31 19:26:00,0,0
2022-05-31 19:25:59,0,0
2022-05-31 19:25:58,0,0
2022-05-31 19:25:57,0,-0.9142514
2022-05-31 19:25:56,0,-19.08575
2022-05-31 19:25:55,0,0
2022-05-31 19:25:54,0,0
2022-05-31 19:25:53,0,0
2022-05-31 19:25:52,0,-2.93589
2022-05-31 19:25:51,0,-61.06411
2022-05-31 19:25:50,0,0
2022-05-31 19:25:49,0,0
2022-05-31 19:25:48,0,0
2022-05-31 19:25:47,0,0
2022-05-31 19:25:46,0,0
2022-05-31 19:25:45,0,0
2022-05-31 19:25:44,0,0
2022-05-31 19:25:43,0,0
2022-05-31 19:25:42,0,0
2022-05-31 19:25:41,0,0
2022-05-31 19:25:40,0,0
2022-05-31 19:25:39,0,0
2022-05-31 19:25:38,0,0
2022-05-31 19:25:37,0,0
2022-05-31 19:25:36,0,0
2022-05-31 19:25:35,0,0
2022-05-31 19:25:34,0,0
2022-05-31 19:25:33,0,0
2022-05-31 19:25:32,0,0
2022-05-31 19:25:31,0,0
2022-05-31 19:25:30,0,-0.182006
2022-05-31 19:25:29,0,-3.817994
2022-05-31 19:25:28,0,0
2022-05-31 19:25:27,0,0
2022-05-31 19:25:26,0,0
2022-05-31 19:25:25,0,0
2022-05-31 19:25:24,0,0
2022-05-31 19:25:23,0,0
2022-05-31 19:25:22,0,0
2022-05-31 19:25:21,0,0
2022-05-31 19:25:20,0,0
2022-05-31 19:25:19,0,0
2022-05-31 19:25:18,0,0
2022-05-31 19:25:17,0,0
2022-05-31 19:25:16,0,0
2022-05-31 19:25:15,0,0
2022-05-31 19:25:14,0,0
2022-05-31 19:25:13,0,0
2022-05-31 19:25:12,0,0
2022-05-31 19:25:11,0,0
2022-05-31 19:25:10,0,-0.1826813
2022-05-31 19:25:09,0,-3.817319
2022-05-31 19:25:08,0,0
2022-05-31 19:25:07,0,0
2022-05-31 19:25:06,0,0
2022-05-31 19:25:05,0,0
2022-05-31 19:25:04,0,-0.1661973
2022-05-31 19:25:03,0,-3.833803
2022-05-31 19:25:02,0,0
2022-05-31 19:25:01,0,0
2022-05-31 19:25:00,0,0
2022-05-31 19:24:59,0,-0.5101655
2022-05-31 19:24:58,0,-11.489835
2022-05-31 19:24:57,0,0
2022-05-31 19:24:56,0,0
2022-05-31 19:24:55,0,0
2022-05-31 19:24:54,0,-7.991848
2022-05-31 19:24:53,0,-180.0082
2022-05-31 19:24:52,0,0
2022-05-31 19:24:51,0,0
2022-05-31 19:24:50,0,0
2022-05-31 19:24:49,0,0
2022-05-31 19:24:48,0,0
2022-05-31 19:24:47,0,0
2022-05-31 19:24:46,0,0
2022-05-31 19:24:45,0,0
2022-05-31 19:24:44,0,0
2022-05-31 19:24:43,0,0
2022-05-31 19:24:42,0,0
2022-05-31 19:24:41,0,0
2022-05-31 19:24:40,0,0
2022-05-31 19:24:39,0,0
2022-05-31 19:24:38,0,0
2022-05-31 19:24:37,0,0
2022-05-31 19:24:36,0,-0.8124738
2022-05-31 19:24:35,0,-19.18753
2022-05-31 19:24:34,0,0
2022-05-31 19:24:33,0,0
2022-05-31 19:24:32,0,0
