time,in,out
2022-05-31 10:26:06,0,0
2022-05-31 10:26:05,3898.753,-15.526693
2022-05-31 10:26:04,51069.06,-29.13216
2022-05-31 10:26:03,146952.28,-18.21263
2022-05-31 10:26:02,196160.8,-20.23465
2022-05-31 10:26:01,196088.2,-15.766089
2022-05-31 10:26:00,196059.3,-21.78785
2022-05-31 10:25:59,196165.6,-10.446625
2022-05-31 10:25:58,196171,-17.32223
2022-05-31 10:25:57,196170,-22.67777
2022-05-31 10:25:56,196194.4,-20.42239
2022-05-31 10:25:55,196191.8,-26.02427
2022-05-31 10:25:54,196120.9,-8.660164
2022-05-31 10:25:53,196239.6,-17.55152
2022-05-31 10:25:52,196129.8,-21.55185
2022-05-31 10:25:51,196066,-17.78919
2022-05-31 10:25:50,196221.2,-28.19465
2022-05-31 10:25:49,196201.4,-42.91285
2022-05-31 10:25:48,196197.3,-14.446837
2022-05-31 10:25:47,196206,-22.88164
2022-05-31 10:25:46,196106.8,-30.67376
2022-05-31 10:25:45,196132.5,-12.890873
2022-05-31 10:25:44,196148.6,-11.106141
2022-05-31 10:25:43,196246.1,-9.787163
2022-05-31 10:25:42,196158.6,-20.18776
2022-05-31 10:25:41,196065,-38.02588
2022-05-31 10:25:40,196195.2,-12.893138
2022-05-31 10:25:39,196295.1,-11.106096
2022-05-31 10:25:38,196182.1,-14.448081
2022-05-31 10:25:37,196089.6,-24.42964
2022-05-31 10:25:36,196030.6,-31.5712
2022-05-31 10:25:35,196152.5,-11.998735
2022-05-31 10:25:34,196242.2,-11.998377
2022-05-31 10:25:33,196160.3,-12.001539
2022-05-31 10:25:32,196161.2,-29.09108
2022-05-31 10:25:31,196179.3,-37.35477
2022-05-31 10:25:30,196103.5,-8.000589
2022-05-31 10:25:29,196206.8,-11.104619
2022-05-31 10:25:28,196213.5,-14.44758
2022-05-31 10:25:27,196119,-11.999815
2022-05-31 10:25:26,196321.4,-123.81421
2022-05-31 10:25:25,196321.1,-192.8447
2022-05-31 10:25:24,196245.7,-17.788
2022-05-31 10:25:23,196102.1,-9.553269
2022-05-31 10:25:22,196158.8,-13.552946
2022-05-31 10:25:21,196154.8,-29.98199
2022-05-31 10:25:20,196207.3,-36.46587
2022-05-31 10:25:19,196140.3,-13.552079
2022-05-31 10:25:18,196259.5,-12.894015
2022-05-31 10:25:17,196296.9,-12.659415
2022-05-31 10:25:16,196146.7,-29.31986
2022-05-31 10:25:15,196076.4,-42.4501
2022-05-31 10:25:14,196196.8,-26.018
2022-05-31 10:25:13,196252.4,-3.999801
2022-05-31 10:25:12,196082.8,-2.446875
2022-05-31 10:25:11,196215.5,-9.318429
2022-05-31 10:25:10,196193,-14.681571
2022-05-31 10:25:09,196087.2,-7.765759
2022-05-31 10:25:08,196215.1,-12.234241
2022-05-31 10:25:07,196213.5,0
2022-05-31 10:25:06,196114.9,0
2022-05-31 10:25:05,196059.3,0
2022-05-31 10:25:04,196187.3,-7.766694
2022-05-31 10:25:03,196184.7,-12.233306
2022-05-31 10:25:02,196192.2,-9.320641
2022-05-31 10:25:01,196200.8,-14.679359
2022-05-31 10:25:00,196108.4,0
2022-05-31 10:24:59,196103.5,0
2022-05-31 10:24:58,196192.9,-9.319633
2022-05-31 10:24:57,196195,-14.680367
2022-05-31 10:24:56,196082.9,-9.321465
2022-05-31 10:24:55,196222.6,-14.678535
2022-05-31 10:24:54,196098.2,0
2022-05-31 10:24:53,196244.4,0
2022-05-31 10:24:52,196189.6,-9.317887
2022-05-31 10:24:51,196114.1,-14.682113
2022-05-31 10:24:50,196244.8,-7.764551
2022-05-31 10:24:49,196139.4,-13.788615
2022-05-31 10:24:48,196139.6,-4.000121
2022-05-31 10:24:47,196124.1,-2.446714
2022-05-31 10:24:46,196174.9,-7.766813
2022-05-31 10:24:45,196193.6,-12.233187
2022-05-31 10:24:44,196235,-9.31652
2022-05-31 10:24:43,196057.8,-14.68348
2022-05-31 10:24:42,196133,0
2022-05-31 10:24:41,196282.7,0
2022-05-31 10:24:40,196103.8,0
2022-05-31 10:24:39,196113,-7.766652
2022-05-31 10:24:38,196259.6,-12.233348
2022-05-31 10:24:37,196068.5,-13.982091
2022-05-31 10:24:36,196173.9,-22.01791
2022-05-31 10:24:35,196198.6,0
2022-05-31 10:24:34,196182.7,0
2022-05-31 10:24:33,196056.2,-12.426454
2022-05-31 10:24:32,196105.6,-21.1268
2022-05-31 10:24:31,196252.7,-11.763982
2022-05-31 10:24:30,196299.5,-14.682759
2022-05-31 10:24:29,196098.6,0
2022-05-31 10:24:28,196113.8,0
2022-05-31 10:24:27,196127.8,-7.763784
2022-05-31 10:24:26,196151.9,-12.236216
2022-05-31 10:24:25,196110.2,-9.317679
2022-05-31 10:24:24,196276.4,-14.682321
2022-05-31 10:24:23,196219.8,0
2022-05-31 10:24:22,196159.3,0
2022-05-31 10:24:21,196094.5,0
2022-05-31 10:24:20,196158,-7.7633
2022-05-31 10:24:19,196190.9,-12.2367
2022-05-31 10:24:18,196173.4,-9.315997
2022-05-31 10:24:17,196597,-14.684003
2022-05-31 10:24:16,196410.9,0
2022-05-31 10:24:15,195551.3,-1.5529064
2022-05-31 10:24:14,196094.9,-11.764595
2022-05-31 10:24:13,196086.6,-14.682498
2022-05-31 10:24:12,196062.7,-9.320897
2022-05-31 10:24:11,196232.7,-14.679103
2022-05-31 10:24:10,196235.3,0
2022-05-31 10:24:09,196086.7,-6.213195
2022-05-31 10:24:08,196196.8,-9.786805
2022-05-31 10:24:07,196158.5,-4.65935
2022-05-31 10:24:06,196196.2,-7.34065
2022-05-31 10:24:05,196192.7,0
2022-05-31 10:24:04,196111.2,-7.764348
2022-05-31 10:24:03,196194.8,-12.235652
2022-05-31 10:24:02,196140.5,0
2022-05-31 10:24:01,196149.8,-9.319864
2022-05-31 10:24:00,196340,-14.680136
2022-05-31 10:23:59,196260.4,-7.764818
2022-05-31 10:23:58,196133.1,-13.788248
2022-05-31 10:23:57,196122.4,-2.446934
2022-05-31 10:23:56,196164.6,-1.5529692
2022-05-31 10:23:55,196200.1,-10.213116
2022-05-31 10:23:54,196235.8,-18.44654
2022-05-31 10:23:53,196177,-9.787372
2022-05-31 10:23:52,196132.5,0
2022-05-31 10:23:51,196074.7,0
2022-05-31 10:23:50,196155.6,0
2022-05-31 10:23:49,196112.5,0
2022-05-31 10:23:48,196186.2,-18.63622
2022-05-31 10:23:47,196188.9,-29.36378
2022-05-31 10:23:46,196109.5,0
2022-05-31 10:23:45,196163.4,0
2022-05-31 10:23:44,196148.6,0
2022-05-31 10:23:43,196193.4,-6.213395
2022-05-31 10:23:42,196207.7,-19.10613
2022-05-31 10:23:41,196242.2,-14.680477
2022-05-31 10:23:40,196206.7,0
2022-05-31 10:23:39,196125.9,0
2022-05-31 10:23:38,196125.2,-7.765095
2022-05-31 10:23:37,196125.6,-12.234905
2022-05-31 10:23:36,196047.4,-9.319665
2022-05-31 10:23:35,196198.3,-14.680335
2022-05-31 10:23:34,196206.2,0
2022-05-31 10:23:33,196151,-1.5534202
2022-05-31 10:23:32,196191,-11.766441
2022-05-31 10:23:31,196153.1,-16.233244
2022-05-31 10:23:30,196169.9,-2.446895
2022-05-31 10:23:29,196262.7,-7.762922
2022-05-31 10:23:28,196153.6,-12.237078
2022-05-31 10:23:27,196156.4,-7.763875
2022-05-31 10:23:26,196174.3,-13.789005
2022-05-31 10:23:25,196091.2,-3.999964
2022-05-31 10:23:24,196074.7,-2.447157
2022-05-31 10:23:23,196232.9,-10.870929
2022-05-31 10:23:22,196197.1,-24.89313
2022-05-31 10:23:21,196051.5,-15.341578
2022-05-31 10:23:20,196193.4,-4.894361
2022-05-31 10:23:19,196146,-1.5528523
2022-05-31 10:23:18,196191.2,-2.447148
2022-05-31 10:23:17,196218.8,-17.08232
2022-05-31 10:23:16,196123.2,-26.91768
2022-05-31 10:23:15,196150.9,-3.105712
2022-05-31 10:23:14,196187.2,-6.447475
2022-05-31 10:23:13,196056.9,-5.554021
