time,free,used,cached,buffers
2022-05-31 20:02:33,31352.93,532.4883,224.0039,2.820312
2022-05-31 20:02:32,31353.27,532.2227,223.9258,2.816406
2022-05-31 20:02:31,31346.87,539.2539,223.3008,2.816406
2022-05-31 20:02:30,31346.64,539.6719,223.1094,2.816406
2022-05-31 20:02:29,31352.95,533.9219,222.5508,2.816406
2022-05-31 20:02:28,31362.39,524.5508,222.4922,2.808594
2022-05-31 20:02:27,31361.91,525.0234,222.4922,2.808594
2022-05-31 20:02:26,31361.95,524.9844,222.4922,2.808594
2022-05-31 20:02:25,31362.44,524.5,222.4922,2.808594
2022-05-31 20:02:24,31362.23,524.707,222.4922,2.808594
2022-05-31 20:02:23,31362.75,524.1914,222.4922,2.808594
2022-05-31 20:02:22,31362.48,524.4531,222.4922,2.808594
2022-05-31 20:02:21,31362.25,524.6836,222.4922,2.808594
2022-05-31 20:02:20,31362.26,524.6758,222.4922,2.808594
2022-05-31 20:02:19,31362.26,524.6758,222.4922,2.808594
2022-05-31 20:02:18,31362.25,524.6836,222.4922,2.808594
2022-05-31 20:02:17,31362.27,524.668,222.4922,2.808594
2022-05-31 20:02:16,31362.48,524.4531,222.4922,2.808594
2022-05-31 20:02:15,31362.29,524.6523,222.4922,2.808594
2022-05-31 20:02:14,31362.77,524.168,222.4922,2.808594
2022-05-31 20:02:13,31362.77,524.168,222.4922,2.808594
2022-05-31 20:02:12,31362.76,524.1758,222.4922,2.808594
2022-05-31 20:02:11,31362.53,524.4062,222.4922,2.808594
2022-05-31 20:02:10,31362.55,524.3828,222.4922,2.808594
2022-05-31 20:02:09,31362.29,524.6445,222.4922,2.808594
2022-05-31 20:02:08,31362.52,524.4141,222.4922,2.808594
2022-05-31 20:02:07,31362.29,524.6445,222.4922,2.808594
2022-05-31 20:02:06,31362.25,524.6836,222.4922,2.808594
2022-05-31 20:02:05,31362.03,524.9062,222.4922,2.808594
2022-05-31 20:02:04,31362.02,524.9141,222.4922,2.808594
2022-05-31 20:02:03,31362.03,524.9062,222.4922,2.808594
2022-05-31 20:02:02,31362.53,524.4062,222.4922,2.808594
2022-05-31 20:02:01,31362.29,524.6523,222.4922,2.808594
2022-05-31 20:02:00,31361.79,525.1445,222.4922,2.808594
2022-05-31 20:01:59,31361.81,525.1289,222.4922,2.808594
2022-05-31 20:01:58,31361.98,524.9531,222.4922,2.808594
2022-05-31 20:01:57,31361.79,525.1523,222.4922,2.808594
2022-05-31 20:01:56,31361.78,525.1602,222.4922,2.808594
2022-05-31 20:01:55,31362.06,524.875,222.4922,2.808594
2022-05-31 20:01:54,31362.05,524.8828,222.4922,2.808594
2022-05-31 20:01:53,31362.3,524.6367,222.4922,2.808594
2022-05-31 20:01:52,31362.3,524.6367,222.4922,2.808594
2022-05-31 20:01:51,31362.59,524.3438,222.4922,2.808594
2022-05-31 20:01:50,31362.56,524.375,222.4922,2.808594
2022-05-31 20:01:49,31362.05,524.8828,222.4922,2.808594
2022-05-31 20:01:48,31362.3,524.6367,222.4922,2.808594
2022-05-31 20:01:47,31362.35,524.5898,222.4922,2.808594
2022-05-31 20:01:46,31362.3,524.6367,222.4922,2.808594
2022-05-31 20:01:45,31362.06,524.875,222.4922,2.808594
2022-05-31 20:01:44,31362.32,524.6211,222.4922,2.808594
2022-05-31 20:01:43,31362.62,524.3203,222.4922,2.808594
2022-05-31 20:01:42,31362.32,524.6133,222.4922,2.808594
2022-05-31 20:01:41,31362.32,524.6133,222.4922,2.808594
2022-05-31 20:01:40,31362.83,524.1055,222.4922,2.808594
2022-05-31 20:01:39,31362.86,524.0742,222.4922,2.808594
2022-05-31 20:01:38,31362.83,524.1055,222.4922,2.808594
2022-05-31 20:01:37,31362.58,524.3594,222.4922,2.808594
2022-05-31 20:01:36,31362.59,524.3516,222.4922,2.808594
2022-05-31 20:01:35,31363.12,523.8125,222.4922,2.808594
2022-05-31 20:01:34,31363.1,523.8359,222.4922,2.808594
2022-05-31 20:01:33,31363.09,523.8438,222.4922,2.808594
2022-05-31 20:01:32,31363.09,523.8438,222.4922,2.808594
2022-05-31 20:01:31,31363.4,523.5352,222.4922,2.808594
2022-05-31 20:01:30,31363.11,523.8281,222.4922,2.808594
2022-05-31 20:01:29,31363.1,523.8359,222.4922,2.808594
2022-05-31 20:01:28,31362.86,524.0742,222.4922,2.808594
2022-05-31 20:01:27,31362.87,524.0664,222.4922,2.808594
2022-05-31 20:01:26,31363.36,523.5742,222.4922,2.808594
2022-05-31 20:01:25,31363.12,523.8125,222.4922,2.808594
2022-05-31 20:01:24,31363.06,523.875,222.4922,2.808594
2022-05-31 20:01:23,31362.81,524.1289,222.4922,2.808594
2022-05-31 20:01:22,31363.31,523.6289,222.4922,2.808594
2022-05-31 20:01:21,31363.42,523.5195,222.4922,2.808594
2022-05-31 20:01:20,31363.1,523.8359,222.4922,2.808594
2022-05-31 20:01:19,31362.63,524.3125,222.4922,2.800781
2022-05-31 20:01:18,31363.11,523.8359,222.4922,2.800781
2022-05-31 20:01:17,31363.1,523.8438,222.4922,2.800781
2022-05-31 20:01:16,31363.11,523.8398,222.4922,2.796875
2022-05-31 20:01:15,31363.39,523.5547,222.4922,2.796875
2022-05-31 20:01:14,31363.36,523.5859,222.4922,2.796875
2022-05-31 20:01:13,31363.12,523.8242,222.4922,2.796875
2022-05-31 20:01:12,31363.12,523.832,222.4922,2.796875
2022-05-31 20:01:11,31362.9,524.0469,222.4922,2.796875
2022-05-31 20:01:10,31362.86,524.0859,222.4922,2.796875
2022-05-31 20:01:09,31362.61,524.3398,222.4922,2.796875
2022-05-31 20:01:08,31362.89,524.0547,222.4922,2.796875
2022-05-31 20:01:07,31363.16,523.7852,222.4922,2.796875
2022-05-31 20:01:06,31362.88,524.0703,222.4922,2.796875
2022-05-31 20:01:05,31362.66,524.293,222.4922,2.796875
2022-05-31 20:01:04,31362.64,524.3086,222.4922,2.796875
2022-05-31 20:01:03,31362.69,524.2617,222.4922,2.796875
2022-05-31 20:01:02,31362.41,524.5391,222.4922,2.796875
2022-05-31 20:01:01,31362.16,524.793,222.4922,2.796875
2022-05-31 20:01:00,31361.91,525.0391,222.4922,2.796875
2022-05-31 20:00:59,31362.2,524.7539,222.4922,2.796875
2022-05-31 20:00:58,31361.92,525.0312,222.4922,2.796875
2022-05-31 20:00:57,31361.93,525.0234,222.4922,2.789062
2022-05-31 20:00:56,31361.88,525.0781,222.4922,2.789062
