time,in,out
2022-05-30 13:10:10,2789.183,-31.96841
2022-05-30 13:10:09,960.1189,-447.0813
2022-05-30 13:10:08,34.69858,-2243.501
2022-05-30 13:10:07,0,-3267.992
2022-05-30 13:10:06,376.8773,-5173.815
2022-05-30 13:10:05,332.5818,-3219.235
2022-05-30 13:10:04,66.5408,-576.3746
2022-05-30 13:10:03,0,0
2022-05-30 13:10:02,0,-9.192481
2022-05-30 13:10:01,0,-2.807519
2022-05-30 13:10:00,0,0
2022-05-30 13:09:59,0,0
2022-05-30 13:09:58,0,0
2022-05-30 13:09:57,0,0
2022-05-30 13:09:56,0,0
2022-05-30 13:09:55,0,0
2022-05-30 13:09:54,0,0
2022-05-30 13:09:53,0,0
2022-05-30 13:09:52,0,0
2022-05-30 13:09:51,0,-9.193445
2022-05-30 13:09:50,0,-5.870308
2022-05-30 13:09:49,0,-0.9362468
2022-05-30 13:09:48,0,0
2022-05-30 13:09:47,0,0
2022-05-30 13:09:46,0,0
2022-05-30 13:09:45,0,-21.45286
2022-05-30 13:09:44,0,-6.547139
2022-05-30 13:09:43,0,0
2022-05-30 13:09:42,0,0
2022-05-30 13:09:41,0,0
2022-05-30 13:09:40,0,0
2022-05-30 13:09:39,0,-12.260168
2022-05-30 13:09:38,0,-3.739832
2022-05-30 13:09:37,0,0
2022-05-30 13:09:36,0,0
2022-05-30 13:09:35,0,-15.317326
2022-05-30 13:09:34,0,-4.682674
2022-05-30 13:09:33,0,0
2022-05-30 13:09:32,0,0
2022-05-30 13:09:31,0,0
2022-05-30 13:09:30,0,-3.063376
2022-05-30 13:09:29,0,-0.9366244
2022-05-30 13:09:28,0,0
2022-05-30 13:09:27,0,0
2022-05-30 13:09:26,0,0
2022-05-30 13:09:25,0,0
2022-05-30 13:09:24,0,-113.46338
2022-05-30 13:09:23,0,-34.53662
2022-05-30 13:09:22,0,0
2022-05-30 13:09:21,0,0
2022-05-30 13:09:20,0,-9.19371
2022-05-30 13:09:19,0,-42.65874
2022-05-30 13:09:18,0,-12.147554
2022-05-30 13:09:17,0,0
2022-05-30 13:09:16,0,0
2022-05-30 13:09:15,0,0
2022-05-30 13:09:14,0,-24.50701
2022-05-30 13:09:13,0,-7.492986
2022-05-30 13:09:12,0,0
2022-05-30 13:09:11,0,0
2022-05-30 13:09:10,0,-9.189682
2022-05-30 13:09:09,0,-2.810318
2022-05-30 13:09:08,0,0
2022-05-30 13:09:07,0,0
2022-05-30 13:09:06,0,0
2022-05-30 13:09:05,0,0
2022-05-30 13:09:04,0,-15.31751
2022-05-30 13:09:03,0,-4.68249
2022-05-30 13:09:02,0,0
2022-05-30 13:09:01,0,0
2022-05-30 13:09:00,0,-18.39394
2022-05-30 13:08:59,0,-5.606061
2022-05-30 13:08:58,0,0
2022-05-30 13:08:57,0,0
2022-05-30 13:08:56,0,0
2022-05-30 13:08:55,0,0
2022-05-30 13:08:54,3.066049,-52.12284
2022-05-30 13:08:53,0.9339505,-15.877159
2022-05-30 13:08:52,0,0
2022-05-30 13:08:51,0,0
2022-05-30 13:08:50,0,0
2022-05-30 13:08:49,0,-9.188928
2022-05-30 13:08:48,0,-2.811072
2022-05-30 13:08:47,0,0
2022-05-30 13:08:46,0,0
2022-05-30 13:08:45,0,0
2022-05-30 13:08:44,0,-49.02719
2022-05-30 13:08:43,0,-14.972812
2022-05-30 13:08:42,0,0
2022-05-30 13:08:41,0,0
2022-05-30 13:08:40,0,0
2022-05-30 13:08:39,0,0
2022-05-30 13:08:38,0,-119.61263
2022-05-30 13:08:37,0,-36.38737
2022-05-30 13:08:36,0,0
2022-05-30 13:08:35,0,0
2022-05-30 13:08:34,0,0
2022-05-30 13:08:33,0,-15.323623
2022-05-30 13:08:32,0,-4.676377
2022-05-30 13:08:31,0,-9.198147
2022-05-30 13:08:30,0,-2.801853
2022-05-30 13:08:29,0,0
2022-05-30 13:08:28,0,0
2022-05-30 13:08:27,0,0
2022-05-30 13:08:26,0,0
2022-05-30 13:08:25,0,0
2022-05-30 13:08:24,0,0
2022-05-30 13:08:23,0,0
2022-05-30 13:08:22,0,0
2022-05-30 13:08:21,0,0
2022-05-30 13:08:20,0,0
2022-05-30 13:08:19,0,0
2022-05-30 13:08:18,0,-9.211049
2022-05-30 13:08:17,0,-2.788951
2022-05-30 13:08:16,0,0
2022-05-30 13:08:15,0,0
2022-05-30 13:08:14,0,0
2022-05-30 13:08:13,0,-30.64859
2022-05-30 13:08:12,0,-9.35141
2022-05-30 13:08:11,0,0
2022-05-30 13:08:10,0,-15.340046
2022-05-30 13:08:09,0,-4.659954
2022-05-30 13:08:08,0,-64.32165
2022-05-30 13:08:07,0,-19.67835
2022-05-30 13:08:06,0,0
2022-05-30 13:08:05,0,0
2022-05-30 13:08:04,1963.463,-61.35821
2022-05-30 13:08:03,596.5373,-33.98809
2022-05-30 13:08:02,0,-23.06961
2022-05-30 13:08:01,0,-5.584089
2022-05-30 13:08:00,0,0
2022-05-30 13:07:59,0,0
2022-05-30 13:07:58,0,0
2022-05-30 13:07:57,3.067492,-153.3746
2022-05-30 13:07:56,0.9325081,-46.6254
2022-05-30 13:07:55,0,0
2022-05-30 13:07:54,0,0
2022-05-30 13:07:53,0,0
2022-05-30 13:07:52,0,0
2022-05-30 13:07:51,0,0
2022-05-30 13:07:50,6.137772,0
2022-05-30 13:07:49,1.862228,0
2022-05-30 13:07:48,0,-9.206743
2022-05-30 13:07:47,0,-2.793257
2022-05-30 13:07:46,0,0
2022-05-30 13:07:45,0,0
2022-05-30 13:07:44,0,0
2022-05-30 13:07:43,0,0
2022-05-30 13:07:42,0,-61.32924
2022-05-30 13:07:41,0,-18.67076
2022-05-30 13:07:40,0,0
2022-05-30 13:07:39,0,0
