time,free,used,cached,buffers
2022-05-30 13:17:09,833.4648,2036.715,13133.84,5.160156
2022-05-30 13:17:08,833.4648,2036.715,13133.84,5.160156
2022-05-30 13:17:07,142.93359,2725.199,13135.887,5.160156
2022-05-30 13:17:06,140.45703,2723.227,13140.344,5.152344
2022-05-30 13:17:05,141.13281,2722.617,13140.285,5.144531
2022-05-30 13:17:04,137.73438,2717.133,13149.168,5.144531
2022-05-30 13:17:03,145.97266,2711.898,13146.43,4.878906
2022-05-30 13:17:02,143.41016,2714.527,13146.363,4.878906
2022-05-30 13:17:01,146.98438,2712,13145.832,4.363281
2022-05-30 13:17:00,146.5,2712.676,13145.773,4.230469
2022-05-30 13:16:59,146.77734,2712.398,13145.773,4.230469
2022-05-30 13:16:58,146.99609,2712.18,13145.773,4.230469
2022-05-30 13:16:57,146.21484,2712.961,13145.773,4.230469
2022-05-30 13:16:56,147.65625,2711.789,13145.504,4.230469
2022-05-30 13:16:55,148.10938,2711.367,13145.488,4.214844
2022-05-30 13:16:54,145.94531,2713.969,13145.051,4.214844
2022-05-30 13:16:53,139,2709.215,13156.75,4.214844
2022-05-30 13:16:52,140.36719,2710.441,13154.16,4.210938
2022-05-30 13:16:51,138.52734,2710.805,13155.637,4.210938
2022-05-30 13:16:50,140.97656,2710.016,13153.977,4.210938
2022-05-30 13:16:49,139.61719,2709.207,13156.164,4.191406
2022-05-30 13:16:48,143.54688,2710.777,13150.664,4.191406
2022-05-30 13:16:47,142.75391,2708.848,13153.387,4.191406
2022-05-30 13:16:46,141.33203,2710.352,13153.305,4.191406
2022-05-30 13:16:45,140.58594,2711.09,13153.32,4.183594
2022-05-30 13:16:44,142.75391,2709.602,13152.645,4.179688
2022-05-30 13:16:43,144.51953,2710.844,13149.652,4.164062
2022-05-30 13:16:42,143.14062,2709.469,13152.406,4.164062
2022-05-30 13:16:41,145.20312,2710.242,13149.57,4.164062
2022-05-30 13:16:40,145.0625,2711.176,13148.781,4.160156
2022-05-30 13:16:39,147.85156,2712.07,13145.098,4.160156
2022-05-30 13:16:38,149.07031,2710.863,13145.086,4.160156
2022-05-30 13:16:37,147.34375,2709.668,13148.027,4.140625
2022-05-30 13:16:36,193.1875,2711.066,13100.785,4.140625
2022-05-30 13:16:35,187.6367,2709.176,13108.227,4.140625
2022-05-30 13:16:34,201.5508,2708.414,13095.074,4.140625
2022-05-30 13:16:33,192.8438,2710.266,13101.93,4.140625
2022-05-30 13:16:32,207.0625,2709.996,13087.988,4.132812
2022-05-30 13:16:31,191.3242,2709.547,13104.191,4.117188
2022-05-30 13:16:30,194.8477,2709.82,13100.395,4.117188
2022-05-30 13:16:29,197.7227,2709.191,13098.148,4.117188
2022-05-30 13:16:28,196.1016,2707.914,13101.051,4.113281
2022-05-30 13:16:27,184.0156,2709.793,13111.258,4.113281
2022-05-30 13:16:26,198.6758,2709.469,13096.922,4.113281
2022-05-30 13:16:25,208.4648,2707.863,13088.742,4.109375
2022-05-30 13:16:24,196.2305,2710.707,13098.141,4.101562
2022-05-30 13:16:23,201.2031,2708.102,13095.785,4.089844
2022-05-30 13:16:22,201.5352,2708.488,13095.066,4.089844
2022-05-30 13:16:21,189.6523,2707.723,13107.715,4.089844
2022-05-30 13:16:20,190.4961,2707.477,13107.121,4.085938
2022-05-30 13:16:19,198.9883,2706.688,13099.418,4.085938
2022-05-30 13:16:18,203.1992,2710.055,13091.855,4.070312
2022-05-30 13:16:17,195.7344,2709.18,13100.199,4.066406
2022-05-30 13:16:16,203.5117,2708.965,13092.641,4.0625
2022-05-30 13:16:15,189.6094,2708.977,13106.531,4.0625
2022-05-30 13:16:14,199.7852,2707.094,13098.242,4.058594
2022-05-30 13:16:13,209.1172,2708.684,13087.328,4.050781
2022-05-30 13:16:12,194.6094,2707.789,13102.738,4.042969
2022-05-30 13:16:11,197.9453,2706.957,13100.234,4.042969
2022-05-30 13:16:10,200.5547,2701.219,13103.363,4.042969
2022-05-30 13:16:09,204.4102,2700.598,13100.137,4.035156
2022-05-30 13:16:08,188.8008,2700.32,13116.023,4.035156
2022-05-30 13:16:07,205.8633,2699.859,13099.43,4.027344
2022-05-30 13:16:06,193.0234,2696.367,13115.77,4.019531
2022-05-30 13:16:05,200.5352,2695.895,13108.734,4.015625
2022-05-30 13:16:04,183.0625,2694.133,13127.969,4.015625
2022-05-30 13:16:03,204.668,2693.805,13106.691,4.015625
2022-05-30 13:16:02,191.3594,2693.824,13119.988,4.007812
2022-05-30 13:16:01,198.1875,2691.574,13115.414,4.003906
2022-05-30 13:16:00,187.4609,2691.32,13126.41,3.988281
2022-05-30 13:15:59,209.7656,2689.754,13105.672,3.988281
2022-05-30 13:15:58,193.5938,2686.59,13125.012,3.984375
2022-05-30 13:15:57,206.9141,2685.363,13112.934,3.96875
2022-05-30 13:15:56,194.4336,2684.293,13126.488,3.964844
2022-05-30 13:15:55,196.4375,2682.609,13126.184,3.949219
2022-05-30 13:15:54,197.3477,2682.816,13125.066,3.949219
2022-05-30 13:15:53,196.0078,2681.727,13127.496,3.949219
2022-05-30 13:15:52,181.2227,2679.145,13144.863,3.949219
2022-05-30 13:15:51,200.0469,2676.406,13128.785,3.941406
2022-05-30 13:15:50,195.5664,2676.109,13133.566,3.9375
2022-05-30 13:15:49,206.5859,2676.148,13122.516,3.929688
2022-05-30 13:15:48,159.59375,2673.91,13171.746,3.929688
2022-05-30 13:15:47,239.2266,2671.438,13094.59,3.925781
2022-05-30 13:15:46,203.9258,2670.746,13130.59,3.917969
2022-05-30 13:15:45,191.7891,2668.715,13144.758,3.917969
2022-05-30 13:15:44,170.7617,2668.305,13166.203,3.910156
2022-05-30 13:15:43,198.6328,2666.309,13140.332,3.90625
2022-05-30 13:15:42,198.4844,2665.84,13140.949,3.90625
2022-05-30 13:15:41,201.8711,2670.016,13133.395,3.898438
2022-05-30 13:15:40,205.3281,2669.773,13130.18,3.898438
2022-05-30 13:15:39,211.293,2667.297,13126.691,3.898438
2022-05-30 13:15:38,192.3711,2667.988,13144.914,3.90625
