time,free,used
2022-05-30 12:46:35,78211.8,1834.04
2022-05-30 12:46:36,78216.6,1829.32
2022-05-30 12:46:37,78191.7,1854.21
2022-05-30 12:46:38,78177.6,1868.33
2022-05-30 12:46:39,78151.2,1894.74
2022-05-30 12:46:40,78169.9,1875.93
2022-05-30 12:46:41,78189.7,1856.23
2022-05-30 12:46:42,78199.7,1846.15
2022-05-30 12:46:43,78217.9,1828.11
2022-05-30 12:46:44,78217.9,1828.01
2022-05-30 12:46:45,78218.3,1827.53
2022-05-30 12:46:46,78217.3,1828.58
2022-05-30 12:46:47,78215.5,1830.43
2022-05-30 12:46:48,78215,1830.85
2022-05-30 12:46:49,78213.2,1832.76
2022-05-30 12:46:50,78215.3,1830.53
2022-05-30 12:46:51,78213.9,1832.1
2022-05-30 12:46:52,78214.1,1831.85
2022-05-30 12:46:53,78214.2,1831.76
2022-05-30 12:46:54,78214.5,1831.27
2022-05-30 12:46:55,78212.3,1833.52
2022-05-30 12:46:56,78213.7,1832.19
2022-05-30 12:46:57,78213.4,1832.53
2022-05-30 12:46:58,78212.8,1832.99
2022-05-30 12:46:59,78211.3,1834.57
2022-05-30 12:47:00,78211.4,1834.57
2022-05-30 12:47:01,78210.4,1835.58
2022-05-30 12:47:02,78210.9,1835.02
2022-05-30 12:47:03,78209.9,1836.08
2022-05-30 12:47:04,78210.9,1835.06
2022-05-30 12:47:05,78212,1833.9
2022-05-30 12:47:06,78211.1,1834.84
2022-05-30 12:47:07,78210.7,1835.08
2022-05-30 12:47:08,78210.8,1835.16
2022-05-30 12:47:09,78210.4,1835.52
2022-05-30 12:47:10,78209.9,1835.94
2022-05-30 12:47:11,78210.5,1835.42
2022-05-30 12:47:12,78210.5,1835.36
2022-05-30 12:47:13,78210.7,1835.22
2022-05-30 12:47:14,78209.7,1836.15
2022-05-30 12:47:15,78210.7,1835.28
2022-05-30 12:47:16,78211.4,1834.48
2022-05-30 12:47:17,78209.8,1836.22
2022-05-30 12:47:18,78210.9,1834.99
2022-05-30 12:47:19,78210.2,1835.63
2022-05-30 12:47:20,78211.2,1834.75
2022-05-30 12:47:21,78211.5,1834.39
2022-05-30 12:47:22,78210.5,1835.46
2022-05-30 12:47:23,78210.3,1835.64
2022-05-30 12:47:24,78210.9,1834.95
2022-05-30 12:47:25,78211,1834.96
2022-05-30 12:47:26,78210.4,1835.59
2022-05-30 12:47:27,78210.8,1835.19
2022-05-30 12:47:28,78211.8,1834.13
2022-05-30 12:47:29,78210.4,1835.53
2022-05-30 12:47:30,78209.9,1836.05
2022-05-30 12:47:31,78208.8,1837.12
2022-05-30 12:47:32,78208.7,1837.2
2022-05-30 12:47:33,78207.9,1838.08
2022-05-30 12:47:34,78209.1,1836.85
2022-05-30 12:47:35,78209.3,1836.68
2022-05-30 12:47:36,78209.4,1836.48
2022-05-30 12:47:37,78208.2,1837.77
2022-05-30 12:47:38,78209.4,1836.57
2022-05-30 12:47:39,78208.2,1837.71
2022-05-30 12:47:40,78208.6,1837.32
2022-05-30 12:47:41,78210.7,1835.21
2022-05-30 12:47:42,78215.4,1830.64
2022-05-30 12:47:43,78219.1,1826.77
2022-05-30 12:47:44,78220,1825.97
2022-05-30 12:47:45,78220.3,1825.62
2022-05-30 12:47:46,78219.8,1826
2022-05-30 12:47:47,78218.9,1826.97
2022-05-30 12:47:48,78215.6,1830.29
2022-05-30 12:47:49,78215.6,1830.37
2022-05-30 12:47:50,78213.8,1832.04
2022-05-30 12:47:51,78214.9,1831.02
2022-05-30 12:47:52,78213.9,1831.94
2022-05-30 12:47:53,78215.1,1830.75
2022-05-30 12:47:54,78214.3,1831.67
2022-05-30 12:47:55,78213.6,1832.32
2022-05-30 12:47:56,78213.5,1832.36
2022-05-30 12:47:57,78206.6,1839.28
2022-05-30 12:47:58,78200.6,1845.27
2022-05-30 12:47:59,78202.7,1843.3
2022-05-30 12:48:00,78200.8,1845.19
2022-05-30 12:48:01,78203,1842.92
2022-05-30 12:48:02,78208.6,1837.29
2022-05-30 12:48:03,78211.4,1834.53
2022-05-30 12:48:04,78212,1833.86
2022-05-30 12:48:05,78213.7,1832.24
2022-05-30 12:48:06,78212.1,1833.84
2022-05-30 12:48:07,78216.2,1829.69
2022-05-30 12:48:08,78212,1833.82
2022-05-30 12:48:09,78214.9,1830.98
2022-05-30 12:48:10,78212.3,1833.61
2022-05-30 12:48:11,78211.4,1834.47
2022-05-30 12:48:12,78211.1,1834.87
2022-05-30 12:48:13,78214.2,1831.59
2022-05-30 12:48:14,78214.5,1831.5
2022-05-30 12:48:15,78213.6,1832.27
2022-05-30 12:48:16,78212.5,1833.39
2022-05-30 12:48:17,78214.5,1831.36
2022-05-30 12:48:18,78211.4,1834.5
2022-05-30 12:48:19,78212.4,1833.62
2022-05-30 12:48:20,78214.9,1830.95
2022-05-30 12:48:21,78213.8,1832.06
2022-05-30 12:48:22,78217,1828.91
2022-05-30 12:48:23,78213.7,1832.24
2022-05-30 12:48:24,78217.3,1828.6
2022-05-30 12:48:25,78214.3,1831.61
2022-05-30 12:48:26,78213,1832.88
2022-05-30 12:48:27,78216.3,1829.5
2022-05-30 12:48:28,78214.1,1831.74
2022-05-30 12:48:29,78214.9,1831.04
2022-05-30 12:48:30,78215.3,1830.64
2022-05-30 12:48:31,78213.1,1832.77
2022-05-30 12:48:32,78213,1832.96
2022-05-30 12:48:33,78215.1,1830.76
2022-05-30 12:48:34,78213.8,1831.97
2022-05-30 12:48:35,78216.8,1829.05
2022-05-30 12:48:36,78214.4,1831.51
2022-05-30 12:48:37,78214.3,1831.64
2022-05-30 12:48:38,78215.6,1830.35
2022-05-30 12:48:39,78212.6,1833.19
2022-05-30 12:48:40,78215.2,1830.72
2022-05-30 12:48:41,78216.3,1829.58
2022-05-30 12:48:42,78216.6,1829.31
2022-05-30 12:48:43,78218.8,1827.13
2022-05-30 12:48:44,78215.4,1830.61
2022-05-30 12:48:45,78213,1832.93
2022-05-30 12:48:46,78214.6,1831.42
2022-05-30 12:48:47,78215.4,1830.49
2022-05-30 12:48:48,78214.1,1831.82
2022-05-30 12:48:49,78214.2,1831.75
2022-05-30 12:48:50,78213.4,1832.51
2022-05-30 12:48:51,78215.4,1830.59
2022-05-30 12:48:52,78216.7,1829.23
2022-05-30 12:48:53,78212.6,1833.45
2022-05-30 12:48:54,62586.5,1450.17
