time,in,out
2022-05-31 19:46:29,1.2993807,-5.463464
2022-05-31 19:46:28,1.6489654,-3.639608
2022-05-31 19:46:27,2.698382,-5.835346
2022-05-31 19:46:26,19.69356,-40.78112
2022-05-31 19:46:25,40.55907,-75.24962
2022-05-31 19:46:24,1483.3973,-825.7127
2022-05-31 19:46:23,2794.915,-1542.9272
2022-05-31 19:46:22,0.7921756,-2.784617
2022-05-31 19:46:21,1.0596038,-4.196621
2022-05-31 19:46:20,1.2999281,-5.465734
2022-05-31 19:46:19,0.7926586,-2.786315
2022-05-31 19:46:18,1.3782979,-4.207894
2022-05-31 19:46:17,1.926804,-5.45597
2022-05-31 19:46:16,789.5609,-792.1588
2022-05-31 19:46:15,1501.0713,-1505.4763
2022-05-31 19:46:14,1.3016476,-5.473562
2022-05-31 19:46:13,0.7932211,-2.788292
2022-05-31 19:46:12,7.389455,-11.328235
2022-05-31 19:46:11,13.561052,-19.1041
2022-05-31 19:46:10,1.1877646,-2.805828
2022-05-31 19:46:09,5.061896,-11.198897
2022-05-31 19:46:08,455087.5,-46698.54
2022-05-31 19:46:07,1364013.8,-349760.9
2022-05-31 19:46:06,1241207.4,-787788.1
2022-05-31 19:46:05,611237.5,-605697.6
2022-05-31 19:46:04,184734.2,-184738.9
2022-05-31 19:46:03,366863.7,-366896.4
2022-05-31 19:46:02,670869,-670885.7
2022-05-31 19:46:01,895189.8,-895179.3
2022-05-31 19:46:00,824061.6,-824069.6
2022-05-31 19:45:59,773179.9,-773176
2022-05-31 19:45:58,568120.8,-568093.6
2022-05-31 19:45:57,784521.9,-784517.7
2022-05-31 19:45:56,730567.5,-730588.7
2022-05-31 19:45:55,822759.8,-822764.7
2022-05-31 19:45:54,663418.7,-663398.3
2022-05-31 19:45:53,304292.4,-304261.3
2022-05-31 19:45:52,160491.28,-160488.98
2022-05-31 19:45:51,187221.5,-187217.5
2022-05-31 19:45:50,298538.6,-298530.9
2022-05-31 19:45:49,363077,-363102.6
2022-05-31 19:45:48,612642.5,-612662.6
2022-05-31 19:45:47,842927.7,-842921.3
2022-05-31 19:45:46,897282.6,-897259.7
2022-05-31 19:45:45,674035.1,-674006.2
2022-05-31 19:45:44,535732.8,-535712
2022-05-31 19:45:43,711168.3,-711193.5
2022-05-31 19:45:42,816142.7,-816149.5
2022-05-31 19:45:41,868722.3,-868717.1
2022-05-31 19:45:40,552920.9,-552906.5
2022-05-31 19:45:39,238616.1,-238580
2022-05-31 19:45:38,56778.15,-56777.95
2022-05-31 19:45:37,132036.2,-132049.86
2022-05-31 19:45:36,310188.3,-310178.1
2022-05-31 19:45:35,366365.9,-366365.4
2022-05-31 19:45:34,506547.8,-506562.1
2022-05-31 19:45:33,860412.6,-860393.2
2022-05-31 19:45:32,1111867.4,-1111855
2022-05-31 19:45:31,772422.3,-772416.4
2022-05-31 19:45:30,810216.1,-810206.4
2022-05-31 19:45:29,871223.4,-871235.4
2022-05-31 19:45:28,689873.4,-689877.2
2022-05-31 19:45:27,571850.8,-571844.1
2022-05-31 19:45:26,372834.2,-372812.6
2022-05-31 19:45:25,240220.6,-240207.3
2022-05-31 19:45:24,168937.4,-168943.9
2022-05-31 19:45:23,245894.9,-245887.7
2022-05-31 19:45:22,306038.5,-306023.6
2022-05-31 19:45:21,280147.4,-280156.1
2022-05-31 19:45:20,309446.7,-309451.5
2022-05-31 19:45:19,651996.6,-651992.2
2022-05-31 19:45:18,1094675.5,-1094666.5
2022-05-31 19:45:17,1063155.9,-1063161.9
2022-05-31 19:45:16,1139654.6,-1139664.6
2022-05-31 19:45:15,1056939.4,-1056928.5
2022-05-31 19:45:14,723309.7,-723298
2022-05-31 19:45:13,511543.8,-511530.7
2022-05-31 19:45:12,259123.7,-259109.8
2022-05-31 19:45:11,19895.27,-19884.09
2022-05-31 19:45:10,10896.283,-10897.508
2022-05-31 19:45:09,133101.96,-133115.93
2022-05-31 19:45:08,306327.4,-306333.5
2022-05-31 19:45:07,395804.9,-395810.8
2022-05-31 19:45:06,568782.5,-568757.8
2022-05-31 19:45:05,414257.3,-414252.6
2022-05-31 19:45:04,600493.7,-600491.9
2022-05-31 19:45:03,1055785.3,-1055783.9
2022-05-31 19:45:02,1031758.4,-1031798.3
2022-05-31 19:45:01,1166339,-1166341.5
2022-05-31 19:45:00,1007496.5,-1007479.6
2022-05-31 19:44:59,669224.5,-669198.3
2022-05-31 19:44:58,275664.1,-275639.3
2022-05-31 19:44:57,112007.59,-111997.76
2022-05-31 19:44:56,14029.081,-14036.731
2022-05-31 19:44:55,67184.23,-67184.56
2022-05-31 19:44:54,272593.8,-272614
2022-05-31 19:44:53,437548.6,-437555
2022-05-31 19:44:52,490706,-490686.1
2022-05-31 19:44:51,495870.8,-495843.4
2022-05-31 19:44:50,539361.3,-539361.5
2022-05-31 19:44:49,966413.3,-966424.7
2022-05-31 19:44:48,1319440.8,-1319444.9
2022-05-31 19:44:47,1062142.3,-1062147
2022-05-31 19:44:46,757002.4,-756994.1
2022-05-31 19:44:45,677961.1,-677937.4
2022-05-31 19:44:44,380281.1,-380255.2
2022-05-31 19:44:43,206976.9,-206968.1
2022-05-31 19:44:42,147009.37,-147018.69
2022-05-31 19:44:41,193134.5,-193128.6
2022-05-31 19:44:40,254930.6,-254944.1
2022-05-31 19:44:39,306128.5,-306137.3
2022-05-31 19:44:38,526539,-526530.7
2022-05-31 19:44:37,511130.9,-511142.2
2022-05-31 19:44:36,566638,-566636.3
2022-05-31 19:44:35,886885.4,-886873.6
2022-05-31 19:44:34,1218969.3,-1218975
2022-05-31 19:44:33,1081658.7,-1081664
2022-05-31 19:44:32,819880.6,-819861.2
2022-05-31 19:44:31,608004,-607974.5
2022-05-31 19:44:30,379209.5,-379207.6
2022-05-31 19:44:29,240844.4,-240838.4
2022-05-31 19:44:28,194187.8,-194172.3
2022-05-31 19:44:27,203340.6,-203343.6
