time,in,out
2022-05-31 19:46:29,894.4481,-12.158413
2022-05-31 19:46:28,377.7318,0
2022-05-31 19:46:27,50.20073,-21.44409
2022-05-31 19:46:26,5.61935,-89.28631
2022-05-31 19:46:25,0,-40.58404
2022-05-31 19:46:24,0,-4.685559
2022-05-31 19:46:23,0,-3.064943
2022-05-31 19:46:22,0,-37.69569
2022-05-31 19:46:21,0,-20.43169
2022-05-31 19:46:20,0,-2.807676
2022-05-31 19:46:19,0,-12.249666
2022-05-31 19:46:18,0,-3.750334
2022-05-31 19:46:17,0,-18.38325
2022-05-31 19:46:16,0,-14.810881
2022-05-31 19:46:15,0,-2.805871
2022-05-31 19:46:14,0,0
2022-05-31 19:46:13,0,-30.6179
2022-05-31 19:46:12,101.05819,-76.75423
2022-05-31 19:46:11,30.94181,-23.69082
2022-05-31 19:46:10,0,-43.82378
2022-05-31 19:46:09,0,-147.90641
2022-05-31 19:46:08,0,-50.39625
2022-05-31 19:46:07,0,-2.810612
2022-05-31 19:46:06,0,-3.061925
2022-05-31 19:46:05,0,-13.198672
2022-05-31 19:46:04,0,-3.739403
2022-05-31 19:46:03,0,-21.45353
2022-05-31 19:46:02,0,-6.546468
2022-05-31 19:46:01,0,0
2022-05-31 19:46:00,0,-3.06501
2022-05-31 19:45:59,0,-34.64772
2022-05-31 19:45:58,0,-10.287273
2022-05-31 19:45:57,0,-9.19521
2022-05-31 19:45:56,0,-12.005667
2022-05-31 19:45:55,0,-2.799124
2022-05-31 19:45:54,0,-12.263827
2022-05-31 19:45:53,0,-3.736173
2022-05-31 19:45:52,0,-9.196724
2022-05-31 19:45:51,0,-5.866955
2022-05-31 19:45:50,0,-16.26201
2022-05-31 19:45:49,0,-4.674311
2022-05-31 19:45:48,0,0
2022-05-31 19:45:47,0,-12.264511
2022-05-31 19:45:46,0,-6.80382
2022-05-31 19:45:45,0,-3.997175
2022-05-31 19:45:44,0,-0.9344945
2022-05-31 19:45:43,0,-3.063263
2022-05-31 19:45:42,0,-0.9367372
2022-05-31 19:45:41,0,-9.202182
2022-05-31 19:45:40,0,-30.3823
2022-05-31 19:45:39,0,-8.415518
2022-05-31 19:45:38,0,-226.701
2022-05-31 19:45:37,0,-72.36364
2022-05-31 19:45:36,0,-4.002034
2022-05-31 19:45:35,0,-22.41429
2022-05-31 19:45:34,0,-9.58422
2022-05-31 19:45:33,0,-65.29729
2022-05-31 19:45:32,0,-19.63752
2022-05-31 19:45:31,0,-6.135123
2022-05-31 19:45:30,0,-23.34455
2022-05-31 19:45:29,0,-18.79718
2022-05-31 19:45:28,0,-46.70359
2022-05-31 19:45:27,0,-22.23507
2022-05-31 19:45:26,0,-5.850232
2022-05-31 19:45:25,0,-16.259376
2022-05-31 19:45:24,0,-10.804649
2022-05-31 19:45:23,0,-11.065792
2022-05-31 19:45:22,0,-8.936312
2022-05-31 19:45:21,0,-1.86813
2022-05-31 19:45:20,0,-21.47021
2022-05-31 19:45:19,0,-12.665053
2022-05-31 19:45:18,0,-8.000558
2022-05-31 19:45:17,0,-17.2053
2022-05-31 19:45:16,0,-13.864305
2022-05-31 19:45:15,0,-64.16212
2022-05-31 19:45:14,0,-21.69963
2022-05-31 19:45:13,0,-0.9328213
2022-05-31 19:45:12,0,-18.39854
2022-05-31 19:45:11,0,-36.26433
2022-05-31 19:45:10,0,-12.403139
2022-05-31 19:45:09,0,-0.9339885
2022-05-31 19:45:08,0,-104.21102
2022-05-31 19:45:07,0,-34.85397
2022-05-31 19:45:06,0,-68.22439
2022-05-31 19:45:05,0,-20.71063
2022-05-31 19:45:04,0,-3.070529
2022-05-31 19:45:03,0,-31.62348
2022-05-31 19:45:02,0,-15.443463
2022-05-31 19:45:01,0,-4.930555
2022-05-31 19:45:00,0,-16.269235
2022-05-31 19:44:59,0,-4.662739
2022-05-31 19:44:58,0,-18.4127
2022-05-31 19:44:57,0,-54.72678
2022-05-31 19:44:56,0,-17.93037
2022-05-31 19:44:55,0,-13.205102
2022-05-31 19:44:54,0,-6.793512
2022-05-31 19:44:53,0,-10.134858
2022-05-31 19:44:52,0,-5.863366
2022-05-31 19:44:51,0,-7.065084
2022-05-31 19:44:50,0,-14.148744
2022-05-31 19:44:49,0,-9.859843
2022-05-31 19:44:48,0,-14.13532
2022-05-31 19:44:47,0,-9.861636
2022-05-31 19:44:46,0,-1.862682
2022-05-31 19:44:45,0,-3.068074
2022-05-31 19:44:44,0,-13.211452
2022-05-31 19:44:43,0,-15.993419
2022-05-31 19:44:42,0,-12.928214
2022-05-31 19:44:41,0,-8.939179
2022-05-31 19:44:40,0,-4.929371
2022-05-31 19:44:39,0,-3.998358
2022-05-31 19:44:38,0,-22.40376
2022-05-31 19:44:37,0,-110.93999
2022-05-31 19:44:36,0,-37.72753
2022-05-31 19:44:35,0,-7.997962
2022-05-31 19:44:34,0,-1.862696
2022-05-31 19:44:33,0,-6.136143
2022-05-31 19:44:32,0,-54.06712
2022-05-31 19:44:31,0,-18.86557
2022-05-31 19:44:30,0,-3.998513
2022-05-31 19:44:29,0,-7.063848
2022-05-31 19:44:28,0,-4.933171
2022-05-31 19:44:27,0,-62.20231
2022-05-31 19:44:26,0,-30.98274
2022-05-31 19:44:25,0,-3.750584
2022-05-31 19:44:24,0,-9.176034
2022-05-31 19:44:23,0,-2.823966
2022-05-31 19:44:22,0,-12.246095
2022-05-31 19:44:21,0,-19.1004
2022-05-31 19:44:20,0,-10.795542
2022-05-31 19:44:19,0,-4.92702
2022-05-31 19:44:18,0,-0.9309454
2022-05-31 19:44:17,0,-18.39242
2022-05-31 19:44:16,0,-23.98923
2022-05-31 19:44:15,0,-11.741406
2022-05-31 19:44:14,0,-1.876942
2022-05-31 19:44:13,0,-9.206266
2022-05-31 19:44:12,0,-2.793734
2022-05-31 19:44:11,0,-24.53731
2022-05-31 19:44:10,0,-22.78752
