time,in,out
2022-05-31 17:10:46,19225.9,-2255.86
2022-05-31 17:10:47,7958.2,-20.7489
2022-05-31 17:10:48,5101.03,-140.317
2022-05-31 17:10:49,5448.77,-108.568
2022-05-31 17:10:50,6837.12,-62.5348
2022-05-31 17:10:51,5947.67,-24.4405
2022-05-31 17:10:52,5261.77,-20.14
2022-05-31 17:10:53,5165.59,0
2022-05-31 17:10:54,5427.85,-30.8112
2022-05-31 17:10:55,5379.53,-86.0976
2022-05-31 17:10:56,5389.17,-90.7536
2022-05-31 17:10:57,5100.72,-30.72
2022-05-31 17:10:58,5423.18,-46.2234
2022-05-31 17:10:59,5127.05,-296.825
2022-05-31 17:11:00,5674.67,-193.217
2022-05-31 17:11:01,5307.34,-1.35234
2022-05-31 17:11:02,6007.4,-38.8685
2022-05-31 17:11:03,5251.64,-37.1315
2022-05-31 17:11:04,15789.1,0
2022-05-31 17:11:05,15011.5,-244.331
2022-05-31 17:11:06,9347.17,-219.122
2022-05-31 17:11:07,7724.98,-332.513
2022-05-31 17:11:08,9339.01,-731.042
2022-05-31 17:11:09,39410.9,-172.992
2022-05-31 17:11:10,42426.1,-56750.2
2022-05-31 17:11:11,20366.6,-29987.5
2022-05-31 17:11:12,14176.3,-13301.9
2022-05-31 17:11:13,8507.02,-7184.98
2022-05-31 17:11:14,16659.9,-303.502
2022-05-31 17:11:15,297540,-8488.07
2022-05-31 17:11:16,722361,-106078
2022-05-31 17:11:17,765662,-203196
2022-05-31 17:11:18,652598,-193079
2022-05-31 17:11:19,511224,-112950
2022-05-31 17:11:20,751272,-27552.8
2022-05-31 17:11:21,826994,-151.419
2022-05-31 17:11:22,775957,-211.907
2022-05-31 17:11:23,822804,-72.519
2022-05-31 17:11:24,843224,-123.86
2022-05-31 17:11:25,810197,-556.196
2022-05-31 17:11:26,801684,-159.944
2022-05-31 17:11:27,835218,0
2022-05-31 17:11:28,837075,-87.8517
2022-05-31 17:11:29,816520,-106.698
2022-05-31 17:11:30,847412,-78.1651
2022-05-31 17:11:31,834264,-364.488
2022-05-31 17:11:32,819070,-58.7965
2022-05-31 17:11:33,845821,-10269.9
2022-05-31 17:11:34,822054,-69265.8
2022-05-31 17:11:35,842078,-53003.3
