time,in,out
2022-05-31 17:54:49,1261.8822,-10830.867
2022-05-31 17:54:48,2032.745,-22071.86
2022-05-31 17:54:47,1499.3918,-1585.2748
2022-05-31 17:54:46,1109.846,0
2022-05-31 17:54:45,978.8983,0
2022-05-31 17:54:44,1194.9147,-8.084736
2022-05-31 17:54:43,936.4598,-74.0159
2022-05-31 17:54:42,1113.9137,-113.89936
2022-05-31 17:54:41,936.3569,0
2022-05-31 17:54:40,1110.4782,0
2022-05-31 17:54:39,935.4757,-277.1334
2022-05-31 17:54:38,1113.7487,-557.831
2022-05-31 17:54:37,935.7228,-29.03563
2022-05-31 17:54:36,1111.7228,0
2022-05-31 17:54:35,937.5011,0
2022-05-31 17:54:34,1109.9282,0
2022-05-31 17:54:33,934.7889,-1437.8106
2022-05-31 17:54:32,1114.1786,-2822.189
2022-05-31 17:54:31,935.2005,0
2022-05-31 17:54:30,1111.2153,-4.053394
2022-05-31 17:54:29,982.2095,-7.946606
2022-05-31 17:54:28,1195.1587,-4.075227
2022-05-31 17:54:27,936.1346,-7.924773
2022-05-31 17:54:26,1111.1032,0
2022-05-31 17:54:25,851.688,0
2022-05-31 17:54:24,1034.1276,-4.052789
2022-05-31 17:54:23,1021.3369,-7.947211
2022-05-31 17:54:22,1032.9598,-881.9625
2022-05-31 17:54:21,1016.641,-1682.038
2022-05-31 17:54:20,1030.6635,0
2022-05-31 17:54:19,1867.81,-6.813181
2022-05-31 17:54:18,5038.363,-11290.831
2022-05-31 17:54:17,7631.373,-22855.28
2022-05-31 17:54:16,6153.426,-1531.0799
2022-05-31 17:54:15,4776.066,0
2022-05-31 17:54:14,4646.206,-8.107403
2022-05-31 17:54:13,3248.286,-15.892597
2022-05-31 17:54:12,1115.7895,-46.3256
2022-05-31 17:54:11,1019.493,-89.6744
2022-05-31 17:54:10,1030.982,0
2022-05-31 17:54:09,1234.3067,-25.70139
2022-05-31 17:54:08,2699.409,-799.3705
2022-05-31 17:54:07,3454.615,-1477.9118
2022-05-31 17:54:06,1028.7841,-29.0163
2022-05-31 17:54:05,1019.0107,0
2022-05-31 17:54:04,1029.0071,0
2022-05-31 17:54:03,1018.1155,-48.88766
2022-05-31 17:54:02,1027.9097,-95.11234
2022-05-31 17:54:01,1019.516,-180.319
2022-05-31 17:54:00,1030.9242,-351.681
2022-05-31 17:53:59,1017.1289,0
2022-05-31 17:53:58,1028.8048,0
2022-05-31 17:53:57,1064.2214,-514.6789
2022-05-31 17:53:56,3478.432,-1002.7699
2022-05-31 17:53:55,11938.624,-18.74545
2022-05-31 17:53:54,13342.154,-15.805828
2022-05-31 17:53:53,835.2071,0
2022-05-31 17:53:52,697.5655,-61.30947
2022-05-31 17:53:51,1350.4345,-118.69053
2022-05-31 17:53:50,703.7414,-52.23081
2022-05-31 17:53:49,1344.2586,-99.76919
2022-05-31 17:53:48,692.7337,-6.764977
2022-05-31 17:53:47,1355.2663,-545.5972
2022-05-31 17:53:46,696.2594,-1039.6378
2022-05-31 17:53:45,1351.7406,0
2022-05-31 17:53:44,693.8987,0
2022-05-31 17:53:43,1354.1013,0
2022-05-31 17:53:42,694.3424,-4.068413
2022-05-31 17:53:41,1353.6576,-58.12218
2022-05-31 17:53:40,739.0908,-97.80941
2022-05-31 17:53:39,1436.9092,0
2022-05-31 17:53:38,702.0392,0
2022-05-31 17:53:37,1345.9608,-373.1658
2022-05-31 17:53:36,694.5058,-726.8342
2022-05-31 17:53:35,1353.4942,0
2022-05-31 17:53:34,694.0218,0
2022-05-31 17:53:33,1353.9782,-9.490953
2022-05-31 17:53:32,740.0164,-26.67099
2022-05-31 17:53:31,1435.9836,-15.838054
2022-05-31 17:53:30,700.4592,0
2022-05-31 17:53:29,1347.5408,0
2022-05-31 17:53:28,716.3456,0
2022-05-31 17:53:27,1406.495,-497.3137
2022-05-31 17:53:26,808.7349,-993.8103
2022-05-31 17:53:25,1533.8573,-44.87602
2022-05-31 17:53:24,865.4913,-4.084033
2022-05-31 17:53:23,1695.12,-7.915967
2022-05-31 17:53:22,733.9389,-867.2507
2022-05-31 17:53:21,1314.1754,-1676.7493
2022-05-31 17:53:20,690.4761,0
2022-05-31 17:53:19,1272.8393,0
2022-05-31 17:53:18,774.2649,0
2022-05-31 17:53:17,1273.8275,0
2022-05-31 17:53:16,774.4929,-617.4224
2022-05-31 17:53:15,1273.543,-1194.5776
2022-05-31 17:53:14,774.3131,0
2022-05-31 17:53:13,1273.6617,0
2022-05-31 17:53:12,687.5136,0
2022-05-31 17:53:11,1336.1817,-855.3699
2022-05-31 17:53:10,1167.0297,-1656.6301
2022-05-31 17:53:09,1248.7756,0
2022-05-31 17:53:08,862.3667,0
2022-05-31 17:53:07,1203.9418,0
2022-05-31 17:53:06,852.0118,-685.2737
2022-05-31 17:53:05,1197.0779,-1346.7263
2022-05-31 17:53:04,855.8041,0
