time,in,out
2022-05-31 17:16:36,0,0
2022-05-31 17:16:35,0,-1.4792489
2022-05-31 17:16:34,162.70451,-25.41988
2022-05-31 17:16:33,11765.642,-89.39048
2022-05-31 17:16:32,138131.32,-5.459044
2022-05-31 17:16:31,196456.6,-22.25134
2022-05-31 17:16:30,195470.4,0
2022-05-31 17:16:29,196503,-0.288646
2022-05-31 17:16:28,195740,-6.323033
2022-05-31 17:16:27,196727.2,-33.38832
2022-05-31 17:16:26,196025.1,-1.4634234
2022-05-31 17:16:25,195954.5,-18.82358
2022-05-31 17:16:24,196365.9,-4.000552
2022-05-31 17:16:23,196199.9,-3.712445
2022-05-31 17:16:22,195809,-2.673338
2022-05-31 17:16:21,196246.4,-33.32666
2022-05-31 17:16:20,196361.5,-1.1774588
2022-05-31 17:16:19,195879.6,-14.822541
2022-05-31 17:16:18,196493.6,0
2022-05-31 17:16:17,196023.7,-0.2864119
2022-05-31 17:16:16,196030.3,-6.299265
2022-05-31 17:16:15,196262.9,-33.41432
2022-05-31 17:16:14,196148.3,-1.1574671
2022-05-31 17:16:13,196080.2,-15.133394
2022-05-31 17:16:12,196415.9,-4.001636
2022-05-31 17:16:11,196155.8,-5.173058
2022-05-31 17:16:10,196111.1,-20.29274
2022-05-31 17:16:09,195951.5,-25.38126
2022-05-31 17:16:08,196131.8,-45.15252
2022-05-31 17:16:07,196154.4,-56.56951
2022-05-31 17:16:06,196160.5,-15.166943
2022-05-31 17:16:05,196102.4,-55.13709
2022-05-31 17:16:04,196101,-43.12418
2022-05-31 17:16:03,196329,-35.43359
2022-05-31 17:16:02,196073.4,-79.42555
2022-05-31 17:16:01,196210.3,-69.42239
2022-05-31 17:16:00,196279.5,-35.43802
2022-05-31 17:15:59,196243.5,-27.49683
2022-05-31 17:15:58,196243.9,-18.49382
2022-05-31 17:15:57,195999.6,-0.2930065
2022-05-31 17:15:56,196586.7,-8.481953
2022-05-31 17:15:55,195924.8,-59.51757
2022-05-31 17:15:54,196059.8,-3.707473
2022-05-31 17:15:53,195965.7,0
2022-05-31 17:15:52,196212.9,0
2022-05-31 17:15:51,196214.3,-0.290247
2022-05-31 17:15:50,196175.7,-7.477421
2022-05-31 17:15:49,196262.9,-50.29677
2022-05-31 17:15:48,196135.3,-25.93556
2022-05-31 17:15:47,196276.1,0
2022-05-31 17:15:46,196052.2,0
2022-05-31 17:15:45,195937.3,-1.742628
2022-05-31 17:15:44,196314.7,-24.57895
2022-05-31 17:15:43,196279,-29.67842
2022-05-31 17:15:42,196353.3,0
2022-05-31 17:15:41,195747.5,-0.2923892
2022-05-31 17:15:40,196145.2,-5.163959
2022-05-31 17:15:39,196121.4,-19.72285
2022-05-31 17:15:38,196481.4,-17.46076
2022-05-31 17:15:37,195814.5,-33.65174
2022-05-31 17:15:36,196136.3,-4.868181
2022-05-31 17:15:35,196120.6,-20.89166
2022-05-31 17:15:34,196399.6,-83.10813
2022-05-31 17:15:33,196327,-73.43075
2022-05-31 17:15:32,196173.4,-94.40754
2022-05-31 17:15:31,195998.2,-117.17945
2022-05-31 17:15:30,196023.7,-83.08851
2022-05-31 17:15:29,196349.4,-69.98774
2022-05-31 17:15:28,196108.4,-47.21542
2022-05-31 17:15:27,195967.8,-89.52368
2022-05-31 17:15:26,196475.3,-105.01012
2022-05-31 17:15:25,196115.7,-70.71185
2022-05-31 17:15:24,196206.2,-96.28526
2022-05-31 17:15:23,195869.8,-13.763375
2022-05-31 17:15:22,196354.8,-182.8054
2022-05-31 17:15:21,196286,-107.43126
2022-05-31 17:15:20,196145.2,-0.294265
2022-05-31 17:15:19,196310.5,-6.667643
2022-05-31 17:15:18,196200.6,-37.63399
2022-05-31 17:15:17,196001.8,-8.589899
2022-05-31 17:15:16,195930.6,-14.814207
2022-05-31 17:15:15,196416.9,0
2022-05-31 17:15:14,195852.3,-1.95545
2022-05-31 17:15:13,196534.3,-25.00933
2022-05-31 17:15:12,196168.9,-37.03522
2022-05-31 17:15:11,196232.1,-1.1821295
2022-05-31 17:15:10,196158.3,-14.81787
2022-05-31 17:15:09,196325.3,0
2022-05-31 17:15:08,195793.2,-0.5876963
2022-05-31 17:15:07,196193.6,-7.703262
2022-05-31 17:15:06,196003.3,-5.724854
2022-05-31 17:15:05,196338.7,-28.84623
2022-05-31 17:15:04,196345.5,-38.92728
2022-05-31 17:15:03,196039.5,-28.69432
2022-05-31 17:15:02,196090.9,-81.51636
2022-05-31 17:15:01,196465.6,-4.13535
2022-05-31 17:15:00,197117.9,-53.93308
2022-05-31 17:14:59,196005.1,-28.85034
2022-05-31 17:14:58,196215,-37.3701
2022-05-31 17:14:57,196212,-3.71113
2022-05-31 17:14:56,196408.7,-0.2984541
2022-05-31 17:14:55,195888.4,-7.268213
2022-05-31 17:14:54,196428.6,-54.41677
2022-05-31 17:14:53,195813.8,-126.01657
2022-05-31 17:14:52,196271.8,0
2022-05-31 17:14:51,195999.4,0
2022-05-31 17:14:50,196851.4,-3.703999
2022-05-31 17:14:49,205277.3,-160.53263
2022-05-31 17:14:48,200595.6,-756.4946
2022-05-31 17:14:47,196710.1,-55.26876
