time,in,out
2022-05-31 17:52:42,0,0
2022-05-31 17:52:41,1.350012,-1.2761652
2022-05-31 17:52:40,19.14127,-18.71219
2022-05-31 17:52:39,22.81272,-29.52365
2022-05-31 17:52:38,0,0
2022-05-31 17:52:37,0,0
2022-05-31 17:52:36,0,0
2022-05-31 17:52:35,0.0448321,-0.0770193
2022-05-31 17:52:34,0.5791679,-0.9949807
2022-05-31 17:52:33,0,0
2022-05-31 17:52:32,0,0
2022-05-31 17:52:31,0,0
2022-05-31 17:52:30,0,0
2022-05-31 17:52:29,0,0
2022-05-31 17:52:28,0,0
2022-05-31 17:52:27,0,0
2022-05-31 17:52:26,0,0
2022-05-31 17:52:25,0,0
2022-05-31 17:52:24,0,0
2022-05-31 17:52:23,0,0
2022-05-31 17:52:22,0,0
2022-05-31 17:52:21,0,0
2022-05-31 17:52:20,0,0
2022-05-31 17:52:19,0,0
2022-05-31 17:52:18,0,0
2022-05-31 17:52:17,0,0
2022-05-31 17:52:16,0,0
2022-05-31 17:52:15,0,0
2022-05-31 17:52:14,0,0
2022-05-31 17:52:13,0,0
2022-05-31 17:52:12,0,0
2022-05-31 17:52:11,0,0
2022-05-31 17:52:10,0,0
2022-05-31 17:52:09,0,0
2022-05-31 17:52:08,0,0
2022-05-31 17:52:07,0,0
2022-05-31 17:52:06,0,0
2022-05-31 17:52:05,0,0
2022-05-31 17:52:04,0,0
2022-05-31 17:52:03,0,0
2022-05-31 17:52:02,0,0
2022-05-31 17:52:01,0,0
2022-05-31 17:52:00,0,0
2022-05-31 17:51:59,0,0
2022-05-31 17:51:58,0,0
2022-05-31 17:51:57,0,0
2022-05-31 17:51:56,0,0
2022-05-31 17:51:55,0,0
2022-05-31 17:51:54,0,0
2022-05-31 17:51:53,0,0
2022-05-31 17:51:52,0,0
2022-05-31 17:51:51,0,0
2022-05-31 17:51:50,0.0447761,-0.0769231
2022-05-31 17:51:49,0.5792239,-0.9950769
2022-05-31 17:51:48,0,0
2022-05-31 17:51:47,0,0
2022-05-31 17:51:46,0,0
2022-05-31 17:51:45,0,0
2022-05-31 17:51:44,0,0
2022-05-31 17:51:43,0,0
2022-05-31 17:51:42,0,0
2022-05-31 17:51:41,0,0
2022-05-31 17:51:40,0,0
2022-05-31 17:51:39,0,0
2022-05-31 17:51:38,0,0
2022-05-31 17:51:37,0,0
2022-05-31 17:51:36,0,0
