time,in,out
2022-05-30 15:18:37,0,0
2022-05-30 15:18:36,4.139062,0
2022-05-30 15:18:35,7.860938,0
2022-05-30 15:18:34,68.89025,-22.04488
2022-05-30 15:18:33,131.10975,-41.95512
2022-05-30 15:18:32,1.3761736,0
2022-05-30 15:18:31,2.623826,0
2022-05-30 15:18:30,4.12511,0
2022-05-30 15:18:29,17.49771,-156.71453
2022-05-30 15:18:28,154.96489,-306.1838
2022-05-30 15:18:27,463.3906,-110.23416
2022-05-30 15:18:26,913.4765,-182.8675
2022-05-30 15:18:25,2161.082,0
2022-05-30 15:18:24,5413.603,-89.51753
2022-05-30 15:18:23,7467.92,-200.8604
2022-05-30 15:18:22,3020.122,-57.62205
2022-05-30 15:18:21,1046.0776,0
2022-05-30 15:18:20,133.73984,0
2022-05-30 15:18:19,319.2703,-89.83796
2022-05-30 15:18:18,6665.49,-172.9339
2022-05-30 15:18:17,79888.64,-35.79564
2022-05-30 15:18:16,204267.2,-57.43246
2022-05-30 15:18:15,257601.9,0
2022-05-30 15:18:14,292344.5,-1225.272
2022-05-30 15:18:13,208719.9,-2347.022
2022-05-30 15:18:12,168962.1,-100.71241
2022-05-30 15:18:11,112777.28,-46.99322
2022-05-30 15:18:10,78280.93,-1.3774824
2022-05-30 15:18:09,82025.7,-2.622518
2022-05-30 15:18:08,45625.8,-6.932184
2022-05-30 15:18:07,38004.14,-203.7897
2022-05-30 15:18:06,72749.37,-361.2781
2022-05-30 15:18:05,126410.14,-1.3898845
2022-05-30 15:18:04,194066.7,-6.780837
2022-05-30 15:18:03,196006.7,-10.618418
2022-05-30 15:18:02,219508.2,-481.2703
2022-05-30 15:18:01,265510.9,-883.9405
2022-05-30 15:18:00,260566.4,0
2022-05-30 15:17:59,203628.2,0
2022-05-30 15:17:58,99805.58,0
2022-05-30 15:17:57,67999.97,-99.02002
2022-05-30 15:17:56,137306.84,-272.8659
2022-05-30 15:17:55,130108.07,-164.11411
2022-05-30 15:17:54,1718.013,0
2022-05-30 15:17:53,18116.06,0
2022-05-30 15:17:52,79888.89,-75.97075
2022-05-30 15:17:51,117533.01,-276.9105
2022-05-30 15:17:50,120408.54,-288.5532
2022-05-30 15:17:49,192387,-97.08854
2022-05-30 15:17:48,213888.6,-49.47703
2022-05-30 15:17:47,204225.7,-301.9378
2022-05-30 15:17:46,187730.7,-612.9845
2022-05-30 15:17:45,140493.11,-81.07771
2022-05-30 15:17:44,41386.15,0
2022-05-30 15:17:43,3998.212,0
2022-05-30 15:17:42,0,-85.58004
2022-05-30 15:17:41,0,-293.2442
2022-05-30 15:17:40,0,-249.1758
2022-05-30 15:17:39,37.30696,-12.435652
2022-05-30 15:17:38,27033.2,-46.97408
2022-05-30 15:17:37,99411.53,-160.87011
2022-05-30 15:17:36,131916.06,-323.7503
2022-05-30 15:17:35,124800.72,-195.9699
2022-05-30 15:17:34,153259.76,0
2022-05-30 15:17:33,199815.4,0
2022-05-30 15:17:32,174104.3,-8.263896
2022-05-30 15:17:31,48541.63,-271.9069
