time,free,used,cached,buffers
2022-05-30 15:31:50,26661.97,4581.219,864.9688,4.070312
2022-05-30 15:31:49,26667.78,4582.008,858.3789,4.066406
2022-05-30 15:31:48,26411.56,4838.328,858.2773,4.0625
2022-05-30 15:31:47,26411.42,4837.551,859.1953,4.0625
2022-05-30 15:31:46,26411.75,4837.23,859.1914,4.0625
2022-05-30 15:31:45,26411.64,4837.344,859.1875,4.054688
2022-05-30 15:31:44,26411.68,4837.305,859.1875,4.054688
2022-05-30 15:31:43,26411.45,4837.535,859.1875,4.054688
2022-05-30 15:31:42,26411.75,4837.25,859.1875,4.046875
2022-05-30 15:31:41,26411.76,4837.234,859.1875,4.046875
2022-05-30 15:31:40,26411.24,4837.766,859.1875,4.039062
2022-05-30 15:31:39,26411.72,4837.285,859.1836,4.039062
2022-05-30 15:31:38,26411.72,4837.285,859.1836,4.039062
2022-05-30 15:31:37,26411.71,4837.293,859.1836,4.039062
2022-05-30 15:31:36,26411.64,4837.371,859.1758,4.039062
2022-05-30 15:31:35,26411.9,4837.117,859.1836,4.03125
2022-05-30 15:31:34,26411.88,4837.148,859.1836,4.023438
2022-05-30 15:31:33,26412.24,4836.93,859.0391,4.023438
2022-05-30 15:31:32,26412.18,4836.988,859.0352,4.023438
2022-05-30 15:31:31,26412.5,4836.676,859.0312,4.023438
2022-05-30 15:31:30,26412.44,4836.746,859.0234,4.023438
2022-05-30 15:31:29,26412.41,4836.785,859.0156,4.023438
2022-05-30 15:31:28,26412.42,4836.77,859.0234,4.015625
2022-05-30 15:31:27,26412.41,4836.785,859.0234,4.015625
2022-05-30 15:31:26,26412.64,4836.555,859.0234,4.015625
2022-05-30 15:31:25,26412.68,4836.512,859.0195,4.015625
2022-05-30 15:31:24,26412.64,4836.559,859.0195,4.015625
2022-05-30 15:31:23,26412.37,4836.84,859.0156,4.007812
2022-05-30 15:31:22,26412.61,4836.609,859.0078,4.007812
2022-05-30 15:31:21,26412.91,4836.301,859.0078,4.007812
2022-05-30 15:31:20,26412.67,4836.547,859.0078,4.007812
2022-05-30 15:31:19,26412.68,4836.535,859.0039,4.007812
2022-05-30 15:31:18,26412.67,4836.551,859.0039,4.007812
2022-05-30 15:31:17,26412.71,4836.516,859,4
2022-05-30 15:31:16,26412.65,4836.582,858.9961,4
2022-05-30 15:31:15,26412.38,4836.859,858.9961,4
2022-05-30 15:31:14,26412.94,4836.301,858.9922,4
2022-05-30 15:31:13,26412.81,4836.426,858.9922,4
2022-05-30 15:31:12,26413.39,4835.855,858.9922,3.992188
2022-05-30 15:31:11,26413.38,4835.867,858.9883,3.992188
2022-05-30 15:31:10,26413.19,4836.07,858.9844,3.984375
