time,in,out
2022-05-30 14:49:08,177.131,0
2022-05-30 14:49:07,704.0243,0
2022-05-30 14:49:06,716.3035,-5.086163
2022-05-30 14:49:05,0,-223.6308
2022-05-30 14:49:04,0,-451.283
2022-05-30 14:49:03,0,0
2022-05-30 14:49:02,1869.559,0
2022-05-30 14:49:01,4433.274,-369.4995
2022-05-30 14:49:00,985.1667,-970.3611
2022-05-30 14:48:59,0,-392.1394
2022-05-30 14:48:58,0,0
2022-05-30 14:48:57,37501.72,0
2022-05-30 14:48:56,131261.67,0
2022-05-30 14:48:55,163193.64,-182.5341
2022-05-30 14:48:54,164484.48,-450.6144
2022-05-30 14:48:53,165696.75,-130.85154
2022-05-30 14:48:52,169793.8,0
2022-05-30 14:48:51,167602.1,0
2022-05-30 14:48:50,171008.9,-25.61147
2022-05-30 14:48:49,172832,-82.49789
2022-05-30 14:48:48,166378.75,-101.94679
2022-05-30 14:48:47,166895.66,-89.94385
2022-05-30 14:48:46,174055.5,0
2022-05-30 14:48:45,172080,0
2022-05-30 14:48:44,162891.1,0
2022-05-30 14:48:43,171393,0
2022-05-30 14:48:42,170378.1,-37.59281
2022-05-30 14:48:41,168557.5,-78.40719
2022-05-30 14:48:40,173303.7,0
2022-05-30 14:48:39,173154.4,0
2022-05-30 14:48:38,167092.43,0
2022-05-30 14:48:37,169786.3,0
2022-05-30 14:48:36,165044.22,-46.92266
2022-05-30 14:48:35,169277.9,-110.04646
2022-05-30 14:48:34,171029.1,-19.03088
2022-05-30 14:48:33,169184.5,0
2022-05-30 14:48:32,168290.5,0
2022-05-30 14:48:31,172075.9,0
2022-05-30 14:48:30,168720.1,-65.13429
2022-05-30 14:48:29,164962.33,-138.86571
2022-05-30 14:48:28,170276.1,0
2022-05-30 14:48:27,170126,-3.858327
2022-05-30 14:48:26,169573.4,-8.141673
2022-05-30 14:48:25,160753.13,0
2022-05-30 14:48:24,165356.05,-39.7069
2022-05-30 14:48:23,171141.2,-84.2931
2022-05-30 14:48:22,168133.7,-11.525266
2022-05-30 14:48:21,166616.74,-24.47473
2022-05-30 14:48:20,170286.5,0
2022-05-30 14:48:19,171382.3,-483.3219
2022-05-30 14:48:18,171229.8,-1028.6781
2022-05-30 14:48:17,169903.7,0
2022-05-30 14:48:16,167405.08,-3.837874
2022-05-30 14:48:15,167776.6,-8.162126
2022-05-30 14:48:14,173528.4,0
2022-05-30 14:48:13,165979.59,-43.76675
2022-05-30 14:48:12,169066.9,-92.23325
2022-05-30 14:48:11,169680.8,0
2022-05-30 14:48:10,171650.9,-5.18111
2022-05-30 14:48:09,174038.4,-10.81889
2022-05-30 14:48:08,167665.02,-39.7133
2022-05-30 14:48:07,167968,-84.2867
2022-05-30 14:48:06,170066.8,0
2022-05-30 14:48:05,173445.1,-3.862858
2022-05-30 14:48:04,168305.4,-8.137142
2022-05-30 14:48:03,171972.4,-55.55164
2022-05-30 14:48:02,172520.7,-116.44836
2022-05-30 14:48:01,166059.25,0
2022-05-30 14:48:00,168390,0
2022-05-30 14:47:59,170855.4,-669.9125
