time,free,used,cached,buffers
2022-05-30 14:49:09,26394.41,4581.355,1133.9961,2.46875
2022-05-30 14:49:08,26394.44,4581.395,1133.9336,2.460938
2022-05-30 14:49:07,26400.69,4581.312,1127.8906,2.335938
2022-05-30 14:49:06,25790.03,5190.801,1129.0625,2.335938
2022-05-30 14:49:05,25790.15,5190.57,1129.1836,2.328125
2022-05-30 14:49:04,25791.28,5189.441,1129.1836,2.328125
2022-05-30 14:49:03,25800.79,5179.926,1129.1836,2.328125
2022-05-30 14:49:02,25798.99,5183.008,1127.9141,2.320312
2022-05-30 14:49:01,25803.53,5179.906,1126.4844,2.3125
2022-05-30 14:49:00,25809.21,5174.895,1125.8086,2.3125
2022-05-30 14:48:59,25816.07,5170.09,1123.7695,2.296875
2022-05-30 14:48:58,25816.57,5169.59,1123.7773,2.289062
2022-05-30 14:48:57,25816.57,5169.598,1123.7773,2.289062
2022-05-30 14:48:56,25816.3,5169.867,1123.7773,2.289062
2022-05-30 14:48:55,25816.29,5169.883,1123.7695,2.289062
2022-05-30 14:48:54,25816.33,5169.848,1123.7734,2.28125
2022-05-30 14:48:53,25816.04,5170.133,1123.7734,2.28125
2022-05-30 14:48:52,25815.55,5170.629,1123.7695,2.28125
2022-05-30 14:48:51,25815.64,5170.535,1123.7695,2.28125
2022-05-30 14:48:50,25815.8,5170.375,1123.7695,2.28125
2022-05-30 14:48:49,25815.83,5170.352,1123.7695,2.28125
2022-05-30 14:48:48,25815.74,5170.445,1123.7695,2.273438
2022-05-30 14:48:47,25816.07,5170.117,1123.7656,2.273438
2022-05-30 14:48:46,25815.77,5170.418,1123.7656,2.273438
2022-05-30 14:48:45,25815.8,5170.395,1123.7656,2.273438
2022-05-30 14:48:44,25815.8,5170.387,1123.7656,2.273438
2022-05-30 14:48:43,25815.78,5170.539,1123.6367,2.273438
2022-05-30 14:48:42,25816.33,5170,1123.6367,2.265625
2022-05-30 14:48:41,25816.63,5169.707,1123.6367,2.257812
2022-05-30 14:48:40,25816.35,5169.988,1123.6328,2.257812
2022-05-30 14:48:39,25816.37,5169.973,1123.6328,2.257812
2022-05-30 14:48:38,25816.32,5170.023,1123.6289,2.257812
2022-05-30 14:48:37,25816.36,5169.984,1123.6289,2.257812
2022-05-30 14:48:36,25816.54,5169.816,1123.6289,2.25
2022-05-30 14:48:35,25816.54,5169.816,1123.6289,2.25
2022-05-30 14:48:34,25816.6,5169.758,1123.625,2.25
2022-05-30 14:48:33,25816.6,5169.758,1123.625,2.25
2022-05-30 14:48:32,25816.57,5169.789,1123.625,2.25
2022-05-30 14:48:31,25816.57,5169.801,1123.6211,2.242188
2022-05-30 14:48:30,25816.21,5170.156,1123.6211,2.242188
2022-05-30 14:48:29,25816.41,5169.961,1123.6211,2.242188
2022-05-30 14:48:28,25816.63,5169.742,1123.6172,2.242188
2022-05-30 14:48:27,25816.62,5169.75,1123.6172,2.242188
2022-05-30 14:48:26,25816.38,5170,1123.6055,2.242188
2022-05-30 14:48:25,25816.54,5169.848,1123.6133,2.234375
2022-05-30 14:48:24,25816.35,5170.035,1123.6094,2.234375
2022-05-30 14:48:23,25816.01,5170.375,1123.6094,2.234375
2022-05-30 14:48:22,25816.35,5170.039,1123.6055,2.234375
2022-05-30 14:48:21,25816.26,5170.133,1123.6055,2.234375
2022-05-30 14:48:20,25816.59,5169.812,1123.6016,2.226562
2022-05-30 14:48:19,25816.47,5169.934,1123.5977,2.226562
2022-05-30 14:48:18,25816.54,5169.871,1123.5977,2.226562
2022-05-30 14:48:17,25816.74,5169.668,1123.5938,2.226562
2022-05-30 14:48:16,25816.61,5169.793,1123.6055,2.226562
