time,in,out
2022-05-30 14:09:01,936.694,-58.0299
2022-05-30 14:09:02,942.265,-67.0609
2022-05-30 14:09:03,19631.1,-3.77583
2022-05-30 14:09:04,329482,-29.3651
2022-05-30 14:09:05,629136,-54.8347
2022-05-30 14:09:06,1.11173e+06,-7.80016
2022-05-30 14:09:07,1.03561e+06,-111.749
2022-05-30 14:09:08,980943,-28.2513
2022-05-30 14:09:09,980832,-89.1437
2022-05-30 14:09:10,980484,-107.131
2022-05-30 14:09:11,980749,-135.779
2022-05-30 14:09:12,980721,-31.9461
2022-05-30 14:09:13,981454,-22.1434
2022-05-30 14:09:14,980624,-5.85661
2022-05-30 14:09:15,980712,-30.948
2022-05-30 14:09:16,980934,-2162.36
2022-05-30 14:09:17,980714,-949.739
2022-05-30 14:09:18,980492,-45.816
2022-05-30 14:09:19,981365,-971.666
2022-05-30 14:09:20,980777,-215.468
2022-05-30 14:09:21,980183,-186.504
2022-05-30 14:09:22,981005,-179.737
2022-05-30 14:09:23,981306,-49.7595
2022-05-30 14:09:24,980706,-33.3881
2022-05-30 14:09:25,980968,-9.89532
2022-05-30 14:09:26,980923,-406.905
2022-05-30 14:09:27,980453,-301.289
2022-05-30 14:09:28,980596,-36.2838
2022-05-30 14:09:29,981159,-37.521
2022-05-30 14:09:30,980576,-6.71781
2022-05-30 14:09:31,980659,-31.4657
2022-05-30 14:09:32,981063,-84.1246
2022-05-30 14:09:33,980951,-43.7502
2022-05-30 14:09:34,980651,-49.8173
2022-05-30 14:09:35,980826,-12.9249
2022-05-30 14:09:36,982685,-69.341
2022-05-30 14:09:37,980707,-29.422
2022-05-30 14:09:38,980878,-43.2087
2022-05-30 14:09:39,980966,-19.2375
2022-05-30 14:09:40,980958,-69.5731
2022-05-30 14:09:41,980908,-46.9035
2022-05-30 14:09:42,980410,-30.9346
2022-05-30 14:09:43,980819,-53.1325
2022-05-30 14:09:44,980988,-27.5054
2022-05-30 14:09:45,980960,-26.6674
2022-05-30 14:09:46,980717,-32.2321
2022-05-30 14:09:47,980633,-18.9302
2022-05-30 14:09:48,981368,-14.1708
2022-05-30 14:09:49,980546,-18.2485
2022-05-30 14:09:50,981822,-63.1869
2022-05-30 14:09:51,981743,-75.0484
2022-05-30 14:09:52,980837,-18.7566
2022-05-30 14:09:53,981067,-19.3307
2022-05-30 14:09:54,981081,-64.4242
2022-05-30 14:09:55,980454,-43.4649
2022-05-30 14:09:56,980996,-24.779
2022-05-30 14:09:57,980887,-65.2564
2022-05-30 14:09:58,980994,-28.6593
2022-05-30 14:09:59,980462,-11.5035
2022-05-30 14:10:00,981031,-24.7818
2022-05-30 14:10:01,979083,-25.9001
2022-05-30 14:10:02,982263,-57.9235
2022-05-30 14:10:03,981596,-50.2124
2022-05-30 14:10:04,981015,-25.6576
2022-05-30 14:10:05,981105,-11.5246
