time,free,used
2022-05-30 14:13:34,15619.1,390.051
2022-05-30 14:13:33,15619.1,390.051
2022-05-30 14:13:32,15619.4,389.805
2022-05-30 14:13:31,15620.6,388.609
2022-05-30 14:13:30,15619.8,389.414
2022-05-30 14:13:29,15619.7,389.469
2022-05-30 14:13:28,15617.3,391.926
2022-05-30 14:13:27,15616.2,392.992
2022-05-30 14:13:26,15616.6,392.625
2022-05-30 14:13:25,15616.5,392.629
2022-05-30 14:13:24,15618.5,390.676
2022-05-30 14:13:23,15616.7,392.488
2022-05-30 14:13:22,15616.7,392.516
2022-05-30 14:13:21,15617.3,391.836
2022-05-30 14:13:20,15616.7,392.43
2022-05-30 14:13:19,15617.2,391.973
2022-05-30 14:13:18,15617.6,391.574
2022-05-30 14:13:17,15617.6,391.578
2022-05-30 14:13:16,15617.5,391.691
2022-05-30 14:13:15,15617.3,391.828
2022-05-30 14:13:14,15616.8,392.41
2022-05-30 14:13:13,15616.6,392.543
2022-05-30 14:13:12,15616,393.18
2022-05-30 14:13:11,15616.4,392.754
2022-05-30 14:13:10,15617.4,391.727
2022-05-30 14:13:09,15616.4,392.75
2022-05-30 14:13:08,15618,391.191
2022-05-30 14:13:07,15617.9,391.312
2022-05-30 14:13:06,15616.7,392.441
2022-05-30 14:13:05,15618.3,390.883
2022-05-30 14:13:04,15617.5,391.668
2022-05-30 14:13:03,15617.5,391.68
2022-05-30 14:13:02,15622.3,386.875
2022-05-30 14:13:01,15619.9,389.297
2022-05-30 14:13:00,15620.2,388.941
2022-05-30 14:12:59,15620.2,388.988
2022-05-30 14:12:58,15620.7,388.453
2022-05-30 14:12:57,15620.4,388.816
2022-05-30 14:12:56,15621.1,388.039
2022-05-30 14:12:55,15621.4,387.73
2022-05-30 14:12:54,15620.3,388.867
2022-05-30 14:12:53,15620.9,388.309
2022-05-30 14:12:52,15619.5,389.68
2022-05-30 14:12:51,15619.4,389.785
2022-05-30 14:12:50,15618.5,390.672
2022-05-30 14:12:49,15620.3,388.875
2022-05-30 14:12:48,15621,388.137
2022-05-30 14:12:47,15619.7,389.52
2022-05-30 14:12:46,15621.7,387.492
2022-05-30 14:12:45,15620.4,388.789
2022-05-30 14:12:44,15620.4,388.809
2022-05-30 14:12:43,15619.6,389.578
2022-05-30 14:12:42,15619.5,389.664
2022-05-30 14:12:41,15620.2,389.004
2022-05-30 14:12:40,15619.9,389.258
2022-05-30 14:12:39,15619.6,389.602
2022-05-30 14:12:38,15619.2,389.965
2022-05-30 14:12:37,15620.2,388.992
2022-05-30 14:12:36,15620.9,388.281
2022-05-30 14:12:35,15621.7,387.465
2022-05-30 14:12:34,15621.8,387.426
2022-05-30 14:12:33,15620.5,388.699
2022-05-30 14:12:32,15621.9,387.25
2022-05-30 14:12:31,15621.5,387.691
2022-05-30 14:12:30,15620.5,388.672
2022-05-30 14:12:29,15621,388.164
2022-05-30 14:12:28,15620.8,388.387
2022-05-30 14:12:27,15620.6,388.609
2022-05-30 14:12:26,15621.5,387.672
