time,in,out
2022-06-01 14:36:10,29.7094,-25.6696
2022-06-01 14:36:11,18.7531,-15.9652
2022-06-01 14:36:12,48.86,-37.5574
2022-06-01 14:36:13,158.684,-123.813
2022-06-01 14:36:14,161.805,-124.966
2022-06-01 14:36:15,90.1935,-62.5407
2022-06-01 14:36:16,28.8301,-20.7006
2022-06-01 14:36:17,0,0
2022-06-01 14:36:18,0,0
2022-06-01 14:36:19,0,0
2022-06-01 14:36:20,1.52357,-1.60171
2022-06-01 14:36:21,0.972426,-1.02229
2022-06-01 14:36:22,0.325278,-0.558811
2022-06-01 14:36:23,0.298722,-0.513189
2022-06-01 14:36:24,0,0
2022-06-01 14:36:25,0,0
2022-06-01 14:36:26,0,0
2022-06-01 14:36:27,0,0
2022-06-01 14:36:28,0,0
2022-06-01 14:36:29,0,0
2022-06-01 14:36:30,0,0
2022-06-01 14:36:31,0,0
2022-06-01 14:36:32,0,0
2022-06-01 14:36:33,0,0
2022-06-01 14:36:34,0,0
2022-06-01 14:36:35,0,0
2022-06-01 14:36:36,0,0
2022-06-01 14:36:37,0,0
2022-06-01 14:36:38,0.646634,-23.7148
2022-06-01 14:36:39,0.409366,-15.0132
2022-06-01 14:36:40,0.514361,-0.883646
2022-06-01 14:36:41,0.109639,-0.188354
2022-06-01 14:36:42,0,0
2022-06-01 14:36:43,0,0
2022-06-01 14:36:44,0,0
2022-06-01 14:36:45,1.5227,-1.60079
2022-06-01 14:36:46,0.973295,-1.02321
2022-06-01 14:36:47,0,0
2022-06-01 14:36:48,0.381487,-0.655376
2022-06-01 14:36:49,2.55999,-2.85295
2022-06-01 14:36:50,0.178524,-0.187679
2022-06-01 14:36:51,0,0
2022-06-01 14:36:52,0,0
2022-06-01 14:36:53,0,0
2022-06-01 14:36:54,0,0
2022-06-01 14:36:55,0,0
2022-06-01 14:36:56,0,0
2022-06-01 14:36:57,0,0
2022-06-01 14:36:58,0.578382,-0.99363
2022-06-01 14:36:59,0.0456184,-0.0783701
2022-06-01 14:37:00,2.054,-2.15933
2022-06-01 14:37:01,0.441999,-0.464666
2022-06-01 14:37:02,0,0
2022-06-01 14:37:03,1.52833,-1.59691
2022-06-01 14:37:04,0.967668,-1.01109
2022-06-01 14:37:05,0,0
2022-06-01 14:37:06,0,0
2022-06-01 14:37:07,0.325269,-0.558796
2022-06-01 14:37:08,0.298731,-0.513204
2022-06-01 14:37:09,2.0574,-2.16291
2022-06-01 14:37:10,0.438602,-0.461094
2022-06-01 14:37:11,0,0
2022-06-01 14:37:12,0,0
2022-06-01 14:37:13,0,0
2022-06-01 14:37:14,0,0
2022-06-01 14:37:15,0,0
2022-06-01 14:37:16,0,0
2022-06-01 14:37:17,0,0
2022-06-01 14:37:18,0,0
2022-06-01 14:37:19,0,0
2022-06-01 14:37:20,0,0
2022-06-01 14:37:21,0,0
2022-06-01 14:37:22,0,0
2022-06-01 14:37:23,0,-0.401659
2022-06-01 14:37:24,0.382104,-0.509077
2022-06-01 14:37:25,0.758066,-1.04802
2022-06-01 14:37:26,0.10783,-0.185247
2022-06-01 14:37:27,0,0
2022-06-01 14:37:28,0,0
2022-06-01 14:37:29,0,0
2022-06-01 14:37:30,0,0
2022-06-01 14:37:31,0,0
2022-06-01 14:37:32,0,0
2022-06-01 14:37:33,0.378539,-0.650311
2022-06-01 14:37:34,0.24546,-0.421689
2022-06-01 14:37:35,26.6647,-37.0093
2022-06-01 14:37:36,16.8873,-23.4387
2022-06-01 14:37:37,1.30102,-1.3594
2022-06-01 14:37:38,1.19498,-1.2486
2022-06-01 14:37:39,0,0
2022-06-01 14:37:40,1.30115,-1.36788
2022-06-01 14:37:41,1.19485,-1.25612
2022-06-01 14:37:42,0,0
2022-06-01 14:37:43,0.577881,-0.992769
2022-06-01 14:37:44,0.0461194,-0.0792308
2022-06-01 14:37:45,0,0
2022-06-01 14:37:46,0,0
2022-06-01 14:37:47,0,0
2022-06-01 14:37:48,0,0
2022-06-01 14:37:49,0,0
2022-06-01 14:37:50,0,0
2022-06-01 14:37:51,0.325273,-0.558803
2022-06-01 14:37:52,0.298727,-0.513197
2022-06-01 14:37:53,0,0
2022-06-01 14:37:54,0,0
2022-06-01 14:37:55,0,0
2022-06-01 14:37:56,0,0
2022-06-01 14:37:57,0,0
2022-06-01 14:37:58,0,0
2022-06-01 14:37:59,0,0
2022-06-01 14:38:00,0,0
2022-06-01 14:38:01,0,0
2022-06-01 14:38:02,0,0
2022-06-01 14:38:03,0,0
2022-06-01 14:38:04,0,0
2022-06-01 14:38:05,0,0
2022-06-01 14:38:06,0,0
