time,free,used
2022-04-26 12:34:48,13867.5,2141.67
2022-04-26 12:34:47,13867.3,2141.9
2022-04-26 12:34:46,13867.4,2141.81
2022-04-26 12:34:45,13352.2,2656.98
2022-04-26 12:34:44,13352.7,2656.49
2022-04-26 12:34:43,13352.6,2656.61
2022-04-26 12:34:42,13356.1,2653.04
2022-04-26 12:34:41,13376.2,2633.02
2022-04-26 12:34:40,13387.1,2622.06
2022-04-26 12:34:39,13383.6,2625.61
2022-04-26 12:34:38,13558.4,2450.77
2022-04-26 12:34:37,13633.2,2375.95
2022-04-26 12:34:36,13688.8,2320.39
2022-04-26 12:34:35,13731.5,2277.65
2022-04-26 12:34:34,13859.8,2149.36
2022-04-26 12:34:33,13867.3,2141.93
2022-04-26 12:34:32,13869,2140.22
2022-04-26 12:34:31,13869,2140.23
2022-04-26 12:34:30,13869,2140.23
2022-04-26 12:34:29,13869,2140.23
2022-04-26 12:34:28,13869.2,2139.98
2022-04-26 12:34:27,13868.7,2140.45
2022-04-26 12:34:26,13868.3,2140.91
2022-04-26 12:34:25,13867.6,2141.55
2022-04-26 12:34:24,13867.6,2141.55
2022-04-26 12:34:23,13867.4,2141.8
2022-04-26 12:34:22,13867.4,2141.8
2022-04-26 12:34:21,13867.6,2141.55
2022-04-26 12:34:20,13867.1,2142.05
2022-04-26 12:34:19,13867.1,2142.06
2022-04-26 12:34:18,13867.1,2142.06
2022-04-26 12:34:17,13867.1,2142.05
2022-04-26 12:34:16,13857.4,2151.77
2022-04-26 12:34:15,13857.7,2151.46
2022-04-26 12:34:14,13857.6,2151.63
2022-04-26 12:34:13,13857.2,2152
