time,in,out
2022-04-26 12:35:00,74.6001,-82.8134
2022-04-26 12:35:01,69.2679,-74.103
2022-04-26 12:35:02,17.9441,-33.855
2022-04-26 12:35:03,5.52039,-22.0701
2022-04-26 12:35:04,5.44083,-21.6477
2022-04-26 12:35:05,6.9296,-20.746
2022-04-26 12:35:06,8.87566,-25.8162
2022-04-26 12:35:07,5.65278,-22.0126
2022-04-26 12:35:08,4.8765,-18.6343
2022-04-26 12:35:09,5.51888,-22.064
2022-04-26 12:35:10,5.44613,-21.6674
2022-04-26 12:35:11,4.8725,-18.6152
2022-04-26 12:35:12,5.52126,-22.08
2022-04-26 12:35:13,7.15131,-23.4548
2022-04-26 12:35:14,9891.53,-33.6545
2022-04-26 12:35:15,1.14627e+06,-1843.58
2022-04-26 12:35:16,1.78637e+06,-784885
2022-04-26 12:35:17,1.39291e+06,-1.23965e+06
2022-04-26 12:35:18,540422,-415602
2022-04-26 12:35:19,12.8978,-31.8155
2022-04-26 12:35:20,122.491,-48.221
2022-04-26 12:35:21,955334,-1.01282e+06
2022-04-26 12:35:22,3.74379e+06,-2.97814e+06
2022-04-26 12:35:23,3.7416e+06,-4.4892e+06
2022-04-26 12:35:24,1.31369e+06,-1.18584e+06
2022-04-26 12:35:25,270.829,-85451.7
2022-04-26 12:35:26,848.997,-327.094
2022-04-26 12:35:27,24224.8,-23318.9
2022-04-26 12:35:28,2.27857e+06,-2.27822e+06
2022-04-26 12:35:29,6206921,-6.20694e+06
2022-04-26 12:35:30,6.76545e+06,-6765478
2022-04-26 12:35:31,5.31822e+06,-5.31687e+06
2022-04-26 12:35:32,4.50707e+06,-4.50748e+06
2022-04-26 12:35:33,5.38497e+06,-5.38685e+06
2022-04-26 12:35:34,3.19264e+06,-3.19421e+06
2022-04-26 12:35:35,473392,-467930
2022-04-26 12:35:36,183.277,-338.163
