time,free,used
2022-04-26 12:35:36,27096.9,5015.28
2022-04-26 12:35:35,27100,5012.26
2022-04-26 12:35:34,26576.8,5535.45
2022-04-26 12:35:33,26646.5,5465.74
2022-04-26 12:35:32,26646.5,5465.73
2022-04-26 12:35:31,26647.2,5465.01
2022-04-26 12:35:30,26648.7,5463.48
2022-04-26 12:35:29,26649,5463.27
2022-04-26 12:35:28,26649,5463.27
2022-04-26 12:35:27,26651.1,5461.16
2022-04-26 12:35:26,26644.2,5468.07
2022-04-26 12:35:25,26652.6,5459.59
2022-04-26 12:35:24,26689.1,5423.12
2022-04-26 12:35:23,26690.1,5422.15
2022-04-26 12:35:22,26690.6,5421.67
2022-04-26 12:35:21,26694.1,5418.16
2022-04-26 12:35:20,26694.6,5417.58
2022-04-26 12:35:19,26701.7,5410.52
2022-04-26 12:35:18,26739.6,5372.6
2022-04-26 12:35:17,26739.8,5372.39
2022-04-26 12:35:16,26740.2,5372.08
2022-04-26 12:35:15,26740.7,5371.52
2022-04-26 12:35:14,26784,5328.21
2022-04-26 12:35:13,26809.1,5303.18
2022-04-26 12:35:12,26809.1,5303.12
2022-04-26 12:35:11,26809.1,5303.16
2022-04-26 12:35:10,26808.8,5303.4
2022-04-26 12:35:09,26809.1,5303.17
2022-04-26 12:35:08,26808.1,5304.13
2022-04-26 12:35:07,26808.2,5304.06
2022-04-26 12:35:06,26802.1,5310.16
2022-04-26 12:35:05,26801.9,5310.33
2022-04-26 12:35:04,26806.4,5305.85
2022-04-26 12:35:03,26879.2,5232.99
2022-04-26 12:35:02,26979.7,5132.51
2022-04-26 12:35:01,27085.4,5026.81
2022-04-26 12:35:00,27095.1,5017.14
