time,in,out
2022-05-30 17:56:50,2438.917,-33.81795
2022-05-30 17:56:49,637.0014,-30.294
2022-05-30 17:56:48,49.42538,-17.78203
2022-05-30 17:56:47,140.65586,-54.62499
2022-05-30 17:56:46,75.76866,-33.20023
2022-05-30 17:56:45,41.71818,-17.97177
2022-05-30 17:56:44,29.30965,-14.190507
2022-05-30 17:56:43,30.61802,-13.688281
2022-05-30 17:56:42,49.36117,-23.35885
2022-05-30 17:56:41,39.62488,-32.55323
2022-05-30 17:56:40,64.44619,-57.61095
2022-05-30 17:56:39,50.9128,-32.36413
2022-05-30 17:56:38,65.31077,-36.95941
2022-05-30 17:56:37,50.35658,-28.65134
2022-05-30 17:56:36,51.48144,-29.61538
2022-05-30 17:56:35,52.22789,-28.91979
2022-05-30 17:56:34,151.73534,-1597.2727
2022-05-30 17:56:33,233.7155,-2353.393
2022-05-30 17:56:32,193.1532,-624.3197
2022-05-30 17:56:31,93.71978,-38.17378
2022-05-30 17:56:30,54.97162,-20.13554
2022-05-30 17:56:29,47.91285,-14.684678
2022-05-30 17:56:28,61.69508,-85.6703
2022-05-30 17:56:27,62.50885,-72.81363
2022-05-30 17:56:26,46.33075,-52.4802
2022-05-30 17:56:25,72.61583,-54.03601
2022-05-30 17:56:24,72.45452,-33.38938
2022-05-30 17:56:23,68.02309,-29.481
2022-05-30 17:56:22,78.22137,-75.66615
2022-05-30 17:56:21,104.77553,-137.08957
2022-05-30 17:56:20,71.01961,-56.48261
2022-05-30 17:56:19,90.83852,-82.36475
2022-05-30 17:56:18,92.02072,-90.91715
2022-05-30 17:56:17,83.72861,-91.13654
2022-05-30 17:56:16,64.83752,-51.4339
2022-05-30 17:56:15,88.42874,-97.37225
2022-05-30 17:56:14,65.66583,-64.54874
2022-05-30 17:56:13,60.31585,-64.26211
2022-05-30 17:56:12,105.93818,-113.56775
2022-05-30 17:56:11,86.75617,-65.36337
2022-05-30 17:56:10,79.67496,-52.69231
2022-05-30 17:56:09,60.74981,-25.60802
2022-05-30 17:56:08,53.28441,-36.73557
2022-05-30 17:56:07,74.95159,-98.52246
2022-05-30 17:56:06,84.5126,-91.61966
2022-05-30 17:56:05,103.16705,-99.65431
2022-05-30 17:56:04,98.23003,-88.86866
2022-05-30 17:56:03,70.37931,-34.26449
2022-05-30 17:56:02,71.10746,-55.47919
2022-05-30 17:56:01,77.25621,-99.15592
2022-05-30 17:56:00,83.39548,-92.73692
2022-05-30 17:55:59,60.46651,-55.65579
2022-05-30 17:55:58,95.84149,-96.66582
2022-05-30 17:55:57,101.74505,-59.32878
2022-05-30 17:55:56,76.43338,-66.32058
2022-05-30 17:55:55,60.87491,-48.34084
2022-05-30 17:55:54,82.08718,-64.5754
2022-05-30 17:55:53,59.45247,-48.53962
2022-05-30 17:55:52,81.0775,-80.94964
2022-05-30 17:55:51,93.3104,-113.80096
2022-05-30 17:55:50,89.10538,-65.03271
2022-05-30 17:55:49,75.28488,-50.56176
2022-05-30 17:55:48,60.75058,-34.27173
2022-05-30 17:55:47,65.09534,-74.15334
2022-05-30 17:55:46,63.37552,-57.7703
2022-05-30 17:55:45,78.53239,-74.32763
2022-05-30 17:55:44,79.74879,-71.09002
2022-05-30 17:55:43,83.16274,-80.99485
2022-05-30 17:55:42,86.95264,-65.79085
2022-05-30 17:55:41,61.36556,-45.23143
2022-05-30 17:55:40,73.29328,-83.2515
2022-05-30 17:55:39,59.78993,-45.92934
2022-05-30 17:55:38,62.84095,-49.08769
2022-05-30 17:55:37,86.51063,-66.5959
2022-05-30 17:55:36,94.28721,-95.59278
2022-05-30 17:55:35,75.50706,-68.70389
2022-05-30 17:55:34,74.69519,-40.05408
2022-05-30 17:55:33,73.17367,-59.64323
2022-05-30 17:55:32,80.34623,-109.51746
2022-05-30 17:55:31,100.09089,-104.5139
2022-05-30 17:55:30,108.37787,-96.47707
2022-05-30 17:55:29,81.95786,-83.00028
2022-05-30 17:55:28,110.35148,-109.31926
2022-05-30 17:55:27,84.06785,-65.38046
2022-05-30 17:55:26,79.79274,-85.67357
2022-05-30 17:55:25,89.96482,-93.96276
2022-05-30 17:55:24,89.85569,-59.40981
2022-05-30 17:55:23,84.9999,-79.61469
2022-05-30 17:55:22,96.34674,-119.98849
2022-05-30 17:55:21,98.64143,-74.89499
2022-05-30 17:55:20,87.0769,-47.94782
2022-05-30 17:55:19,99.04138,-60.55809
2022-05-30 17:55:18,135.44484,-185.4541
2022-05-30 17:55:17,91.6195,-113.35846
2022-05-30 17:55:16,115.3742,-124.16711
2022-05-30 17:55:15,123.59198,-174.2099
2022-05-30 17:55:14,93.38205,-92.43095
2022-05-30 17:55:13,115.70964,-67.73575
2022-05-30 17:55:12,109.30758,-88.44359
2022-05-30 17:55:11,83.47188,-83.808
2022-05-30 17:55:10,113.11904,-118.13396
2022-05-30 17:55:09,114.07623,-103.72341
2022-05-30 17:55:08,130.90001,-150.63925
2022-05-30 17:55:07,154.4274,-167.9898
2022-05-30 17:55:06,143.11304,-128.63961
2022-05-30 17:55:05,125.67838,-166.15684
2022-05-30 17:55:04,104.93558,-111.65416
2022-05-30 17:55:03,126.56028,-160.886
2022-05-30 17:55:02,124.91435,-131.47058
2022-05-30 17:55:01,138.52478,-143.05213
2022-05-30 17:55:00,154.90901,-125.42701
2022-05-30 17:54:59,107.92445,-47.3759
2022-05-30 17:54:58,124.50016,-90.15691
2022-05-30 17:54:57,162.48909,-200.6908
2022-05-30 17:54:56,138.40967,-209.3488
2022-05-30 17:54:55,116.42261,-114.09112
2022-05-30 17:54:54,127.36601,-120.94825
2022-05-30 17:54:53,137.62991,-145.27937
2022-05-30 17:54:52,131.75744,-116.08512
2022-05-30 17:54:51,114.08953,-101.42156
2022-05-30 17:54:50,120.55873,-143.02266
2022-05-30 17:54:49,135.1541,-114.90746
2022-05-30 17:54:48,134.16844,-116.32317
2022-05-30 17:54:47,133.05141,-154.19412
2022-05-30 17:54:46,118.10063,-145.1341
2022-05-30 17:54:45,154.92646,-176.4391
2022-05-30 17:54:44,128.45733,-123.15201
2022-05-30 17:54:43,125.88408,-108.56897
2022-05-30 17:54:42,118.57089,-113.99885
2022-05-30 17:54:41,108.43538,-108.25488
2022-05-30 17:54:40,125.52494,-119.84889
2022-05-30 17:54:39,141.85523,-205.8607
2022-05-30 17:54:38,130.13452,-96.33589
2022-05-30 17:54:37,118.39334,-105.98174
2022-05-30 17:54:36,142.77794,-164.69296
2022-05-30 17:54:35,128.27037,-171.9451
2022-05-30 17:54:34,108.12923,-114.62652
2022-05-30 17:54:33,129.93173,-136.7732
2022-05-30 17:54:32,128.80317,-146.32941
2022-05-30 17:54:31,125.80438,-103.1032
2022-05-30 17:54:30,121.56213,-80.69507
2022-05-30 17:54:29,137.3145,-165.97552
2022-05-30 17:54:28,131.35468,-111.33301
2022-05-30 17:54:27,122.78002,-126.97746
2022-05-30 17:54:26,172.9117,-207.6351
2022-05-30 17:54:25,138.28383,-111.33342
2022-05-30 17:54:24,125.34999,-124.81693
2022-05-30 17:54:23,121.62596,-133.91791
2022-05-30 17:54:22,120.45379,-149.72324
2022-05-30 17:54:21,129.73108,-149.16462
2022-05-30 17:54:20,103.44205,-118.15296
2022-05-30 17:54:19,125.12598,-114.16211
2022-05-30 17:54:18,121.95911,-123.81852
2022-05-30 17:54:17,166.73181,-139.95358
2022-05-30 17:54:16,126.70177,-94.9948
2022-05-30 17:54:15,115.68844,-80.58956
2022-05-30 17:54:14,133.44202,-159.67999
2022-05-30 17:54:13,136.74796,-186.942
2022-05-30 17:54:12,147.97588,-195.0273
2022-05-30 17:54:11,137.74547,-109.86826
2022-05-30 17:54:10,123.77212,-136.54718
2022-05-30 17:54:09,140.25812,-137.7929
2022-05-30 17:54:08,89.09954,-60.34673
2022-05-30 17:54:07,136.92554,-174.7061
2022-05-30 17:54:06,115.70433,-116.72174
2022-05-30 17:54:05,98.77816,-99.00696
2022-05-30 17:54:04,137.59522,-131.277
2022-05-30 17:54:03,175.5852,-154.38308
2022-05-30 17:54:02,129.71371,-93.27824
2022-05-30 17:54:01,131.82636,-125.01294
2022-05-30 17:54:00,132.00541,-168.1039
2022-05-30 17:53:59,129.85751,-172.3607
2022-05-30 17:53:58,118.32505,-145.68669
2022-05-30 17:53:57,162.88415,-179.9397
2022-05-30 17:53:56,137.06895,-114.22888
2022-05-30 17:53:55,106.49522,-63.58201
2022-05-30 17:53:54,108.20255,-73.10334
2022-05-30 17:53:53,144.17946,-208.5709
2022-05-30 17:53:52,118.39253,-141.74495
2022-05-30 17:53:51,125.46561,-117.14093
2022-05-30 17:53:50,117.1936,-113.46146
2022-05-30 17:53:49,141.55278,-120.82008
2022-05-30 17:53:48,125.0408,-113.09248
2022-05-30 17:53:47,130.9781,-148.52064
2022-05-30 17:53:46,131.83967,-110.31402
2022-05-30 17:53:45,144.11383,-174.8055
2022-05-30 17:53:44,131.50962,-164.56045
2022-05-30 17:53:43,147.65106,-147.16797
2022-05-30 17:53:42,136.48641,-152.09456
2022-05-30 17:53:41,121.56169,-123.32974
2022-05-30 17:53:40,115.22877,-103.55606
2022-05-30 17:53:39,113.59643,-128.87668
2022-05-30 17:53:38,111.90677,-123.76262
2022-05-30 17:53:37,115.22313,-119.77157
2022-05-30 17:53:36,148.94337,-144.75865
2022-05-30 17:53:35,143.76876,-88.43001
2022-05-30 17:53:34,131.63935,-83.76805
2022-05-30 17:53:33,123.87298,-141.2475
2022-05-30 17:53:32,118.10108,-130.48377
2022-05-30 17:53:31,146.67105,-202.3939
2022-05-30 17:53:30,153.49792,-215.308
2022-05-30 17:53:29,124.92205,-143.54086
2022-05-30 17:53:28,100.75353,-83.46159
2022-05-30 17:53:27,114.22099,-75.26213
2022-05-30 17:53:26,114.44429,-114.85453
2022-05-30 17:53:25,148.42012,-158.8955
2022-05-30 17:53:24,124.35989,-110.38868
2022-05-30 17:53:23,95.13653,-73.77044
2022-05-30 17:53:22,142.58978,-126.53591
2022-05-30 17:53:21,192.3867,-189.1798
2022-05-30 17:53:20,129.53842,-108.67782
2022-05-30 17:53:19,101.96868,-96.93087
2022-05-30 17:53:18,153.6179,-233.4433
2022-05-30 17:53:17,111.46415,-142.37446
2022-05-30 17:53:16,139.50989,-162.74902
2022-05-30 17:53:15,140.58353,-143.24913
2022-05-30 17:53:14,104.04123,-61.33565
2022-05-30 17:53:13,122.42921,-63.68612
2022-05-30 17:53:12,144.70404,-151.55621
2022-05-30 17:53:11,134.12786,-191.3459
2022-05-30 17:53:10,138.60676,-167.8155
