time,in,out
2022-05-30 17:57:09,20363.4,-53.2906
2022-05-30 17:57:10,1325.42,-44.4698
2022-05-30 17:57:11,1886.64,-23.5302
2022-05-30 17:57:12,174.863,-80.6786
2022-05-30 17:57:13,595.886,-74.0335
2022-05-30 17:57:14,24917.1,-476.541
2022-05-30 17:57:15,22680.5,-244.747
2022-05-30 17:57:16,12956.3,0
2022-05-30 17:57:17,8995.94,-866.664
2022-05-30 17:57:18,8083.48,-900.102
2022-05-30 17:57:19,6476.74,-1003.33
2022-05-30 17:57:20,2130.34,-113.903
2022-05-30 17:57:21,23292.2,-1476.78
2022-05-30 17:57:22,104640,-1573.98
2022-05-30 17:57:23,53411.7,-505.939
2022-05-30 17:57:24,10624.6,-346.852
2022-05-30 17:57:25,17234.7,-2424.63
2022-05-30 17:57:26,20875.1,-1162.2
2022-05-30 17:57:27,18643.7,-832.798
2022-05-30 17:57:28,76545.8,-1540.8
2022-05-30 17:57:29,186114,-6568.02
2022-05-30 17:57:30,323572,-108.47
2022-05-30 17:57:31,615490,-162.054
2022-05-30 17:57:32,850961,-273.437
2022-05-30 17:57:33,1.12845e+06,-416.766
2022-05-30 17:57:34,1.03266e+06,-186.714
2022-05-30 17:57:35,650564,-536.112
2022-05-30 17:57:36,218832,-639.033
2022-05-30 17:57:37,5284.19,-361.415
2022-05-30 17:57:38,42296.1,-77.8599
2022-05-30 17:57:39,73074.3,-494.685
2022-05-30 17:57:40,116214,-831.203
2022-05-30 17:57:41,168993,-362.111
2022-05-30 17:57:42,238494,-851.811
2022-05-30 17:57:43,206244,-126.731
2022-05-30 17:57:44,151676,-613.705
2022-05-30 17:57:45,256549,-811.325
2022-05-30 17:57:46,483524,-3440.33
2022-05-30 17:57:47,876998,-532.937
2022-05-30 17:57:48,1.02178e+06,-1484
2022-05-30 17:57:49,852865,-1172.21
2022-05-30 17:57:50,553161,-555.999
2022-05-30 17:57:51,265964,-1001.31
2022-05-30 17:57:52,167371,-2437.11
2022-05-30 17:57:53,232348,-1619.93
2022-05-30 17:57:54,172154,-1074.36
2022-05-30 17:57:55,74759.1,-690.57
2022-05-30 17:57:56,38886,-679.851
2022-05-30 17:57:57,54752.1,-406.599
2022-05-30 17:57:58,107593,-710.365
2022-05-30 17:57:59,263028,-390.559
2022-05-30 17:58:00,590507,-359.108
2022-05-30 17:58:01,898551,-160.022
2022-05-30 17:58:02,972379,-259.485
2022-05-30 17:58:03,832491,-394.26
2022-05-30 17:58:04,678070,-558.702
2022-05-30 17:58:05,425183,-611.571
2022-05-30 17:58:06,92418.8,-659.213
2022-05-30 17:58:07,8526.1,-1445
2022-05-30 17:58:08,42105.9,-906.39
2022-05-30 17:58:09,59652.4,-623.97
2022-05-30 17:58:10,88649.7,-451.352
2022-05-30 17:58:11,145177,-217.365
2022-05-30 17:58:12,298128,-159.487
2022-05-30 17:58:13,432634,-1588.66
2022-05-30 17:58:14,651956,-900.023
2022-05-30 17:58:15,797126,-120.882
2022-05-30 17:58:16,864522,-856.317
2022-05-30 17:58:17,678243,-2606.67
2022-05-30 17:58:18,458161,-981.567
2022-05-30 17:58:19,356516,-669.179
2022-05-30 17:58:20,178041,-537.295
2022-05-30 17:58:21,72064.8,-636.998
