time,in,out
2022-05-30 18:22:06,0,0
2022-05-30 18:22:05,0,0
2022-05-30 18:22:04,1.3846243,-5.538497
2022-05-30 18:22:03,3.995622,-301.6934
2022-05-30 18:22:02,2.619754,-552.7681
2022-05-30 18:22:01,0,0
2022-05-30 18:22:00,6.920865,-441.5512
2022-05-30 18:21:59,22.69858,-986.9858
2022-05-30 18:21:58,967.7374,-317.6047
2022-05-30 18:21:57,2184.146,-139.44383
2022-05-30 18:21:56,980.1398,-170.4145
2022-05-30 18:21:55,2148.746,-5398.103
2022-05-30 18:21:54,6453.902,-10245.918
2022-05-30 18:21:53,7099,-111.99669
2022-05-30 18:21:52,1879.697,-67.98175
2022-05-30 18:21:51,1094.2179,-52.28394
2022-05-30 18:21:50,5230.801,-99.71606
2022-05-30 18:21:49,9499.992,-180.4257
2022-05-30 18:21:48,0,-343.5743
2022-05-30 18:21:47,0,-33.05976
2022-05-30 18:21:46,0,-62.94024
2022-05-30 18:21:45,28.85171,-68.69454
2022-05-30 18:21:44,55.14829,-136.80605
2022-05-30 18:21:43,2.759222,-10.499409
2022-05-30 18:21:42,2796.155,-69.08203
2022-05-30 18:21:41,88794.59,-130.91797
2022-05-30 18:21:40,191989.5,-97.86575
2022-05-30 18:21:39,88146.75,-261.1254
2022-05-30 18:21:38,63540.25,-141.00882
2022-05-30 18:21:37,25278,-41.18807
2022-05-30 18:21:36,0,-103.5271
2022-05-30 18:21:35,41716.68,-594.4837
2022-05-30 18:21:34,116781.58,-1083.7573
2022-05-30 18:21:33,133843.58,-81.04379
2022-05-30 18:21:32,163999.43,-39.95792
2022-05-30 18:21:31,105788.09,-76.04208
2022-05-30 18:21:30,60738.86,-95.08197
2022-05-30 18:21:29,46400.4,-255.6239
2022-05-30 18:21:28,23372.13,-141.2941
2022-05-30 18:21:27,4023.246,-49.63044
2022-05-30 18:21:26,0,-94.36956
2022-05-30 18:21:25,7147.321,-35.72286
2022-05-30 18:21:24,63565.82,-308.6746
2022-05-30 18:21:23,167461.8,-471.9607
2022-05-30 18:21:22,189619.6,-48.35312
2022-05-30 18:21:21,135992.68,-47.2887
2022-05-30 18:21:20,84143.99,0
2022-05-30 18:21:19,36280.72,-680.3062
2022-05-30 18:21:18,19796.08,-1470.5096
2022-05-30 18:21:17,0,-409.2323
2022-05-30 18:21:16,0,-102.9612
2022-05-30 18:21:15,5014.153,-22.37012
2022-05-30 18:21:14,37463.8,-104.62417
2022-05-30 18:21:13,96360.4,-300.7179
2022-05-30 18:21:12,144997.67,-219.2687
2022-05-30 18:21:11,181206,-34.00985
2022-05-30 18:21:10,153675.5,0
2022-05-30 18:21:09,78106.96,-79.88847
2022-05-30 18:21:08,10427.508,-206.1985
2022-05-30 18:21:07,0,-147.74161
2022-05-30 18:21:06,0,-86.17141
2022-05-30 18:21:05,0,-12.412584
2022-05-30 18:21:04,14669.748,-146.8277
2022-05-30 18:21:03,72955.56,-784.5805
2022-05-30 18:21:02,135638.98,-1112.8862
2022-05-30 18:21:01,147138.79,-115.29303
2022-05-30 18:21:00,151949.23,0
2022-05-30 18:20:59,128524.07,0
2022-05-30 18:20:58,59595.63,-136.50828
2022-05-30 18:20:57,0,-317.4216
2022-05-30 18:20:56,0,-110.07017
2022-05-30 18:20:55,0,0
2022-05-30 18:20:54,0,-12.452604
2022-05-30 18:20:53,36914.2,-235.3717
2022-05-30 18:20:52,118930.55,-463.6822
2022-05-30 18:20:51,149700.61,-120.49342
2022-05-30 18:20:50,164919.34,0
2022-05-30 18:20:49,148934.45,0
2022-05-30 18:20:48,78780.84,-1003.0759
2022-05-30 18:20:47,13584.014,-1947.828
2022-05-30 18:20:46,0,-91.86647
2022-05-30 18:20:45,0,-5.22957
2022-05-30 18:20:44,0,-12.380451
2022-05-30 18:20:43,22401.22,-150.4215
2022-05-30 18:20:42,93517.7,-324.2323
2022-05-30 18:20:41,145510.8,-194.29
2022-05-30 18:20:40,120117.65,-70.67572
2022-05-30 18:20:39,104512.73,0
2022-05-30 18:20:38,134831.42,-128.76494
2022-05-30 18:20:37,72372.19,-301.1913
2022-05-30 18:20:36,19860.29,-495.0648
2022-05-30 18:20:35,0,-725.7598
2022-05-30 18:20:34,0,-28.66963
2022-05-30 18:20:33,14590.366,-196.3601
2022-05-30 18:20:32,70132.51,-814.1787
