time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-05-30 20:35:21,0,0,0.2506266,0.5012531,0,6.516291,3.007519,0,0.5012531
2022-05-30 20:35:20,0,0,0,0,0,0.5025126,0,0,0
2022-05-30 20:35:19,0,0,0,0,0,0,0.2512563,0,0
2022-05-30 20:35:18,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-05-30 20:35:17,0,0,0,0.2512563,0,0.5025126,0.2512563,0,0
2022-05-30 20:35:16,0,0,0,0,0,0.25,0.25,0,0
2022-05-30 20:35:15,0,0,1.2755102,1.2755102,0,52.55102,6.122449,0,0
2022-05-30 20:35:14,0,0,0.75,2.5,0,53.5,7,0,0
2022-05-30 20:35:13,0,0,1.0126582,1.2658228,0,70.12658,5.063291,0,0.2531646
2022-05-30 20:35:12,0,0,2.067183,2.067183,0,74.4186,4.909561,0,0
2022-05-30 20:35:11,0,0,4.79798,1.5151515,0,77.52525,7.828283,0,0.2525253
2022-05-30 20:35:10,0,0,0.7518797,1.0025063,0,56.39098,2.005013,0,0
2022-05-30 20:35:09,0,0,0,0,0,0,0,0,0
2022-05-30 20:35:08,0,0,0,0,0,0.25,0.75,0,0
2022-05-30 20:35:07,0,0,0,0,0,0.2518892,0.2518892,0,0
2022-05-30 20:35:06,0,0,1.2531328,1.754386,0,19.04762,2.005013,0,0
2022-05-30 20:35:05,0,0,1.5,1.75,0,22,3,0,0.25
2022-05-30 20:35:04,0,0,0.75,1,0,21.25,0.75,0,0
2022-05-30 20:35:03,0,0,0.5,1.25,0,28.5,1,0,0
2022-05-30 20:35:02,0,0,0.5050505,1.2626263,0,36.61616,0.7575758,0,0
2022-05-30 20:35:01,0,0,1.2594458,1.0075567,0,39.04282,1.511335,0,0.5037783
2022-05-30 20:35:00,0,0,0.2493766,1.2468828,0,23.94015,1.4962594,0,0
2022-05-30 20:34:59,0,0,0.4987531,0.9975062,0,5.486284,0.7481297,0,0
2022-05-30 20:34:58,0,0,0,0,0,0.4987531,0.7481297,0,0
2022-05-30 20:34:57,0,0,0.243309,3.163017,0,28.46715,2.676399,0,0
2022-05-30 20:34:56,0,0,1.25,1,0,59.25,6.75,0,0
2022-05-30 20:34:55,0,0,2.512563,0.5025126,0,86.68342,8.040201,0,0
2022-05-30 20:34:54,0,0,2.512563,1.0050251,0,86.93467,7.788945,0,0
2022-05-30 20:34:53,0,0,2.770781,0.5037783,0,87.15365,7.304786,0,0
2022-05-30 20:34:52,0,0,2.512563,0.7537688,0,86.43216,7.286432,0,0
2022-05-30 20:34:51,0,0,2.722772,1.2376238,0,87.62376,7.178218,0,0
2022-05-30 20:34:50,0,0,2.763819,1.0050251,0,84.92462,8.291457,0,0
2022-05-30 20:34:49,0,0,2.512563,1.0050251,0,87.18593,6.281407,0,0
2022-05-30 20:34:48,0,0,2.756892,1.754386,0,87.21805,6.766917,0,0
2022-05-30 20:34:47,0,0,2.756892,1.2531328,0,87.21805,6.766917,0,0
2022-05-30 20:34:46,0,0,2.736318,0.9950249,0,87.81095,6.467662,0,0
2022-05-30 20:34:45,0,0,2.512563,0.5025126,0,88.94472,6.281407,0,0
2022-05-30 20:34:44,0,0,2.743142,0.9975062,0,84.78803,8.72818,0,0
2022-05-30 20:34:43,0,0,2.763819,1.0050251,0,85.42714,7.788945,0,0
2022-05-30 20:34:42,0,0,2.777778,0.7575758,0,86.11111,8.838384,0,0
2022-05-30 20:34:41,0,0,2.756892,1.5037594,0,86.71679,7.518797,0,0
2022-05-30 20:34:40,0,0,2.777778,0.2525253,0,87.12121,6.060606,0,0
2022-05-30 20:34:39,0,0,2.518892,0.7556675,0,86.1461,8.816121,0,0
2022-05-30 20:34:38,0,0,2.75,1,0,87,7.5,0,0
2022-05-30 20:34:37,0,0,2.506266,0.2506266,0,87.21805,6.516291,0,0
2022-05-30 20:34:36,0,0,2.78481,1.5189873,0,88.60759,5.316456,0,0
2022-05-30 20:34:35,0,0,2.736318,0.7462687,0,89.30348,6.467662,0,0
2022-05-30 20:34:34,0,0,2.48139,2.233251,0,84.11911,5.707196,0,0
2022-05-30 20:34:33,0,0,2.531646,0.5063291,0,88.35443,7.088608,0,0
2022-05-30 20:34:32,0,0,2.763819,1.758794,0,87.43719,6.78392,0,0
2022-05-30 20:34:31,0,0,2.25,1.25,0,85.5,7.5,0,0.25
2022-05-30 20:34:30,0,0,2.736318,0.4975124,0,87.81095,7.21393,0,0
2022-05-30 20:34:29,0,0,2.777778,0.7575758,0,89.14141,5.808081,0,0
2022-05-30 20:34:28,0,0,3.045685,1.0152284,0,86.29442,7.86802,0,0
2022-05-30 20:34:27,0,0,2.736318,0.9950249,0,87.31343,7.21393,0,0
2022-05-30 20:34:26,0,0,2.756892,2.005013,0,85.71429,8.02005,0,0
2022-05-30 20:34:25,0,0,2.992519,1.4962594,0,86.53367,6.483791,0,0
2022-05-30 20:34:24,0,0,2.261307,0.7537688,0,88.19095,6.78392,0,0
2022-05-30 20:34:23,0,0,3.007519,1.2531328,0,85.46366,8.77193,0,0
2022-05-30 20:34:22,0,0,2.75,1,0,87.75,5.75,0,0
2022-05-30 20:34:21,0,0,2.518892,0.7556675,0,87.65743,7.052897,0,0
2022-05-30 20:34:20,0,0,2.756892,0.7518797,0,87.7193,7.26817,0,0
2022-05-30 20:34:19,0,0,2.756892,0.5012531,0,87.7193,6.766917,0,0
2022-05-30 20:34:18,0,0,2.763819,0.5025126,0,89.19598,6.281407,0,0
2022-05-30 20:34:17,0,0,2.75,1.5,0,87.5,6.75,0,0
2022-05-30 20:34:16,0,0,2.55102,0.7653061,0,85.20408,7.397959,0,0
