time,free,used
2022-05-30 20:24:02,66452.6,13593.4
2022-05-30 20:24:03,66453,13592.9
2022-05-30 20:24:04,66460.1,13585.7
2022-05-30 20:24:05,66460.3,13585.7
2022-05-30 20:24:06,66468.1,13577.7
2022-05-30 20:24:07,66469.1,13576.9
2022-05-30 20:24:08,66469.7,13576.3
2022-05-30 20:24:09,66470.2,13575.8
2022-05-30 20:24:10,66470.6,13575.5
2022-05-30 20:24:11,66470.6,13575.5
2022-05-30 20:24:12,66470.5,13575.5
2022-05-30 20:24:13,66471.3,13574.7
2022-05-30 20:24:14,66471.5,13574.5
2022-05-30 20:24:15,66472,13574
2022-05-30 20:24:16,66471.8,13574.2
2022-05-30 20:24:17,66472.5,13573.4
2022-05-30 20:24:18,66470.7,13575.3
2022-05-30 20:24:19,66470.9,13575
2022-05-30 20:24:20,66405.8,13640.1
2022-05-30 20:24:21,66320.9,13724.9
2022-05-30 20:24:22,66245,13801
2022-05-30 20:24:23,66214.4,13831.6
2022-05-30 20:24:24,66017.7,14028.2
2022-05-30 20:24:25,65825.4,14220.5
2022-05-30 20:24:26,65419.6,14626.4
2022-05-30 20:24:27,65235.7,14810.2
2022-05-30 20:24:28,65090.6,14955.3
2022-05-30 20:24:29,64805.4,15240.5
2022-05-30 20:24:30,64417.6,15628.4
2022-05-30 20:24:31,63712.4,16333.5
2022-05-30 20:24:32,63682.4,16363.6
2022-05-30 20:24:33,63638.3,16407.7
2022-05-30 20:24:34,63563.9,16482
2022-05-30 20:24:35,63539.6,16506.3
2022-05-30 20:24:36,63523.8,16522.1
2022-05-30 20:24:37,63517.9,16528.1
2022-05-30 20:24:38,63508.1,16537.8
2022-05-30 20:24:39,63495.9,16550
2022-05-30 20:24:40,63487.5,16558.4
2022-05-30 20:24:41,63483,16562.9
2022-05-30 20:24:42,63475.3,16570.7
2022-05-30 20:24:43,63464.4,16581.6
2022-05-30 20:24:44,63459.6,16586.3
2022-05-30 20:24:45,63455.7,16590.3
2022-05-30 20:24:46,63441.8,16604.1
2022-05-30 20:24:47,63435.9,16610
2022-05-30 20:24:48,63432.6,16613.4
2022-05-30 20:24:49,63417.6,16628.3
2022-05-30 20:24:50,63410.8,16635.1
2022-05-30 20:24:51,63404.7,16641.3
2022-05-30 20:24:52,63396.7,16649.1
2022-05-30 20:24:53,63389,16656.8
2022-05-30 20:24:54,63385.7,16660.2
2022-05-30 20:24:55,63376.3,16669.5
2022-05-30 20:24:56,63365.1,16680.8
2022-05-30 20:24:57,63364.6,16681.3
2022-05-30 20:24:58,63356,16689.9
2022-05-30 20:24:59,63346,16699.9
2022-05-30 20:25:00,63336.3,16709.5
2022-05-30 20:25:01,63332.7,16713.2
2022-05-30 20:25:02,63322.6,16723.4
2022-05-30 20:25:03,63314.8,16731.1
2022-05-30 20:25:04,63301.6,16744.4
2022-05-30 20:25:05,63292.4,16753.5
2022-05-30 20:25:06,63285.4,16760.6
2022-05-30 20:25:07,63277.1,16768.8
2022-05-30 20:25:08,63269.1,16776.9
2022-05-30 20:25:09,63272.3,16773.6
2022-05-30 20:25:10,63265,16780.8
2022-05-30 20:25:11,63258.7,16787.3
2022-05-30 20:25:12,63250.5,16795.4
2022-05-30 20:25:13,63243.3,16802.8
2022-05-30 20:25:14,63234.7,16811.2
2022-05-30 20:25:15,63230.6,16815.4
2022-05-30 20:25:16,63220.6,16825.2
2022-05-30 20:25:17,63213.9,16832
2022-05-30 20:25:18,63209.2,16836.8
2022-05-30 20:25:19,63196.2,16849.8
2022-05-30 20:25:20,63188.6,16857.3
2022-05-30 20:25:21,63183.1,16862.9
2022-05-30 20:25:22,63176.5,16869.5
2022-05-30 20:25:23,63172,16874
2022-05-30 20:25:24,63164.5,16881.4
2022-05-30 20:25:25,63157.3,16888.6
2022-05-30 20:25:26,63156.7,16889.3
2022-05-30 20:25:27,63151.9,16894.1
2022-05-30 20:25:28,63141.9,16904
2022-05-30 20:25:29,63138.9,16907
2022-05-30 20:25:30,63131.3,16914.5
2022-05-30 20:25:31,63128.4,16917.4
2022-05-30 20:25:32,63122.6,16923.4
2022-05-30 20:25:33,63117.5,16928.4
2022-05-30 20:25:34,63107.5,16938.4
2022-05-30 20:25:35,63101.3,16944.6
2022-05-30 20:25:36,63094.7,16951.2
2022-05-30 20:25:37,63085,16961
2022-05-30 20:25:38,63078.5,16967.4
2022-05-30 20:25:39,63073,16973
2022-05-30 20:25:40,63061.6,16984.4
2022-05-30 20:25:41,63054.7,16991.3
2022-05-30 20:25:42,63047.7,16998.2
2022-05-30 20:25:43,63038.8,17007.1
2022-05-30 20:25:44,63031.3,17014.6
2022-05-30 20:25:45,63033.9,17012
2022-05-30 20:25:46,63025.8,17020
2022-05-30 20:25:47,63023.3,17022.7
2022-05-30 20:25:48,63014.2,17031.9
2022-05-30 20:25:49,63007,17038.9
2022-05-30 20:25:50,63000.4,17045.5
2022-05-30 20:25:51,63001.7,17044.2
2022-05-30 20:25:52,62990.4,17055.5
2022-05-30 20:25:53,62991.2,17054.8
2022-05-30 20:25:54,62981.4,17064.5
2022-05-30 20:25:55,62976,17069.9
2022-05-30 20:25:56,62963.2,17082.7
2022-05-30 20:25:57,62953.7,17092.3
2022-05-30 20:25:58,62948.4,17097.5
2022-05-30 20:25:59,62944.9,17101.1
2022-05-30 20:26:00,62935,17111
2022-05-30 20:26:01,62929.4,17116.5
2022-05-30 20:26:02,62921.5,17124.4
2022-05-30 20:26:03,62918.1,17127.9
2022-05-30 20:26:04,62909.6,17136.3
2022-05-30 20:26:05,62905.2,17140.6
2022-05-30 20:26:06,62901.8,17144
2022-05-30 20:26:07,62894.2,17151.6
2022-05-30 20:26:08,62888.2,17157.8
2022-05-30 20:26:09,62885.7,17160.1
2022-05-30 20:26:10,62881.3,17164.7
2022-05-30 20:26:11,62873.5,17172.4
2022-05-30 20:26:12,62860.9,17185
2022-05-30 20:26:13,62860.1,17185.9
2022-05-30 20:26:14,62856,17190
2022-05-30 20:26:15,62851.3,17194.7
2022-05-30 20:26:16,62846.3,17199.7
2022-05-30 20:26:17,62840.5,17205.5
2022-05-30 20:26:18,62831.6,17214.3
2022-05-30 20:26:19,62829.3,17216.6
2022-05-30 20:26:20,62820.8,17225.1
2022-05-30 20:26:21,62815.5,17230.5
2022-05-30 20:26:22,62813.6,17232.4
2022-05-30 20:26:23,62806.2,17239.6
2022-05-30 20:26:24,62798.8,17247.1
2022-05-30 20:26:25,62794.6,17251.2
2022-05-30 20:26:26,62788.2,17257.8
2022-05-30 20:26:27,62776.2,17269.8
2022-05-30 20:26:28,62773.4,17272.6
2022-05-30 20:26:29,62769.2,17276.8
2022-05-30 20:26:30,62765.4,17280.6
2022-05-30 20:26:31,62758.2,17287.8
2022-05-30 20:26:32,62752.8,17293.2
2022-05-30 20:26:33,62747,17299
2022-05-30 20:26:34,62747.4,17298.5
2022-05-30 20:26:35,62742.5,17303.5
2022-05-30 20:26:36,62737.2,17308.7
2022-05-30 20:26:37,62733.9,17312.1
2022-05-30 20:26:38,62735.6,17310.3
2022-05-30 20:26:39,62731.8,17314.1
2022-05-30 20:26:40,62724.6,17321.2
2022-05-30 20:26:41,62722.5,17323.5
2022-05-30 20:26:42,62714,17331.9
2022-05-30 20:26:43,62714.3,17331.7
2022-05-30 20:26:44,62712.3,17333.5
2022-05-30 20:26:45,62710.5,17335.5
2022-05-30 20:26:46,62705.1,17340.9
2022-05-30 20:26:47,62703.8,17342.2
2022-05-30 20:26:48,62703.5,17342.4
2022-05-30 20:26:49,62705.4,17340.5
2022-05-30 20:26:50,62703.8,17342.2
2022-05-30 20:26:51,62701.3,17344.5
2022-05-30 20:26:52,62702.3,17343.7
2022-05-30 20:26:53,62699.7,17346.3
2022-05-30 20:26:54,62697.6,17348.2
2022-05-30 20:26:55,62694,17351.8
2022-05-30 20:26:56,62691.7,17354.1
2022-05-30 20:26:57,62688.5,17357.5
2022-05-30 20:26:58,62688.5,17357.3
2022-05-30 20:26:59,62685.6,17360.3
2022-05-30 20:27:00,62686.2,17359.8
2022-05-30 20:27:01,62682.9,17362.9
2022-05-30 20:27:02,62679.6,17366.4
2022-05-30 20:27:03,62682,17364.1
2022-05-30 20:27:04,62678.2,17367.7
2022-05-30 20:27:05,62673.5,17372.3
2022-05-30 20:27:06,62677,17368.9
2022-05-30 20:27:07,62678.7,17367.3
2022-05-30 20:27:08,62672.4,17373.5
