time,in,out
2022-05-30 12:02:11,60.2829,-184.301
2022-05-30 12:02:12,90.2553,-251.853
2022-05-30 12:02:13,26.9112,-101.006
2022-05-30 12:02:14,5.64087,-22.3964
2022-05-30 12:02:15,3261.56,-1329.82
2022-05-30 12:02:16,7377.79,-5094.05
2022-05-30 12:02:17,1615.54,-1063.84
2022-05-30 12:02:18,3503.03,-4681.45
2022-05-30 12:02:19,3509.29,-2372.98
2022-05-30 12:02:20,1512.03,-1541.05
2022-05-30 12:02:21,2486.83,-4221.29
2022-05-30 12:02:22,15783.1,-15177
2022-05-30 12:02:23,3355.85,-2167.02
2022-05-30 12:02:24,48.0184,-99.8509
2022-05-30 12:02:25,80.92,-130.529
2022-05-30 12:02:26,150.541,-206.698
2022-05-30 12:02:27,381.838,-439.785
2022-05-30 12:02:28,70645,-70623.7
2022-05-30 12:02:29,887006,-886999
2022-05-30 12:02:30,2.09047e+06,-2.09119e+06
2022-05-30 12:02:31,3.13099e+06,-3.13117e+06
2022-05-30 12:02:32,5.2522e+06,-5.25096e+06
2022-05-30 12:02:33,7.73352e+06,-7.73333e+06
2022-05-30 12:02:34,9.99691e+06,-9.99701e+06
2022-05-30 12:02:35,8.20675e+06,-8.20862e+06
2022-05-30 12:02:36,3.68624e+06,-3.68428e+06
2022-05-30 12:02:37,557410,-557451
2022-05-30 12:02:38,754.835,-1082.67
2022-05-30 12:02:39,76483.1,-76486.7
2022-05-30 12:02:40,957479,-957461
2022-05-30 12:02:41,2.14679e+06,-2.14716e+06
2022-05-30 12:02:42,2.4403e+06,-2.43981e+06
2022-05-30 12:02:43,1.20937e+06,-1.21001e+06
2022-05-30 12:02:44,890207,-889797
2022-05-30 12:02:45,1.34454e+06,-1.34453e+06
2022-05-30 12:02:46,2.33484e+06,-2.33469e+06
2022-05-30 12:02:47,4.09702e+06,-4.09734e+06
2022-05-30 12:02:48,6.34711e+06,-6.34644e+06
2022-05-30 12:02:49,8.25286e+06,-8.25193e+06
