time,free,used,cached,buffers
2022-05-30 12:09:31,1768.438,1849.453,12386.004,5.292969
2022-05-30 12:09:30,1768.238,1849.652,12386.004,5.292969
2022-05-30 12:09:29,1768.492,1849.414,12386.004,5.277344
2022-05-30 12:09:28,1768.191,1849.715,12386.004,5.277344
2022-05-30 12:09:27,1767.938,1849.969,12386.004,5.277344
2022-05-30 12:09:26,1767.754,1850.152,12386.004,5.277344
2022-05-30 12:09:25,1767.754,1850.168,12385.996,5.269531
2022-05-30 12:09:24,1767.812,1850.012,12386.094,5.269531
2022-05-30 12:09:23,1765.754,1849.965,12388.219,5.25
2022-05-30 12:09:22,1765.219,1850.484,12388.234,5.25
2022-05-30 12:09:21,1764.309,1850.629,12389.016,5.234375
2022-05-30 12:09:20,1348.9922,2265.734,12389.227,5.234375
2022-05-30 12:09:19,1347.3711,2267.379,12389.203,5.234375
2022-05-30 12:09:18,1347.9961,2267.059,12388.922,5.210938
2022-05-30 12:09:17,1342.8594,2272.164,12388.953,5.210938
2022-05-30 12:09:16,1342.6758,2272.348,12388.953,5.210938
2022-05-30 12:09:15,1342.2617,2272.762,12388.953,5.210938
2022-05-30 12:09:14,1099.9219,2514.75,12389.305,5.210938
2022-05-30 12:09:13,1117.9609,2499.289,12386.875,5.0625
2022-05-30 12:09:12,1122.3906,2494.887,12386.855,5.054688
2022-05-30 12:09:11,1122.3594,2494.938,12386.836,5.054688
2022-05-30 12:09:10,1122.6523,2494.676,12386.805,5.054688
2022-05-30 12:09:09,1122.6445,2494.699,12386.789,5.054688
2022-05-30 12:09:08,1122.6602,2494.707,12386.766,5.054688
2022-05-30 12:09:07,1122.668,2494.703,12386.777,5.039062
2022-05-30 12:09:06,1122.5898,2494.859,12386.699,5.039062
2022-05-30 12:09:05,1123.1289,2494.32,12386.699,5.039062
2022-05-30 12:09:04,1123.582,2493.883,12386.684,5.039062
2022-05-30 12:09:03,1123.5898,2493.887,12386.672,5.039062
2022-05-30 12:09:02,1124.1211,2493.398,12386.637,5.03125
2022-05-30 12:09:01,1124.1914,2493.441,12386.531,5.023438
2022-05-30 12:09:00,1124.8906,2492.758,12386.516,5.023438
2022-05-30 12:08:59,1124.8438,2492.852,12386.469,5.023438
2022-05-30 12:08:58,1124.8672,2492.836,12386.461,5.023438
2022-05-30 12:08:57,1124.8359,2492.871,12386.465,5.015625
2022-05-30 12:08:56,767.0547,2850.18,12386.949,5.003906
2022-05-30 12:08:55,1076.0039,2654.535,12273.645,5.003906
2022-05-30 12:08:54,483.7539,3246.52,12273.91,5.003906
2022-05-30 12:08:53,431.3047,3412.609,12160.273,5
2022-05-30 12:08:52,452.9141,3593.859,11957.434,4.980469
2022-05-30 12:08:51,302.2852,3618.324,12083.406,5.171875
2022-05-30 12:08:50,556.3789,3469.961,11977.676,5.171875
2022-05-30 12:08:49,904.7617,3198.449,11900.805,5.171875
2022-05-30 12:08:48,1185.7188,2940.535,11877.762,5.171875
2022-05-30 12:08:47,1335.0703,2791.871,11877.086,5.160156
2022-05-30 12:08:46,722.7812,3403.547,11877.727,5.132812
2022-05-30 12:08:45,593.168,3629.438,11781.465,5.117188
2022-05-30 12:08:44,510.4492,3893.379,11600.25,5.109375
2022-05-30 12:08:43,710,3787.461,11506.617,5.109375
2022-05-30 12:08:42,1128.6797,3503.484,11371.914,5.109375
2022-05-30 12:08:41,1442.1914,3266.922,11294.984,5.089844
2022-05-30 12:08:40,1707.105,3002.82,11294.172,5.089844
2022-05-30 12:08:39,1852.148,2858.969,11292.98,5.089844
2022-05-30 12:08:38,2041.574,2669.16,11293.391,5.0625
2022-05-30 12:08:37,1349.0938,3381.484,11273.562,5.046875
2022-05-30 12:08:36,1407.207,3495.086,11101.871,5.023438
2022-05-30 12:08:35,942.543,4102.918,10958.715,5.011719
2022-05-30 12:08:34,1541.7305,3628.246,10834.199,5.011719
2022-05-30 12:08:33,1806.516,3456,10741.66,5.011719
2022-05-30 12:08:32,2220.938,3074.617,10708.621,5.011719
2022-05-30 12:08:31,2396.957,2899.961,10707.402,4.867188
2022-05-30 12:08:30,2537.938,2759.34,10707.066,4.84375
2022-05-30 12:08:29,2356.906,2942,10705.477,4.804688
2022-05-30 12:08:28,2339.723,3056.969,10607.707,4.789062
2022-05-30 12:08:27,1532.5312,3978.16,10493.707,4.789062
2022-05-30 12:08:26,1825.18,3790.438,10388.789,4.78125
2022-05-30 12:08:25,2269.828,3557.629,10176.961,4.769531
2022-05-30 12:08:24,2789.016,3104.047,10111.355,4.769531
2022-05-30 12:08:23,2913.293,2980.215,10110.918,4.761719
2022-05-30 12:08:22,2660.727,3233.965,10109.734,4.761719
2022-05-30 12:08:21,2927.59,3032.539,10044.305,4.753906
2022-05-30 12:08:20,3147.207,2858.711,9998.531,4.738281
2022-05-30 12:08:19,3086.477,2948.562,9969.449,4.699219
2022-05-30 12:08:18,2304.398,3818.809,9881.289,4.691406
2022-05-30 12:08:17,2699.793,3597.098,9707.605,4.691406
2022-05-30 12:08:16,3020.699,3451.766,9532.031,4.691406
2022-05-30 12:08:15,3507.859,3041.523,9455.129,4.675781
2022-05-30 12:08:14,3281.773,3269.387,9453.355,4.671875
2022-05-30 12:08:13,3467.074,3142.461,9394.988,4.664062
2022-05-30 12:08:12,3698.316,2977.105,9329.109,4.65625
2022-05-30 12:08:11,3618.77,3062.945,9322.816,4.65625
2022-05-30 12:08:10,3833.559,2892.098,9278.902,4.628906
2022-05-30 12:08:09,3175.566,3633.965,9195.027,4.628906
2022-05-30 12:08:08,3326.824,3561.312,9116.441,4.609375
2022-05-30 12:08:07,3223.75,3865.254,8915.574,4.609375
2022-05-30 12:08:06,3865.645,3369.684,8769.25,4.609375
2022-05-30 12:08:05,4062.719,3230.555,8711.316,4.597656
2022-05-30 12:08:04,4296.918,3035.445,8672.234,4.589844
2022-05-30 12:08:03,4050.969,3281.16,8672.48,4.578125
2022-05-30 12:08:02,4273.148,3090.918,8640.543,4.578125
2022-05-30 12:08:01,4585.445,2855.543,8563.648,4.550781
2022-05-30 12:08:00,3807.809,3668.418,8528.426,4.535156
2022-05-30 12:07:59,3632.496,3980.902,8391.262,4.527344
2022-05-30 12:07:58,4124.668,3678.707,8201.293,4.519531
2022-05-30 12:07:57,4615.723,3312.352,8076.594,4.519531
2022-05-30 12:07:56,4925.453,3055.09,8024.133,4.511719
2022-05-30 12:07:55,4619.418,3361.449,8023.809,4.511719
2022-05-30 12:07:54,4826.902,3204.203,7973.582,4.5
2022-05-30 12:07:53,5112.363,2985.535,7906.809,4.480469
2022-05-30 12:07:52,5004.848,3111.219,7888.648,4.472656
2022-05-30 12:07:51,4354.199,3786.598,7863.953,4.4375
2022-05-30 12:07:50,4458.207,3862.559,7683.988,4.433594
2022-05-30 12:07:49,4987.773,3474.113,7542.879,4.421875
2022-05-30 12:07:48,5374.785,3213.797,7416.188,4.417969
2022-05-30 12:07:47,5195.801,3435.363,7373.605,4.417969
2022-05-30 12:07:46,5378.184,3272.676,7353.918,4.410156
2022-05-30 12:07:45,5608.344,3103.988,7292.445,4.410156
2022-05-30 12:07:44,5847.113,2920.508,7237.172,4.394531
2022-05-30 12:07:43,5626.035,3145.969,7232.816,4.367188
2022-05-30 12:07:42,5185.039,3681.332,7138.461,4.355469
