time,free,used,cached,buffers
2022-05-30 11:57:10,2654.43,328.6875,13022.953,3.117188
2022-05-30 11:57:09,2654.77,328.4492,13022.859,3.109375
2022-05-30 11:57:08,2656.008,327.1758,13022.895,3.109375
2022-05-30 11:57:07,2788.98,327.8711,12889.238,3.097656
2022-05-30 11:57:06,2980.801,327.7148,12697.574,3.097656
2022-05-30 11:57:05,3167.82,333.1758,12505.094,3.097656
2022-05-30 11:57:04,3360.211,332.7422,12313.137,3.097656
2022-05-30 11:57:03,3551.523,333.3789,12121.188,3.097656
2022-05-30 11:57:02,3743.422,333.1445,11929.531,3.089844
2022-05-30 11:57:01,3935.336,333.6289,11737.141,3.082031
2022-05-30 11:57:00,4126.988,333.6562,11545.461,3.082031
2022-05-30 11:56:59,4319.117,333.4492,11353.539,3.082031
2022-05-30 11:56:58,4511.277,333.582,11161.246,3.082031
2022-05-30 11:56:57,4702.891,333.9297,10969.285,3.082031
2022-05-30 11:56:56,4896.812,333.7812,10775.715,2.878906
2022-05-30 11:56:55,5089.48,333.6211,10583.207,2.878906
2022-05-30 11:56:54,5281.609,332.7188,10391.98,2.878906
2022-05-30 11:56:53,5473.801,332.6406,10199.867,2.878906
2022-05-30 11:56:52,5665.699,332.9688,10007.648,2.871094
2022-05-30 11:56:51,5857.598,332.9141,9815.805,2.871094
2022-05-30 11:56:50,6049.988,332.5547,9623.781,2.863281
2022-05-30 11:56:49,6241.887,332.7734,9431.664,2.863281
2022-05-30 11:56:48,6433.754,333.0859,9239.484,2.863281
2022-05-30 11:56:47,6625.652,333,9047.672,2.863281
2022-05-30 11:56:46,6817.297,333.2617,8855.773,2.855469
2022-05-30 11:56:45,7009.75,332.8242,8663.758,2.855469
2022-05-30 11:56:44,7201.641,332.918,8471.781,2.847656
2022-05-30 11:56:43,7393.801,333.1055,8279.441,2.839844
2022-05-30 11:56:42,7585.207,333.3555,8087.785,2.839844
2022-05-30 11:56:41,7777.352,333.5508,7895.445,2.839844
2022-05-30 11:56:40,7969.219,333.4375,7703.691,2.839844
2022-05-30 11:56:39,8160.871,333.9531,7511.531,2.832031
2022-05-30 11:56:38,8352.777,333.8438,7319.734,2.832031
2022-05-30 11:56:37,8545.422,333.5547,7127.387,2.824219
2022-05-30 11:56:36,8737.273,333.457,6935.633,2.824219
2022-05-30 11:56:35,8929.68,333.4023,6743.281,2.824219
2022-05-30 11:56:34,9121.332,333.4805,6551.555,2.820312
2022-05-30 11:56:33,9313.461,333.0781,6359.828,2.820312
2022-05-30 11:56:32,9505.574,333.3125,6167.488,2.8125
2022-05-30 11:56:31,9697.473,333.5586,5975.352,2.804688
2022-05-30 11:56:30,9889.402,333.3281,5783.652,2.804688
2022-05-30 11:56:29,10081.301,333.4414,5591.641,2.804688
2022-05-30 11:56:28,10273.43,333.2305,5399.723,2.804688
2022-05-30 11:56:27,10465.512,333.082,5207.797,2.796875
2022-05-30 11:56:26,10657.41,333.2344,5015.746,2.796875
2022-05-30 11:56:25,10849.816,332.9648,4823.617,2.789062
2022-05-30 11:56:24,11041.93,332.6289,4631.84,2.789062
2022-05-30 11:56:23,11234.074,332.7383,4439.586,2.789062
2022-05-30 11:56:22,11425.973,332.6719,4247.762,2.78125
2022-05-30 11:56:21,11618.133,332.5664,4055.707,2.78125
2022-05-30 11:56:20,11810.301,332.8594,3863.254,2.773438
2022-05-30 11:56:19,12001.445,333.3867,3671.582,2.773438
2022-05-30 11:56:18,12194.121,333.0352,3479.266,2.765625
2022-05-30 11:56:17,12385.527,332.9805,3287.914,2.765625
2022-05-30 11:56:16,12577.426,333.1445,3095.852,2.765625
2022-05-30 11:56:15,12770.047,333.0312,2903.344,2.765625
2022-05-30 11:56:14,12962.176,332.5508,2711.703,2.757812
2022-05-30 11:56:13,13153.574,333.875,2518.98,2.757812
2022-05-30 11:56:12,13346.234,332.5586,2327.645,2.75
2022-05-30 11:56:11,13538.301,332.5273,2135.609,2.75
2022-05-30 11:56:10,13729.707,333.0898,1943.641,2.75
2022-05-30 11:56:09,13921.598,333.25,1751.59,2.75
2022-05-30 11:56:08,14113.496,333.1328,1559.8164,2.742188
2022-05-30 11:56:07,14305.625,332.8555,1367.9648,2.742188
2022-05-30 11:56:06,14496.422,334.1172,1175.9141,2.734375
2022-05-30 11:56:05,14682.16,340.6914,983.6016,2.734375
2022-05-30 11:56:04,14874.09,340.6914,791.6719,2.734375
2022-05-30 11:56:03,15066.25,341.0273,599.1758,2.734375
2022-05-30 11:56:02,15258.98,339.7539,407.7266,2.726562
2022-05-30 11:56:01,15504.195,351.6875,150.76953,2.535156
2022-05-30 11:56:00,15533.973,333.9688,138.83594,2.410156
2022-05-30 11:55:59,15533.988,333.9648,138.82422,2.410156
2022-05-30 11:55:58,12079.246,336.2344,3591.438,2.269531
