time,free,used
2022-06-04 04:37:42,26854.6,5257.62
2022-06-04 04:37:41,26855.1,5257.13
2022-06-04 04:37:40,26856.8,5255.42
2022-06-04 04:37:39,26235.6,5876.61
2022-06-04 04:37:38,26235.4,5876.88
2022-06-04 04:37:37,26235.5,5876.73
2022-06-04 04:37:36,26235.4,5876.88
2022-06-04 04:37:35,26235.9,5876.32
2022-06-04 04:37:34,26235.9,5876.36
2022-06-04 04:37:33,26235.9,5876.3
2022-06-04 04:37:32,26235.8,5876.4
2022-06-04 04:37:31,26236.2,5876.03
2022-06-04 04:37:30,26236.2,5876.03
2022-06-04 04:37:29,26236.4,5875.84
2022-06-04 04:37:28,26236.2,5876.07
2022-06-04 04:37:27,26236.1,5876.09
2022-06-04 04:37:26,26236.4,5875.86
2022-06-04 04:37:25,26236.6,5875.61
2022-06-04 04:37:24,26236.5,5875.68
2022-06-04 04:37:23,26237.2,5874.99
2022-06-04 04:37:22,26237.7,5874.5
2022-06-04 04:37:21,26238.1,5874.18
2022-06-04 04:37:20,26237.8,5874.44
2022-06-04 04:37:19,26237.7,5874.5
2022-06-04 04:37:18,26238.3,5873.92
2022-06-04 04:37:17,26238,5874.25
2022-06-04 04:37:16,26237.7,5874.48
2022-06-04 04:37:15,26237.6,5874.62
2022-06-04 04:37:14,26238,5874.23
2022-06-04 04:37:13,26238.2,5874.04
2022-06-04 04:37:12,26238.2,5874.05
2022-06-04 04:37:11,26238.2,5874
2022-06-04 04:37:10,26238.2,5873.99
2022-06-04 04:37:09,26238.5,5873.76
2022-06-04 04:37:08,26238.2,5873.99
2022-06-04 04:37:07,26238.2,5873.98
2022-06-04 04:37:06,26238.5,5873.75
2022-06-04 04:37:05,26238.5,5873.75
2022-06-04 04:37:04,26238.7,5873.58
2022-06-04 04:37:03,26238.5,5873.73
2022-06-04 04:37:02,26238.5,5873.77
2022-06-04 04:37:01,26238.6,5873.62
2022-06-04 04:37:00,26238.5,5873.75
2022-06-04 04:36:59,26238.4,5873.86
2022-06-04 04:36:58,26238.7,5873.53
2022-06-04 04:36:57,26238.7,5873.5
2022-06-04 04:36:56,26238.5,5873.75
2022-06-04 04:36:55,26238.7,5873.5
2022-06-04 04:36:54,26238.5,5873.76
2022-06-04 04:36:53,26238.7,5873.5
2022-06-04 04:36:52,26238.4,5873.83
2022-06-04 04:36:51,26238.4,5873.79
2022-06-04 04:36:50,26238.2,5874.01
2022-06-04 04:36:49,26238.7,5873.57
2022-06-04 04:36:48,26238.6,5873.63
2022-06-04 04:36:47,26238.5,5873.74
2022-06-04 04:36:46,26238.6,5873.59
2022-06-04 04:36:45,26238.4,5873.78
2022-06-04 04:36:44,26238.4,5873.87
2022-06-04 04:36:43,26238.2,5874.06
2022-06-04 04:36:42,26237.9,5874.34
2022-06-04 04:36:41,26237.9,5874.32
2022-06-04 04:36:40,26237.8,5874.41
2022-06-04 04:36:39,26237.9,5874.29
2022-06-04 04:36:38,26237.7,5874.53
2022-06-04 04:36:37,26237.7,5874.52
2022-06-04 04:36:36,26237.4,5874.8
2022-06-04 04:36:35,26237.4,5874.79
2022-06-04 04:36:34,26237.4,5874.8
2022-06-04 04:36:33,26237.5,5874.77
2022-06-04 04:36:32,26237.4,5874.81
2022-06-04 04:36:31,26237.5,5874.74
2022-06-04 04:36:30,26237.4,5874.78
2022-06-04 04:36:29,26237.2,5875.05
2022-06-04 04:36:28,26237.4,5874.8
2022-06-04 04:36:27,26237.4,5874.81
2022-06-04 04:36:26,26237.5,5874.77
2022-06-04 04:36:25,26237.4,5874.82
2022-06-04 04:36:24,26237.2,5875.05
2022-06-04 04:36:23,26237.2,5875.02
2022-06-04 04:36:22,26237.9,5874.31
2022-06-04 04:36:21,26237.9,5874.34
2022-06-04 04:36:20,26237.9,5874.35
2022-06-04 04:36:19,26237.9,5874.34
2022-06-04 04:36:18,26238.3,5873.89
2022-06-04 04:36:17,26238.1,5874.18
2022-06-04 04:36:16,26238,5874.22
2022-06-04 04:36:15,26238.1,5874.14
2022-06-04 04:36:14,26238.1,5874.17
2022-06-04 04:36:13,26238,5874.2
2022-06-04 04:36:12,26237.8,5874.42
2022-06-04 04:36:11,26238.3,5873.96
2022-06-04 04:36:10,26238,5874.21
2022-06-04 04:36:09,26238,5874.27
2022-06-04 04:36:08,26238,5874.21
2022-06-04 04:36:07,26238,5874.25
2022-06-04 04:36:06,26238,5874.22
2022-06-04 04:36:05,26238,5874.22
2022-06-04 04:36:04,26238,5874.22
2022-06-04 04:36:03,26237.7,5874.5
2022-06-04 04:36:02,26238,5874.25
2022-06-04 04:36:01,26238,5874.2
2022-06-04 04:36:00,26238,5874.23
2022-06-04 04:35:59,26238,5874.23
2022-06-04 04:35:58,26238,5874.23
2022-06-04 04:35:57,26238.2,5873.99
2022-06-04 04:35:56,26238,5874.21
2022-06-04 04:35:55,26237.8,5874.48
2022-06-04 04:35:54,26238.3,5873.96
2022-06-04 04:35:53,26238.2,5874.03
2022-06-04 04:35:52,26238.2,5874.04
2022-06-04 04:35:51,26238,5874.26
2022-06-04 04:35:50,26238.3,5873.97
2022-06-04 04:35:49,26238.3,5873.95
2022-06-04 04:35:48,26238.2,5874
2022-06-04 04:35:47,26238,5874.22
2022-06-04 04:35:46,26238.2,5874.01
2022-06-04 04:35:45,26238.2,5874
2022-06-04 04:35:44,26238,5874.27
2022-06-04 04:35:43,26238.2,5874.02
2022-06-04 04:35:42,26238,5874.26
2022-06-04 04:35:41,26238.5,5873.72
2022-06-04 04:35:40,26238.5,5873.75
2022-06-04 04:35:39,26238.2,5874
2022-06-04 04:35:38,26238.2,5874
2022-06-04 04:35:37,26238.5,5873.75
2022-06-04 04:35:36,26238.4,5873.79
