time,in,out
2022-07-01 23:35:19,6.964348,-10.506775
2022-07-01 23:35:18,8.54894,-13.821899
2022-07-01 23:35:17,1.884401,-6.42484
2022-07-01 23:35:16,1.1463519,-5.684895
2022-07-01 23:35:15,1.1975741,-5.954748
2022-07-01 23:35:14,0.7840217,-3.776104
2022-07-01 23:35:13,1.1463151,-5.684698
2022-07-01 23:35:12,1.1976893,-5.955323
2022-07-01 23:35:11,0.7840028,-3.776014
2022-07-01 23:35:10,1.1463086,-5.684667
2022-07-01 23:35:09,1.1976834,-5.955295
2022-07-01 23:35:08,1.747695,-6.095546
2022-07-01 23:35:07,2.246591,-8.333006
2022-07-01 23:35:06,1.1977081,-5.955421
2022-07-01 23:35:05,0.7839954,-3.775978
2022-07-01 23:35:04,1.1463315,-5.684778
2022-07-01 23:35:03,1.1976566,-5.955164
2022-07-01 23:35:02,0.7840083,-3.77604
2022-07-01 23:35:01,1.1463562,-5.684902
2022-07-01 23:35:00,1.701966,-6.1868
2022-07-01 23:34:59,1.3596778,-4.040299
2022-07-01 23:34:58,2.11013,-8.0047
2022-07-01 23:34:57,2.297861,-8.603256
2022-07-01 23:34:56,0.7839729,-3.775869
2022-07-01 23:34:55,1.1463519,-5.684872
2022-07-01 23:34:54,1.1976829,-5.955296
2022-07-01 23:34:53,0.7840165,-3.77608
2022-07-01 23:34:52,1.1463453,-5.68485
2022-07-01 23:34:51,1.1976452,-5.955104
2022-07-01 23:34:50,1.0753631,-3.970242
2022-07-01 23:34:49,1.4789531,-6.212757
2022-07-01 23:34:48,2.161455,-8.624798
2022-07-01 23:34:47,1.884238,-6.424248
2022-07-01 23:34:46,1.1462931,-5.684587
2022-07-01 23:34:45,1.1976544,-5.95516
2022-07-01 23:34:44,1.949338,-4.974974
2022-07-01 23:34:43,2.477064,-7.054153
2022-07-01 23:34:42,1.1976595,-5.955172
2022-07-01 23:34:41,0.7839752,-3.775881
2022-07-01 23:34:40,1.1463629,-5.684935
2022-07-01 23:34:39,1.1976522,-5.955137
2022-07-01 23:34:38,1.747743,-6.095693
2022-07-01 23:34:37,2.246606,-8.333176
2022-07-01 23:34:36,1.1976594,-5.955172
2022-07-01 23:34:35,0.7839758,-3.775884
2022-07-01 23:34:34,1.1462307,-5.684269
2022-07-01 23:34:33,1.1977631,-5.955702
2022-07-01 23:34:32,0.7840232,-3.776112
2022-07-01 23:34:31,1.1463346,-5.684796
2022-07-01 23:34:30,1.701966,-6.186815
2022-07-01 23:34:29,1.3596994,-4.040389
2022-07-01 23:34:28,2.110175,-8.004837
2022-07-01 23:34:27,2.297835,-8.60321
