time,in,out
2022-06-06 13:53:54,1.0771183,-3.401064
2022-06-06 13:53:53,0.7920019,-2.784007
2022-06-06 13:53:52,1.4578881,-6.269826
2022-06-06 13:53:51,0.9101027,-3.402142
2022-06-06 13:53:50,0.7928627,-2.787033
2022-06-06 13:53:49,1.4588643,-6.274822
2022-06-06 13:53:48,0.9084932,-3.394919
2022-06-06 13:53:47,0.7918288,-2.783398
2022-06-06 13:53:46,1.4596793,-6.277688
2022-06-06 13:53:45,0.9091496,-3.397225
2022-06-06 13:53:44,0.791597,-2.782584
2022-06-06 13:53:43,1.4578571,-6.270089
2022-06-06 13:53:42,0.9105334,-3.403284
2022-06-06 13:53:41,0.7918164,-2.783355
2022-06-06 13:53:40,1.4576245,-6.269249
2022-06-06 13:53:39,0.9105598,-3.403399
2022-06-06 13:53:38,0.7919176,-2.78371
2022-06-06 13:53:37,1.4582701,-6.272158
2022-06-06 13:53:36,0.9100284,-3.400892
2022-06-06 13:53:35,0.7919513,-2.783829
2022-06-06 13:53:34,1.4604929,-6.282086
2022-06-06 13:53:33,0.9073848,-3.389484
2022-06-06 13:53:32,0.7916161,-2.782651
2022-06-06 13:53:31,1.4580957,-6.271176
2022-06-06 13:53:30,0.9093515,-3.398881
2022-06-06 13:53:29,0.7917015,-2.782951
2022-06-06 13:53:28,1.4573623,-6.267243
2022-06-06 13:53:27,0.9128924,-3.412683
2022-06-06 13:53:26,0.7909291,-2.780236
2022-06-06 13:53:25,1.4577188,-6.269813
2022-06-06 13:53:24,0.9093286,-3.398838
2022-06-06 13:53:23,1.3208883,-3.691476
2022-06-06 13:53:22,1.5554966,-6.445175
2022-06-06 13:53:21,0.9069629,-3.389057
2022-06-06 13:53:20,0.7937249,-2.790063
2022-06-06 13:53:19,1.4590559,-6.27576
2022-06-06 13:53:18,0.9092295,-3.397243
2022-06-06 13:53:17,0.7918578,-2.7835
2022-06-06 13:53:16,1.4585127,-6.273508
2022-06-06 13:53:15,0.9094211,-3.398259
2022-06-06 13:53:14,0.7911161,-2.780893
2022-06-06 13:53:13,1.4625271,-6.290241
2022-06-06 13:53:12,0.9068145,-3.386475
2022-06-06 13:53:11,0.7910828,-2.780776
2022-06-06 13:53:10,1.4564465,-6.264028
2022-06-06 13:53:09,0.9127112,-3.412041
2022-06-06 13:53:08,0.7909594,-2.780342
2022-06-06 13:53:07,1.4575613,-6.269001
2022-06-06 13:53:06,0.9093882,-3.399306
2022-06-06 13:53:05,0.7915662,-2.782475
2022-06-06 13:53:04,1.4563922,-6.262622
2022-06-06 13:53:03,0.913301,-3.41533
2022-06-06 13:53:02,0.7923099,-2.785089
2022-06-06 13:53:01,1.4591573,-6.27642
2022-06-06 13:53:00,0.9083502,-3.393849
2022-06-06 13:52:59,0.7907076,-2.779457
2022-06-06 13:52:58,1.4616051,-6.285591
2022-06-06 13:52:57,0.9080122,-3.392093
2022-06-06 13:52:56,0.7914704,-2.782138
2022-06-06 13:52:55,1.4572924,-6.267673
2022-06-06 13:52:54,0.9094371,-3.399861
2022-06-06 13:52:53,0.7940058,-2.791051
2022-06-06 13:52:52,1.4587516,-6.27468
2022-06-06 13:52:51,0.9081153,-3.393338
2022-06-06 13:52:50,0.7938303,-2.790434
2022-06-06 13:52:49,1.4587045,-6.27507
2022-06-06 13:52:48,0.9076626,-3.39119
2022-06-06 13:52:47,0.7938574,-2.790529
2022-06-06 13:52:46,1.4579658,-6.272034
2022-06-06 13:52:45,0.9080135,-3.392863
2022-06-06 13:52:44,0.7912748,-2.781451
2022-06-06 13:52:43,1.4610121,-6.282999
2022-06-06 13:52:42,0.9083267,-3.393708
2022-06-06 13:52:41,0.7911133,-2.780883
2022-06-06 13:52:40,1.4615265,-6.285634
2022-06-06 13:52:39,0.9076129,-3.390372
2022-06-06 13:52:38,1.319875,-3.687821
2022-06-06 13:52:37,1.5552161,-6.444143
2022-06-06 13:52:36,0.9083745,-3.394157
2022-06-06 13:52:35,0.7910923,-2.780809
2022-06-06 13:52:34,1.4612873,-6.284329
2022-06-06 13:52:33,0.9079691,-3.392087
2022-06-06 13:52:32,0.790627,-2.779174
2022-06-06 13:52:31,1.4611457,-6.283611
2022-06-06 13:52:30,0.9101003,-3.399799
2022-06-06 13:52:29,0.7894109,-2.774899
2022-06-06 13:52:28,1.4609292,-6.283226
2022-06-06 13:52:27,3.031569,-5.576795
2022-06-06 13:52:26,1.1635026,-3.163983
2022-06-06 13:52:25,1.4562584,-6.262813
2022-06-06 13:52:24,0.9124679,-3.41174
2022-06-06 13:52:23,0.7913854,-2.78184
2022-06-06 13:52:22,1.4562643,-6.262934
2022-06-06 13:52:21,0.9124809,-3.411685
2022-06-06 13:52:20,0.7913939,-2.78187
2022-06-06 13:52:19,1.4563378,-6.263375
2022-06-06 13:52:18,0.9123023,-3.410875
2022-06-06 13:52:17,0.7913484,-2.781709
2022-06-06 13:52:16,1.4562559,-6.263007
2022-06-06 13:52:15,0.912267,-3.410831
2022-06-06 13:52:14,0.7914277,-2.781988
2022-06-06 13:52:13,1.4615142,-6.285946
2022-06-06 13:52:12,0.9066573,-3.386656
2022-06-06 13:52:11,0.793388,-2.788879
2022-06-06 13:52:10,1.4591847,-6.277099
2022-06-06 13:52:09,0.907387,-3.38988
2022-06-06 13:52:08,0.7933706,-2.788818
2022-06-06 13:52:07,1.4580468,-6.272077
2022-06-06 13:52:06,0.9077571,-3.392204
2022-06-06 13:52:05,0.7933395,-2.788709
