time,in,out
2022-06-06 13:53:55,0,-421.7016
2022-06-06 13:53:54,0,-5.224224
2022-06-06 13:53:53,0,0
2022-06-06 13:53:52,0,0
2022-06-06 13:53:51,0,0
2022-06-06 13:53:50,0,0
2022-06-06 13:53:49,0,0
2022-06-06 13:53:48,0,0
2022-06-06 13:53:47,0,0
2022-06-06 13:53:46,0,0
2022-06-06 13:53:45,0,0
2022-06-06 13:53:44,0,0
2022-06-06 13:53:43,0,0
2022-06-06 13:53:42,0,0
2022-06-06 13:53:41,0,-6.886398
2022-06-06 13:53:40,0,-13.113602
2022-06-06 13:53:39,0,0
2022-06-06 13:53:38,0,-13.797419
2022-06-06 13:53:37,0,-26.20258
2022-06-06 13:53:36,0,-28.98406
2022-06-06 13:53:35,0,-55.01594
2022-06-06 13:53:34,0,0
2022-06-06 13:53:33,0,-5.52491
2022-06-06 13:53:32,0,-10.47509
2022-06-06 13:53:31,0,0
2022-06-06 13:53:30,0,0
2022-06-06 13:53:29,0,0
2022-06-06 13:53:28,0,0
2022-06-06 13:53:27,0,-8.276831
2022-06-06 13:53:26,0,-15.723169
2022-06-06 13:53:25,0,0
2022-06-06 13:53:24,0,0
2022-06-06 13:53:23,0,0
2022-06-06 13:53:22,0,0
2022-06-06 13:53:21,0,0
2022-06-06 13:53:20,0,0
2022-06-06 13:53:19,0,0
2022-06-06 13:53:18,0,0
2022-06-06 13:53:17,0,0
2022-06-06 13:53:16,0,0
2022-06-06 13:53:15,0,0
2022-06-06 13:53:14,0,0
2022-06-06 13:53:13,0,0
2022-06-06 13:53:12,0,0
2022-06-06 13:53:11,0,0
2022-06-06 13:53:10,0,0
2022-06-06 13:53:09,0,0
2022-06-06 13:53:08,0,0
2022-06-06 13:53:07,0,0
2022-06-06 13:53:06,0,0
2022-06-06 13:53:05,0,0
2022-06-06 13:53:04,0,0
2022-06-06 13:53:03,0,-5.493655
2022-06-06 13:53:02,0,-10.506345
2022-06-06 13:53:01,0,0
2022-06-06 13:53:00,0,0
2022-06-06 13:52:59,0,0
2022-06-06 13:52:58,0,0
2022-06-06 13:52:57,0,-8.280798
2022-06-06 13:52:56,0,-15.719202
2022-06-06 13:52:55,0,0
2022-06-06 13:52:54,0,0
2022-06-06 13:52:53,0,0
2022-06-06 13:52:52,0,0
2022-06-06 13:52:51,0,0
2022-06-06 13:52:50,0,0
2022-06-06 13:52:49,0,0
2022-06-06 13:52:48,0,0
2022-06-06 13:52:47,0,0
2022-06-06 13:52:46,0,0
2022-06-06 13:52:45,0,0
2022-06-06 13:52:44,0,0
2022-06-06 13:52:43,0,0
2022-06-06 13:52:42,0,0
2022-06-06 13:52:41,0,0
2022-06-06 13:52:40,0,0
2022-06-06 13:52:39,0,0
2022-06-06 13:52:38,0,0
2022-06-06 13:52:37,0,0
2022-06-06 13:52:36,0,0
2022-06-06 13:52:35,0,0
2022-06-06 13:52:34,0,0
2022-06-06 13:52:33,0,0
2022-06-06 13:52:32,0,-5.537912
2022-06-06 13:52:31,0,-10.462088
2022-06-06 13:52:30,0,0
2022-06-06 13:52:29,0,0
2022-06-06 13:52:28,0,0
2022-06-06 13:52:27,0,0
2022-06-06 13:52:26,0,-8.285657
2022-06-06 13:52:25,0,-15.714343
2022-06-06 13:52:24,0,0
2022-06-06 13:52:23,0,0
2022-06-06 13:52:22,0,0
2022-06-06 13:52:21,0,0
2022-06-06 13:52:20,0,0
2022-06-06 13:52:19,0,0
2022-06-06 13:52:18,0,0
2022-06-06 13:52:17,0,0
2022-06-06 13:52:16,0,0
2022-06-06 13:52:15,0,0
2022-06-06 13:52:14,0,0
2022-06-06 13:52:13,0,0
2022-06-06 13:52:12,0,0
2022-06-06 13:52:11,0,0
2022-06-06 13:52:10,0,0
2022-06-06 13:52:09,0,0
2022-06-06 13:52:08,0,0
2022-06-06 13:52:07,0,0
2022-06-06 13:52:06,0,0
2022-06-06 13:52:05,0,0
2022-06-06 13:52:04,0,0
2022-06-06 13:52:03,0,0
2022-06-06 13:52:02,0,0
2022-06-06 13:52:01,0,-5.513533
2022-06-06 13:52:00,0,-11.866516
2022-06-06 13:51:59,0,-2.619951
2022-06-06 13:51:58,0,0
2022-06-06 13:51:57,0,0
2022-06-06 13:51:56,0,0
2022-06-06 13:51:55,0,-9.642956
2022-06-06 13:51:54,0,-18.35704
2022-06-06 13:51:53,0,-5.532274
2022-06-06 13:51:52,0,-10.467726
2022-06-06 13:51:51,0,0
2022-06-06 13:51:50,0,0
2022-06-06 13:51:49,0,0
2022-06-06 13:51:48,0,0
2022-06-06 13:51:47,0,0
2022-06-06 13:51:46,0,-4.140067
2022-06-06 13:51:45,0,-7.859933
2022-06-06 13:51:44,0,0
2022-06-06 13:51:43,0,0
2022-06-06 13:51:42,0,0
2022-06-06 13:51:41,0,0
2022-06-06 13:51:40,0,-46.85374
2022-06-06 13:51:39,0,-89.14626
2022-06-06 13:51:38,0,0
2022-06-06 13:51:37,0,0
2022-06-06 13:51:36,0,0
2022-06-06 13:51:35,0,0
2022-06-06 13:51:34,0,0
2022-06-06 13:51:33,0,0
2022-06-06 13:51:32,0,0
2022-06-06 13:51:31,0,0
2022-06-06 13:51:30,0,-20.65498
2022-06-06 13:51:29,0,-39.34502
2022-06-06 13:51:28,0,0
2022-06-06 13:51:27,0,0
2022-06-06 13:51:26,0,0
2022-06-06 13:51:25,0,-8.328908
2022-06-06 13:51:24,0,-15.671092
2022-06-06 13:51:23,0,0
2022-06-06 13:51:22,0,0
2022-06-06 13:51:21,0,0
2022-06-06 13:51:20,0,0
2022-06-06 13:51:19,0,0
2022-06-06 13:51:18,0,0
2022-06-06 13:51:17,0,0
2022-06-06 13:51:16,0,0
2022-06-06 13:51:15,0,0
2022-06-06 13:51:14,0,0
2022-06-06 13:51:13,0,0
2022-06-06 13:51:12,0,-6.992711
2022-06-06 13:51:11,0,-13.007289
2022-06-06 13:51:10,0,0
2022-06-06 13:51:09,0,0
2022-06-06 13:51:08,0,0
2022-06-06 13:51:07,0,0
2022-06-06 13:51:06,0,-22.13909
2022-06-06 13:51:05,0,-41.86091
2022-06-06 13:51:04,0,0
2022-06-06 13:51:03,0,0
2022-06-06 13:51:02,0,0
2022-06-06 13:51:01,0,0
2022-06-06 13:51:00,0,0
2022-06-06 13:50:59,0,-8.339719
2022-06-06 13:50:58,0,-15.660281
2022-06-06 13:50:57,0,0
2022-06-06 13:50:56,0,0
2022-06-06 13:50:55,0,0
2022-06-06 13:50:54,0,-9.733244
2022-06-06 13:50:53,0,-18.26676
2022-06-06 13:50:52,0,0
2022-06-06 13:50:51,0,0
2022-06-06 13:50:50,0,0
2022-06-06 13:50:49,0,-4.165572
2022-06-06 13:50:48,0,-7.834428
2022-06-06 13:50:47,0,0
2022-06-06 13:50:46,0,0
2022-06-06 13:50:45,0,0
2022-06-06 13:50:44,0,0
2022-06-06 13:50:43,0,0
2022-06-06 13:50:42,0,0
2022-06-06 13:50:41,0,0
2022-06-06 13:50:40,0,0
2022-06-06 13:50:39,0,0
2022-06-06 13:50:38,0,0
2022-06-06 13:50:37,0,0
2022-06-06 13:50:36,0,0
2022-06-06 13:50:35,0,0
2022-06-06 13:50:34,0,0
2022-06-06 13:50:33,0,0
2022-06-06 13:50:32,0,0
2022-06-06 13:50:31,0,0
2022-06-06 13:50:30,0,0
2022-06-06 13:50:29,0,-6.940933
2022-06-06 13:50:28,0,-13.059067
2022-06-06 13:50:27,0,0
2022-06-06 13:50:26,0,0
2022-06-06 13:50:25,0,0
2022-06-06 13:50:24,0,0
2022-06-06 13:50:23,0,-8.315085
2022-06-06 13:50:22,0,-15.684915
2022-06-06 13:50:21,0,0
2022-06-06 13:50:20,0,0
2022-06-06 13:50:19,0,0
2022-06-06 13:50:18,0,0
2022-06-06 13:50:17,0,0
2022-06-06 13:50:16,0,0
2022-06-06 13:50:15,0,0
2022-06-06 13:50:14,0,0
2022-06-06 13:50:13,0,0
2022-06-06 13:50:12,0,0
2022-06-06 13:50:11,0,0
2022-06-06 13:50:10,0,0
2022-06-06 13:50:09,0,0
2022-06-06 13:50:08,0,0
2022-06-06 13:50:07,0,0
2022-06-06 13:50:06,0,0
2022-06-06 13:50:05,0,0
2022-06-06 13:50:04,0,0
2022-06-06 13:50:03,0,0
2022-06-06 13:50:02,0,0
2022-06-06 13:50:01,0,0
2022-06-06 13:50:00,0,0
2022-06-06 13:49:59,0,0
2022-06-06 13:49:58,0,-5.545375
2022-06-06 13:49:57,0,-10.454625
2022-06-06 13:49:56,0,0
2022-06-06 13:49:55,0,0
2022-06-06 13:49:54,0,0
2022-06-06 13:49:53,0,0
2022-06-06 13:49:52,0,-8.28664
2022-06-06 13:49:51,0,-15.71336
2022-06-06 13:49:50,0,0
2022-06-06 13:49:49,0,0
2022-06-06 13:49:48,0,0
2022-06-06 13:49:47,0,0
2022-06-06 13:49:46,0,0
2022-06-06 13:49:45,0,0
2022-06-06 13:49:44,0,0
2022-06-06 13:49:43,0,0
2022-06-06 13:49:42,0,0
2022-06-06 13:49:41,0,0
2022-06-06 13:49:40,0,0
2022-06-06 13:49:39,0,0
2022-06-06 13:49:38,0,0
2022-06-06 13:49:37,0,0
2022-06-06 13:49:36,0,0
2022-06-06 13:49:35,0,0
2022-06-06 13:49:34,0,0
2022-06-06 13:49:33,0,0
2022-06-06 13:49:32,0,-8.258139
2022-06-06 13:49:31,0,-15.741861
2022-06-06 13:49:30,0,0
2022-06-06 13:49:29,0,0
2022-06-06 13:49:28,0,0
2022-06-06 13:49:27,0,-54.96486
2022-06-06 13:49:26,0,-105.03514
2022-06-06 13:49:25,0,0
2022-06-06 13:49:24,0,0
2022-06-06 13:49:23,0,0
2022-06-06 13:49:22,0,-8.266991
2022-06-06 13:49:21,0,-15.733009
2022-06-06 13:49:20,0,0
2022-06-06 13:49:19,0,0
2022-06-06 13:49:18,0,0
2022-06-06 13:49:17,0,0
2022-06-06 13:49:16,0,0
2022-06-06 13:49:15,0,0
2022-06-06 13:49:14,0,0
2022-06-06 13:49:13,0,0
2022-06-06 13:49:12,0,0
2022-06-06 13:49:11,0,0
2022-06-06 13:49:10,0,0
2022-06-06 13:49:09,0,0
2022-06-06 13:49:08,0,0
2022-06-06 13:49:07,0,0
2022-06-06 13:49:06,0,0
2022-06-06 13:49:05,0,0
2022-06-06 13:49:04,0,0
2022-06-06 13:49:03,0,0
2022-06-06 13:49:02,0,0
2022-06-06 13:49:01,0,-6.892969
2022-06-06 13:49:00,0,-13.107031
2022-06-06 13:48:59,0,0
2022-06-06 13:48:58,0,0
2022-06-06 13:48:57,0,0
2022-06-06 13:48:56,0,-12.421603
2022-06-06 13:48:55,0,-47.0394
2022-06-06 13:48:54,0,-44.53899
2022-06-06 13:48:53,0,0
2022-06-06 13:48:52,0,0
2022-06-06 13:48:51,0,-8.2842
2022-06-06 13:48:50,0,-15.7158
2022-06-06 13:48:49,0,0
2022-06-06 13:48:48,0,0
2022-06-06 13:48:47,0,0
2022-06-06 13:48:46,0,0
2022-06-06 13:48:45,0,0
