time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-06 21:04:35,0,0,0,0,0,0.2506266,0.2506266,0,18.79699
2022-06-06 21:04:34,0,0,0,0.3778338,0,4.534005,1.2594458,0,14.609572
2022-06-06 21:04:33,0,0,0.1277139,0.3831418,0,9.578544,2.426564,0,20.81737
2022-06-06 21:04:32,0,0,0,0.2493766,0,0.9975062,0.2493766,0,23.19202
2022-06-06 21:04:31,0,0,0,0,0,0.6273526,0.3764115,0,26.72522
2022-06-06 21:04:30,0,0,0,0.3797468,0,7.721519,1.898734,0,29.36709
2022-06-06 21:04:29,0,0,0.1269036,0.3807107,0,14.467005,2.664975,0,12.436548
2022-06-06 21:04:28,0,0,0,0.8883249,0,14.593909,2.284264,0,12.436548
2022-06-06 21:04:27,0,0,0,0.1251564,0,4.505632,1.0012516,0,16.89612
2022-06-06 21:04:26,0,0,0,0,0,0.125,0.125,0,24.875
2022-06-06 21:04:25,0,0,0,0.1262626,0,4.040404,0.6313131,0,24.74747
2022-06-06 21:04:24,0,0,0.1269036,0.1269036,0,7.86802,1.2690355,0,19.16244
2022-06-06 21:04:23,0,0,0,1.0165184,0,10.673443,2.668361,0,16.518424
2022-06-06 21:04:22,0,0,0,0.5037783,0,7.934509,1.763224,0,22.67003
2022-06-06 21:04:21,0,0,0,0,0,0,0,0,24.93734
2022-06-06 21:04:20,0,0,0,0.3768844,0,5.025126,0.7537688,0,24.87437
2022-06-06 21:04:19,0,0,0.1262626,0.6313131,0,11.994949,2.020202,0,15.277778
2022-06-06 21:04:18,0,0,0,0.3836317,0,12.787724,2.813299,0,13.810742
2022-06-06 21:04:17,0,0,0.2531646,0.6329114,0,9.620253,2.78481,0,14.683544
2022-06-06 21:04:16,0,0,0,0,0,0,0,0,37.46867
2022-06-06 21:04:15,0,0,0,0.1256281,0,2.889447,0.3768844,0,32.41206
2022-06-06 21:04:14,0,0,0,0.5044136,0,15.258512,2.522068,0,12.484237
2022-06-06 21:04:13,0,0,0.1259446,1.2594458,0,14.609572,2.015113,0,12.342569
2022-06-06 21:04:12,0,0,0,0.3759398,0,10.902256,2.005013,0,12.406015
2022-06-06 21:04:11,0,0,0,0,0,0.1253133,0.1253133,0,24.81203
2022-06-06 21:04:10,0,0,0,0.2518892,0,7.68262,1.1335013,0,23.04786
2022-06-06 21:04:09,0,0,0.2518892,0.6297229,0,14.987406,2.141058,0,24.55919
2022-06-06 21:04:08,0,0,0,0.1248439,0,0.9987516,0.1248439,0,24.21973
2022-06-06 21:04:07,0,0,0,0.1254705,0,3.513174,0.3764115,0,25.21957
2022-06-06 21:04:06,0,0,0,0.1257862,0,9.685535,1.2578616,0,27.2956
2022-06-06 21:04:05,0,0,0,0.5025126,0,14.572864,2.763819,0,23.61809
2022-06-06 21:04:04,0,0,0,0.5102041,0,11.989796,2.806122,0,13.265306
2022-06-06 21:04:03,0,0,0,0.5089059,0,12.086514,1.908397,0,15.776081
2022-06-06 21:04:02,0,0,0.1273885,0.3821656,0,12.738854,2.165605,0,15.159236
2022-06-06 21:04:01,0,0,0,0.125,0,2.125,0.875,0,26.5
2022-06-06 21:04:00,0,0,0,0,0,0,0.1251564,0,33.16646
