time,free,used
2022-06-09 01:20:59,12532.4,3476.79
2022-06-09 01:20:58,12532.6,3476.63
2022-06-09 01:20:57,12532.6,3476.56
2022-06-09 01:20:56,12533.3,3475.91
2022-06-09 01:20:55,12529.4,3479.78
2022-06-09 01:20:54,12526.8,3482.41
2022-06-09 01:20:53,12526.9,3482.28
2022-06-09 01:20:52,12526.7,3482.47
2022-06-09 01:20:51,12527.1,3482.12
2022-06-09 01:20:50,12526.9,3482.31
2022-06-09 01:20:49,12526.7,3482.5
2022-06-09 01:20:48,12527,3482.22
2022-06-09 01:20:47,12527,3482.22
2022-06-09 01:20:46,12526.9,3482.25
2022-06-09 01:20:45,12526.9,3482.25
2022-06-09 01:20:44,12526.7,3482.48
2022-06-09 01:20:43,12526.7,3482.47
2022-06-09 01:20:42,12527.2,3482.01
2022-06-09 01:20:41,12527.2,3482.01
2022-06-09 01:20:40,12527.2,3482.01
2022-06-09 01:20:39,12527.2,3481.95
2022-06-09 01:20:38,12527.5,3481.71
2022-06-09 01:20:37,12527.7,3481.48
2022-06-09 01:20:36,12527.5,3481.73
2022-06-09 01:20:35,12527.5,3481.73
2022-06-09 01:20:34,12527.9,3481.26
2022-06-09 01:20:33,12527.7,3481.45
2022-06-09 01:20:32,12528,3481.21
2022-06-09 01:20:31,12527.7,3481.48
2022-06-09 01:20:30,12527.7,3481.48
2022-06-09 01:20:29,12528,3481.21
2022-06-09 01:20:28,12527.7,3481.48
2022-06-09 01:20:27,12527.7,3481.48
2022-06-09 01:20:26,12527.5,3481.73
2022-06-09 01:20:25,12527.5,3481.74
2022-06-09 01:20:24,12527.4,3481.79
2022-06-09 01:20:23,12527.2,3481.98
2022-06-09 01:20:22,12527.7,3481.52
2022-06-09 01:20:21,12527.9,3481.27
2022-06-09 01:20:20,12527.9,3481.28
2022-06-09 01:20:19,12528.2,3481.02
2022-06-09 01:20:18,12527.9,3481.32
2022-06-09 01:20:17,12527.9,3481.32
2022-06-09 01:20:16,12527.8,3481.43
2022-06-09 01:20:15,12528,3481.18
2022-06-09 01:20:14,12528,3481.18
2022-06-09 01:20:13,12528,3481.21
2022-06-09 01:20:12,12528,3481.2
2022-06-09 01:20:11,12528,3481.2
2022-06-09 01:20:10,12528,3481.21
2022-06-09 01:20:09,12528,3481.24
2022-06-09 01:20:08,12527.9,3481.27
2022-06-09 01:20:07,12527.7,3481.48
2022-06-09 01:20:06,12527.9,3481.28
2022-06-09 01:20:05,12527.9,3481.28
2022-06-09 01:20:04,12528.1,3481.09
2022-06-09 01:20:03,12528.2,3481.02
2022-06-09 01:20:02,12528.5,3480.71
2022-06-09 01:20:01,12528.1,3481.06
2022-06-09 01:20:00,12528.4,3480.81
2022-06-09 01:19:59,12528.2,3480.98
2022-06-09 01:19:58,12528.3,3480.87
2022-06-09 01:19:57,12528.4,3480.81
2022-06-09 01:19:56,12528.2,3481.02
2022-06-09 01:19:55,12527.9,3481.27
2022-06-09 01:19:54,12527.9,3481.28
2022-06-09 01:19:53,12527.9,3481.28
2022-06-09 01:19:52,12528,3481.24
2022-06-09 01:19:51,12527.7,3481.48
2022-06-09 01:19:50,12527.7,3481.52
2022-06-09 01:19:49,12527.7,3481.52
2022-06-09 01:19:48,12527.4,3481.82
2022-06-09 01:19:47,12527.4,3481.82
2022-06-09 01:19:46,12527.2,3482.01
2022-06-09 01:19:45,12526.9,3482.25
2022-06-09 01:19:44,12526.9,3482.3
2022-06-09 01:19:43,12526.9,3482.25
2022-06-09 01:19:42,12526.7,3482.5
2022-06-09 01:19:41,12526.9,3482.28
2022-06-09 01:19:40,12526.9,3482.28
2022-06-09 01:19:39,12526.7,3482.48
2022-06-09 01:19:38,12526.9,3482.25
2022-06-09 01:19:37,12526.7,3482.5
2022-06-09 01:19:36,12526.9,3482.25
2022-06-09 01:19:35,12526.9,3482.28
2022-06-09 01:19:34,12526.7,3482.5
2022-06-09 01:19:33,12526.8,3482.44
2022-06-09 01:19:32,12527,3482.22
2022-06-09 01:19:31,12527,3482.16
2022-06-09 01:19:30,12526.8,3482.43
2022-06-09 01:19:29,12526.8,3482.37
2022-06-09 01:19:28,12527.1,3482.14
2022-06-09 01:19:27,12527.1,3482.13
2022-06-09 01:19:26,12527,3482.18
2022-06-09 01:19:25,12527,3482.15
2022-06-09 01:19:24,12527,3482.2
2022-06-09 01:19:23,12527.2,3481.95
2022-06-09 01:19:22,12527.2,3481.95
2022-06-09 01:19:21,12527,3482.19
2022-06-09 01:19:20,12526.8,3482.41
2022-06-09 01:19:19,12527.3,3481.91
2022-06-09 01:19:18,12527,3482.18
2022-06-09 01:19:17,12527,3482.18
2022-06-09 01:19:16,12526.7,3482.45
2022-06-09 01:19:15,12527,3482.16
2022-06-09 01:19:14,12526.8,3482.44
2022-06-09 01:19:13,12526.7,3482.45
2022-06-09 01:19:12,12526.9,3482.25
2022-06-09 01:19:11,12526.7,3482.45
2022-06-09 01:19:10,12526.6,3482.61
2022-06-09 01:19:09,12527.1,3482.05
2022-06-09 01:19:08,12527.1,3482.06
2022-06-09 01:19:07,12526.9,3482.25
2022-06-09 01:19:06,12526.9,3482.26
2022-06-09 01:19:05,12527.2,3482
2022-06-09 01:19:04,12527,3482.2
2022-06-09 01:19:03,12527.2,3481.98
2022-06-09 01:19:02,12527.1,3482.07
2022-06-09 01:19:01,12527.2,3482.01
2022-06-09 01:19:00,12527.4,3481.78
2022-06-09 01:18:59,12527.2,3482.03
2022-06-09 01:18:58,12527.2,3481.98
2022-06-09 01:18:57,12527.2,3481.98
2022-06-09 01:18:56,12527,3482.23
2022-06-09 01:18:55,12527,3482.21
2022-06-09 01:18:54,12526.7,3482.51
2022-06-09 01:18:53,12526.7,3482.48
2022-06-09 01:18:52,12527.1,3482.04
2022-06-09 01:18:51,12527,3482.23
2022-06-09 01:18:50,12527.1,3482.07
2022-06-09 01:18:49,12526.9,3482.26
2022-06-09 01:18:48,12526.9,3482.3
2022-06-09 01:18:47,12527.5,3481.73
2022-06-09 01:18:46,12527.4,3481.8
2022-06-09 01:18:45,12527.1,3482.07
2022-06-09 01:18:44,12527.4,3481.83
2022-06-09 01:18:43,12527.2,3481.97
2022-06-09 01:18:42,12527.2,3482.01
2022-06-09 01:18:41,12527.2,3481.95
2022-06-09 01:18:40,12527.4,3481.8
2022-06-09 01:18:39,12527.2,3481.96
2022-06-09 01:18:38,12527.4,3481.77
2022-06-09 01:18:37,12527.5,3481.7
2022-06-09 01:18:36,12527.7,3481.52
2022-06-09 01:18:35,12527.7,3481.48
2022-06-09 01:18:34,12527.6,3481.55
2022-06-09 01:18:33,12527.5,3481.67
2022-06-09 01:18:32,12527.5,3481.7
2022-06-09 01:18:31,12527.7,3481.52
2022-06-09 01:18:30,12527.7,3481.46
2022-06-09 01:18:29,12527.7,3481.51
2022-06-09 01:18:28,12527.5,3481.7
2022-06-09 01:18:27,12527.4,3481.77
2022-06-09 01:18:26,12527.4,3481.77
2022-06-09 01:18:25,12527.4,3481.77
2022-06-09 01:18:24,12527.7,3481.49
2022-06-09 01:18:23,12527.6,3481.58
2022-06-09 01:18:22,12527.6,3481.58
2022-06-09 01:18:21,12527.7,3481.52
2022-06-09 01:18:20,12527.6,3481.55
2022-06-09 01:18:19,12527.9,3481.3
2022-06-09 01:18:18,12527.7,3481.5
2022-06-09 01:18:17,12527.7,3481.5
2022-06-09 01:18:16,12528.1,3481.04
2022-06-09 01:18:15,12528.2,3480.97
2022-06-09 01:18:14,12528.3,3480.84
2022-06-09 01:18:13,12528.4,3480.77
2022-06-09 01:18:12,12528.2,3480.96
2022-06-09 01:18:11,12528.4,3480.75
2022-06-09 01:18:10,12528.4,3480.84
2022-06-09 01:18:09,12528.4,3480.84
2022-06-09 01:18:08,12528.2,3481.03
2022-06-09 01:18:07,12528.2,3481.03
2022-06-09 01:18:06,12528.1,3481.05
2022-06-09 01:18:05,12528.5,3480.73
2022-06-09 01:18:04,12528.4,3480.74
2022-06-09 01:18:03,12528.1,3481.1
2022-06-09 01:18:02,12528.2,3481.03
2022-06-09 01:18:01,12528.4,3480.83
2022-06-09 01:18:00,12528,3481.21
2022-06-09 01:17:59,12528.1,3481.07
2022-06-09 01:17:58,12527.9,3481.25
2022-06-09 01:17:57,12528.2,3481.01
2022-06-09 01:17:56,12528.4,3480.77
2022-06-09 01:17:55,12528.1,3481.1
2022-06-09 01:17:54,12527.9,3481.28
2022-06-09 01:17:53,12528.1,3481.1
