time,in,out
2022-06-09 01:20:59,987.1021,-50.58679
2022-06-09 01:20:58,365.263,0
2022-06-09 01:20:57,136.06027,-12.2553
2022-06-09 01:20:56,35.57465,-19.05643
2022-06-09 01:20:55,0,-121.48474
2022-06-09 01:20:54,0,-84.23295
2022-06-09 01:20:53,0,-14.970574
2022-06-09 01:20:52,0,-12.253091
2022-06-09 01:20:51,0,-9.871056
2022-06-09 01:20:50,0,-1.875853
2022-06-09 01:20:49,0,0
2022-06-09 01:20:48,0,-3.062687
2022-06-09 01:20:47,0,-31.58746
2022-06-09 01:20:46,0,-9.349856
2022-06-09 01:20:45,0,0
2022-06-09 01:20:44,0,0
2022-06-09 01:20:43,0,0
2022-06-09 01:20:42,0,-27.58042
2022-06-09 01:20:41,0,-8.419577
2022-06-09 01:20:40,0,0
2022-06-09 01:20:39,0,0
2022-06-09 01:20:38,0,0
2022-06-09 01:20:37,0,-21.44312
2022-06-09 01:20:36,0,-40.27365
2022-06-09 01:20:35,0,-10.283233
2022-06-09 01:20:34,0,0
2022-06-09 01:20:33,0,-12.252433
2022-06-09 01:20:32,0,-31.32633
2022-06-09 01:20:31,0,-8.421241
2022-06-09 01:20:30,0,0
2022-06-09 01:20:29,0,0
2022-06-09 01:20:28,0,0
2022-06-09 01:20:27,0,0
2022-06-09 01:20:26,0,-6.136899
2022-06-09 01:20:25,0,-1.863101
2022-06-09 01:20:24,0,0
2022-06-09 01:20:23,0,0
2022-06-09 01:20:22,0,-21.44895
2022-06-09 01:20:21,0,-6.551053
2022-06-09 01:20:20,0,0
2022-06-09 01:20:19,0,0
2022-06-09 01:20:18,0,0
2022-06-09 01:20:17,0,-6.132196
2022-06-09 01:20:16,0,-133.56427
2022-06-09 01:20:15,0,-40.30354
2022-06-09 01:20:14,0,0
2022-06-09 01:20:13,0,0
2022-06-09 01:20:12,0,0
2022-06-09 01:20:11,0,-9.19304
2022-06-09 01:20:10,0,-2.80696
2022-06-09 01:20:09,0,0
2022-06-09 01:20:08,0,-15.335758
2022-06-09 01:20:07,0,-4.664242
2022-06-09 01:20:06,0,-82.67964
2022-06-09 01:20:05,0,-25.32036
2022-06-09 01:20:04,0,0
2022-06-09 01:20:03,0,-328.0709
2022-06-09 01:20:02,0,-99.92913
2022-06-09 01:20:01,0,-12.273241
2022-06-09 01:20:00,0,-22.14318
2022-06-09 01:19:59,0,-5.583577
2022-06-09 01:19:58,0,-76.57513
2022-06-09 01:19:57,0,-23.42487
2022-06-09 01:19:56,0,0
2022-06-09 01:19:55,0,0
2022-06-09 01:19:54,0,-6.13257
2022-06-09 01:19:53,0,-1.86743
2022-06-09 01:19:52,0,0
2022-06-09 01:19:51,0,0
2022-06-09 01:19:50,0,0
2022-06-09 01:19:49,0,0
2022-06-09 01:19:48,0,0
2022-06-09 01:19:47,0,-18.41537
2022-06-09 01:19:46,0,-14.79333
2022-06-09 01:19:45,0,-33.49018
2022-06-09 01:19:44,0,-9.301116
2022-06-09 01:19:43,0,0
2022-06-09 01:19:42,0,0
2022-06-09 01:19:41,0,-70.42561
2022-06-09 01:19:40,0,-21.57439
2022-06-09 01:19:39,0,0
