time,in,out
2022-06-07 23:44:50,1378.5816,-36.49317
2022-06-07 23:44:49,501.0832,-1274.6359
2022-06-07 23:44:48,24.33526,-2885.466
2022-06-07 23:44:47,0,-3230.499
2022-06-07 23:44:46,0,-1991.953
2022-06-07 23:44:45,0,-398.8958
2022-06-07 23:44:44,0,-9.614034
2022-06-07 23:44:43,0,-0.9374498
2022-06-07 23:44:42,0,0
2022-06-07 23:44:41,0,0
2022-06-07 23:44:40,0,0
2022-06-07 23:44:39,0,-6.129108
2022-06-07 23:44:38,0,-11.059867
2022-06-07 23:44:37,0,-2.811024
2022-06-07 23:44:36,0,0
2022-06-07 23:44:35,0,0
2022-06-07 23:44:34,0,-33.69447
2022-06-07 23:44:33,0,-16.433306
2022-06-07 23:44:32,0,-1.872227
2022-06-07 23:44:31,0,0
2022-06-07 23:44:30,0,0
2022-06-07 23:44:29,0,-144.05857
2022-06-07 23:44:28,0,-43.94143
2022-06-07 23:44:27,0,0
2022-06-07 23:44:26,0,0
2022-06-07 23:44:25,0,-21.46141
2022-06-07 23:44:24,0,-6.538589
2022-06-07 23:44:23,0,0
2022-06-07 23:44:22,0,0
2022-06-07 23:44:21,0,0
2022-06-07 23:44:20,0,-6.125439
2022-06-07 23:44:19,0,-1.874561
2022-06-07 23:44:18,0,0
2022-06-07 23:44:17,0,0
2022-06-07 23:44:16,0,0
2022-06-07 23:44:15,0,0
2022-06-07 23:44:14,0,0
2022-06-07 23:44:13,0,0
2022-06-07 23:44:12,0,-24.52527
2022-06-07 23:44:11,0,-7.474725
2022-06-07 23:44:10,0,0
2022-06-07 23:44:09,0,0
2022-06-07 23:44:08,0,0
2022-06-07 23:44:07,0,-6.131493
2022-06-07 23:44:06,0,-1.868507
2022-06-07 23:44:05,0,0
2022-06-07 23:44:04,0,-21.45403
2022-06-07 23:44:03,0,-37.21231
2022-06-07 23:44:02,0,-9.333662
2022-06-07 23:44:01,0,0
2022-06-07 23:44:00,0,0
2022-06-07 23:43:59,0,-9.199378
2022-06-07 23:43:58,0,-97.799
2022-06-07 23:43:57,0,-29.00162
2022-06-07 23:43:56,0,0
2022-06-07 23:43:55,0,0
2022-06-07 23:43:54,0,0
2022-06-07 23:43:53,0,-21.45648
2022-06-07 23:43:52,0,-6.543519
2022-06-07 23:43:51,0,0
2022-06-07 23:43:50,0,0
2022-06-07 23:43:49,0,0
2022-06-07 23:43:48,0,-107.28482
2022-06-07 23:43:47,0,-32.71518
2022-06-07 23:43:46,0,-18.38435
2022-06-07 23:43:45,0,-5.615652
2022-06-07 23:43:44,0,0
2022-06-07 23:43:43,0,0
2022-06-07 23:43:42,0,0
2022-06-07 23:43:41,0,0
2022-06-07 23:43:40,0,-6.137733
2022-06-07 23:43:39,0,-14.122703
2022-06-07 23:43:38,0,-3.739564
2022-06-07 23:43:37,0,0
2022-06-07 23:43:36,0,0
2022-06-07 23:43:35,0,0
2022-06-07 23:43:34,0,0
2022-06-07 23:43:33,0,-58.23561
2022-06-07 23:43:32,0,-17.76439
2022-06-07 23:43:31,0,0
2022-06-07 23:43:30,0,0
2022-06-07 23:43:29,0,0
2022-06-07 23:43:28,0,-52.14166
2022-06-07 23:43:27,0,-25.05997
2022-06-07 23:43:26,0,-2.798369
2022-06-07 23:43:25,0,0
2022-06-07 23:43:24,0,0
2022-06-07 23:43:23,0,0
2022-06-07 23:43:22,0,-3.066081
2022-06-07 23:43:21,0,-16.262568
2022-06-07 23:43:20,0,-4.671352
2022-06-07 23:43:19,0,0
2022-06-07 23:43:18,0,0
2022-06-07 23:43:17,0,0
2022-06-07 23:43:16,0,0
2022-06-07 23:43:15,0,-58.31289
2022-06-07 23:43:14,0,-20.7568
2022-06-07 23:43:13,0,-0.9303186
2022-06-07 23:43:12,0,0
2022-06-07 23:43:11,0,0
2022-06-07 23:43:10,0,0
2022-06-07 23:43:09,0,0
2022-06-07 23:43:08,0,0
2022-06-07 23:43:07,0,0
2022-06-07 23:43:06,0,0
2022-06-07 23:43:05,0,0
2022-06-07 23:43:04,0,0
2022-06-07 23:43:03,0,0
2022-06-07 23:43:02,0,-39.92244
2022-06-07 23:43:01,0,-12.077557
2022-06-07 23:43:00,0,0
2022-06-07 23:42:59,0,0
2022-06-07 23:42:58,0,0
2022-06-07 23:42:57,0,-39.78399
2022-06-07 23:42:56,0,-36.76438
2022-06-07 23:42:55,0,-13.593928
2022-06-07 23:42:54,0,-1.857702
2022-06-07 23:42:53,0,0
2022-06-07 23:42:52,0,0
2022-06-07 23:42:51,0,0
2022-06-07 23:42:50,0,-36.8054
2022-06-07 23:42:49,0,-11.194597
2022-06-07 23:42:48,0,-6.141534
2022-06-07 23:42:47,0,-11.06694
2022-06-07 23:42:46,0,-2.791526
2022-06-07 23:42:45,0,-6.137752
2022-06-07 23:42:44,0,-1.862248
2022-06-07 23:42:43,0,0
2022-06-07 23:42:42,0,-24.55284
2022-06-07 23:42:41,0,-7.447155
2022-06-07 23:42:40,0,-6.129571
2022-06-07 23:42:39,0,-1.870429
2022-06-07 23:42:38,0,0
2022-06-07 23:42:37,0,-6.140589
2022-06-07 23:42:36,0,-29.42262
2022-06-07 23:42:35,0,-8.436793
2022-06-07 23:42:34,0,0
2022-06-07 23:42:33,0,0
2022-06-07 23:42:32,0,0
2022-06-07 23:42:31,0,-9.219464
2022-06-07 23:42:30,0,-8.922374
2022-06-07 23:42:29,0,-38.67158
2022-06-07 23:42:28,0,-11.186585
2022-06-07 23:42:27,0,0
2022-06-07 23:42:26,0,-64.25611
2022-06-07 23:42:25,0,-41.22904
2022-06-07 23:42:24,0,-6.514853
2022-06-07 23:42:23,0,-6.13223
2022-06-07 23:42:22,0,-4.929876
2022-06-07 23:42:21,0,-0.9378939
2022-06-07 23:42:20,0,0
2022-06-07 23:42:19,0,0
2022-06-07 23:42:18,0,0
2022-06-07 23:42:17,0,0
2022-06-07 23:42:16,0,-138.24544
2022-06-07 23:42:15,0,-41.75456
2022-06-07 23:42:14,0,-6.135386
2022-06-07 23:42:13,0,-17.18713
2022-06-07 23:42:12,0,-10.79772
2022-06-07 23:42:11,0,-8.016398
2022-06-07 23:42:10,0,-17.20295
2022-06-07 23:42:09,0,-4.660408
2022-06-07 23:42:08,0,0
2022-06-07 23:42:07,0,0
2022-06-07 23:42:06,0,-15.331626
2022-06-07 23:42:05,0,-16.91632
2022-06-07 23:42:04,0,-3.752049
2022-06-07 23:42:03,0,-9.208406
2022-06-07 23:42:02,0,-8.922511
2022-06-07 23:42:01,0,-26.35986
2022-06-07 23:42:00,0,-13.648505
2022-06-07 23:41:59,0,-1.860713
2022-06-07 23:41:58,0,-12.259619
2022-06-07 23:41:57,0,-9.886641
2022-06-07 23:41:56,0,-14.141311
2022-06-07 23:41:55,0,-61.97231
2022-06-07 23:41:54,0,-17.74012
2022-06-07 23:41:53,0,0
2022-06-07 23:41:52,0,-12.264509
2022-06-07 23:41:51,0,-16.029596
2022-06-07 23:41:50,0,-86.61309
2022-06-07 23:41:49,0,-25.0928
2022-06-07 23:41:48,0,0
2022-06-07 23:41:47,0,-46.0752
2022-06-07 23:41:46,0,-13.924801
2022-06-07 23:41:45,0,0
2022-06-07 23:41:44,0,-9.206159
2022-06-07 23:41:43,0,-11.992397
2022-06-07 23:41:42,0,-85.74382
2022-06-07 23:41:41,0,-25.05762
2022-06-07 23:41:40,0,-3.074691
2022-06-07 23:41:39,0,-7.069063
2022-06-07 23:41:38,0,-7.988408
2022-06-07 23:41:37,0,-14.155253
2022-06-07 23:41:36,0,-3.712586
2022-06-07 23:41:35,0,-43.01398
2022-06-07 23:41:34,0,-12.986023
2022-06-07 23:41:33,0,0
2022-06-07 23:41:32,0,0
2022-06-07 23:41:31,0,0
2022-06-07 23:41:30,0,-6.141584
2022-06-07 23:41:29,0,-47.88146
2022-06-07 23:41:28,0,-20.09962
2022-06-07 23:41:27,0,-17.15332
2022-06-07 23:41:26,0,-4.72402
2022-06-07 23:41:25,0,-152.94714
2022-06-07 23:41:24,0,-74.63582
2022-06-07 23:41:23,0,-8.417034
2022-06-07 23:41:22,0,-6.144098
2022-06-07 23:41:21,0,-7.986211
2022-06-07 23:41:20,0,-1.869691
2022-06-07 23:41:19,0,-15.331779
2022-06-07 23:41:18,0,-44.58943
2022-06-07 23:41:17,0,-12.078791
2022-06-07 23:41:16,0,-18.43382
2022-06-07 23:41:15,0,-5.566181
2022-06-07 23:41:14,0,-67.36641
2022-06-07 23:41:13,0,-60.50506
2022-06-07 23:41:12,0,-12.128527
2022-06-07 23:41:11,0,0
2022-06-07 23:41:10,0,0
2022-06-07 23:41:09,0,-6.1316
2022-06-07 23:41:08,0,-29.42542
2022-06-07 23:41:07,0,-29.9109
2022-06-07 23:41:06,0,-6.532081
2022-06-07 23:41:05,0,0
2022-06-07 23:41:04,0,-6.156515
2022-06-07 23:41:03,0,-11.062342
2022-06-07 23:41:02,0,-8.933987
2022-06-07 23:41:01,0,-17.17793
2022-06-07 23:41:00,0,-4.669223
2022-06-07 23:40:59,0,-42.87121
2022-06-07 23:40:58,0,-13.128785
2022-06-07 23:40:57,0,-12.249273
2022-06-07 23:40:56,0,-3.750727
2022-06-07 23:40:55,0,-21.43706
2022-06-07 23:40:54,0,-122.9505
2022-06-07 23:40:53,0,-44.79982
2022-06-07 23:40:52,0,-8.937635
2022-06-07 23:40:51,0,-1.874989
2022-06-07 23:40:50,0,-18.37657
2022-06-07 23:40:49,0,-27.06387
2022-06-07 23:40:48,0,-6.559566
2022-06-07 23:40:47,0,-6.12541
2022-06-07 23:40:46,0,-1.87459
2022-06-07 23:40:45,0,0
2022-06-07 23:40:44,3.062916,-18.3775
2022-06-07 23:40:43,0.937084,-5.622504
2022-06-07 23:40:42,0,-24.50241
2022-06-07 23:40:41,0,-7.497591
2022-06-07 23:40:40,0,-6.125637
2022-06-07 23:40:39,0,-32.50003
2022-06-07 23:40:38,0,-9.374334
2022-06-07 23:40:37,0,-18.37424
