time,in,out
2022-06-08 04:32:50,3656.456,0
2022-06-08 04:32:49,0,0
2022-06-08 04:32:48,0,0
2022-06-08 04:32:47,0,-16.709504
2022-06-08 04:32:46,0,-35.2905
2022-06-08 04:32:45,0,0
2022-06-08 04:32:44,0,0
2022-06-08 04:32:43,0,0
2022-06-08 04:32:42,0,-3.853402
2022-06-08 04:32:41,0,-8.146598
2022-06-08 04:32:40,0,0
2022-06-08 04:32:39,0,0
2022-06-08 04:32:38,0,0
2022-06-08 04:32:37,0,0
2022-06-08 04:32:36,0,-103.47572
2022-06-08 04:32:35,0,-216.5243
2022-06-08 04:32:34,0,0
2022-06-08 04:32:33,0,0
2022-06-08 04:32:32,0,0
2022-06-08 04:32:31,0,-10.286977
2022-06-08 04:32:30,0,-21.71302
2022-06-08 04:32:29,0,0
2022-06-08 04:32:28,0,0
2022-06-08 04:32:27,0,0
2022-06-08 04:32:26,0,0
2022-06-08 04:32:25,0,0
2022-06-08 04:32:24,0,0
2022-06-08 04:32:23,0,0
2022-06-08 04:32:22,0,0
2022-06-08 04:32:21,0,0
2022-06-08 04:32:20,0,0
2022-06-08 04:32:19,0,0
2022-06-08 04:32:18,0,-14.117817
2022-06-08 04:32:17,0,-29.88218
2022-06-08 04:32:16,0,0
2022-06-08 04:32:15,0,-2.591511
2022-06-08 04:32:14,0,-5.408489
2022-06-08 04:32:13,1.2890282,0
2022-06-08 04:32:12,10.44084,0
2022-06-08 04:32:11,16.270131,0
2022-06-08 04:32:10,0,0
2022-06-08 04:32:09,0,0
2022-06-08 04:32:08,0,0
2022-06-08 04:32:07,0,0
2022-06-08 04:32:06,0,-17.91646
2022-06-08 04:32:05,0,-38.08354
2022-06-08 04:32:04,0,0
2022-06-08 04:32:03,170.995,0
2022-06-08 04:32:02,361.005,0
2022-06-08 04:32:01,0,-12.797972
2022-06-08 04:32:00,0,-27.20203
2022-06-08 04:31:59,0,0
2022-06-08 04:31:58,0,0
2022-06-08 04:31:57,0,0
2022-06-08 04:31:56,0,0
2022-06-08 04:31:55,0,0
2022-06-08 04:31:54,0,0
2022-06-08 04:31:53,0,0
2022-06-08 04:31:52,0,0
2022-06-08 04:31:51,0,-1.2899993
2022-06-08 04:31:50,0,-2.710001
2022-06-08 04:31:49,0,0
2022-06-08 04:31:48,0,0
2022-06-08 04:31:47,0,0
2022-06-08 04:31:46,0,0
2022-06-08 04:31:45,0,-16.618124
2022-06-08 04:31:44,0,-35.38188
2022-06-08 04:31:43,0,0
2022-06-08 04:31:42,0,0
2022-06-08 04:31:41,0,-1.2827551
2022-06-08 04:31:40,0,-2.717245
2022-06-08 04:31:39,0,0
2022-06-08 04:31:38,0,0
2022-06-08 04:31:37,0,0
2022-06-08 04:31:36,0,-7.642386
2022-06-08 04:31:35,0,-83.91613
2022-06-08 04:31:34,0,-144.44149
2022-06-08 04:31:33,0,0
2022-06-08 04:31:32,0,0
2022-06-08 04:31:31,0,0
2022-06-08 04:31:30,0,-11.464647
2022-06-08 04:31:29,0,-24.53535
2022-06-08 04:31:28,0,0
2022-06-08 04:31:27,0,0
2022-06-08 04:31:26,0,0
2022-06-08 04:31:25,0,0
2022-06-08 04:31:24,0,0
2022-06-08 04:31:23,0,0
2022-06-08 04:31:22,0,0
2022-06-08 04:31:21,0,0
2022-06-08 04:31:20,0,0
2022-06-08 04:31:19,0,0
2022-06-08 04:31:18,0,-5.067461
2022-06-08 04:31:17,0,-10.932539
2022-06-08 04:31:16,0,0
2022-06-08 04:31:15,0,0
2022-06-08 04:31:14,0,0
2022-06-08 04:31:13,1.2654161,0
2022-06-08 04:31:12,100.29645,0
2022-06-08 04:31:11,210.4381,0
2022-06-08 04:31:10,0,0
2022-06-08 04:31:09,0,-7.623668
2022-06-08 04:31:08,0,-16.376332
2022-06-08 04:31:07,0,0
2022-06-08 04:31:06,0,-10.143827
2022-06-08 04:31:05,0,-143.58887
2022-06-08 04:31:04,0,-262.2673
2022-06-08 04:31:03,30.71932,-24.31946
2022-06-08 04:31:02,65.28068,-51.68054
2022-06-08 04:31:01,0,0
2022-06-08 04:31:00,1.2732784,-11026.591
2022-06-08 04:30:59,2.726722,-23689.49
2022-06-08 04:30:58,16.487958,-186.7457
2022-06-08 04:30:57,35.51204,-49.17052
2022-06-08 04:30:56,0,0
2022-06-08 04:30:55,0,-10.153282
2022-06-08 04:30:54,0,-35.87539
2022-06-08 04:30:53,0,-29.97133
2022-06-08 04:30:52,0,0
2022-06-08 04:30:51,0,0
2022-06-08 04:30:50,0,-23129.23
2022-06-08 04:30:49,1.2774091,-68559.35
2022-06-08 04:30:48,2.722591,-40411.42
2022-06-08 04:30:47,0,0
2022-06-08 04:30:46,0,0
2022-06-08 04:30:45,0,-10.171457
2022-06-08 04:30:44,0,-21.82854
2022-06-08 04:30:43,0,0
2022-06-08 04:30:42,0,0
2022-06-08 04:30:41,0,0
2022-06-08 04:30:40,0,0
2022-06-08 04:30:39,1.2711569,-41979.96
2022-06-08 04:30:38,2.728843,-90120.04
2022-06-08 04:30:37,0,-8.906542
2022-06-08 04:30:36,0,-19.09346
2022-06-08 04:30:35,0,-122.18577
2022-06-08 04:30:34,0,-288.4554
2022-06-08 04:30:33,0,-61.19448
2022-06-08 04:30:32,0,-8.16434
2022-06-08 04:30:31,0,0
2022-06-08 04:30:30,0,0
2022-06-08 04:30:29,0,-24020.81
2022-06-08 04:30:28,2.551634,-102676.99
2022-06-08 04:30:27,6.732772,-108662.2
2022-06-08 04:30:26,2.715594,0
2022-06-08 04:30:25,0,0
2022-06-08 04:30:24,0,-3.880163
2022-06-08 04:30:23,0,-26.17249
2022-06-08 04:30:22,0,-37.94735
2022-06-08 04:30:21,0,0
2022-06-08 04:30:20,0,0
2022-06-08 04:30:19,0,-12.9134
2022-06-08 04:30:18,0,-27.0866
2022-06-08 04:30:17,0,0
2022-06-08 04:30:16,0,0
2022-06-08 04:30:15,0,0
2022-06-08 04:30:14,0,-10.290292
2022-06-08 04:30:13,1.2868268,-45294.85
2022-06-08 04:30:12,4.009468,-135468.88
2022-06-08 04:30:11,2.703705,-83457.98
2022-06-08 04:30:10,0,0
2022-06-08 04:30:09,0,-16.655995
2022-06-08 04:30:08,0,-35.34401
2022-06-08 04:30:07,0,0
2022-06-08 04:30:06,0,0
2022-06-08 04:30:05,0,0
2022-06-08 04:30:04,0,-101.65354
2022-06-08 04:30:03,0,-222.0972
2022-06-08 04:30:02,1.2812626,-42329.95
2022-06-08 04:30:01,2.718737,-89786.3
2022-06-08 04:30:00,0,0
2022-06-08 04:29:59,0,-23.27509
2022-06-08 04:29:58,0,-57.72076
2022-06-08 04:29:57,0,-29373.75
2022-06-08 04:29:56,1.2874125,-75303.08
2022-06-08 04:29:55,2.712587,-27774.18
2022-06-08 04:29:54,0,-16.742289
2022-06-08 04:29:53,0,-58.32818
2022-06-08 04:29:52,0,-48.92953
2022-06-08 04:29:51,0,-88.56859
2022-06-08 04:29:50,0,-187.4314
2022-06-08 04:29:49,0,-9.041048
2022-06-08 04:29:48,0,-18.95895
2022-06-08 04:29:47,0,0
2022-06-08 04:29:46,0,-59.19201
2022-06-08 04:29:45,0,-124.80799
2022-06-08 04:29:44,0,-24.48338
2022-06-08 04:29:43,0,-60.55643
2022-06-08 04:29:42,0,-18.96019
2022-06-08 04:29:41,0,-60.27401
2022-06-08 04:29:40,0,-127.72599
2022-06-08 04:29:39,0,-19.32711
2022-06-08 04:29:38,0,-40.67289
2022-06-08 04:29:37,0,-2.563642
2022-06-08 04:29:36,1.2861574,-42575.96
2022-06-08 04:29:35,2.713843,-89825.48
2022-06-08 04:29:34,0,-10.365983
2022-06-08 04:29:33,0,-21.63402
2022-06-08 04:29:32,0,0
2022-06-08 04:29:31,0,-113.45565
2022-06-08 04:29:30,0,-238.5443
2022-06-08 04:29:29,0,-38.46537
2022-06-08 04:29:28,0,-81.53463
2022-06-08 04:29:27,0,0
2022-06-08 04:29:26,0,-6.407289
2022-06-08 04:29:25,0,-121.72634
2022-06-08 04:29:24,0,-256.2976
2022-06-08 04:29:23,0,-59.56876
2022-06-08 04:29:22,0,-12.811831
2022-06-08 04:29:21,0,-27.18817
2022-06-08 04:29:20,1.2994599,-65633.12
2022-06-08 04:29:19,2.70054,-136417.15
2022-06-08 04:29:18,0,-41.63737
2022-06-08 04:29:17,0,-35.08222
2022-06-08 04:29:16,0,-57.01571
2022-06-08 04:29:15,0,-107.68735
2022-06-08 04:29:14,0,-228.3127
2022-06-08 04:29:13,0,-109.87475
2022-06-08 04:29:12,0,-239.1872
