time,in,out
2022-06-08 04:32:51,4.70755,-7.802293
2022-06-08 04:32:50,8.061926,-12.845172
2022-06-08 04:32:49,1.4934056,-5.63017
2022-06-08 04:32:48,2.435766,-8.787181
2022-06-08 04:32:47,1.3192596,-6.53671
2022-06-08 04:32:46,0.8008793,-3.828203
2022-06-08 04:32:45,1.062693,-5.197246
2022-06-08 04:32:44,1.3196457,-6.538813
2022-06-08 04:32:43,0.8010826,-3.829175
2022-06-08 04:32:42,1.0637994,-5.202651
2022-06-08 04:32:41,1.3193984,-6.537515
2022-06-08 04:32:40,0.8012253,-3.829857
2022-06-08 04:32:39,1.973938,-7.390265
2022-06-08 04:32:38,3.096413,-10.801856
2022-06-08 04:32:37,0.8000974,-3.824466
2022-06-08 04:32:36,1.06657,-5.216256
2022-06-08 04:32:35,1.3173256,-6.527245
2022-06-08 04:32:34,0.800073,-3.824349
2022-06-08 04:32:33,1.0667859,-5.217328
2022-06-08 04:32:32,1.3173723,-6.527428
2022-06-08 04:32:31,0.8001169,-3.824559
2022-06-08 04:32:30,1.0669585,-5.218252
2022-06-08 04:32:29,2.01795,-8.35628
2022-06-08 04:32:28,2.164946,-7.386333
2022-06-08 04:32:27,1.0638672,-5.203203
2022-06-08 04:32:26,1.318731,-6.534096
2022-06-08 04:32:25,0.8010249,-3.828899
2022-06-08 04:32:24,1.0639334,-5.203451
2022-06-08 04:32:23,1.318787,-6.534432
2022-06-08 04:32:22,0.8009394,-3.828491
2022-06-08 04:32:21,1.0636213,-5.201816
2022-06-08 04:32:20,1.317916,-6.530412
2022-06-08 04:32:19,1.4928362,-5.630652
2022-06-08 04:32:18,2.436157,-8.785482
2022-06-08 04:32:17,1.3196996,-6.539178
2022-06-08 04:32:16,0.8009312,-3.828451
2022-06-08 04:32:15,1.0626297,-5.196673
2022-06-08 04:32:14,1.3199508,-6.540541
2022-06-08 04:32:13,0.8008818,-3.828215
2022-06-08 04:32:12,1.0621735,-5.194274
2022-06-08 04:32:11,1.320466,-6.543223
2022-06-08 04:32:10,0.8009749,-3.82866
2022-06-08 04:32:09,1.759055,-7.016078
2022-06-08 04:32:08,2.690698,-10.120298
2022-06-08 04:32:07,0.8013293,-3.830354
2022-06-08 04:32:06,1.0671099,-5.21955
2022-06-08 04:32:05,2.16752,-7.418453
2022-06-08 04:32:04,2.44449,-5.549794
2022-06-08 04:32:03,1.0665114,-5.216363
2022-06-08 04:32:02,1.3189514,-6.534629
2022-06-08 04:32:01,0.7967809,-3.808613
2022-06-08 04:32:00,1.0671734,-5.219287
2022-06-08 04:31:59,2.018703,-8.358636
2022-06-08 04:31:58,2.162959,-7.378072
2022-06-08 04:31:57,1.0630716,-5.198962
2022-06-08 04:31:56,1.3197789,-6.539543
2022-06-08 04:31:55,0.7999236,-3.823635
2022-06-08 04:31:54,1.2800152,-7.008854
2022-06-08 04:31:53,1.743916,-10.086817
2022-06-08 04:31:52,0.8000557,-3.824266
2022-06-08 04:31:51,1.0641702,-5.204182
2022-06-08 04:31:50,1.3198102,-6.539724
2022-06-08 04:31:49,1.4958875,-5.639329
2022-06-08 04:31:48,2.432395,-8.773412
2022-06-08 04:31:47,1.3198978,-6.540123
2022-06-08 04:31:46,0.8004471,-3.826137
2022-06-08 04:31:45,1.0654434,-5.210682
2022-06-08 04:31:44,1.3184016,-6.532577
2022-06-08 04:31:43,0.800389,-3.825859
2022-06-08 04:31:42,1.064414,-5.205586
2022-06-08 04:31:41,1.3199297,-6.540056
2022-06-08 04:31:40,0.7988579,-3.818541
2022-06-08 04:31:39,1.971545,-7.384821
2022-06-08 04:31:38,3.100441,-10.815109
2022-06-08 04:31:37,0.7999945,-3.823974
2022-06-08 04:31:36,1.0645071,-5.205872
2022-06-08 04:31:35,2.161043,-7.404
2022-06-08 04:31:34,2.45462,-5.526941
2022-06-08 04:31:33,1.0646745,-5.206746
2022-06-08 04:31:32,1.3194191,-6.537701
2022-06-08 04:31:31,0.8004822,-3.826305
2022-06-08 04:31:30,1.066842,-5.217711
2022-06-08 04:31:29,2.018637,-8.358361
2022-06-08 04:31:28,2.163176,-7.37906
2022-06-08 04:31:27,1.0628745,-5.198017
2022-06-08 04:31:26,1.3208204,-6.544524
2022-06-08 04:31:25,0.800849,-3.828058
