time,free,used,cached,buffers
2022-06-07 07:03:46,278.0703,424.4648,31380.43,29.27734
2022-06-07 07:03:45,280.6211,424.3906,31378.21,29.01172
2022-06-07 07:03:44,263.1211,453.5078,31366.62,28.98828
2022-06-07 07:03:43,264.2734,453.5664,31365.41,28.98438
2022-06-07 07:03:42,248.7148,453.7891,31380.75,28.98438
2022-06-07 07:03:41,234.5547,454.5156,31394.19,28.98047
2022-06-07 07:03:40,276.6758,454.4023,31352.18,28.98047
2022-06-07 07:03:39,258.9727,455.4219,31368.89,28.95703
2022-06-07 07:03:38,258.9258,455.4688,31368.89,28.95703
2022-06-07 07:03:37,259.1328,455.7188,31368.43,28.95703
2022-06-07 07:03:36,266.0195,456.3984,31360.87,28.95312
2022-06-07 07:03:35,254.9844,455.0078,31373.29,28.95312
2022-06-07 07:03:34,241.668,455.2773,31386.36,28.9375
2022-06-07 07:03:33,241.9766,454.9688,31386.36,28.9375
2022-06-07 07:03:32,262.3047,455.9102,31365.09,28.9375
2022-06-07 07:03:31,260.3477,455.1719,31367.79,28.93359
2022-06-07 07:03:30,253.9844,454.8867,31374.43,28.93359
2022-06-07 07:03:29,267.0977,455.1602,31361.06,28.92188
2022-06-07 07:03:28,276.1719,455.2109,31351.95,28.91016
2022-06-07 07:03:27,276.1094,455.2734,31351.95,28.91016
2022-06-07 07:03:26,276.6445,455.0195,31351.67,28.90625
2022-06-07 07:03:25,245.0898,455.1797,31383.06,28.90625
2022-06-07 07:03:24,279.2344,456.043,31348.06,28.89844
2022-06-07 07:03:23,251.5234,456.0156,31375.81,28.88672
2022-06-07 07:03:22,251.5859,455.9531,31375.81,28.88672
2022-06-07 07:03:21,273.5039,456.6328,31353.21,28.88672
2022-06-07 07:03:20,238.0938,455.3867,31389.88,28.88281
2022-06-07 07:03:19,240.5273,455.0703,31387.77,28.875
2022-06-07 07:03:18,256.8984,454.8555,31371.62,28.85938
2022-06-07 07:03:17,257.8359,454.9336,31370.61,28.85547
2022-06-07 07:03:16,266.9414,454.8945,31361.55,28.85547
2022-06-07 07:03:15,275.9688,455.375,31352.04,28.85156
2022-06-07 07:03:14,254.6953,454.5625,31374.13,28.85156
2022-06-07 07:03:13,243.1641,454.8594,31385.38,28.83984
2022-06-07 07:03:12,259.9883,454.7852,31368.63,28.83203
2022-06-07 07:03:11,280.6289,455.3125,31347.46,28.83203
2022-06-07 07:03:10,270.7383,455.1914,31357.48,28.82812
2022-06-07 07:03:09,261.082,454.5312,31367.8,28.82812
2022-06-07 07:03:08,244.8047,455.4258,31383.19,28.81641
2022-06-07 07:03:07,245.2812,455.8008,31382.34,28.8125
2022-06-07 07:03:06,245.2734,455.8086,31382.34,28.8125
2022-06-07 07:03:05,245.7734,455.8984,31381.76,28.80859
2022-06-07 07:03:04,266.6836,455.9414,31360.81,28.80469
2022-06-07 07:03:03,275.4609,456.9648,31351.02,28.78906
2022-06-07 07:03:02,275.7344,456.6094,31351.12,28.77734
2022-06-07 07:03:01,277.4648,456.293,31349.71,28.77344
2022-06-07 07:03:00,278.7422,456.2148,31348.51,28.77344
2022-06-07 07:02:59,263.6445,456.8164,31363.01,28.76953
2022-06-07 07:02:58,283.8086,454.582,31345.09,28.75781
2022-06-07 07:02:57,255.6641,455.3086,31372.51,28.75781
2022-06-07 07:02:56,273.4922,454.8008,31355.2,28.75
2022-06-07 07:02:55,278.9844,454.8477,31349.66,28.75
2022-06-07 07:02:54,283.0508,454.6875,31345.75,28.74609
2022-06-07 07:02:53,269.7266,454.1211,31359.65,28.73828
2022-06-07 07:02:52,257.6602,454.9531,31370.89,28.73438
2022-06-07 07:02:51,278.8008,454.0742,31350.64,28.72656
2022-06-07 07:02:50,279.4297,454.6953,31349.39,28.72656
2022-06-07 07:02:49,270.2422,453.1484,31360.12,28.72266
2022-06-07 07:02:48,250.3477,454.8008,31378.38,28.71484
2022-06-07 07:02:47,278.9805,455.7852,31348.76,28.71094
2022-06-07 07:02:46,251.6094,455.1211,31376.8,28.70312
2022-06-07 07:02:45,252.4805,455.6133,31375.44,28.70312
2022-06-07 07:02:44,235.4258,457.4414,31390.67,28.69922
2022-06-07 07:02:43,240.9375,456.8242,31385.79,28.68359
2022-06-07 07:02:42,253.2773,456.1289,31374.15,28.68359
2022-06-07 07:02:41,255.6055,455.4883,31372.46,28.68359
2022-06-07 07:02:40,231.8633,455.9844,31395.71,28.68359
2022-06-07 07:02:39,282.1016,455.9375,31345.52,28.67969
2022-06-07 07:02:38,241.668,456.2188,31385.69,28.66016
2022-06-07 07:02:37,242.7891,457.0703,31383.72,28.66016
2022-06-07 07:02:36,244.4922,455.4375,31383.65,28.66016
2022-06-07 07:02:35,253.4414,456.25,31373.89,28.66016
2022-06-07 07:02:34,255.0156,456.2656,31372.3,28.65625
2022-06-07 07:02:33,241.6562,455.5664,31386.38,28.63672
2022-06-07 07:02:32,242.0391,455.4805,31386.08,28.63672
2022-06-07 07:02:31,232.8789,455.8594,31394.86,28.63672
2022-06-07 07:02:30,243.6641,454.9219,31385.02,28.63672
2022-06-07 07:02:29,246.8906,455.875,31380.84,28.63281
2022-06-07 07:02:28,239.6875,455.2305,31388.71,28.61328
2022-06-07 07:02:27,239.3945,455.5234,31388.71,28.61328
2022-06-07 07:02:26,278.7617,455.3672,31349.5,28.61328
2022-06-07 07:02:25,265.8828,454.9922,31362.75,28.61328
2022-06-07 07:02:24,270.8164,455.4141,31357.4,28.60938
2022-06-07 07:02:23,281.8477,453.6758,31348.13,28.58594
2022-06-07 07:02:22,281.9297,453.8789,31347.84,28.58594
2022-06-07 07:02:21,262.8633,454.1484,31366.64,28.58594
