time,in,out
2022-06-06 20:16:27,2199.25,-4137.36
2022-06-06 20:16:28,24469.1,-3551.37
2022-06-06 20:16:29,859865,-2668.54
2022-06-06 20:16:30,992906,-2447.81
2022-06-06 20:16:31,283028,-1866.45
2022-06-06 20:16:32,15602.8,-856.944
2022-06-06 20:16:33,1889.6,-200.601
2022-06-06 20:16:34,158.555,-778.702
2022-06-06 20:16:35,3.84936,-1963.43
2022-06-06 20:16:36,0,-780.999
2022-06-06 20:16:37,0,-14.7956
2022-06-06 20:16:38,4.86768,-1.20442
2022-06-06 20:16:39,763980,-44831.9
2022-06-06 20:16:40,892464,-104348
2022-06-06 20:16:41,337236,-40036.4
2022-06-06 20:16:42,51974.5,-22.8278
2022-06-06 20:16:43,0,-141.235
2022-06-06 20:16:44,0,-75891
2022-06-06 20:16:45,1497.27,-312239
2022-06-06 20:16:46,335.6,-324970
2022-06-06 20:16:47,6.83198,-171116
2022-06-06 20:16:48,13.3192,-338755
2022-06-06 20:16:49,709479,-269283
2022-06-06 20:16:50,715022,-23611.7
2022-06-06 20:16:51,451451,-325.26
2022-06-06 20:16:52,167449,-23.7101
2022-06-06 20:16:53,13778.7,-10745
2022-06-06 20:16:54,28.8318,-311365
2022-06-06 20:16:55,3.13979,-126228
2022-06-06 20:16:56,10.3768,-5381.07
2022-06-06 20:16:57,9.62321,-6312.64
2022-06-06 20:16:58,53370.4,-388125
2022-06-06 20:16:59,677053,-504658
2022-06-06 20:17:00,707108,-215363
2022-06-06 20:17:01,420930,-79900.8
2022-06-06 20:17:02,176898,-635.756
2022-06-06 20:17:03,22537.4,-80253.8
2022-06-06 20:17:04,7.28806,-425057
2022-06-06 20:17:05,9.57419,-719018
2022-06-06 20:17:06,14.588,-846191
2022-06-06 20:17:07,8.54974,-477690
2022-06-06 20:17:08,107099,-54459.9
2022-06-06 20:17:09,727180,-120.151
2022-06-06 20:17:10,652001,-85.0474
2022-06-06 20:17:11,282511,-27.5846
2022-06-06 20:17:12,207076,-11.0954
2022-06-06 20:17:13,80107.9,-21.6554
2022-06-06 20:17:14,0,-60.3899
2022-06-06 20:17:15,0,-14253
2022-06-06 20:17:16,0,-123028
2022-06-06 20:17:17,4897.47,-320778
2022-06-06 20:17:18,222234,-744405
2022-06-06 20:17:19,730648,-333749
2022-06-06 20:17:20,630403,-88209.5
2022-06-06 20:17:21,346962,-13520.7
2022-06-06 20:17:22,120216,-99.7463
2022-06-06 20:17:23,0,-51456.6
2022-06-06 20:17:24,7.17521,-498615
2022-06-06 20:17:25,14.5439,-796336
2022-06-06 20:17:26,8.71414,-515436
2022-06-06 20:17:27,1.5667,-101505
2022-06-06 20:17:28,230756,-106261
2022-06-06 20:17:29,678117,-99834.5
2022-06-06 20:17:30,735841,-35.1544
2022-06-06 20:17:31,334737,-21.7487
2022-06-06 20:17:32,82712.5,-26.9782
2022-06-06 20:17:33,381.57,-2962.25
2022-06-06 20:17:34,866.267,-53128.8
2022-06-06 20:17:35,402.594,-166021
2022-06-06 20:17:36,1.56973,-296515
2022-06-06 20:17:37,125.735,-514715
2022-06-06 20:17:38,47960.7,-950172
2022-06-06 20:17:39,701038,-371869
2022-06-06 20:17:40,805951,-154007
2022-06-06 20:17:41,284183,-51915.7
2022-06-06 20:17:42,163285,-111.724
2022-06-06 20:17:43,55776.3,-8943.48
2022-06-06 20:17:44,0,-134757
2022-06-06 20:17:45,2.43308,-147326
2022-06-06 20:17:46,3.98761,-265395
2022-06-06 20:17:47,6.41493,-512256
2022-06-06 20:17:48,3.16438,-591221
2022-06-06 20:17:49,678242,-231539
2022-06-06 20:17:50,748791,-75303
2022-06-06 20:17:51,263393,-95.568
2022-06-06 20:17:52,238135,-145.899
2022-06-06 20:17:53,120198,-62.101
2022-06-06 20:17:54,0,-32.8388
2022-06-06 20:17:55,0,-7.16121
2022-06-06 20:17:56,2.41642,-79166.5
2022-06-06 20:17:57,365.27,-581033
2022-06-06 20:17:58,86.753,-794580
2022-06-06 20:17:59,640850,-543317
2022-06-06 20:18:00,798364,-228862
2022-06-06 20:18:01,324460,-31530
2022-06-06 20:18:02,215841,-196.921
2022-06-06 20:18:03,80553.8,-87.4858
2022-06-06 20:18:04,0,-44.9576
2022-06-06 20:18:05,0,-26.6356
2022-06-06 20:18:06,2.42131,-68280.3
2022-06-06 20:18:07,13.3535,-611776
2022-06-06 20:18:08,15.5257,-799987
2022-06-06 20:18:09,667041,-421030
2022-06-06 20:18:10,805710,-50480.9
2022-06-06 20:18:11,390627,-32.6882
2022-06-06 20:18:12,173748,-189.811
2022-06-06 20:18:13,20307.5,-43.0593
2022-06-06 20:18:14,0,-38.9338
2022-06-06 20:18:15,1012.86,-58.2716
2022-06-06 20:18:16,1062.51,-82151.8
2022-06-06 20:18:17,17.4958,-605509
2022-06-06 20:18:18,9.28248,-770998
2022-06-06 20:18:19,600230,-504608
2022-06-06 20:18:20,766949,-98250.3
2022-06-06 20:18:21,485835,-21.2868
2022-06-06 20:18:22,181485,-173.325
2022-06-06 20:18:23,20737.9,-135.422
2022-06-06 20:18:24,0,-46.2404
2022-06-06 20:18:25,1238.43,-70.4313
2022-06-06 20:18:26,797.566,-47508.4
2022-06-06 20:18:27,7.28191,-548311
2022-06-06 20:18:28,1611.7,-823421
2022-06-06 20:18:29,620312,-602786
2022-06-06 20:18:30,835181,-154867
2022-06-06 20:18:31,378090,-30.4794
2022-06-06 20:18:32,185897,-234.801
2022-06-06 20:18:33,40476.1,-73.6313
2022-06-06 20:18:34,0,-67344.6
2022-06-06 20:18:35,0,-18401.3
2022-06-06 20:18:36,2.42056,-58886.9
2022-06-06 20:18:37,6.4286,-585301
2022-06-06 20:18:38,52425.2,-805383
2022-06-06 20:18:39,574460,-399291
2022-06-06 20:18:40,784759,-105098
2022-06-06 20:18:41,442223,-9.34791
2022-06-06 20:18:42,175196,-119.191
2022-06-06 20:18:43,21744.5,-64.8094
2022-06-06 20:18:44,953.887,-113.18
2022-06-06 20:18:45,192.621,-112.776
2022-06-06 20:18:46,9.49171,-116028
2022-06-06 20:18:47,2.4211,-372175
2022-06-06 20:18:48,116517,-733601
2022-06-06 20:18:49,427566,-707120
2022-06-06 20:18:50,439649,-324603
2022-06-06 20:18:51,560523,-97061
2022-06-06 20:18:52,378549,-19282.6
2022-06-06 20:18:53,123277,-95.3725
2022-06-06 20:18:54,15043.6,-74.3102
2022-06-06 20:18:55,0,-15283.9
2022-06-06 20:18:56,2.07518,-151199
2022-06-06 20:18:57,653.423,-384810
2022-06-06 20:18:58,167481,-554457
2022-06-06 20:18:59,404635,-485389
2022-06-06 20:19:00,441344,-152292
2022-06-06 20:19:01,411296,-112.939
2022-06-06 20:19:02,377681,-91.3444
2022-06-06 20:19:03,210114,-12.2171
2022-06-06 20:19:04,45349.1,-43.7966
2022-06-06 20:19:05,42.9461,-48172
