time,free,used
2022-06-06 22:03:46,15673.8,335.395
2022-06-06 22:03:45,15673.6,335.562
2022-06-06 22:03:44,15414.3,594.879
2022-06-06 22:03:43,15414.2,594.926
2022-06-06 22:03:42,15415.3,593.863
2022-06-06 22:03:41,15415,594.148
2022-06-06 22:03:40,15415.6,593.562
2022-06-06 22:03:39,15415.5,593.648
2022-06-06 22:03:38,15415.3,593.84
2022-06-06 22:03:37,15415.3,593.895
2022-06-06 22:03:36,15415.6,593.562
2022-06-06 22:03:35,15414.8,594.359
2022-06-06 22:03:34,15414.9,594.316
2022-06-06 22:03:33,15414.7,594.434
2022-06-06 22:03:32,15414.9,594.316
2022-06-06 22:03:31,15414.7,594.441
2022-06-06 22:03:30,15414.7,594.516
2022-06-06 22:03:29,15414.9,594.281
2022-06-06 22:03:28,15414.8,594.359
2022-06-06 22:03:27,15414.8,594.352
2022-06-06 22:03:26,15415,594.148
2022-06-06 22:03:25,15415.2,594.016
2022-06-06 22:03:24,15415.1,594.082
2022-06-06 22:03:23,15414.6,594.621
2022-06-06 22:03:22,15414.4,594.77
2022-06-06 22:03:21,15414.2,594.961
2022-06-06 22:03:20,15414.4,594.762
2022-06-06 22:03:19,15415.1,594.121
2022-06-06 22:03:18,15415.6,593.551
2022-06-06 22:03:17,15415.6,593.559
2022-06-06 22:03:16,15415.6,593.551
2022-06-06 22:03:15,15416.1,593.094
2022-06-06 22:03:14,15416.1,593.082
2022-06-06 22:03:13,15413.6,595.535
2022-06-06 22:03:12,15414.9,594.277
2022-06-06 22:03:11,15414.9,594.277
2022-06-06 22:03:10,15415.2,593.945
2022-06-06 22:03:09,15415.3,593.836
2022-06-06 22:03:08,15414.7,594.461
2022-06-06 22:03:07,15414.5,594.723
2022-06-06 22:03:06,15414.5,594.723
2022-06-06 22:03:05,15414.6,594.582
2022-06-06 22:03:04,15414.2,595.012
2022-06-06 22:03:03,15417,592.141
2022-06-06 22:03:02,15414,595.211
2022-06-06 22:03:01,15412.3,596.879
2022-06-06 22:03:00,15412.2,596.957
2022-06-06 22:02:59,15413.4,595.773
2022-06-06 22:02:58,15414.1,595.062
2022-06-06 22:02:57,15416.1,593.109
2022-06-06 22:02:56,15416.6,592.543
2022-06-06 22:02:55,15416.1,593.105
2022-06-06 22:02:54,15416.2,592.945
2022-06-06 22:02:53,15414.5,594.684
2022-06-06 22:02:52,15414.6,594.566
2022-06-06 22:02:51,15414.6,594.574
2022-06-06 22:02:50,15414.4,594.82
2022-06-06 22:02:49,15414.1,595.066
2022-06-06 22:02:48,15414.5,594.723
2022-06-06 22:02:47,15414.2,594.977
2022-06-06 22:02:46,15414.2,594.977
2022-06-06 22:02:45,15414,595.223
2022-06-06 22:02:44,15413.8,595.332
2022-06-06 22:02:43,15414,595.223
2022-06-06 22:02:42,15413.9,595.227
2022-06-06 22:02:41,15413.4,595.77
2022-06-06 22:02:40,15413.9,595.309
2022-06-06 22:02:39,15413.3,595.887
2022-06-06 22:02:38,15414.1,595.105
2022-06-06 22:02:37,15414,595.133
2022-06-06 22:02:36,15413.9,595.234
2022-06-06 22:02:35,15413.9,595.238
2022-06-06 22:02:34,15415.7,593.477
2022-06-06 22:02:33,15415.4,593.727
2022-06-06 22:02:32,15416,593.219
2022-06-06 22:02:31,15416,593.211
2022-06-06 22:02:30,15415.7,593.523
2022-06-06 22:02:29,15415.7,593.508
2022-06-06 22:02:28,15415.7,593.508
2022-06-06 22:02:27,15416.1,593.09
2022-06-06 22:02:26,15415.8,593.336
2022-06-06 22:02:25,15416.1,593.09
2022-06-06 22:02:24,15415.8,593.336
2022-06-06 22:02:23,15416.1,593.09
2022-06-06 22:02:22,15415.8,593.328
2022-06-06 22:02:21,15416.2,592.984
2022-06-06 22:02:20,15417.2,591.969
2022-06-06 22:02:19,15415.1,594.074
2022-06-06 22:02:18,15415,594.145
2022-06-06 22:02:17,15415.2,593.973
2022-06-06 22:02:16,15414.8,594.336
2022-06-06 22:02:15,15414.9,594.227
2022-06-06 22:02:14,15414.8,594.375
2022-06-06 22:02:13,15415.7,593.516
2022-06-06 22:02:12,15415.4,593.746
2022-06-06 22:02:11,15415.9,593.246
2022-06-06 22:02:10,15415.7,593.5
2022-06-06 22:02:09,15416.2,593.023
2022-06-06 22:02:08,15415.9,593.262
2022-06-06 22:02:07,15415.6,593.551
2022-06-06 22:02:06,15416.1,593.047
2022-06-06 22:02:05,15415.7,593.496
2022-06-06 22:02:04,15415.6,593.555
2022-06-06 22:02:03,15415.4,593.773
2022-06-06 22:02:02,15415.4,593.777
2022-06-06 22:02:01,15415.4,593.777
2022-06-06 22:02:00,15415.2,594.02
2022-06-06 22:01:59,15415.3,593.875
2022-06-06 22:01:58,15414.8,594.375
2022-06-06 22:01:57,15414.9,594.293
2022-06-06 22:01:56,15414.6,594.609
2022-06-06 22:01:55,15414.5,594.684
2022-06-06 22:01:54,15415.6,593.598
2022-06-06 22:01:53,15414.1,595.035
2022-06-06 22:01:52,15414.2,594.957
2022-06-06 22:01:51,15414.5,594.711
2022-06-06 22:01:50,15414.4,594.73
2022-06-06 22:01:49,15414.8,594.332
2022-06-06 22:01:48,15413.6,595.613
2022-06-06 22:01:47,15414.2,595.02
2022-06-06 22:01:46,15414.2,594.957
2022-06-06 22:01:45,15414.6,594.59
2022-06-06 22:01:44,15414.3,594.891
2022-06-06 22:01:43,15414.1,595.082
2022-06-06 22:01:42,15414.3,594.836
2022-06-06 22:01:41,15414.5,594.711
2022-06-06 22:01:40,15416,593.156
2022-06-06 22:01:39,15415.2,593.938
2022-06-06 22:01:38,15415.5,593.66
2022-06-06 22:01:37,15415.2,594.02
2022-06-06 22:01:36,15415.5,593.684
2022-06-06 22:01:35,15415,594.184
2022-06-06 22:01:34,15415.5,593.676
2022-06-06 22:01:33,15415.4,593.824
2022-06-06 22:01:32,15416,593.211
2022-06-06 22:01:31,15415.7,593.481
2022-06-06 22:01:30,15415.5,593.719
2022-06-06 22:01:29,15415.7,593.481
2022-06-06 22:01:28,15415.9,593.227
2022-06-06 22:01:27,15415.7,593.481
2022-06-06 22:01:26,15415.6,593.586
2022-06-06 22:01:25,15415.7,593.469
2022-06-06 22:01:24,15415.4,593.731
2022-06-06 22:01:23,15415.8,593.383
2022-06-06 22:01:22,15415.5,593.637
2022-06-06 22:01:21,15415.5,593.648
2022-06-06 22:01:20,15415.1,594.109
2022-06-06 22:01:19,15413.9,595.281
2022-06-06 22:01:18,15414.4,594.777
2022-06-06 22:01:17,15414.1,595.063
2022-06-06 22:01:16,15414,595.133
2022-06-06 22:01:15,15413.9,595.309
2022-06-06 22:01:14,15414,595.156
2022-06-06 22:01:13,15414.2,594.953
2022-06-06 22:01:12,15414.2,595.008
2022-06-06 22:01:11,15414,595.199
2022-06-06 22:01:10,15413.8,595.336
2022-06-06 22:01:09,15413.9,595.32
2022-06-06 22:01:08,15413.5,595.664
2022-06-06 22:01:07,15413.2,595.981
2022-06-06 22:01:06,15412.9,596.242
2022-06-06 22:01:05,15412.6,596.531
2022-06-06 22:01:04,15414.1,595.059
2022-06-06 22:01:03,15414.3,594.836
2022-06-06 22:01:02,15414.5,594.684
2022-06-06 22:01:01,15415.2,593.945
2022-06-06 22:01:00,15414.9,594.285
2022-06-06 22:00:59,15413.5,595.688
2022-06-06 22:00:58,15416,593.156
2022-06-06 22:00:57,15416,593.164
2022-06-06 22:00:56,15416.1,593.027
2022-06-06 22:00:55,15415.9,593.266
2022-06-06 22:00:54,15414.6,594.566
2022-06-06 22:00:53,15415.7,593.445
2022-06-06 22:00:52,15416,593.207
2022-06-06 22:00:51,15416.2,592.953
2022-06-06 22:00:50,15416,593.207
2022-06-06 22:00:49,15416,593.207
2022-06-06 22:00:48,15416.2,592.961
2022-06-06 22:00:47,15416,593.199
2022-06-06 22:00:46,15416.2,592.961
2022-06-06 22:00:45,15416,593.207
2022-06-06 22:00:44,15415.7,593.453
2022-06-06 22:00:43,15416.2,592.953
2022-06-06 22:00:42,15416.2,592.961
2022-06-06 22:00:41,15416.3,592.91
2022-06-06 22:00:40,15415.8,593.395
2022-06-06 22:00:39,15416.5,592.684
2022-06-06 22:00:38,15416,593.219
2022-06-06 22:00:37,15415.5,593.629
2022-06-06 22:00:36,15414.4,594.746
2022-06-06 22:00:35,15414.3,594.922
2022-06-06 22:00:34,15414.2,594.992
2022-06-06 22:00:33,15414.5,594.684
2022-06-06 22:00:32,15414.8,594.383
2022-06-06 22:00:31,15413.2,595.961
2022-06-06 22:00:30,15413.1,596.102
2022-06-06 22:00:29,15413.9,595.238
2022-06-06 22:00:28,15415.9,593.254
2022-06-06 22:00:27,15415.9,593.246
2022-06-06 22:00:26,15416.7,592.449
2022-06-06 22:00:25,15415.3,593.91
2022-06-06 22:00:24,15415.5,593.664
2022-06-06 22:00:23,15415.5,593.664
2022-06-06 22:00:22,15416.2,593.023
2022-06-06 22:00:21,15416,593.219
2022-06-06 22:00:20,15415,594.203
2022-06-06 22:00:19,15415.7,593.465
2022-06-06 22:00:18,15416,593.191
2022-06-06 22:00:17,15416,593.203
2022-06-06 22:00:16,15415.8,593.375
2022-06-06 22:00:15,15414.9,594.246
2022-06-06 22:00:14,15415.5,593.664
2022-06-06 22:00:13,15416.8,592.422
2022-06-06 22:00:12,15416.6,592.547
2022-06-06 22:00:11,15416.7,592.43
2022-06-06 22:00:10,15415.1,594.031
2022-06-06 22:00:09,15415.4,593.769
2022-06-06 22:00:08,15415.1,594.043
2022-06-06 22:00:07,15415.1,594.051
2022-06-06 22:00:06,15415.4,593.797
2022-06-06 22:00:05,15415.4,593.82
2022-06-06 22:00:04,15414.9,594.289
2022-06-06 22:00:03,15416.1,593.066
2022-06-06 22:00:02,15416.1,593.031
2022-06-06 22:00:01,15416.1,593.031
2022-06-06 22:00:00,15416.3,592.918
2022-06-06 21:59:59,15415.8,593.367
2022-06-06 21:59:58,15416,593.203
2022-06-06 21:59:57,15416,593.207
2022-06-06 21:59:56,15416.2,592.969
2022-06-06 21:59:55,15416.5,592.719
2022-06-06 21:59:54,15415.5,593.723
2022-06-06 21:59:53,15415.2,593.957
2022-06-06 21:59:52,15415.4,593.738
2022-06-06 21:59:51,15415.2,593.977
2022-06-06 21:59:50,15415.2,593.965
2022-06-06 21:59:49,15415.3,593.898
2022-06-06 21:59:48,15415.4,593.801
2022-06-06 21:59:47,15414.5,594.648
2022-06-06 21:59:46,15414.7,594.43
2022-06-06 21:59:45,15414.9,594.234
2022-06-06 21:59:44,15415.4,593.773
