time,in,out
2022-06-07 02:20:59,1956.979,-1.916728
2022-06-07 02:20:58,2127.021,-2.083272
2022-06-07 02:20:57,0,0
2022-06-07 02:20:56,0,0
2022-06-07 02:20:55,0,0
2022-06-07 02:20:54,0,-15.334704
2022-06-07 02:20:53,0,-16.665296
2022-06-07 02:20:52,0,0
2022-06-07 02:20:51,0,-3.834596
2022-06-07 02:20:50,32.6852,-454.0675
2022-06-07 02:20:49,35.3148,-499.556
2022-06-07 02:20:48,0,-26.04222
2022-06-07 02:20:47,0,-12.499658
2022-06-07 02:20:46,0,0
2022-06-07 02:20:45,0,0
2022-06-07 02:20:44,40.25018,0
2022-06-07 02:20:43,107.00537,0
2022-06-07 02:20:42,224.0127,-30.67028
2022-06-07 02:20:41,168.7317,-33.32972
2022-06-07 02:20:40,176.3406,0
2022-06-07 02:20:39,929.5663,0
2022-06-07 02:20:38,1160.5422,0
2022-06-07 02:20:37,1188.8442,0
2022-06-07 02:20:36,868.7066,0
2022-06-07 02:20:35,762.7438,0
2022-06-07 02:20:34,2138.359,0
2022-06-07 02:20:33,4391.913,0
2022-06-07 02:20:32,4967.346,0
2022-06-07 02:20:31,1891.638,0
2022-06-07 02:20:30,0,0
2022-06-07 02:20:29,0,0
2022-06-07 02:20:28,1253.4239,0
2022-06-07 02:20:27,4082.403,0
2022-06-07 02:20:26,2956.173,0
2022-06-07 02:20:25,216.5679,0
2022-06-07 02:20:24,4032.314,0
2022-06-07 02:20:23,4127.118,0
2022-06-07 02:20:22,0,0
2022-06-07 02:20:21,9784.327,0
2022-06-07 02:20:20,13416.444,0
2022-06-07 02:20:19,3039.229,0
2022-06-07 02:20:18,0,0
2022-06-07 02:20:17,14726.785,0
2022-06-07 02:20:16,29332.46,0
2022-06-07 02:20:15,14488.756,0
2022-06-07 02:20:14,0,0
2022-06-07 02:20:13,0,0
2022-06-07 02:20:12,5743.245,0
2022-06-07 02:20:11,9875.786,0
2022-06-07 02:20:10,8545.455,0
2022-06-07 02:20:09,4995.514,0
2022-06-07 02:20:08,0,0
2022-06-07 02:20:07,0,0
2022-06-07 02:20:06,0,0
2022-06-07 02:20:05,0,0
2022-06-07 02:20:04,0,0
2022-06-07 02:20:03,0,0
2022-06-07 02:20:02,0,0
2022-06-07 02:20:01,7299.285,0
