time,in,out
2022-06-07 02:21:00,9.172516,-1507.4221
2022-06-07 02:20:59,77.64932,-16296.428
2022-06-07 02:20:58,84.21198,-17747.49
2022-06-07 02:20:57,0,0
2022-06-07 02:20:56,0,0
2022-06-07 02:20:55,227.5935,-51724.7
2022-06-07 02:20:54,262.3996,-59612
2022-06-07 02:20:53,15.83096,-3572.809
2022-06-07 02:20:52,138.94745,-33801.94
2022-06-07 02:20:51,335.1124,-78696.91
2022-06-07 02:20:50,390.5485,-89074.09
2022-06-07 02:20:49,393.3478,-90417.09
2022-06-07 02:20:48,479.7289,-112518.47
2022-06-07 02:20:47,548.8638,-128205.95
2022-06-07 02:20:46,269.0351,-61828.08
2022-06-07 02:20:45,249.3052,-56762.58
2022-06-07 02:20:44,697.0825,-159982.9
2022-06-07 02:20:43,592.7709,-135909.72
2022-06-07 02:20:42,274.9151,-61880.95
2022-06-07 02:20:41,145.95836,-32973.61
2022-06-07 02:20:40,172.1144,-39109.62
2022-06-07 02:20:39,499.7188,-113741.85
2022-06-07 02:20:38,664.1684,-148655.07
2022-06-07 02:20:37,607.2127,-135525.61
2022-06-07 02:20:36,276.9777,-63198.86
2022-06-07 02:20:35,156.21038,-38092.68
2022-06-07 02:20:34,460.4025,-109114.91
2022-06-07 02:20:33,707.3709,-161448.74
2022-06-07 02:20:32,616.7709,-138771.64
2022-06-07 02:20:31,207.6293,-46989.76
2022-06-07 02:20:30,0,0
2022-06-07 02:20:29,0,0
2022-06-07 02:20:28,273.1027,-61057.97
2022-06-07 02:20:27,505.1723,-113182.28
2022-06-07 02:20:26,226.205,-50834.52
2022-06-07 02:20:25,15.270924,-3532.194
2022-06-07 02:20:24,242.9057,-56073.99
2022-06-07 02:20:23,246.4314,-56879.64
2022-06-07 02:20:22,0,0
2022-06-07 02:20:21,812.4889,-183761.3
2022-06-07 02:20:20,1040.8143,-236803.8
2022-06-07 02:20:19,170.5687,-40103.48
2022-06-07 02:20:18,0,0
2022-06-07 02:20:17,684.7741,-155263.2
2022-06-07 02:20:16,1242.5585,-283516.5
2022-06-07 02:20:15,541.5421,-124661.43
2022-06-07 02:20:14,0.3253303,-0.5309247
2022-06-07 02:20:13,0,-0.3419621
2022-06-07 02:20:12,264.8564,-59860.66
2022-06-07 02:20:11,581.4181,-131495.71
2022-06-07 02:20:10,475.6842,-109285.47
2022-06-07 02:20:09,170.6172,-40389.88
2022-06-07 02:20:08,0,0
2022-06-07 02:20:07,0,0
2022-06-07 02:20:06,0,0
2022-06-07 02:20:05,0,0
2022-06-07 02:20:04,0,0
2022-06-07 02:20:03,0,0
2022-06-07 02:20:02,0,0
2022-06-07 02:20:01,178.3327,-39873.23
2022-06-07 02:20:00,915.2065,-205154.1
2022-06-07 02:19:59,785.1808,-176128.4
2022-06-07 02:19:58,989.9339,-223321.1
2022-06-07 02:19:57,1928.211,-434962.9
2022-06-07 02:19:56,925.6311,-208786.7
2022-06-07 02:19:55,117.72447,-27001.85
2022-06-07 02:19:54,128.16353,-29396.2
2022-06-07 02:19:53,29.07693,-6561.427
2022-06-07 02:19:52,422.3192,-99243.85
2022-06-07 02:19:51,919.763,-214078.9
2022-06-07 02:19:50,539.6485,-124172.87
