time,free,used,cached,buffers
2022-04-26 13:22:22,26318.06,5023.922,766.3867,3.863281
2022-04-26 13:22:21,26318.97,5023.164,766.2539,3.84375
2022-04-26 13:22:20,26325.42,5022.18,760.918,3.710938
2022-04-26 13:22:19,26085.01,5262.766,760.7461,3.710938
2022-04-26 13:22:18,26084.75,5263.027,760.7461,3.710938
2022-04-26 13:22:17,26084.79,5262.988,760.7383,3.710938
2022-04-26 13:22:16,26084.59,5263.188,760.7383,3.710938
2022-04-26 13:22:15,26084.52,5263.277,760.7266,3.710938
2022-04-26 13:22:14,26084.59,5263.199,760.7344,3.703125
2022-04-26 13:22:13,26084.27,5263.523,760.7344,3.703125
2022-04-26 13:22:12,26084.29,5263.5,760.7344,3.703125
2022-04-26 13:22:11,26084.26,5263.531,760.7344,3.703125
2022-04-26 13:22:10,26084.33,5263.469,760.7266,3.703125
2022-04-26 13:22:09,26084.33,5263.477,760.7344,3.6875
2022-04-26 13:22:08,26084.32,5263.492,760.7344,3.6875
2022-04-26 13:22:07,26084.05,5263.754,760.7344,3.6875
2022-04-26 13:22:06,26084.05,5263.758,760.7383,3.6875
2022-04-26 13:22:05,26084.12,5263.68,760.7383,3.6875
2022-04-26 13:22:04,26084.36,5263.449,760.7383,3.6875
2022-04-26 13:22:03,26084.16,5263.648,760.7383,3.6875
2022-04-26 13:22:02,26084.29,5263.512,760.7383,3.6875
2022-04-26 13:22:01,26084.09,5263.711,760.7383,3.6875
2022-04-26 13:22:00,26084.08,5263.727,760.7383,3.6875
2022-04-26 13:21:59,26084.37,5263.434,760.7383,3.6875
2022-04-26 13:21:58,26084.05,5263.766,760.7305,3.6875
2022-04-26 13:21:57,26084.09,5263.727,760.7383,3.671875
2022-04-26 13:21:56,26083.98,5263.844,760.7383,3.671875
2022-04-26 13:21:55,26084.06,5263.762,760.7344,3.671875
2022-04-26 13:21:54,26084.36,5263.469,760.7344,3.671875
2022-04-26 13:21:53,26084.31,5263.516,760.7344,3.671875
2022-04-26 13:21:52,26084.36,5263.469,760.7344,3.671875
2022-04-26 13:21:51,26084.12,5263.699,760.7344,3.671875
2022-04-26 13:21:50,26084.55,5263.27,760.7344,3.671875
2022-04-26 13:21:49,26084.34,5263.492,760.7344,3.664062
2022-04-26 13:21:48,26084.31,5263.523,760.7344,3.664062
2022-04-26 13:21:47,26084.3,5263.531,760.7344,3.664062
2022-04-26 13:21:46,26084.31,5263.531,760.7344,3.65625
2022-04-26 13:21:45,26084.09,5263.746,760.7344,3.65625
2022-04-26 13:21:44,26077.23,5270.668,760.6836,3.648438
2022-04-26 13:21:43,26084.64,5263.262,760.6836,3.640625
2022-04-26 13:21:42,26084.37,5263.539,760.6836,3.640625
2022-04-26 13:21:41,26084.16,5263.746,760.6836,3.640625
2022-04-26 13:21:40,26084.09,5263.816,760.6836,3.640625
2022-04-26 13:21:39,26083.97,5263.938,760.6836,3.640625
2022-04-26 13:21:38,26084.15,5263.715,760.7227,3.640625
2022-04-26 13:21:37,26084.12,5263.746,760.7227,3.640625
2022-04-26 13:21:36,26084.12,5263.746,760.7227,3.640625
2022-04-26 13:21:35,26084.18,5263.699,760.7227,3.625
2022-04-26 13:21:34,26084.12,5263.762,760.7227,3.625
2022-04-26 13:21:33,26083.84,5264.039,760.7227,3.625
2022-04-26 13:21:32,26083.88,5264.008,760.7227,3.625
2022-04-26 13:21:31,26083.63,5264.254,760.7227,3.625
2022-04-26 13:21:30,26083.56,5264.324,760.7227,3.625
2022-04-26 13:21:29,26083.62,5264.262,760.7227,3.625
2022-04-26 13:21:28,26083.64,5264.238,760.7227,3.625
2022-04-26 13:21:27,26083.57,5264.332,760.7227,3.609375
2022-04-26 13:21:26,26083.61,5264.293,760.7227,3.609375
2022-04-26 13:21:25,26083.83,5264.07,760.7227,3.609375
2022-04-26 13:21:24,26083.64,5264.262,760.7227,3.609375
2022-04-26 13:21:23,26083.61,5264.332,760.6836,3.609375
2022-04-26 13:21:22,26083.57,5264.371,760.6836,3.609375
2022-04-26 13:21:21,26083.85,5264.094,760.6758,3.609375
2022-04-26 13:21:20,26083.81,5264.133,760.6836,3.601562
2022-04-26 13:21:19,26083.61,5264.34,760.6836,3.601562
2022-04-26 13:21:18,26083.54,5264.41,760.6836,3.601562
2022-04-26 13:21:17,26083.85,5264.094,760.6836,3.601562
2022-04-26 13:21:16,26083.81,5264.102,760.7227,3.59375
2022-04-26 13:21:15,26083.85,5264.062,760.7227,3.59375
2022-04-26 13:21:14,26083.88,5264.031,760.7227,3.59375
2022-04-26 13:21:13,26083.85,5264.07,760.7227,3.585938
2022-04-26 13:21:12,26084.08,5263.84,760.7227,3.585938
