time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-04-26 13:52:38,0,0,0.1253133,0,0,0.1253133,0.3759398,0,0
2022-04-26 13:52:37,0,0,0,0,0,0.5,0.375,0,0.125
2022-04-26 13:52:36,0,0,0.1261034,0.3783102,0,2.522068,1.261034,0,0
2022-04-26 13:52:35,0,0,0,0.1248439,0,0.3745318,0.2496879,0,0
2022-04-26 13:52:34,0,0,0,0,0,0.1254705,0.1254705,0,0.1254705
2022-04-26 13:52:33,0,0,0,0,0,0.3754693,0.1251564,0,0
2022-04-26 13:52:32,0,0,0,0,0,0.2503129,0.1251564,0,0
2022-04-26 13:52:31,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-04-26 13:52:30,0,0,0,0,0,0.1254705,0,0,0
2022-04-26 13:52:29,0,0,0,0,0,0.2506266,0,0,0
2022-04-26 13:52:28,0,0,0.1253133,0,0,0.1253133,0,0,0
2022-04-26 13:52:27,0,0,0,0,0,0.375,0.125,0,0
2022-04-26 13:52:26,0,0,0,0,0,0.375,0.125,0,0
2022-04-26 13:52:25,0,0,0,0,0,0.1254705,0,0,0
2022-04-26 13:52:24,0,0,0,0.125,0,0.125,0.25,0,0
2022-04-26 13:52:23,0,0,0,0,0,0.2512563,0.1256281,0,0
2022-04-26 13:52:22,0,0,0.125,0,0,0.25,0.25,0,0
2022-04-26 13:52:21,0,0,0,0,0,0.2503129,0,0,0
2022-04-26 13:52:20,0,0,0,0.1248439,0,0.2496879,0.3745318,0,0
2022-04-26 13:52:19,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-04-26 13:52:18,0,0,0,0,0,0.375,0.125,0,0
2022-04-26 13:52:17,0,0,0,0,0,0.2506266,0,0,0
2022-04-26 13:52:16,0,0,0,0,0,0.2506266,0.1253133,0,0
2022-04-26 13:52:15,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-04-26 13:52:14,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-04-26 13:52:13,0,0,0,0,0,0.250941,0.1254705,0,0
2022-04-26 13:52:12,0,0,0,0,0,0.25,0.125,0,0
2022-04-26 13:52:11,0,0,0,0.1253133,0,0.1253133,0.1253133,0,0
2022-04-26 13:52:10,0,0,0,0,0,0.3754693,0,0,0.1251564
2022-04-26 13:52:09,0,0,0,0,0,0.1256281,0.1256281,0,0
2022-04-26 13:52:08,0,0,0,0,0,0,0.1256281,0,0
2022-04-26 13:52:07,0,0,0,0,0,0.25,0.25,0,0
2022-04-26 13:52:06,0,0,0,0,0,0.250941,0,0,0
2022-04-26 13:52:05,0,0,0,0,0,0.125,0.25,0,0
2022-04-26 13:52:04,0,0,0,0,0,0.1253133,0.2506266,0,0
2022-04-26 13:52:03,0,0,0,0,0,0.3764115,0,0,0
2022-04-26 13:52:02,0,0,0,0,0,0.250941,0.250941,0,0
