time,in,out
2022-06-13 06:30:07,15980.295,-55.55868
2022-06-13 06:30:06,13925.161,-2076.045
2022-06-13 06:30:05,8447.935,-8432.204
2022-06-13 06:30:04,11269.176,-11247.799
2022-06-13 06:30:03,11281.676,-11260.034
2022-06-13 06:30:02,11637.007,-11633.25
2022-06-13 06:30:01,8855.134,-8897.547
2022-06-13 06:30:00,41.85992,-14.918828
2022-06-13 06:29:59,39.45747,-12.909987
2022-06-13 06:29:58,29.92584,-11.321453
2022-06-13 06:29:57,37.28741,-12.690084
2022-06-13 06:29:56,54.05444,-14.974288
2022-06-13 06:29:55,35.0063,-13.384557
2022-06-13 06:29:54,36.67669,-13.918191
2022-06-13 06:29:53,42.32653,-14.27279
2022-06-13 06:29:52,33.82216,-12.815073
2022-06-13 06:29:51,34.92863,-12.880908
2022-06-13 06:29:50,49.56743,-16.89564
2022-06-13 06:29:49,38.01793,-16.552267
2022-06-13 06:29:48,32.25006,-12.12104
2022-06-13 06:29:47,44.72078,-13.59285
2022-06-13 06:29:46,45.12744,-13.687409
2022-06-13 06:29:45,36.40251,-13.96911
2022-06-13 06:29:44,41.13889,-14.180417
2022-06-13 06:29:43,32.01096,-12.793499
2022-06-13 06:29:42,36.14791,-13.615606
2022-06-13 06:29:41,40.9449,-13.480034
2022-06-13 06:29:40,33.8235,-12.815606
2022-06-13 06:29:39,33.57597,-12.608006
2022-06-13 06:29:38,42.94631,-14.190648
2022-06-13 06:29:37,38.04819,-13.883987
2022-06-13 06:29:36,54.93805,-19.41586
2022-06-13 06:29:35,44.5408,-14.974197
2022-06-13 06:29:34,35.46963,-14.347113
2022-06-13 06:29:33,38.74631,-17.43503
2022-06-13 06:29:32,45.16226,-16.304269
2022-06-13 06:29:31,31.41014,-11.890442
2022-06-13 06:29:30,36.14657,-13.615005
2022-06-13 06:29:29,39.45962,-12.910672
2022-06-13 06:29:28,29.92421,-11.320792
2022-06-13 06:29:27,38.48019,-12.880384
2022-06-13 06:29:26,57.18244,-15.472337
2022-06-13 06:29:25,35.00754,-13.385039
2022-06-13 06:29:24,39.75981,-15.911035
2022-06-13 06:29:23,50.41726,-19.50313
2022-06-13 06:29:22,33.99803,-13.112272
2022-06-13 06:29:21,34.41639,-13.58134
2022-06-13 06:29:20,44.30328,-15.05029
2022-06-13 06:29:19,30.82812,-12.22461
2022-06-13 06:29:18,32.25034,-12.121121
2022-06-13 06:29:17,44.49442,-13.478951
2022-06-13 06:29:16,44.51844,-13.383957
2022-06-13 06:29:15,37.33266,-14.185268
2022-06-13 06:29:14,43.69963,-14.748371
2022-06-13 06:29:13,32.31448,-12.794378
2022-06-13 06:29:12,37.34234,-13.806331
2022-06-13 06:29:11,47.1536,-15.970119
2022-06-13 06:29:10,43.31463,-19.44427
2022-06-13 06:29:09,36.05489,-16.086375
2022-06-13 06:29:08,39.81485,-13.691459
2022-06-13 06:29:07,35.19325,-12.005405
2022-06-13 06:29:06,47.44986,-14.48668
2022-06-13 06:29:05,44.53839,-14.973391
2022-06-13 06:29:04,35.24116,-14.232823
2022-06-13 06:29:03,37.4551,-16.409747
2022-06-13 06:29:02,43.35315,-14.403555
2022-06-13 06:29:01,31.41201,-11.891154
2022-06-13 06:29:00,37.33765,-13.80458
2022-06-13 06:28:59,42.58773,-13.408781
2022-06-13 06:28:58,29.92516,-11.321176
2022-06-13 06:28:57,39.46151,-13.812927
2022-06-13 06:28:56,59.76631,-17.92271
2022-06-13 06:28:55,35.01129,-13.386494
2022-06-13 06:28:54,36.67652,-13.917956
2022-06-13 06:28:53,42.32562,-14.27254
2022-06-13 06:28:52,33.82241,-12.815226
2022-06-13 06:28:51,33.73605,-12.690709
2022-06-13 06:28:50,43.35452,-14.404032
2022-06-13 06:28:49,29.92584,-11.321427
2022-06-13 06:28:48,32.25091,-12.12132
2022-06-13 06:28:47,44.48996,-13.477721
2022-06-13 06:28:46,44.52548,-13.386283
2022-06-13 06:28:45,38.5273,-14.375713
2022-06-13 06:28:44,49.90786,-17.23858
2022-06-13 06:28:43,40.40765,-18.02572
2022-06-13 06:28:42,36.15038,-13.616175
2022-06-13 06:28:41,41.16999,-13.593413
2022-06-13 06:28:40,34.42704,-13.117297
2022-06-13 06:28:39,32.38695,-12.418963
2022-06-13 06:28:38,39.81623,-13.691963
2022-06-13 06:28:37,35.13411,-12.185747
2022-06-13 06:28:36,47.2982,-14.961369
2022-06-13 06:28:35,44.54075,-14.9742
2022-06-13 06:28:34,35.2398,-14.232255
2022-06-13 06:28:33,38.64754,-16.599848
2022-06-13 06:28:32,46.48266,-14.902239
2022-06-13 06:28:31,33.58665,-13.013972
2022-06-13 06:28:30,41.86035,-16.564188
2022-06-13 06:28:29,39.45793,-12.910182
2022-06-13 06:28:28,29.92351,-11.320537
2022-06-13 06:28:27,37.28877,-12.690645
2022-06-13 06:28:26,54.05305,-14.973768
2022-06-13 06:28:25,35.00613,-13.384444
2022-06-13 06:28:24,36.6791,-13.919104
2022-06-13 06:28:23,42.32569,-14.272512
2022-06-13 06:28:22,33.82376,-12.815731
2022-06-13 06:28:21,34.92875,-12.880786
2022-06-13 06:28:20,46.82735,-15.246699
2022-06-13 06:28:19,30.82842,-12.224727
2022-06-13 06:28:18,36.02121,-14.819896
2022-06-13 06:28:17,54.39707,-20.56458
2022-06-13 06:28:16,44.51979,-13.384732
2022-06-13 06:28:15,37.56212,-14.29975
2022-06-13 06:28:14,44.3032,-15.050234
2022-06-13 06:28:13,32.31314,-12.79389
2022-06-13 06:28:12,36.14923,-13.615843
2022-06-13 06:28:11,40.94268,-13.479391
2022-06-13 06:28:10,35.21987,-14.212339
2022-06-13 06:28:09,36.05506,-16.086462
2022-06-13 06:28:08,39.81519,-13.691583
2022-06-13 06:28:07,34.96393,-11.890677
2022-06-13 06:28:06,48.03815,-14.37493
2022-06-13 06:28:05,50.74853,-17.46386
2022-06-13 06:28:04,43.56289,-19.57829
2022-06-13 06:28:03,38.06002,-16.712195
2022-06-13 06:28:02,43.35473,-14.404139
2022-06-13 06:28:01,31.41103,-11.890818
2022-06-13 06:28:00,36.14842,-13.615473
2022-06-13 06:27:59,39.45725,-12.909965
2022-06-13 06:27:58,29.92391,-11.320704
2022-06-13 06:27:57,37.28857,-12.690531
2022-06-13 06:27:56,54.05371,-14.974039
2022-06-13 06:27:55,35.00713,-13.384876
2022-06-13 06:27:54,37.86793,-14.107808
2022-06-13 06:27:53,45.45316,-14.770376
2022-06-13 06:27:52,37.08141,-15.105261
2022-06-13 06:27:51,42.27816,-18.69717
2022-06-13 06:27:50,43.35562,-14.404354
2022-06-13 06:27:49,30.15638,-11.436571
2022-06-13 06:27:48,32.85071,-12.421694
2022-06-13 06:27:47,44.49742,-13.479859
2022-06-13 06:27:46,44.51996,-13.38471
2022-06-13 06:27:45,37.3349,-14.185781
2022-06-13 06:27:44,43.69898,-14.748434
2022-06-13 06:27:43,32.3136,-12.794078
2022-06-13 06:27:42,37.34192,-13.805877
2022-06-13 06:27:41,44.06893,-13.976949
2022-06-13 06:27:40,33.82448,-12.816031
2022-06-13 06:27:39,35.47023,-14.409711
2022-06-13 06:27:38,47.90839,-18.917
2022-06-13 06:27:37,34.96415,-11.89071
2022-06-13 06:27:36,46.8438,-14.184309
2022-06-13 06:27:35,44.53974,-14.973787
2022-06-13 06:27:34,35.47045,-14.347329
2022-06-13 06:27:33,38.05518,-16.710437
2022-06-13 06:27:32,43.35795,-14.405159
2022-06-13 06:27:31,31.41112,-11.890834
2022-06-13 06:27:30,36.1496,-13.615884
2022-06-13 06:27:29,38.40921,-12.692993
2022-06-13 06:27:28,27.17995,-10.753744
2022-06-13 06:27:27,38.48015,-12.880173
2022-06-13 06:27:26,57.18237,-15.47246
2022-06-13 06:27:25,35.0063,-13.384573
2022-06-13 06:27:24,38.81199,-15.85414
2022-06-13 06:27:23,47.92663,-19.3526
2022-06-13 06:27:22,34.51284,-13.539809
2022-06-13 06:27:21,35.5445,-14.591118
2022-06-13 06:27:20,43.69803,-14.748094
2022-06-13 06:27:19,30.82925,-12.225058
2022-06-13 06:27:18,36.82347,-12.68998
2022-06-13 06:27:17,51.46701,-14.404692
2022-06-13 06:27:16,31.29706,-11.891144
2022-06-13 06:27:15,37.33011,-14.184042
2022-06-13 06:27:14,43.70093,-14.749019
2022-06-13 06:27:13,32.31393,-12.794202
2022-06-13 06:27:12,36.14931,-13.615854
2022-06-13 06:27:11,40.94301,-13.479528
2022-06-13 06:27:10,35.21942,-14.212195
2022-06-13 06:27:09,36.0545,-16.086248
2022-06-13 06:27:08,39.81658,-13.69208
2022-06-13 06:27:07,34.49586,-11.889214
2022-06-13 06:27:06,45.80479,-14.481683
2022-06-13 06:27:05,44.99154,-15.750095
2022-06-13 06:27:04,35.23924,-14.23186
2022-06-13 06:27:03,37.45771,-16.410934
2022-06-13 06:27:02,43.35394,-14.403874
2022-06-13 06:27:01,31.41021,-11.890481
2022-06-13 06:27:00,36.15051,-13.616224
2022-06-13 06:26:59,39.45527,-12.909294
2022-06-13 06:26:58,34.5012,-11.890899
2022-06-13 06:26:57,44.25745,-13.615151
2022-06-13 06:26:56,40.82815,-13.479449
2022-06-13 06:26:55,35.00727,-13.384927
2022-06-13 06:26:54,36.15024,-13.616152
2022-06-13 06:26:53,40.94155,-13.479033
2022-06-13 06:26:52,33.82134,-12.814765
2022-06-13 06:26:51,33.73761,-12.691346
2022-06-13 06:26:50,43.35388,-14.4038
2022-06-13 06:26:49,34.72807,-12.004923
2022-06-13 06:26:48,44.86503,-13.917968
2022-06-13 06:26:47,39.45587,-12.909466
2022-06-13 06:26:46,31.29593,-11.89066
2022-06-13 06:26:45,37.33373,-14.185351
2022-06-13 06:26:44,43.69954,-14.748615
2022-06-13 06:26:43,33.17467,-12.794215
2022-06-13 06:26:42,38.40803,-13.615618
2022-06-13 06:26:41,40.94092,-13.478763
2022-06-13 06:26:40,33.82304,-12.815406
2022-06-13 06:26:39,47.59392,-159.00498
2022-06-13 06:26:38,79.73092,-398.4826
2022-06-13 06:26:37,34.50073,-11.890734
2022-06-13 06:26:36,45.76541,-14.482663
2022-06-13 06:26:35,44.89953,-15.756146
2022-06-13 06:26:34,35.23929,-14.232006
2022-06-13 06:26:33,41.12336,-16.410025
2022-06-13 06:26:32,52.98419,-14.404618
2022-06-13 06:26:31,31.4096,-11.890264
2022-06-13 06:26:30,40.4223,-15.798627
2022-06-13 06:26:29,50.90106,-18.75366
2022-06-13 06:26:28,30.52773,-11.622468
2022-06-13 06:26:27,36.82254,-12.68974
2022-06-13 06:26:26,52.83683,-14.973718
2022-06-13 06:26:25,35.01023,-13.386065
2022-06-13 06:26:24,36.14802,-13.61535
2022-06-13 06:26:23,44.61091,-13.479441
2022-06-13 06:26:22,43.62306,-13.111182
2022-06-13 06:26:21,35.38044,-13.656997
2022-06-13 06:26:20,46.82692,-15.246529
2022-06-13 06:26:19,33.00245,-13.348127
2022-06-13 06:26:18,37.9584,-15.070411
2022-06-13 06:26:17,44.02867,-13.478241
2022-06-13 06:26:16,43.30341,-13.384505
2022-06-13 06:26:15,37.33606,-14.186293
2022-06-13 06:26:14,43.69874,-14.748316
2022-06-13 06:26:13,35.98205,-12.794297
2022-06-13 06:26:12,46.30212,-13.918
2022-06-13 06:26:11,42.319,-14.272146
2022-06-13 06:26:10,35.22307,-14.213626
2022-06-13 06:26:09,40.1895,-17.97059
2022-06-13 06:26:08,50.90284,-18.75432
2022-06-13 06:26:07,35.10211,-12.191574
2022-06-13 06:26:06,45.76645,-14.483015
2022-06-13 06:26:05,44.89726,-15.755326
2022-06-13 06:26:04,35.24078,-14.23257
2022-06-13 06:26:03,41.12354,-16.410046
2022-06-13 06:26:02,52.98344,-14.404371
2022-06-13 06:26:01,31.41085,-11.890755
2022-06-13 06:26:00,37.33928,-13.804996
2022-06-13 06:25:59,42.58602,-13.408302
2022-06-13 06:25:58,33.00728,-13.314687
2022-06-13 06:25:57,45.13947,-18.03539
2022-06-13 06:25:56,53.43914,-15.275081
2022-06-13 06:25:55,35.00892,-13.385582
2022-06-13 06:25:54,36.14776,-13.615251
2022-06-13 06:25:53,44.61016,-13.479243
2022-06-13 06:25:52,43.45258,-12.816024
2022-06-13 06:25:51,33.73423,-12.690025
2022-06-13 06:25:50,43.35604,-14.404561
2022-06-13 06:25:49,29.92521,-11.321204
2022-06-13 06:25:48,34.12703,-13.01592
2022-06-13 06:25:47,51.14515,-16.84103
2022-06-13 06:25:46,49.00982,-16.032238
2022-06-13 06:25:45,37.33368,-14.185355
2022-06-13 06:25:44,43.69943,-14.748554
2022-06-13 06:25:43,35.98213,-12.794301
2022-06-13 06:25:42,46.30418,-13.803905
2022-06-13 06:25:41,42.31918,-13.97109
2022-06-13 06:25:40,33.82294,-12.815425
2022-06-13 06:25:39,33.43923,-12.310105
2022-06-13 06:25:38,42.58811,-13.408913
2022-06-13 06:25:37,36.84601,-13.19483
2022-06-13 06:25:36,51.93141,-17.90908
2022-06-13 06:25:35,58.65617,-17.7468
2022-06-13 06:25:34,71.36427,-19.46327
2022-06-13 06:25:33,43.71953,-16.599805
2022-06-13 06:25:32,61.96869,-15.910882
2022-06-13 06:25:31,37.11705,-14.538197
2022-06-13 06:25:30,36.14826,-13.61541
2022-06-13 06:25:29,39.45723,-12.909956
2022-06-13 06:25:28,29.92427,-11.320848
2022-06-13 06:25:27,38.24759,-12.995357
2022-06-13 06:25:26,57.42569,-15.7726
2022-06-13 06:25:25,39.44046,-14.393433
2022-06-13 06:25:24,41.85742,-16.264014
2022-06-13 06:25:23,46.00946,-13.478112
2022-06-13 06:25:22,47.13897,-12.816316
