time,in,out
2022-06-13 10:46:49,45758.7,-287.151
2022-06-13 10:46:50,31686.7,-3035.54
2022-06-13 10:46:51,5994.71,-1481.69
2022-06-13 10:46:52,1074.18,-2459.15
2022-06-13 10:46:53,0,-3261.44
2022-06-13 10:46:54,1917.14,-2098.24
2022-06-13 10:46:55,1826.91,-2929.56
2022-06-13 10:46:56,1452.89,-3719.87
2022-06-13 10:46:57,1632.83,-1503.79
2022-06-13 10:46:58,2161.86,-4729.74
2022-06-13 10:46:59,1164.37,-5686.99
2022-06-13 10:47:00,0,-1806.06
2022-06-13 10:47:01,4.77445,-1857.06
2022-06-13 10:47:02,3.22555,-3005.79
2022-06-13 10:47:03,1740.47,-936.994
2022-06-13 10:47:04,587.532,-2826.7
2022-06-13 10:47:05,185.115,-1801.45
2022-06-13 10:47:06,961.23,0
2022-06-13 10:47:07,549.655,-8.07268
2022-06-13 10:47:08,8671.73,-396.1
2022-06-13 10:47:09,8498.84,-286.835
2022-06-13 10:47:10,4160.08,-229.098
2022-06-13 10:47:11,4601.96,-411.254
2022-06-13 10:47:12,3763.67,-447.729
2022-06-13 10:47:13,2813.24,-232.911
2022-06-13 10:47:14,20545.2,-366.55
2022-06-13 10:47:15,27320.6,-49018.6
2022-06-13 10:47:16,19337.2,-65459.6
2022-06-13 10:47:17,11919.7,-183790
2022-06-13 10:47:18,5232.34,-72483.3
2022-06-13 10:47:19,154949,-1333.62
2022-06-13 10:47:20,372462,-1673.08
2022-06-13 10:47:21,444220,-130246
2022-06-13 10:47:22,450712,-214173
2022-06-13 10:47:23,436317,-540590
2022-06-13 10:47:24,425505,-233430
2022-06-13 10:47:25,412767,-1051.29
2022-06-13 10:47:26,454555,-1.02539
2022-06-13 10:47:27,474356,-24545.8
2022-06-13 10:47:28,465253,-16013.9
2022-06-13 10:47:29,441777,-150.209
2022-06-13 10:47:30,451500,-156.423
2022-06-13 10:47:31,449480,-61.6811
2022-06-13 10:47:32,457272,-36968.8
2022-06-13 10:47:33,463862,-142400
2022-06-13 10:47:34,464442,-76471.4
2022-06-13 10:47:35,464563,-33.4033
2022-06-13 10:47:36,462926,-25.7291
2022-06-13 10:47:37,458188,-75.2735
2022-06-13 10:47:38,461933,-45.5941
2022-06-13 10:47:39,457572,-101.635
2022-06-13 10:47:40,463236,-119.888
2022-06-13 10:47:41,472264,-34.4772
2022-06-13 10:47:42,458342,-23.8068
2022-06-13 10:47:43,472769,-16.4874
2022-06-13 10:47:44,472550,-8.44937
2022-06-13 10:47:45,460846,-223.123
2022-06-13 10:47:46,470630,-123.263
2022-06-13 10:47:47,472328,-162.4
2022-06-13 10:47:48,466913,-147.517
2022-06-13 10:47:49,462345,-1125.75
2022-06-13 10:47:50,455705,-716.98
2022-06-13 10:47:51,452962,-149.465
2022-06-13 10:47:52,460999,-228.303
2022-06-13 10:47:53,463742,-210.331
2022-06-13 10:47:54,466311,-122.317
2022-06-13 10:47:55,454282,-104.62
2022-06-13 10:47:56,457269,-39.829
2022-06-13 10:47:57,461517,-37.5355
2022-06-13 10:47:58,469535,-33.0185
2022-06-13 10:47:59,462983,-27.9615
2022-06-13 10:48:00,451306,-24.3408
2022-06-13 10:48:01,469576,-26.9762
2022-06-13 10:48:02,475458,-45.0666
2022-06-13 10:48:03,468044,-14.4604
2022-06-13 10:48:04,469261,-95.8974
2022-06-13 10:48:05,453953,-75.4156
2022-06-13 10:48:06,474378,-59.4382
2022-06-13 10:48:07,477668,-32.5593
2022-06-13 10:48:08,467285,-81.1271
2022-06-13 10:48:09,464734,-47.5623
2022-06-13 10:48:10,464515,-19.0807
2022-06-13 10:48:11,467924,-43.9079
2022-06-13 10:48:12,472406,-23.4294
2022-06-13 10:48:13,471785,-12.8929
2022-06-13 10:48:14,472717,-12.736
2022-06-13 10:48:15,461644,-3.95329
2022-06-13 10:48:16,459772,-33.916
2022-06-13 10:48:17,462672,-23.5883
2022-06-13 10:48:18,464990,-19.9061
2022-06-13 10:48:19,461525,-58.7747
2022-06-13 10:48:20,461130,-255.995
2022-06-13 10:48:21,467920,-196.594
2022-06-13 10:48:22,473311,-35.8262
2022-06-13 10:48:23,465057,-38.0943
2022-06-13 10:48:24,472293,-60.3112
2022-06-13 10:48:25,467734,-60.9227
2022-06-13 10:48:26,467377,-29.4876
2022-06-13 10:48:27,473791,-71.3971
2022-06-13 10:48:28,468342,-63.017
2022-06-13 10:48:29,461912,-40.6239
2022-06-13 10:48:30,465084,-19.5457
2022-06-13 10:48:31,472969,-10.7045
2022-06-13 10:48:32,472836,-20.0347
2022-06-13 10:48:33,472999,-85.0403
2022-06-13 10:48:34,468412,-65.0828
2022-06-13 10:48:35,463381,-34.9279
2022-06-13 10:48:36,464279,-60.2965
2022-06-13 10:48:37,474108,-30.347
2022-06-13 10:48:38,469486,-5.56642
2022-06-13 10:48:39,471750,-19.1951
2022-06-13 10:48:40,474335,-79.5049
2022-06-13 10:48:41,471387,-72.2665
2022-06-13 10:48:42,469131,-33.1427
2022-06-13 10:48:43,473894,-16.4676
2022-06-13 10:48:44,486286,-7.42319
2022-06-13 10:48:45,486233,-57.1296
2022-06-13 10:48:46,481307,-66.968
2022-06-13 10:48:47,480573,-38.8663
2022-06-13 10:48:48,477184,-15.4578
2022-06-13 10:48:49,483100,-18.9892
2022-06-13 10:48:50,487008,-17.3029
2022-06-13 10:48:51,478564,-146.015
2022-06-13 10:48:52,481902,-145.407
2022-06-13 10:48:53,485638,-71.4842
2022-06-13 10:48:54,488025,-30.9311
2022-06-13 10:48:55,488400,-18.1698
2022-06-13 10:48:56,483893,-21.1385
2022-06-13 10:48:57,480651,-114.821
2022-06-13 10:48:58,488279,-65.3197
2022-06-13 10:48:59,483789,-35.4283
2022-06-13 10:49:00,484158,-46.2466
2022-06-13 10:49:01,486190,-36.5994
2022-06-13 10:49:02,484980,-40.1044
2022-06-13 10:49:03,490540,-27.3337
2022-06-13 10:49:04,480474,-89.2391
2022-06-13 10:49:05,484033,-48.0855
2022-06-13 10:49:06,487599,-12.9631
2022-06-13 10:49:07,479188,-221.637
2022-06-13 10:49:08,480190,-125.508
2022-06-13 10:49:09,485878,-45.1191
2022-06-13 10:49:10,483974,-44.0419
2022-06-13 10:49:11,487840,-30.6642
2022-06-13 10:49:12,485883,-39.487
2022-06-13 10:49:13,485819,-33.0454
2022-06-13 10:49:14,486457,-80.5901
2022-06-13 10:49:15,485036,-74.9412
2022-06-13 10:49:16,485748,-8.96623
2022-06-13 10:49:17,481217,-66.307
2022-06-13 10:49:18,485336,-33.7412
2022-06-13 10:49:19,488070,-31.6391
2022-06-13 10:49:20,486004,-39.8691
2022-06-13 10:49:21,483299,-39.5141
2022-06-13 10:49:22,489036,-127.057
2022-06-13 10:49:23,477920,-79.2929
2022-06-13 10:49:24,473909,-6.57927
2022-06-13 10:49:25,470601,-9.51685
2022-06-13 10:49:26,454552,-35.9412
2022-06-13 10:49:27,469495,-21.6868
2022-06-13 10:49:28,477491,-250.298
2022-06-13 10:49:29,472442,-174.604
2022-06-13 10:49:30,472321,-24.1899
2022-06-13 10:49:31,466922,-65.81
2022-06-13 10:49:32,470444,-86.7525
2022-06-13 10:49:33,475008,-43.0843
2022-06-13 10:49:34,468368,-28.8312
2022-06-13 10:49:35,470881,-32.7492
2022-06-13 10:49:36,468247,-26.2628
2022-06-13 10:49:37,469625,-137.223
2022-06-13 10:49:38,469876,-259.341
2022-06-13 10:49:39,471187,-95.6073
2022-06-13 10:49:40,471874,-26.1404
2022-06-13 10:49:41,467890,-30.1974
2022-06-13 10:49:42,472003,-30.7643
2022-06-13 10:49:43,475845,-49.2755
2022-06-13 10:49:44,474134,-22.844
2022-06-13 10:49:45,468552,-23.6706
2022-06-13 10:49:46,468309,-100.087
2022-06-13 10:49:47,464603,-179.314
2022-06-13 10:49:48,475504,-106.028
2022-06-13 10:49:49,478630,-15.7808
2022-06-13 10:49:50,474419,-20.5562
2022-06-13 10:49:51,470678,-40.1918
2022-06-13 10:49:52,473222,-40.6595
2022-06-13 10:49:53,471990,-139.973
2022-06-13 10:49:54,472254,-67.1804
2022-06-13 10:49:55,482091,-7.4392
2022-06-13 10:49:56,476408,-82.4535
2022-06-13 10:49:57,475443,-93.6562
2022-06-13 10:49:58,467753,-27.8903
2022-06-13 10:49:59,465537,-20.8771
2022-06-13 10:50:00,467632,-15.1754
2022-06-13 10:50:01,470606,-21.0918
2022-06-13 10:50:02,467363,-57.1308
2022-06-13 10:50:03,469044,-25.7249
2022-06-13 10:50:04,469692,-19.6683
2022-06-13 10:50:05,466709,-33.7879
2022-06-13 10:50:06,483876,-10.5438
2022-06-13 10:50:07,491779,-37.669
2022-06-13 10:50:08,487958,-50.1623
2022-06-13 10:50:09,491412,-258.341
2022-06-13 10:50:10,486448,-165.828
2022-06-13 10:50:11,482886,-8.95343
2022-06-13 10:50:12,488580,-18.9422
2022-06-13 10:50:13,489772,-74.8644
2022-06-13 10:50:14,483375,-41.24
2022-06-13 10:50:15,481139,-10.7111
2022-06-13 10:50:16,480115,-21.2322
2022-06-13 10:50:17,489212,-4.05662
2022-06-13 10:50:18,484913,-19.9714
2022-06-13 10:50:19,488553,-41.3906
2022-06-13 10:50:20,485885,-23.2153
2022-06-13 10:50:21,477505,-20.8388
2022-06-13 10:50:22,480093,-29.179
2022-06-13 10:50:23,485909,-32.4453
2022-06-13 10:50:24,478315,-59.2133
2022-06-13 10:50:25,480664,-25.0413
2022-06-13 10:50:26,482696,-31.1585
2022-06-13 10:50:27,478073,-85.924
2022-06-13 10:50:28,480334,-49.1238
2022-06-13 10:50:29,478584,-18.412
2022-06-13 10:50:30,476783,-34.3327
2022-06-13 10:50:31,481424,-35.6177
2022-06-13 10:50:32,484815,-58.407
2022-06-13 10:50:33,478875,-31.7294
2022-06-13 10:50:34,484057,-7.14907
2022-06-13 10:50:35,485405,-18.2613
2022-06-13 10:50:36,481074,-94.2305
2022-06-13 10:50:37,483504,-119.786
2022-06-13 10:50:38,475499,-48.573
2022-06-13 10:50:39,484586,0
2022-06-13 10:50:40,485969,0
2022-06-13 10:50:41,486803,-26.5742
2022-06-13 10:50:42,484532,-53.4203
