time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-16 19:44:40,0,0,0,0,0,0,0.25,0.25,0
2022-06-16 19:44:39,0,0,0,0,0,0,0.25,0.25,0
2022-06-16 19:44:38,0,0,0,0,0,0,0.2493766,0.4987531,0
2022-06-16 19:44:37,0,0,0,1,0,0,2,0,0
2022-06-16 19:44:36,0,0,0.25,0,0,0,0.5,0,0
2022-06-16 19:44:35,0,0,0,0,0,0,0.2493766,0.4987531,0
2022-06-16 19:44:34,0,0,0,0.2512563,0,1.5075377,2.512563,0,0
2022-06-16 19:44:33,0,0,0,0.25,0,1,1.25,0.25,0
2022-06-16 19:44:32,0,0,0,0,0,0,0.25,0.25,0
2022-06-16 19:44:31,0,0,0,0,0,0,0.5,0.25,0
2022-06-16 19:44:30,0,0,0,0,0,0,0.4987531,0.2493766,0
2022-06-16 19:44:29,0,0,0.2506266,0,0,1.5037594,0.7518797,0,0
2022-06-16 19:44:28,0,0,0,0.4962779,0,2.48139,1.736973,0.248139,0
2022-06-16 19:44:27,0,0,0,0,0,2.284264,1.77665,0.2538071,0
2022-06-16 19:44:26,0,0,0,0,0,0,0.5,0,0
2022-06-16 19:44:25,0,0,0,0,0,0,0.4987531,0.2493766,0
2022-06-16 19:44:24,0,0,0.25,0.25,0,3,0.75,0.25,0
2022-06-16 19:44:23,0,0,0,0,0,1.4962594,0.9975062,0.2493766,0
2022-06-16 19:44:22,0,0,0.75,0,0,2.5,2.25,0.25,0
2022-06-16 19:44:21,0,0,0.2518892,0,0,0.7556675,1.511335,0.2518892,0
2022-06-16 19:44:20,0,0,0,0.25,0,0,0.5,0,0
2022-06-16 19:44:19,0,0,0,0,0,0,0.25,0.25,0
2022-06-16 19:44:18,0,0,0,0,0,0,0.4987531,0.2493766,0
2022-06-16 19:44:17,0,0,0.2518892,0.5037783,0,3.526448,2.518892,0,0
2022-06-16 19:44:16,0,0,0.4987531,0,0,0.2493766,0.2493766,0.2493766,0
2022-06-16 19:44:15,0,0,0,0,0,0,0.5,0.25,0
2022-06-16 19:44:14,0,0,0,0,0,0,0.5,0.25,0
2022-06-16 19:44:13,0,0,0,0,0,0.9975062,1.4962594,0.2493766,0
2022-06-16 19:44:12,0,0,0.4987531,0.2493766,0,4.488778,1.4962594,0.4987531,0
2022-06-16 19:44:11,0,0,0.4975124,0.2487562,0,3.731343,1.99005,0.4975124,0.2487562
2022-06-16 19:44:10,0,0,0,0,0,0,0.5012531,0,0
2022-06-16 19:44:09,0,0,0,0,0,1.25,0.5,0.5,0
2022-06-16 19:44:08,0,0,0,0,0,0,0.2506266,0,0
2022-06-16 19:44:07,0,0,0.2493766,0,0,8.478803,2.493766,0.2493766,0
2022-06-16 19:44:06,0,0,0,0,0,0,0.25,0.25,0
2022-06-16 19:44:05,0,0,0.2487562,0.4975124,0,1.741294,1.4925373,0.2487562,0
2022-06-16 19:44:04,0,0,0,0,0,0.25,0.25,0.25,0
2022-06-16 19:44:03,0,0,0,0,0,0,0.2506266,0.2506266,0
2022-06-16 19:44:02,0,0,0,0,0,3.037975,1.2658228,0,0.2531646
2022-06-16 19:44:01,0,0,0.2506266,0.2506266,0,2.005013,0.5012531,0.5012531,0
2022-06-16 19:44:00,0,0,0,0,0,0,0.75,0,0
2022-06-16 19:43:59,0,0,0,0,0,0,0.7481297,0,0
2022-06-16 19:43:58,0,0,0,0.2493766,0,1.995012,0.7481297,0.4987531,0
2022-06-16 19:43:57,0,0,0,0.2512563,0,2.512563,1.5075377,0.2512563,0
2022-06-16 19:43:56,0,0,0.2512563,0,0,2.763819,1.5075377,0.2512563,0
