time,in,out
2022-06-05 05:59:17,18504.8,-65.42588
2022-06-05 05:59:16,4476.25,-32.45802
2022-06-05 05:59:15,59.18022,-16.775797
2022-06-05 05:59:14,136.03835,-58.92683
2022-06-05 05:59:13,66.263,-30.12893
2022-06-05 05:59:12,30.26939,-12.858401
2022-06-05 05:59:11,31.34598,-12.128005
2022-06-05 05:59:10,35.56635,-12.817266
2022-06-05 05:59:09,36.43667,-14.665262
2022-06-05 05:59:08,33.18686,-12.955123
2022-06-05 05:59:07,32.31618,-12.310024
2022-06-05 05:59:06,29.11104,-11.365352
2022-06-05 05:59:05,31.25229,-11.994536
2022-06-05 05:59:04,37.59563,-15.569276
2022-06-05 05:59:03,32.61908,-14.682408
2022-06-05 05:59:02,31.82622,-12.70067
2022-06-05 05:59:01,35.52735,-12.805366
2022-06-05 05:59:00,32.08627,-12.715405
2022-06-05 05:58:59,38.19951,-15.507119
2022-06-05 05:58:58,34.26276,-13.275157
2022-06-05 05:58:57,29.10639,-11.683325
2022-06-05 05:58:56,31.25279,-12.090991
2022-06-05 05:58:55,32.21886,-12.272944
2022-06-05 05:58:54,29.17207,-11.707778
2022-06-05 05:58:53,31.26217,-12.095124
2022-06-05 05:58:52,31.07807,-8.519454
2022-06-05 05:58:51,28.72973,-10.535131
2022-06-05 05:58:50,40.9247,-17.65377
2022-06-05 05:58:49,35.9121,-14.64909
2022-06-05 05:58:48,29.29531,-11.236311
2022-06-05 05:58:47,31.24825,-11.895831
2022-06-05 05:58:46,32.31563,-12.309802
2022-06-05 05:58:45,29.10272,-11.68194
2022-06-05 05:58:44,31.8824,-12.406709
2022-06-05 05:58:43,32.50051,-12.403401
2022-06-05 05:58:42,29.09839,-11.679884
2022-06-05 05:58:41,31.24248,-12.087452
2022-06-05 05:58:40,35.63128,-12.841971
2022-06-05 05:58:39,36.46402,-14.99572
2022-06-05 05:58:38,33.17283,-13.045782
2022-06-05 05:58:37,32.30901,-12.30729
2022-06-05 05:58:36,29.10244,-11.680818
2022-06-05 05:58:35,28.20533,-11.841938
2022-06-05 05:58:34,40.1774,-16.558368
2022-06-05 05:58:33,31.85205,-13.026974
2022-06-05 05:58:32,31.25605,-12.091399
2022-06-05 05:58:31,35.61399,-12.834299
2022-06-05 05:58:30,31.97591,-12.678805
2022-06-05 05:58:29,28.7539,-11.768165
2022-06-05 05:58:28,44.10465,-18.26958
2022-06-05 05:58:27,33.03684,-13.572664
2022-06-05 05:58:26,31.26039,-12.093127
2022-06-05 05:58:25,32.29634,-12.302442
2022-06-05 05:58:24,29.67032,-11.972741
2022-06-05 05:58:23,32.41045,-13.147581
2022-06-05 05:58:22,32.71,-12.641493
2022-06-05 05:58:21,29.0052,-11.325146
2022-06-05 05:58:20,31.28418,-12.006589
2022-06-05 05:58:19,32.22567,-12.275535
2022-06-05 05:58:18,29.15355,-11.700512
2022-06-05 05:58:17,31.25086,-12.091023
2022-06-05 05:58:16,35.61178,-12.835194
2022-06-05 05:58:15,30.0981,-11.837015
2022-06-05 05:58:14,41.6361,-18.00329
2022-06-05 05:58:13,41.17077,-19.96695
2022-06-05 05:58:12,30.88406,-13.488414
2022-06-05 05:58:11,31.93176,-12.427445
2022-06-05 05:58:10,32.50584,-12.086436
2022-06-05 05:58:09,29.114,-11.58883
2022-06-05 05:58:08,31.24183,-12.087274
2022-06-05 05:58:07,32.29173,-12.300705
2022-06-05 05:58:06,29.08805,-11.674704
2022-06-05 05:58:05,31.27188,-12.099887
2022-06-05 05:58:04,40.83626,-16.071695
2022-06-05 05:58:03,31.74793,-12.84591
2022-06-05 05:58:02,31.28638,-12.10585
2022-06-05 05:58:01,38.598,-15.433429
2022-06-05 05:58:00,36.2769,-15.905545
2022-06-05 05:57:59,33.5092,-13.417589
2022-06-05 05:57:58,32.46444,-12.389793
2022-06-05 05:57:57,29.12485,-11.688604
2022-06-05 05:57:56,31.27793,-12.102308
2022-06-05 05:57:55,32.25226,-12.285677
2022-06-05 05:57:54,29.12812,-11.689692
2022-06-05 05:57:53,31.2848,-12.105082
2022-06-05 05:57:52,32.26114,-12.289058
2022-06-05 05:57:51,29.12396,-11.688271
2022-06-05 05:57:50,31.28357,-12.10445
2022-06-05 05:57:49,42.38721,-16.46815
2022-06-05 05:57:48,32.22895,-12.969656
2022-06-05 05:57:47,31.27781,-12.102374
2022-06-05 05:57:46,32.26969,-12.292314
2022-06-05 05:57:45,29.17582,-11.709545
2022-06-05 05:57:44,31.87362,-12.403544
2022-06-05 05:57:43,32.44006,-12.062131
2022-06-05 05:57:42,29.11595,-11.58721
2022-06-05 05:57:41,31.28453,-12.105126
2022-06-05 05:57:40,35.57634,-12.82295
2022-06-05 05:57:39,36.48679,-15.000102
2022-06-05 05:57:38,33.22835,-13.069322
2022-06-05 05:57:37,32.25753,-12.287682
2022-06-05 05:57:36,29.1223,-11.687654
2022-06-05 05:57:35,28.15945,-11.503775
2022-06-05 05:57:34,39.68127,-15.952101
2022-06-05 05:57:33,31.69414,-12.868388
2022-06-05 05:57:32,28.1731,-11.509352
2022-06-05 05:57:31,37.73392,-13.235864
2022-06-05 05:57:30,32.96925,-12.871459
2022-06-05 05:57:29,39.05403,-17.32633
2022-06-05 05:57:28,37.57269,-14.404247
2022-06-05 05:57:27,30.08664,-11.874325
2022-06-05 05:57:26,28.48576,-12.10727
2022-06-05 05:57:25,34.21065,-12.289762
2022-06-05 05:57:24,29.96176,-11.680587
2022-06-05 05:57:23,29.1139,-12.45854
2022-06-05 05:57:22,38.03162,-13.530915
2022-06-05 05:57:21,31.09788,-12.035939
2022-06-05 05:57:20,28.1608,-11.504327
2022-06-05 05:57:19,40.77802,-15.536959
2022-06-05 05:57:18,32.0027,-12.730435
2022-06-05 05:57:17,31.27954,-12.10313
2022-06-05 05:57:16,32.25842,-12.288022
2022-06-05 05:57:15,29.12706,-11.689262
2022-06-05 05:57:14,31.92239,-12.423789
2022-06-05 05:57:13,36.3422,-16.2734
2022-06-05 05:57:12,30.32033,-12.882456
2022-06-05 05:57:11,28.48256,-11.505683
2022-06-05 05:57:10,37.5078,-13.233943
2022-06-05 05:57:09,37.3318,-14.859664
2022-06-05 05:57:08,30.44746,-12.98158
2022-06-05 05:57:07,34.21259,-12.290345
2022-06-05 05:57:06,29.97832,-11.687545
2022-06-05 05:57:05,28.63621,-12.324325
2022-06-05 05:57:04,39.83792,-16.207183
2022-06-05 05:57:03,31.68603,-12.865292
2022-06-05 05:57:02,28.47511,-12.102814
2022-06-05 05:57:01,43.85411,-15.647439
2022-06-05 05:57:00,36.71753,-15.509642
2022-06-05 05:56:59,29.34514,-12.053549
2022-06-05 05:56:58,34.42778,-12.607659
2022-06-05 05:56:57,30.06009,-11.864267
2022-06-05 05:56:56,28.17688,-11.510898
2022-06-05 05:56:55,37.73572,-13.235987
2022-06-05 05:56:54,37.42227,-15.175938
2022-06-05 05:56:53,30.12072,-12.47555
2022-06-05 05:56:52,34.41791,-12.70162
2022-06-05 05:56:51,30.09608,-11.878461
2022-06-05 05:56:50,28.15484,-11.501891
2022-06-05 05:56:49,34.40014,-12.694995
2022-06-05 05:56:48,30.09446,-11.877165
2022-06-05 05:56:47,28.1813,-11.5127
2022-06-05 05:56:46,47.49392,-18.8314
2022-06-05 05:56:45,33.96584,-13.702862
2022-06-05 05:56:44,28.76477,-11.809283
2022-06-05 05:56:43,35.27184,-12.80807
2022-06-05 05:56:42,30.26237,-11.866794
2022-06-05 05:56:41,30.08165,-13.517058
2022-06-05 05:56:40,35.03673,-13.329367
2022-06-05 05:56:39,30.05952,-11.864888
2022-06-05 05:56:38,28.17128,-11.508606
2022-06-05 05:56:37,34.40911,-12.697839
2022-06-05 05:56:36,30.08488,-11.874072
2022-06-05 05:56:35,28.14329,-11.497173
2022-06-05 05:56:34,43.01087,-16.491625
2022-06-05 05:56:33,39.07517,-16.18858
2022-06-05 05:56:32,30.11192,-12.471304
2022-06-05 05:56:31,34.39948,-12.693825
2022-06-05 05:56:30,31.9633,-12.712487
2022-06-05 05:56:29,28.74677,-11.765421
2022-06-05 05:56:28,34.44287,-12.709943
2022-06-05 05:56:27,30.07933,-11.873493
2022-06-05 05:56:26,28.12747,-11.49071
2022-06-05 05:56:25,37.73784,-13.236854
2022-06-05 05:56:24,31.10127,-12.038049
2022-06-05 05:56:23,35.47074,-15.612361
2022-06-05 05:56:22,36.66935,-13.962375
2022-06-05 05:56:21,30.54596,-11.873429
2022-06-05 05:56:20,28.74334,-12.774917
2022-06-05 05:56:19,34.56383,-13.096234
2022-06-05 05:56:18,30.09189,-11.876238
2022-06-05 05:56:17,28.16609,-11.187961
2022-06-05 05:56:16,37.74835,-13.142778
2022-06-05 05:56:15,31.09438,-12.036134
2022-06-05 05:56:14,28.80109,-11.824213
2022-06-05 05:56:13,48.2044,-22.26456
2022-06-05 05:56:12,34.85101,-15.074487
2022-06-05 05:56:11,28.35663,-11.602104
2022-06-05 05:56:10,34.43759,-12.707463
2022-06-05 05:56:09,30.02717,-11.852507
2022-06-05 05:56:08,28.15189,-11.500688
2022-06-05 05:56:07,34.43038,-12.707183
2022-06-05 05:56:06,30.08403,-11.873069
2022-06-05 05:56:05,28.16332,-11.186975
2022-06-05 05:56:04,42.99923,-16.389425
2022-06-05 05:56:03,32.709,-13.031416
2022-06-05 05:56:02,34.50315,-14.65101
2022-06-05 05:56:01,36.37501,-13.671608
