time,in,out
2022-06-05 10:54:51,0,0
2022-06-05 10:54:50,0,0
2022-06-05 10:54:49,0,0
2022-06-05 10:54:48,0,0
2022-06-05 10:54:47,0,0
2022-06-05 10:54:46,0,0
2022-06-05 10:54:45,0,0
2022-06-05 10:54:44,0,0
2022-06-05 10:54:43,0,0
2022-06-05 10:54:42,0,0
2022-06-05 10:54:41,0,0
2022-06-05 10:54:40,0,0
2022-06-05 10:54:39,0,0
2022-06-05 10:54:38,0,0
2022-06-05 10:54:37,0,-13.602847
2022-06-05 10:54:36,0,-2.397153
2022-06-05 10:54:35,0,0
2022-06-05 10:54:34,0,0
2022-06-05 10:54:33,0,0
2022-06-05 10:54:32,0,0
2022-06-05 10:54:31,0,-37.38574
2022-06-05 10:54:30,0,-6.614258
2022-06-05 10:54:29,0,0
2022-06-05 10:54:28,0,0
2022-06-05 10:54:27,0,0
2022-06-05 10:54:26,0,0
2022-06-05 10:54:25,0,0
2022-06-05 10:54:24,0,0
2022-06-05 10:54:23,0,0
2022-06-05 10:54:22,0,0
2022-06-05 10:54:21,0,0
2022-06-05 10:54:20,0,0
2022-06-05 10:54:19,0,0
2022-06-05 10:54:18,0,0
2022-06-05 10:54:17,0,0
2022-06-05 10:54:16,0,0
2022-06-05 10:54:15,0,0
2022-06-05 10:54:14,0,0
2022-06-05 10:54:13,0,0
2022-06-05 10:54:12,0,0
2022-06-05 10:54:11,0,0
2022-06-05 10:54:10,0,0
2022-06-05 10:54:09,0,0
2022-06-05 10:54:08,0,0
2022-06-05 10:54:07,0,0
2022-06-05 10:54:06,0,-13.608864
2022-06-05 10:54:05,0,-2.391136
2022-06-05 10:54:04,0,0
2022-06-05 10:54:03,0,0
2022-06-05 10:54:02,0,0
2022-06-05 10:54:01,0,0
2022-06-05 10:54:00,0,-23.82995
2022-06-05 10:53:59,0,-4.170054
2022-06-05 10:53:58,0,-136.20341
2022-06-05 10:53:57,0,-23.79659
2022-06-05 10:53:56,0,0
2022-06-05 10:53:55,0,0
2022-06-05 10:53:54,0,0
2022-06-05 10:53:53,0,0
2022-06-05 10:53:52,0,0
2022-06-05 10:53:51,0,0
2022-06-05 10:53:50,0,0
2022-06-05 10:53:49,0,0
2022-06-05 10:53:48,0,0
2022-06-05 10:53:47,0,0
2022-06-05 10:53:46,0,0
2022-06-05 10:53:45,0,0
2022-06-05 10:53:44,0,0
2022-06-05 10:53:43,0,0
2022-06-05 10:53:42,0,0
2022-06-05 10:53:41,0,0
2022-06-05 10:53:40,0,-44.16116
2022-06-05 10:53:39,0,-7.838842
2022-06-05 10:53:38,0,0
2022-06-05 10:53:37,0,0
2022-06-05 10:53:36,0,0
2022-06-05 10:53:35,0,0
2022-06-05 10:53:34,0,0
2022-06-05 10:53:33,0,-23.82091
2022-06-05 10:53:32,0,-4.17909
2022-06-05 10:53:31,0,0
2022-06-05 10:53:30,0,-20.383
2022-06-05 10:53:29,0,-3.617004
2022-06-05 10:53:28,0,0
2022-06-05 10:53:27,0,-54.29462
2022-06-05 10:53:26,0,-9.705382
2022-06-05 10:53:25,0,0
2022-06-05 10:53:24,0,0
2022-06-05 10:53:23,0,0
2022-06-05 10:53:22,0,0
2022-06-05 10:53:21,0,0
2022-06-05 10:53:20,0,0
2022-06-05 10:53:19,0,0
2022-06-05 10:53:18,0,0
2022-06-05 10:53:17,0,0
2022-06-05 10:53:16,0,0
2022-06-05 10:53:15,0,0
2022-06-05 10:53:14,0,0
2022-06-05 10:53:13,0,0
