time,in,out
2022-06-04 19:34:08,2693.668,0
2022-06-04 19:34:07,936.859,-703.073
2022-06-04 19:34:06,33.47324,-2002.283
2022-06-04 19:34:05,0,-544.7835
2022-06-04 19:34:04,0,-1.860502
2022-06-04 19:34:03,0,0
2022-06-04 19:34:02,0,0
2022-06-04 19:34:01,0,0
2022-06-04 19:34:00,0,0
2022-06-04 19:33:59,0,0
2022-06-04 19:33:58,0,-9.214846
2022-06-04 19:33:57,0,-18.14854
2022-06-04 19:33:56,0,-4.636614
2022-06-04 19:33:55,0,0
2022-06-04 19:33:54,0,0
2022-06-04 19:33:53,0,-6.122072
2022-06-04 19:33:52,0,-26.43122
2022-06-04 19:33:51,0,-7.446712
2022-06-04 19:33:50,0,0
2022-06-04 19:33:49,0,0
2022-06-04 19:33:48,0,0
2022-06-04 19:33:47,0,-21.47672
2022-06-04 19:33:46,0,-24.94003
2022-06-04 19:33:45,0,-5.583251
2022-06-04 19:33:44,0,0
2022-06-04 19:33:43,0,0
2022-06-04 19:33:42,0,-3.059422
2022-06-04 19:33:41,0,-0.9405778
2022-06-04 19:33:40,0,-9.204142
2022-06-04 19:33:39,0,-2.795858
2022-06-04 19:33:38,0,-36.82684
2022-06-04 19:33:37,0,-63.37857
2022-06-04 19:33:36,0,-15.794588
2022-06-04 19:33:35,0,-3.067869
2022-06-04 19:33:34,0,-0.9321309
2022-06-04 19:33:33,0,0
2022-06-04 19:33:32,0,-24.49498
2022-06-04 19:33:31,0,-7.505019
2022-06-04 19:33:30,0,0
2022-06-04 19:33:29,0,0
2022-06-04 19:33:28,0,0
2022-06-04 19:33:27,0,-49.17711
2022-06-04 19:33:26,0,-14.822888
2022-06-04 19:33:25,0,0
2022-06-04 19:33:24,0,0
2022-06-04 19:33:23,0,-6.14257
2022-06-04 19:33:22,0,-7.999549
2022-06-04 19:33:21,0,-50.9628
2022-06-04 19:33:20,0,-14.89508
2022-06-04 19:33:19,0,-6.125487
2022-06-04 19:33:18,0,-1.874513
2022-06-04 19:33:17,0,0
2022-06-04 19:33:16,0,-187.1726
2022-06-04 19:33:15,0,-81.35058
2022-06-04 19:33:14,0,-16.662527
2022-06-04 19:33:13,0,-12.025465
2022-06-04 19:33:12,0,-2.788796
2022-06-04 19:33:11,0,-21.46365
2022-06-04 19:33:10,0,-70.85479
2022-06-04 19:33:09,0,-25.82466
2022-06-04 19:33:08,0,-1.856911
2022-06-04 19:33:07,0,-9.200986
2022-06-04 19:33:06,0,-8.925543
2022-06-04 19:33:05,0,-14.159501
2022-06-04 19:33:04,0,-3.713969
2022-06-04 19:33:03,0,0
2022-06-04 19:33:02,0,0
2022-06-04 19:33:01,0,-76.7609
2022-06-04 19:33:00,0,-29.37804
2022-06-04 19:32:59,0,-38.64335
2022-06-04 19:32:58,0,-17.36388
2022-06-04 19:32:57,0,-7.99798
2022-06-04 19:32:56,0,-32.53233
2022-06-04 19:32:55,0,-18.51323
2022-06-04 19:32:54,0,-39.65886
2022-06-04 19:32:53,0,-23.42896
2022-06-04 19:32:52,0,-3.722474
2022-06-04 19:32:51,0,-15.359426
2022-06-04 19:32:50,0,-19.99469
2022-06-04 19:32:49,0,-10.777478
2022-06-04 19:32:48,0,-26.4522
2022-06-04 19:32:47,0,-25.84497
2022-06-04 19:32:46,0,-39.29905
2022-06-04 19:32:45,0,-10.272184
2022-06-04 19:32:44,0,-15.359901
2022-06-04 19:32:43,0,-72.10822
2022-06-04 19:32:42,0,-20.53188
2022-06-04 19:32:41,0,0
2022-06-04 19:32:40,0,-6.133378
2022-06-04 19:32:39,0,-20.30839
2022-06-04 19:32:38,0,-11.699119
2022-06-04 19:32:37,0,-17.18017
2022-06-04 19:32:36,0,-4.67895
2022-06-04 19:32:35,0,0
2022-06-04 19:32:34,0,-12.249046
2022-06-04 19:32:33,0,-22.08847
2022-06-04 19:32:32,0,-17.91126
2022-06-04 19:32:31,0,-25.25541
2022-06-04 19:32:30,0,-9.565181
2022-06-04 19:32:29,0,-7.081123
2022-06-04 19:32:28,0,-7.990699
2022-06-04 19:32:27,0,-38.7694
2022-06-04 19:32:26,0,-29.51112
2022-06-04 19:32:25,0,-27.10578
2022-06-04 19:32:24,0,-15.684261
