time,free,used
2022-06-06 01:07:25,77996.4,2049.5
2022-06-06 01:07:26,78005.8,2040.14
2022-06-06 01:07:27,76580.1,3465.87
2022-06-06 01:07:28,69280.3,10765.6
2022-06-06 01:07:29,49629.4,30416.5
2022-06-06 01:07:30,45210.9,34835.1
2022-06-06 01:07:31,41042.8,39003.1
2022-06-06 01:07:32,37812.2,42233.7
2022-06-06 01:07:33,33489.9,46556
2022-06-06 01:07:34,29262.8,50783.2
2022-06-06 01:07:35,26674.1,53371.8
2022-06-06 01:07:36,42078.5,37967.4
2022-06-06 01:07:37,76797,3248.91
2022-06-06 01:07:38,75802.7,4243.3
2022-06-06 01:07:39,56644.3,23401.6
2022-06-06 01:07:40,47240.7,32805.2
2022-06-06 01:07:41,43182.6,36863.3
2022-06-06 01:07:42,39113.9,40932
2022-06-06 01:07:43,35674.7,44371.2
2022-06-06 01:07:44,31795.4,48250.6
2022-06-06 01:07:45,27586.5,52459.5
2022-06-06 01:07:46,26662.4,53383.5
2022-06-06 01:07:47,65559.1,14486.7
2022-06-06 01:07:48,73835.2,6210.73
2022-06-06 01:07:49,62542.5,17503.4
2022-06-06 01:07:50,48036.8,32009.1
2022-06-06 01:07:51,43733.6,36312.3
2022-06-06 01:07:52,39476.6,40569.4
2022-06-06 01:07:53,35974.5,44071.4
2022-06-06 01:07:54,32017.8,48028.1
2022-06-06 01:07:55,29959.3,50086.6
2022-06-06 01:07:56,33070,46975.9
2022-06-06 01:07:57,51508.2,28537.6
2022-06-06 01:07:58,69346.2,10699.8
2022-06-06 01:07:59,60861.4,19184.5
2022-06-06 01:08:00,48132,31913.9
2022-06-06 01:08:01,42841.3,37204.6
2022-06-06 01:08:02,38734.4,41311.5
2022-06-06 01:08:03,35381,44664.9
2022-06-06 01:08:04,32040.5,48005.5
2022-06-06 01:08:05,32508.2,47537.8
2022-06-06 01:08:06,37337.7,42708.2
2022-06-06 01:08:07,45968.8,34077.2
2022-06-06 01:08:08,63075.6,16970.3
2022-06-06 01:08:09,61001.4,19044.5
2022-06-06 01:08:10,51440.7,28605.2
2022-06-06 01:08:11,43454.2,36591.7
