time,in,out
2022-06-06 01:33:27,0,0
2022-06-06 01:33:26,0,0
2022-06-06 01:33:25,0,-0.8873326
2022-06-06 01:33:24,25.30442,-11.112667
2022-06-06 01:33:23,595.536,0
2022-06-06 01:33:22,4208.845,0
2022-06-06 01:33:21,9807.464,0
2022-06-06 01:33:20,8761.254,0
2022-06-06 01:33:19,5837.598,-0.8896068
2022-06-06 01:33:18,0,-11.110393
2022-06-06 01:33:17,0,0
2022-06-06 01:33:16,0,0
2022-06-06 01:33:15,0,0
2022-06-06 01:33:14,0,0
2022-06-06 01:33:13,0,-0.875243
2022-06-06 01:33:12,0,-11.124757
2022-06-06 01:33:11,1554.0377,0
2022-06-06 01:33:10,21165.06,-0.286343
2022-06-06 01:33:09,14928.901,-3.713657
2022-06-06 01:33:08,151.4926,0
2022-06-06 01:33:07,4183.879,-0.8509567
2022-06-06 01:33:06,29968.63,-11.149043
2022-06-06 01:33:05,0,0
2022-06-06 01:33:04,0,0
2022-06-06 01:33:03,277.8398,0
2022-06-06 01:33:02,4389.978,0
2022-06-06 01:33:01,11349.803,-0.8562769
2022-06-06 01:33:00,8812.523,-11.427366
2022-06-06 01:32:59,5109.641,-3.716358
2022-06-06 01:32:58,22489.64,0
2022-06-06 01:32:57,2610.573,0
2022-06-06 01:32:56,586.8391,-0.2865425
2022-06-06 01:32:55,8534.521,-4.567649
2022-06-06 01:32:54,12959.71,-11.145809
2022-06-06 01:32:53,10430.93,0
2022-06-06 01:32:52,95.37277,0
2022-06-06 01:32:51,2577.096,0
2022-06-06 01:32:50,16485.802,0
2022-06-06 01:32:49,9257.729,-0.8637727
2022-06-06 01:32:48,0,-11.136227
2022-06-06 01:32:47,1289.0263,0
2022-06-06 01:32:46,17160.01,0
2022-06-06 01:32:45,14064.943,0
2022-06-06 01:32:44,13054.02,0
2022-06-06 01:32:43,0,-0.8633137
2022-06-06 01:32:42,0,-11.136686
2022-06-06 01:32:41,2960.604,0
2022-06-06 01:32:40,38396.1,0
2022-06-06 01:32:39,14707.299,0
2022-06-06 01:32:38,0,0
2022-06-06 01:32:37,0,-0.8907669
2022-06-06 01:32:36,713.9299,-11.109233
2022-06-06 01:32:35,9014.07,-2.03071
2022-06-06 01:32:34,165.50234,-25.96929
2022-06-06 01:32:33,2367.252,0
2022-06-06 01:32:32,4887.781,0
2022-06-06 01:32:31,26876.09,-0.8664423
2022-06-06 01:32:30,13063.374,-11.133558
2022-06-06 01:32:29,0,0
2022-06-06 01:32:28,409.8137,0
2022-06-06 01:32:27,6142.237,0
2022-06-06 01:32:26,12756.709,0
2022-06-06 01:32:25,11255.017,-3.218371
2022-06-06 01:32:24,4508.224,-40.78163
2022-06-06 01:32:23,343.5502,-0.2982206
2022-06-06 01:32:22,5278.607,-3.701779
2022-06-06 01:32:21,13420.665,0
2022-06-06 01:32:20,8698.148,0
2022-06-06 01:32:19,11171.029,-0.8894588
2022-06-06 01:32:18,148.9594,-11.110541
2022-06-06 01:32:17,3094.898,0
2022-06-06 01:32:16,16565.267,0
2022-06-06 01:32:15,14319.592,-11.399257
2022-06-06 01:32:14,4271.283,-144.60074
2022-06-06 01:32:13,382.0674,-0.8954704
2022-06-06 01:32:12,5183.31,-11.10453
2022-06-06 01:32:11,6357.296,0
2022-06-06 01:32:10,10139.923,0
2022-06-06 01:32:09,20364.63,0
2022-06-06 01:32:08,5700.775,0
2022-06-06 01:32:07,130.57019,-2.623062
2022-06-06 01:32:06,3000.597,-33.37694
2022-06-06 01:32:05,17918.08,-3.261318
2022-06-06 01:32:04,7110.752,-40.73868
2022-06-06 01:32:03,0,-0.3004138
2022-06-06 01:32:02,1786.832,-3.699586
2022-06-06 01:32:01,23495,-0.8670347
2022-06-06 01:32:00,13415.937,-11.132965
2022-06-06 01:31:59,13270.233,-5.239238
2022-06-06 01:31:58,383.3742,-66.76076
2022-06-06 01:31:57,5674.59,0
2022-06-06 01:31:56,10106.726,0
2022-06-06 01:31:55,14487.668,-2.98862
2022-06-06 01:31:54,12049.239,-40.22384
2022-06-06 01:31:53,2610.403,-96.59104
2022-06-06 01:31:52,0,-716.1965
2022-06-06 01:31:51,705.8125,0
2022-06-06 01:31:50,9443.457,0
2022-06-06 01:31:49,6482.934,-1.753958
2022-06-06 01:31:48,17261.85,-22.24604
2022-06-06 01:31:47,15287.492,0
2022-06-06 01:31:46,9789.202,0
2022-06-06 01:31:45,4261.248,0
2022-06-06 01:31:44,0.6035783,-6.639361
2022-06-06 01:31:43,911.2961,-81.36064
2022-06-06 01:31:42,11993.961,0
2022-06-06 01:31:41,10910.139,0
2022-06-06 01:31:40,940.2395,-0.8814745
2022-06-06 01:31:39,12208.457,-11.118526
2022-06-06 01:31:38,5055.166,0
2022-06-06 01:31:37,9990.839,0
2022-06-06 01:31:36,6877.299,0
2022-06-06 01:31:35,258.9484,0
2022-06-06 01:31:34,4294.543,-0.8837676
2022-06-06 01:31:33,15414.509,-11.116232
2022-06-06 01:31:32,0,0
2022-06-06 01:31:31,0,0
2022-06-06 01:31:30,0,0
2022-06-06 01:31:29,0,0
2022-06-06 01:31:28,3891.04,-1.737071
2022-06-06 01:31:27,50944.56,-22.26293
2022-06-06 01:31:26,12748.405,0
2022-06-06 01:31:25,0,0
2022-06-06 01:31:24,302.2792,0
2022-06-06 01:31:23,4398.136,-0.5723625
2022-06-06 01:31:22,8898.961,-8.311043
2022-06-06 01:31:21,14111.638,-11.116594
2022-06-06 01:31:20,10176.986,0
2022-06-06 01:31:19,547.8758,0
2022-06-06 01:31:18,8210.205,0
2022-06-06 01:31:17,15439.901,0
2022-06-06 01:31:16,18666.07,-0.8626273
2022-06-06 01:31:15,4751.946,-11.137373
2022-06-06 01:31:14,696.6645,0
2022-06-06 01:31:13,9599.556,0
2022-06-06 01:31:12,9183.769,0
2022-06-06 01:31:11,23528.01,0
2022-06-06 01:31:10,0,-0.8604755
2022-06-06 01:31:09,0,-11.139524
2022-06-06 01:31:08,1175.991,0
2022-06-06 01:31:07,15409.208,0
2022-06-06 01:31:06,2614.801,0
2022-06-06 01:31:05,0,0
2022-06-06 01:31:04,1066.3969,-0.8618509
2022-06-06 01:31:03,14661.656,-11.138149
2022-06-06 01:31:02,11407.947,0
2022-06-06 01:31:01,0,0
2022-06-06 01:31:00,0,0
2022-06-06 01:30:59,513.4758,0
2022-06-06 01:30:58,9183.664,-0.8653535
2022-06-06 01:30:57,33650.73,-11.134647
2022-06-06 01:30:56,14853.355,0
2022-06-06 01:30:55,7590.773,0
2022-06-06 01:30:54,736.8238,0
2022-06-06 01:30:53,10860.553,0
2022-06-06 01:30:52,17974.39,-1.731082
2022-06-06 01:30:51,5539.49,-22.26892
2022-06-06 01:30:50,7128.748,0
2022-06-06 01:30:49,1140.7269,0
2022-06-06 01:30:48,15766.044,0
2022-06-06 01:30:47,13395.581,-2.009689
2022-06-06 01:30:46,8930.139,-26.85511
2022-06-06 01:30:45,14015.51,-11.135204
2022-06-06 01:30:44,844.2062,0
2022-06-06 01:30:43,12312.687,0
2022-06-06 01:30:42,18353.55,0
2022-06-06 01:30:41,6889.553,0
2022-06-06 01:30:40,0,-0.8687893
2022-06-06 01:30:39,1226.0863,-11.131211
2022-06-06 01:30:38,17208.19,0
2022-06-06 01:30:37,16912.51,0
2022-06-06 01:30:36,4042.175,0
2022-06-06 01:30:35,6179.041,0
2022-06-06 01:30:34,0,-0.8624923
2022-06-06 01:30:33,331.1562,-11.137508
2022-06-06 01:30:32,5287.079,0
2022-06-06 01:30:31,13069.764,0
2022-06-06 01:30:30,466.0814,0
2022-06-06 01:30:29,6903.066,-1.5451971
2022-06-06 01:30:28,13008.592,-18.4548
2022-06-06 01:30:27,19802.64,0
2022-06-06 01:30:26,16395.622,0
2022-06-06 01:30:25,0,0
2022-06-06 01:30:24,1069.5766,-1.1525609
2022-06-06 01:30:23,14274.425,-14.847439
2022-06-06 01:30:22,7438.865,-12.204651
2022-06-06 01:30:21,14663.865,-155.79535
2022-06-06 01:30:20,20665.27,0
2022-06-06 01:30:19,0,0
2022-06-06 01:30:18,36.8333,-1.726561
2022-06-06 01:30:17,903.477,-22.85538
2022-06-06 01:30:16,5459.69,-7.418057
2022-06-06 01:30:15,0,0
2022-06-06 01:30:14,0,0
2022-06-06 01:30:13,165.10087,0
2022-06-06 01:30:12,2992.769,-0.8701123
2022-06-06 01:30:11,11161.623,-11.129888
2022-06-06 01:30:10,3088.506,0
2022-06-06 01:30:09,1878.167,0
2022-06-06 01:30:08,24530.75,0
2022-06-06 01:30:07,4368.44,0
2022-06-06 01:30:06,7366.646,-6.076671
2022-06-06 01:30:05,0,-77.92333
2022-06-06 01:30:04,1183.9317,0
2022-06-06 01:30:03,15877.085,0
2022-06-06 01:30:02,9867.77,0
2022-06-06 01:30:01,14036.415,0
2022-06-06 01:30:00,3378.139,-2.305843
2022-06-06 01:29:59,954.0635,-29.69416
2022-06-06 01:29:58,5009.615,0
2022-06-06 01:29:57,25789.13,0
2022-06-06 01:29:56,10687.848,0
2022-06-06 01:29:55,0,-0.2868662
2022-06-06 01:29:54,537.1896,-5.449738
2022-06-06 01:29:53,7334.722,-22.2634
2022-06-06 01:29:52,7027.716,0
2022-06-06 01:29:51,16899.55,0
2022-06-06 01:29:50,712.817,0
2022-06-06 01:29:49,1155.8594,-6.114118
2022-06-06 01:29:48,15564.405,-77.88588
2022-06-06 01:29:47,12477.04,0
2022-06-06 01:29:46,23238.21,-0.5743886
2022-06-06 01:29:45,5940.489,-7.425611
2022-06-06 01:29:44,204.9307,0
2022-06-06 01:29:43,3807.543,-0.8763237
2022-06-06 01:29:42,15774.369,-11.123676
2022-06-06 01:29:41,8675.187,0
2022-06-06 01:29:40,13777.97,0
2022-06-06 01:29:39,707.4311,0
2022-06-06 01:29:38,9731.077,0
2022-06-06 01:29:37,11003.312,-0.8781633
2022-06-06 01:29:36,26194.68,-11.121837
2022-06-06 01:29:35,13547.504,0
2022-06-06 01:29:34,0,0
2022-06-06 01:29:33,0,0
2022-06-06 01:29:32,464.0908,0
2022-06-06 01:29:31,6644.242,-0.8737656
2022-06-06 01:29:30,9599.26,-11.126234
2022-06-06 01:29:29,8610.732,0
2022-06-06 01:29:28,16208.489,0
2022-06-06 01:29:27,4041.186,0
2022-06-06 01:29:26,937.1179,0
2022-06-06 01:29:25,14123.504,-2.873598
2022-06-06 01:29:24,26527.92,-37.1264
2022-06-06 01:29:23,8075.461,0
2022-06-06 01:29:22,0,0
2022-06-06 01:29:21,0,0
2022-06-06 01:29:20,37.24624,0
2022-06-06 01:29:19,1876.326,-1.751965
2022-06-06 01:29:18,18359.35,-22.24803
