time,free,used,cached,buffers
2022-06-06 02:37:40,241.3203,361.8164,15399.664,6.386719
2022-06-06 02:37:39,242.1055,361.1172,15399.578,6.386719
2022-06-06 02:37:38,182.1836,422.6758,15398.539,5.789062
2022-06-06 02:37:37,181.918,422.9414,15398.539,5.789062
2022-06-06 02:37:36,181.9102,422.9492,15398.539,5.789062
2022-06-06 02:37:35,182.625,422.2344,15398.539,5.789062
2022-06-06 02:37:34,182.3867,422.4805,15398.539,5.78125
2022-06-06 02:37:33,183.3945,422.4375,15397.574,5.78125
2022-06-06 02:37:32,186.1172,422.8594,15394.43,5.78125
2022-06-06 02:37:31,186.1172,422.8594,15394.43,5.78125
2022-06-06 02:37:30,187.5625,422.3789,15393.465,5.78125
2022-06-06 02:37:29,192.2305,422.6641,15388.512,5.78125
2022-06-06 02:37:28,200.4258,422.9531,15380.035,5.773438
2022-06-06 02:37:27,152.71875,422.707,15427.988,5.773438
2022-06-06 02:37:26,153.23438,422.207,15427.973,5.773438
2022-06-06 02:37:25,153.23438,422.207,15427.973,5.773438
2022-06-06 02:37:24,184.5195,422.3477,15396.547,5.773438
2022-06-06 02:37:23,187.4297,422.5469,15393.449,5.761719
2022-06-06 02:37:22,192.8398,422.5547,15388.031,5.761719
2022-06-06 02:37:21,192.9648,422.4297,15388.031,5.761719
2022-06-06 02:37:20,203.3438,422.2695,15377.812,5.761719
2022-06-06 02:37:19,152.51562,423.6797,15427.23,5.761719
2022-06-06 02:37:18,160.71484,423.1875,15419.531,5.753906
2022-06-06 02:37:17,170.8906,423.2695,15409.273,5.753906
2022-06-06 02:37:16,170.7227,423.5273,15409.184,5.753906
2022-06-06 02:37:15,150.51953,422.6367,15430.27,5.761719
2022-06-06 02:37:14,158.20703,422.6992,15422.52,5.761719
2022-06-06 02:37:13,180.0508,423.3711,15400.02,5.746094
2022-06-06 02:37:12,189.3711,423.8008,15390.27,5.746094
2022-06-06 02:37:11,189.3711,423.8008,15390.27,5.746094
2022-06-06 02:37:10,189.125,424.0469,15390.27,5.746094
2022-06-06 02:37:09,208.875,423.7969,15370.77,5.746094
2022-06-06 02:37:08,224.875,423.5469,15355.02,5.746094
2022-06-06 02:37:07,239.5664,423.8555,15340.02,5.746094
2022-06-06 02:37:06,239.0742,424.3477,15340.02,5.746094
2022-06-06 02:37:05,239.3281,424.0938,15340.02,5.746094
2022-06-06 02:37:04,239.4219,424,15340.02,5.746094
2022-06-06 02:37:03,253.8789,423.793,15325.77,5.746094
2022-06-06 02:37:02,260.5,423.1719,15319.77,5.746094
2022-06-06 02:37:01,260.4922,423.1797,15319.77,5.746094
2022-06-06 02:37:00,260.7305,422.9414,15319.77,5.746094
2022-06-06 02:36:59,260.7461,422.9258,15319.77,5.746094
2022-06-06 02:36:58,260.9844,422.6875,15319.77,5.746094
2022-06-06 02:36:57,275.0117,422.9102,15305.52,5.746094
2022-06-06 02:36:56,285.3164,423.1055,15295.02,5.746094
2022-06-06 02:36:55,289.2852,423.1367,15291.02,5.746094
2022-06-06 02:36:54,317.3398,423.082,15263.02,5.746094
2022-06-06 02:36:53,325.2383,423.6836,15254.52,5.746094
2022-06-06 02:36:52,325.4922,423.4297,15254.52,5.746094
2022-06-06 02:36:51,325.4922,423.4297,15254.52,5.746094
2022-06-06 02:36:50,330.0508,423.1211,15250.27,5.746094
2022-06-06 02:36:49,340.5078,422.9141,15240.02,5.746094
2022-06-06 02:36:48,355.6992,422.2227,15225.52,5.746094
2022-06-06 02:36:47,371.8945,422.2773,15209.27,5.746094
2022-06-06 02:36:46,371.7578,422.4141,15209.27,5.746094
2022-06-06 02:36:45,371.7578,422.4141,15209.27,5.746094
2022-06-06 02:36:44,376.9258,422.4961,15204.02,5.746094
2022-06-06 02:36:43,399.5508,422.3711,15181.52,5.746094
2022-06-06 02:36:42,410.3633,422.0586,15171.02,5.746094
2022-06-06 02:36:41,410.1172,422.3047,15171.02,5.746094
