time,received,sent
2022-06-16 11:39:41,4.581059,-8.093868
2022-06-16 11:39:40,17.47651,-19.1143
2022-06-16 11:39:39,22.62949,-27.47797
2022-06-16 11:39:38,2.048787,-8.623424
2022-06-16 11:39:37,1.4769407,-7.475383
2022-06-16 11:39:36,2.794288,-12.085253
2022-06-16 11:39:35,2.048785,-8.623445
2022-06-16 11:39:34,0.783997,-4.759982
2022-06-16 11:39:33,1.4231289,-6.712222
2022-06-16 11:39:32,2.048869,-8.623765
2022-06-16 11:39:31,159.02809,-7.163873
2022-06-16 11:39:30,10170.104,-7842.642
2022-06-16 11:39:29,35534,-32879.74
2022-06-16 11:39:28,49184.43,-49980.62
2022-06-16 11:39:27,49276.92,-48006.51
2022-06-16 11:39:26,45177.34,-47620.44
2022-06-16 11:39:25,49012.32,-43883.79
2022-06-16 11:39:24,51272.29,-47847.96
2022-06-16 11:39:23,50612.98,-45831.16
2022-06-16 11:39:22,47832.32,-43034.96
2022-06-16 11:39:21,50986.5,-44420.99
2022-06-16 11:39:20,52790.56,-43472.18
2022-06-16 11:39:19,52644.84,-48942.59
2022-06-16 11:39:18,46871.26,-48268.55
2022-06-16 11:39:17,48666.18,-45991.14
2022-06-16 11:39:16,45898.82,-44067.33
2022-06-16 11:39:15,50135.18,-45990.5
2022-06-16 11:39:14,54393.21,-44703.43
2022-06-16 11:39:13,50810.96,-50543.66
2022-06-16 11:39:12,49485.49,-49453.58
2022-06-16 11:39:11,49279.34,-44812.61
2022-06-16 11:39:10,43900.3,-42769.22
2022-06-16 11:39:09,45455.76,-46668.09
2022-06-16 11:39:08,50577.5,-49591.99
2022-06-16 11:39:07,50039.73,-46869.8
2022-06-16 11:39:06,47370.86,-45345.04
2022-06-16 11:39:05,41914.45,-38813.11
2022-06-16 11:39:04,37532.12,-42361.15
2022-06-16 11:39:03,45210.3,-45776.71
2022-06-16 11:39:02,45122.58,-48382.25
2022-06-16 11:39:01,46618.61,-50207.7
2022-06-16 11:39:00,44569.4,-49883.82
2022-06-16 11:38:59,46528.79,-48812.8
2022-06-16 11:38:58,54071.53,-48075.81
2022-06-16 11:38:57,53283.71,-45338.3
2022-06-16 11:38:56,48891.06,-47818.18
2022-06-16 11:38:55,51615.5,-47521.89
2022-06-16 11:38:54,49229.56,-47650.32
2022-06-16 11:38:53,51555.29,-50878.49
2022-06-16 11:38:52,52202.21,-47134.64
2022-06-16 11:38:51,49680.99,-45818.71
2022-06-16 11:38:50,45727.12,-45413.55
2022-06-16 11:38:49,46958.83,-44579.25
2022-06-16 11:38:48,47741.21,-45247.61
2022-06-16 11:38:47,47014.05,-49022.42
2022-06-16 11:38:46,47644.84,-47415.89
2022-06-16 11:38:45,47015.22,-41835.38
2022-06-16 11:38:44,49259.2,-46996.41
2022-06-16 11:38:43,52707.14,-48231.28
2022-06-16 11:38:42,47272.06,-46497.32
2022-06-16 11:38:41,50529.93,-43719.16
2022-06-16 11:38:40,48530.72,-41390.94
2022-06-16 11:38:39,47096.09,-47773.29
2022-06-16 11:38:38,48133.72,-49222.42
2022-06-16 11:38:37,42789.54,-48967.43
2022-06-16 11:38:36,42209.26,-46401.2
2022-06-16 11:38:35,53708.56,-48422.3
2022-06-16 11:38:34,52482.11,-47623.31
2022-06-16 11:38:33,49339.75,-44994.75
2022-06-16 11:38:32,45794.71,-47870.5
2022-06-16 11:38:31,45145.35,-49984.5
2022-06-16 11:38:30,54399.11,-49859.34
2022-06-16 11:38:29,47960.95,-46575.65
2022-06-16 11:38:28,47756.13,-44377.14
2022-06-16 11:38:27,49615.5,-44468.48
2022-06-16 11:38:26,48962.79,-45632.34
2022-06-16 11:38:25,49864.64,-43649.02
2022-06-16 11:38:24,46999.8,-44522.43
2022-06-16 11:38:23,52695.59,-42673.39
2022-06-16 11:38:22,50536.8,-44129.04
2022-06-16 11:38:21,47854.57,-50597.66
2022-06-16 11:38:20,41828.09,-41914.28
2022-06-16 11:38:19,45547.42,-45409.11
2022-06-16 11:38:18,49864.12,-49519.82
2022-06-16 11:38:17,52711.31,-45789.95
2022-06-16 11:38:16,53578.23,-43513.58
2022-06-16 11:38:15,40560.64,-43419.73
2022-06-16 11:38:14,37250.67,-42002.3
2022-06-16 11:38:13,39767.6,-42589.22
2022-06-16 11:38:12,47112.8,-42121.98
2022-06-16 11:38:11,49213.37,-41741.09
2022-06-16 11:38:10,53242.24,-43850.18
2022-06-16 11:38:09,54425.58,-44555.62
2022-06-16 11:38:08,50942.11,-48817.7
2022-06-16 11:38:07,48392.52,-46399.96
2022-06-16 11:38:06,47316.08,-46500.33
2022-06-16 11:38:05,49911.15,-45229.25
2022-06-16 11:38:04,53971.6,-46714.84
2022-06-16 11:38:03,54017.89,-46454.69
2022-06-16 11:38:02,46004.49,-47864.54
2022-06-16 11:38:01,50771.15,-44940.49
2022-06-16 11:38:00,46829.8,-45013.89
2022-06-16 11:37:59,46926.35,-43239.94
2022-06-16 11:37:58,49285.67,-44809.15
2022-06-16 11:37:57,47758.94,-45280.5
2022-06-16 11:37:56,50945.05,-48962.19
2022-06-16 11:37:55,51999.44,-50604.87
2022-06-16 11:37:54,56568.49,-49600.44
2022-06-16 11:37:53,56592.16,-49185.7
2022-06-16 11:37:52,45088.79,-51834.12
2022-06-16 11:37:51,42650.66,-40732.22
2022-06-16 11:37:50,45838,-44916.17
2022-06-16 11:37:49,40318.09,-44410.45
2022-06-16 11:37:48,43422.56,-40806.03
2022-06-16 11:37:47,49315.37,-42072.02
2022-06-16 11:37:46,47205.72,-44280.37
2022-06-16 11:37:45,44757.81,-43618.75
2022-06-16 11:37:44,49649.92,-44507.56
2022-06-16 11:37:43,46781.12,-49652.43
2022-06-16 11:37:42,46158.59,-48780.03
2022-06-16 11:37:41,47906.4,-42494
2022-06-16 11:37:40,47647.75,-47892.03
2022-06-16 11:37:39,42702.33,-49682.8
2022-06-16 11:37:38,46474.7,-48278.84
2022-06-16 11:37:37,50208.83,-46968.19
2022-06-16 11:37:36,48970.5,-45649.71
2022-06-16 11:37:35,51993.85,-44940.29
2022-06-16 11:37:34,51031.99,-44200.8
2022-06-16 11:37:33,46409.37,-50159.16
2022-06-16 11:37:32,48838.38,-48653.96
2022-06-16 11:37:31,44766.55,-45840.9
2022-06-16 11:37:30,42513.8,-42412.2
2022-06-16 11:37:29,48900.13,-45049.11
2022-06-16 11:37:28,46695.18,-48340.01
2022-06-16 11:37:27,50625.23,-49789.95
2022-06-16 11:37:26,49761.62,-47571.9
2022-06-16 11:37:25,49713.51,-44865.54
2022-06-16 11:37:24,51472.85,-45030.92
2022-06-16 11:37:23,43556.82,-45162.18
2022-06-16 11:37:22,43663.94,-41631.89
2022-06-16 11:37:21,46352.84,-45770.31
2022-06-16 11:37:20,48051.83,-45964.28
2022-06-16 11:37:19,44583.8,-40807.61
2022-06-16 11:37:18,44711.03,-42285.8
2022-06-16 11:37:17,48957.01,-49365.25
2022-06-16 11:37:16,49969.96,-41302.56
2022-06-16 11:37:15,50301.5,-43355.39
2022-06-16 11:37:14,48644.45,-46446.25
2022-06-16 11:37:13,49413.4,-46398.66
2022-06-16 11:37:12,48279.4,-44790.06
2022-06-16 11:37:11,36425.32,-38134.29
2022-06-16 11:37:10,41097.12,-44483.41
2022-06-16 11:37:09,48133.77,-44391.48
2022-06-16 11:37:08,52048.18,-46597.38
2022-06-16 11:37:07,45780.18,-43514.64
2022-06-16 11:37:06,44146.2,-45091.6
2022-06-16 11:37:05,43342.3,-41739.93
2022-06-16 11:37:04,46549.24,-42710.65
2022-06-16 11:37:03,51656.47,-47368.86
2022-06-16 11:37:02,51751.04,-45669.26
2022-06-16 11:37:01,53600.58,-45746.21
