time,free,used
2022-06-16 13:19:54,13546.4,2462.8
2022-06-16 13:19:53,13546.2,2462.99
2022-06-16 13:19:52,13546.1,2463.08
2022-06-16 13:19:51,12500.8,3508.37
2022-06-16 13:19:50,12501.1,3508.11
2022-06-16 13:19:49,12501.1,3508.11
2022-06-16 13:19:48,12500.8,3508.35
2022-06-16 13:19:47,12501.1,3508.11
2022-06-16 13:19:46,12501.3,3507.89
2022-06-16 13:19:45,12501.5,3507.66
2022-06-16 13:19:44,12501.5,3507.65
2022-06-16 13:19:43,12501.4,3507.81
2022-06-16 13:19:42,12501.1,3508.05
2022-06-16 13:19:41,12500.2,3509.02
2022-06-16 13:19:40,12501,3508.18
2022-06-16 13:19:39,12499.7,3509.47
2022-06-16 13:19:38,12499.3,3509.87
2022-06-16 13:19:37,12498.9,3510.27
2022-06-16 13:19:36,12499.7,3509.53
2022-06-16 13:19:35,12498.9,3510.27
2022-06-16 13:19:34,12498,3511.18
2022-06-16 13:19:33,12499.1,3510.12
2022-06-16 13:19:32,12499,3510.22
2022-06-16 13:19:31,12499.2,3509.98
2022-06-16 13:19:30,12500.6,3508.6
2022-06-16 13:19:29,12500.6,3508.59
2022-06-16 13:19:28,12500.6,3508.54
2022-06-16 13:19:27,12500.8,3508.34
2022-06-16 13:19:26,12501.7,3507.47
2022-06-16 13:19:25,12501.3,3507.89
2022-06-16 13:19:24,12501,3508.16
2022-06-16 13:19:23,12500.8,3508.38
2022-06-16 13:19:22,12497.7,3511.5
2022-06-16 13:19:21,12501,3508.18
2022-06-16 13:19:20,12501.2,3508.03
2022-06-16 13:19:19,12501.1,3508.1
2022-06-16 13:19:18,12500.6,3508.59
2022-06-16 13:19:17,12499.6,3509.59
2022-06-16 13:19:16,12500.7,3508.48
2022-06-16 13:19:15,12500.5,3508.73
2022-06-16 13:19:14,12500.5,3508.67
2022-06-16 13:19:13,12499.6,3509.61
2022-06-16 13:19:12,12500.8,3508.4
2022-06-16 13:19:11,12500.7,3508.5
2022-06-16 13:19:10,12502.1,3507.05
2022-06-16 13:19:09,12502.3,3506.84
2022-06-16 13:19:08,12502.8,3506.35
2022-06-16 13:19:07,12502.4,3506.77
2022-06-16 13:19:06,12502.2,3506.96
2022-06-16 13:19:05,12502.1,3507.07
2022-06-16 13:19:04,12502.4,3506.82
2022-06-16 13:19:03,12502.2,3506.97
2022-06-16 13:19:02,12502.9,3506.25
2022-06-16 13:19:01,12502.5,3506.67
2022-06-16 13:19:00,12502.9,3506.24
2022-06-16 13:18:59,12502.7,3506.53
2022-06-16 13:18:58,12502.7,3506.46
2022-06-16 13:18:57,12502.4,3506.75
2022-06-16 13:18:56,12502.8,3506.39
2022-06-16 13:18:55,12502.1,3507.11
2022-06-16 13:18:54,12502.1,3507.1
2022-06-16 13:18:53,12502.4,3506.81
2022-06-16 13:18:52,12502.1,3507.1
2022-06-16 13:18:51,12501.4,3507.74
2022-06-16 13:18:50,12501.6,3507.62
2022-06-16 13:18:49,12501.6,3507.57
2022-06-16 13:18:48,12501.7,3507.46
2022-06-16 13:18:47,12501.7,3507.45
2022-06-16 13:18:46,12502.5,3506.7
2022-06-16 13:18:45,12508.8,3500.39
2022-06-16 13:18:44,12513.3,3495.9
2022-06-16 13:18:43,12521.5,3487.64
2022-06-16 13:18:42,12523.5,3485.65
2022-06-16 13:18:41,12526.8,3482.36
2022-06-16 13:18:40,12532.1,3477.04
2022-06-16 13:18:39,12535,3474.23
2022-06-16 13:18:38,12542.1,3467.04
2022-06-16 13:18:37,12545.9,3463.28
2022-06-16 13:18:36,12548.8,3460.43
2022-06-16 13:18:35,12553,3456.2
2022-06-16 13:18:34,12557,3452.23
2022-06-16 13:18:33,12559.5,3449.7
2022-06-16 13:18:32,12562,3447.18
2022-06-16 13:18:31,12568,3441.18
2022-06-16 13:18:30,12569.8,3439.41
2022-06-16 13:18:29,12568.9,3440.31
2022-06-16 13:18:28,12570,3439.23
2022-06-16 13:18:27,12570.4,3438.81
2022-06-16 13:18:26,12570.8,3438.38
2022-06-16 13:18:25,12570.9,3438.26
2022-06-16 13:18:24,12571.5,3437.71
2022-06-16 13:18:23,12570.8,3438.38
2022-06-16 13:18:22,12571.4,3437.81
2022-06-16 13:18:21,12571.1,3438.12
2022-06-16 13:18:20,12571.6,3437.63
2022-06-16 13:18:19,12571.8,3437.38
2022-06-16 13:18:18,12571.9,3437.28
2022-06-16 13:18:17,12571.2,3437.98
2022-06-16 13:18:16,12571.3,3437.9
2022-06-16 13:18:15,12570.2,3439.02
