time,in,out
2022-06-17 03:40:13,37.3108,-35.826
2022-06-17 03:40:14,44.1155,-42.4694
2022-06-17 03:40:15,151.333,-115.305
2022-06-17 03:40:16,115.176,-77.849
2022-06-17 03:40:17,7.1486,-1.60099
2022-06-17 03:40:18,0,0
2022-06-17 03:40:19,0,0
2022-06-17 03:40:20,0,0
2022-06-17 03:40:21,0,0
2022-06-17 03:40:22,0.332474,-2.80525
2022-06-17 03:40:23,0.307526,-2.59475
2022-06-17 03:40:24,0,0
2022-06-17 03:40:25,0,0
2022-06-17 03:40:26,0,0
2022-06-17 03:40:27,0,0
2022-06-17 03:40:28,0,0
2022-06-17 03:40:29,0,0
2022-06-17 03:40:30,0,0
2022-06-17 03:40:31,0,0
2022-06-17 03:40:32,0,0
2022-06-17 03:40:33,0,0
2022-06-17 03:40:34,0,0
2022-06-17 03:40:35,0,0
2022-06-17 03:40:36,0,0
2022-06-17 03:40:37,0,0
2022-06-17 03:40:38,1.34446,-1.41341
2022-06-17 03:40:39,1.15154,-1.21059
2022-06-17 03:40:40,0.548626,-19.8544
2022-06-17 03:40:41,0.507374,-18.3616
2022-06-17 03:40:42,0,0
2022-06-17 03:40:43,0,0
2022-06-17 03:40:44,0.716464,-1.23085
2022-06-17 03:40:45,0.531536,-0.913152
2022-06-17 03:40:46,0,0
2022-06-17 03:40:47,0,0
2022-06-17 03:40:48,0.360235,-0.618866
2022-06-17 03:40:49,0.615511,-1.05742
2022-06-17 03:40:50,0.272254,-0.467718
2022-06-17 03:40:51,0,0
2022-06-17 03:40:52,0,0
2022-06-17 03:40:53,1.29691,-1.36341
2022-06-17 03:40:54,1.19909,-1.26059
2022-06-17 03:40:55,0,0
2022-06-17 03:40:56,0,0
2022-06-17 03:40:57,0,0
2022-06-17 03:40:58,0,0
2022-06-17 03:40:59,0,0
2022-06-17 03:41:00,0,0
2022-06-17 03:41:01,0,0
2022-06-17 03:41:02,0,0
2022-06-17 03:41:03,0,0
2022-06-17 03:41:04,0,0
2022-06-17 03:41:05,1.52311,-1.59145
2022-06-17 03:41:06,0.972895,-1.01655
2022-06-17 03:41:07,0,0
2022-06-17 03:41:08,0,-2.6848
2022-06-17 03:41:09,0.344737,-2.52327
2022-06-17 03:41:10,0.295263,-0.191921
2022-06-17 03:41:11,0,0
2022-06-17 03:41:12,0,0
2022-06-17 03:41:13,0,0
2022-06-17 03:41:14,0,0
2022-06-17 03:41:15,0,0
2022-06-17 03:41:16,0,0
2022-06-17 03:41:17,0,0
2022-06-17 03:41:18,0,0
2022-06-17 03:41:19,0,0
2022-06-17 03:41:20,0,0
2022-06-17 03:41:21,0,0
2022-06-17 03:41:22,0,0
2022-06-17 03:41:23,0,0
2022-06-17 03:41:24,0,0
2022-06-17 03:41:25,0,-0.340837
2022-06-17 03:41:26,0.324177,-0.531281
2022-06-17 03:41:27,0.299823,-0.199882
2022-06-17 03:41:28,1.75682,-1.82148
2022-06-17 03:41:29,1.34718,-1.39452
2022-06-17 03:41:30,0.380995,-0.65453
2022-06-17 03:41:31,0.243005,-0.41747
2022-06-17 03:41:32,0,0
2022-06-17 03:41:33,0.715352,-1.22894
2022-06-17 03:41:34,1.95208,-2.39818
2022-06-17 03:41:35,1.07657,-1.12488
2022-06-17 03:41:36,0,0
2022-06-17 03:41:37,0,0
2022-06-17 03:41:38,0,0
2022-06-17 03:41:39,0,0
2022-06-17 03:41:40,0,0
2022-06-17 03:41:41,0,0
2022-06-17 03:41:42,0,0
2022-06-17 03:41:43,0,0
2022-06-17 03:41:44,0,0
2022-06-17 03:41:45,0,0
2022-06-17 03:41:46,0,0
2022-06-17 03:41:47,0,0
2022-06-17 03:41:48,0,0
2022-06-17 03:41:49,0,0
2022-06-17 03:41:50,0,0
2022-06-17 03:41:51,0,0
2022-06-17 03:41:52,0,0
2022-06-17 03:41:53,0,0
2022-06-17 03:41:54,0.336116,-0.577431
2022-06-17 03:41:55,0.287884,-0.494569
2022-06-17 03:41:56,0,0
2022-06-17 03:41:57,0,0
2022-06-17 03:41:58,0,0
2022-06-17 03:41:59,0,0
