time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-14 11:21:09,0,0,0,0,0,2.255639,2.005013,0,0
2022-06-14 11:21:08,0,0,0,0.25,0,0,0.25,0.25,0
2022-06-14 11:21:07,0,0,0.7407407,0.9876543,0,3.703704,3.950617,0.2469136,0.2469136
2022-06-14 11:21:06,0,0,4,5,0,23.75,14.5,0,0
2022-06-14 11:21:05,0,0,6.188119,6.188119,0,23.51485,19.30693,0.2475248,0
2022-06-14 11:21:04,0,0,3.883495,6.31068,0,43.20388,15.776699,0.4854369,0
2022-06-14 11:21:03,0,0,5.513784,4.761905,0,30.57644,18.79699,0.2506266,0
2022-06-14 11:21:02,0,0,6.615776,7.124682,0,40.71247,17.55725,0.2544529,0
2022-06-14 11:21:01,0,0,8.06846,7.579462,0,46.21027,19.3154,0.2444988,0
2022-06-14 11:21:00,0,0,5.75,5,0,42.75,16.25,0,0
2022-06-14 11:20:59,0,0,9.547739,9.045226,0,49.74874,20.60302,0.2512563,0
2022-06-14 11:20:58,0,0,11.111111,9.343434,0,52.27273,23.48485,0,0
2022-06-14 11:20:57,0,0,9.390863,6.598985,0,60.15228,18.52792,0.2538071,0
2022-06-14 11:20:56,0,0,7.304786,6.04534,0,62.46851,17.63224,0,0
2022-06-14 11:20:55,0,0,5.037783,2.770781,0,66.49874,14.105793,0.2518892,0
2022-06-14 11:20:54,0,0,0.990099,0.4950495,0,43.81188,4.455446,0.2475248,0
2022-06-14 11:20:53,0,0,0,0,0,0,0,0.25,0.25
2022-06-14 11:20:52,0,0,0.2506266,0,0,0,0.5012531,0,0
2022-06-14 11:20:51,0,0,0,0,0,0,0.5,0.25,0
2022-06-14 11:20:50,0,0,0,0,0,0.2512563,0.5025126,0,0
2022-06-14 11:20:49,0,0,0.7481297,1.4962594,0,40.14963,3.241895,0.2493766,0
2022-06-14 11:20:48,0,0,1.995012,1.2468828,0,73.06733,4.987531,0.2493766,0
2022-06-14 11:20:47,0,0,2.985075,2.238806,0,80.0995,6.716418,0.2487562,0
2022-06-14 11:20:46,0,0,4.010025,2.255639,0,85.71429,6.265664,0.2506266,0
2022-06-14 11:20:45,0,0,3.740648,2.992519,0,84.53865,6.733167,0.2493766,0
2022-06-14 11:20:44,0,0,3.740648,2.244389,0,87.2818,5.985037,0.2493766,0
2022-06-14 11:20:43,0,0,1.5075377,0.7537688,0,91.45729,4.271357,0.2512563,0
2022-06-14 11:20:42,0,0,1.2531328,0.2506266,0,92.73183,4.260652,0.2506266,0
2022-06-14 11:20:41,0,0,1.745636,0.7481297,0,91.77057,3.990025,0,0
2022-06-14 11:20:40,0,0,1.5037594,0.2506266,0,92.23058,4.010025,0.2506266,0
2022-06-14 11:20:39,0,0,1.5,0.25,0,93.25,4,0.25,0
2022-06-14 11:20:38,0,0,1.75,0.5,0,92.25,4,0.25,0
2022-06-14 11:20:37,0,0,1.5424165,1.285347,0,91.00257,4.37018,0.2570694,0
2022-06-14 11:20:36,0,0,1.5189873,0,0,91.89873,3.797468,0.5063291,0
2022-06-14 11:20:35,0,0,1.2531328,0.5012531,0,92.4812,3.759398,0,0
2022-06-14 11:20:34,0,0,1.754386,0.7518797,0,91.97995,3.759398,0,0
2022-06-14 11:20:33,0,0,1.5037594,0.2506266,0,92.73183,3.258145,0.5012531,0
2022-06-14 11:20:32,0,0,1.5075377,0.5025126,0,92.71357,3.768844,0,0
2022-06-14 11:20:31,0,0,1.5,0,0,93.25,3.5,0.5,0
2022-06-14 11:20:30,0,0,1.754386,0.7518797,0,92.4812,3.759398,0.2506266,0
2022-06-14 11:20:29,0,0,1.2626263,0.5050505,0,91.41414,3.787879,0.2525253,0
2022-06-14 11:20:28,0,0,1.511335,0.7556675,0,91.93955,4.534005,0,0
2022-06-14 11:20:27,0,0,1.5151515,0.5050505,0,92.67677,3.787879,0.2525253,0
2022-06-14 11:20:26,0,0,1.4962594,0.2493766,0,93.26683,3.740648,0.2493766,0
2022-06-14 11:20:25,0,0,1.754386,0.5012531,0,92.98246,4.010025,0.2506266,0
2022-06-14 11:20:24,0,0,1.77665,0.7614213,0,91.11675,4.314721,0.2538071,0
2022-06-14 11:20:23,0,0,1.5,0.5,0,93.5,3,0,0
2022-06-14 11:20:22,0,0,1.5037594,0.2506266,0,91.22807,4.010025,0,0
2022-06-14 11:20:21,0,0,1.5,0.5,0,92.5,4.25,0.25,0
2022-06-14 11:20:20,0,0,1.511335,0.7556675,0,92.19144,3.274559,0,0
2022-06-14 11:20:19,0,0,1.754386,0.7518797,0,91.72932,4.511278,0,0
2022-06-14 11:20:18,0,0,1.5189873,0.2531646,0,93.41772,3.291139,0.2531646,0
2022-06-14 11:20:17,0,0,1.4925373,0.4975124,0,92.53731,3.9801,0.2487562,0
2022-06-14 11:20:16,0,0,1.5151515,0.5050505,0,90.90909,4.040404,0.2525253,0
2022-06-14 11:20:15,0,0,1.758794,0.2512563,0,92.71357,3.517588,0,0
2022-06-14 11:20:14,0,0,1.5,0.75,0,91.5,5,0.25,0
2022-06-14 11:20:13,0,0,1.511335,0.2518892,0,91.93955,4.534005,0,0
2022-06-14 11:20:12,0,0,1.763224,0.5037783,0,91.68766,4.282116,0.2518892,0
2022-06-14 11:20:11,0,0,1.5075377,0.5025126,0,93.21608,3.517588,0.2512563,0
2022-06-14 11:20:10,0,0,1.754386,0,0,92.23058,4.260652,0,0
2022-06-14 11:20:09,0,0,1.5037594,0.5012531,0,92.73183,3.258145,0,0
2022-06-14 11:20:08,0,0,1.2531328,0.5012531,0,91.72932,4.260652,0.2506266,0
2022-06-14 11:20:07,0,0,1.4962594,0.4987531,0,92.01995,3.990025,0.2493766,0
2022-06-14 11:20:06,0,0,1.763224,0.5037783,0,93.19899,3.274559,0,0
2022-06-14 11:20:05,0,0,1.5151515,0,0,92.42424,4.040404,0.2525253,0
2022-06-14 11:20:04,0,0,1.763224,0.2518892,0,91.93955,4.534005,0.2518892,0
2022-06-14 11:20:03,0,0,1.5037594,0.5012531,0,92.98246,4.010025,0,0
2022-06-14 11:20:02,0,0,1.5037594,0.2506266,0,91.97995,3.508772,0.2506266,0
2022-06-14 11:20:01,0,0,1.5075377,0.7537688,0,91.70854,3.517588,0,0
2022-06-14 11:20:00,0,0,1.758794,0.5025126,0,94.22111,2.261307,0.2512563,0
2022-06-14 11:19:59,0,0,1.5151515,0.7575758,0,91.16162,5.050505,0.2525253,0
2022-06-14 11:19:58,0,0,1.511335,0.2518892,0,93.45088,3.526448,0,0
2022-06-14 11:19:57,0,0,1.75,0.25,0,92.5,3.75,0.25,0
2022-06-14 11:19:56,0,0,1.772152,0.5063291,0,90.88608,4.556962,0.2531646,0
2022-06-14 11:19:55,0,0,1.5075377,0.2512563,0,92.21106,3.768844,0,0
2022-06-14 11:19:54,0,0,1.5,0.5,0,92,4,0.5,0
2022-06-14 11:19:53,0,0,1.745636,0.4987531,0,92.01995,3.990025,0.2493766,0
2022-06-14 11:19:52,0,0,1.5228426,0.5076142,0,92.63959,3.807107,0.2538071,0
2022-06-14 11:19:51,0,0,2.75,0.5,0,91.5,3.75,0.25,0
2022-06-14 11:19:50,0,0,1.5075377,1.0050251,0,91.45729,4.271357,0,0
2022-06-14 11:19:49,0,0,1.5151515,0.2525253,0,92.17172,3.787879,0,0
2022-06-14 11:19:48,0,0,1.5,0.75,0,91.5,4.5,0.25,0
2022-06-14 11:19:47,0,0,1.5345269,0.511509,0,92.07161,4.092072,0,0
2022-06-14 11:19:46,0,0,1.5345269,0.511509,0,92.32737,4.347826,0,0
2022-06-14 11:19:45,0,0,1.754386,0.5012531,0,92.98246,3.759398,0,0
2022-06-14 11:19:44,0,0,1.75,1,0,91,5,0,0
2022-06-14 11:19:43,0,0,1.5037594,0.5012531,0,91.72932,4.010025,0.2506266,0
2022-06-14 11:19:42,0,0,1.2658228,0,0,93.16456,4.050633,0.2531646,0
2022-06-14 11:19:41,0,0,1.772152,0.2531646,0,93.41772,3.037975,0,0
2022-06-14 11:19:40,0,0,1.5037594,0.7518797,0,92.4812,3.759398,0.2506266,0
2022-06-14 11:19:39,0,0,1.5,0.25,0,92,4.75,0.25,0
2022-06-14 11:19:38,0,0,1.5,0.5,0,93,3.5,0,0
2022-06-14 11:19:37,0,0,1.763224,0.5037783,0,92.19144,3.526448,0.5037783,0
2022-06-14 11:19:36,0,0,1.5,0.25,0,92,4.25,0.25,0
2022-06-14 11:19:35,0,0,1.5151515,0.5050505,0,91.91919,4.545455,0,0
2022-06-14 11:19:34,0,0,1.5151515,0.2525253,0,91.66667,4.545455,0.2525253,0
2022-06-14 11:19:33,0,0,1.5267176,0.5089059,0,92.62087,3.562341,0.2544529,0
2022-06-14 11:19:32,0,0,1.5075377,0.2512563,0,91.9598,5.025126,0,0
2022-06-14 11:19:31,0,0,1.5151515,0.5050505,0,92.42424,3.787879,0.2525253,0
2022-06-14 11:19:30,0,0,1.758794,0.5025126,0,90.20101,5.025126,0.2512563,0
2022-06-14 11:19:29,0,0,1.2626263,0.5050505,0,92.67677,3.282828,0.5050505,0
2022-06-14 11:19:28,0,0,1.75,0.5,0,92.75,3.25,0.25,0
2022-06-14 11:19:27,0,0,1.4888337,0.7444169,0,92.55583,3.473945,0.248139,0
2022-06-14 11:19:26,0,0,1.5151515,0.5050505,0,92.92929,3.535354,0.2525253,0
2022-06-14 11:19:25,0,0,2.030457,0.7614213,0,91.11675,4.314721,0.2538071,0
2022-06-14 11:19:24,0,0,1.745636,0,0,93.01746,3.740648,0,0
2022-06-14 11:19:23,0,0,1.75,0.5,0,91,4.5,0.25,0
2022-06-14 11:19:22,0,0,1.2658228,1.2658228,0,91.64557,3.797468,0.2531646,0
2022-06-14 11:19:21,0,0,1.75,0.75,0,91.5,4.5,0.25,0
2022-06-14 11:19:20,0,0,1.5075377,0,0,91.9598,4.773869,0,0
2022-06-14 11:19:19,0,0,1.772152,0.5063291,0,92.40506,3.797468,0.2531646,0
2022-06-14 11:19:18,0,0,1.5037594,0.2506266,0,92.98246,3.007519,0.2506266,0
2022-06-14 11:19:17,0,0,1.758794,0.5025126,0,90.70352,4.020101,0,0
2022-06-14 11:19:16,0,0,1.2468828,0.4987531,0,92.26933,4.239401,0.2493766,0
2022-06-14 11:19:15,0,0,1.5075377,0.7537688,0,92.46231,3.266332,0.2512563,0
2022-06-14 11:19:14,0,0,1.5384615,0,0,91.79487,4.358974,0.2564103,0
2022-06-14 11:19:13,0,0,1.772152,0.5063291,0,92.1519,3.797468,0.2531646,0
2022-06-14 11:19:12,0,0,1.5151515,0.7575758,0,91.91919,4.292929,0,0
2022-06-14 11:19:11,0,0,1.5037594,0.5012531,0,92.73183,4.260652,0.5012531,0
2022-06-14 11:19:10,0,0,1.511335,0.2518892,0,91.18388,4.785894,0.2518892,0
2022-06-14 11:19:09,0,0,1.758794,0.5025126,0,90.95477,4.522613,0.2512563,0
2022-06-14 11:19:08,0,0,1.5037594,0.7518797,0,92.23058,3.759398,0.2506266,0
2022-06-14 11:19:07,0,0,1.5075377,0.5025126,0,91.9598,4.773869,0,0
2022-06-14 11:19:06,0,0,1.4962594,0.4987531,0,92.01995,4.239401,0.2493766,0
2022-06-14 11:19:05,0,0,1.5228426,0.5076142,0,92.38579,4.060914,0,0
2022-06-14 11:19:04,0,0,1.736973,0.9925558,0,91.31514,3.970223,0,0
2022-06-14 11:19:03,0,0,1.2626263,0.2525253,0,93.18182,3.787879,0.2525253,0
2022-06-14 11:19:02,0,0,1.75,0.5,0,92,3.5,0.25,0
2022-06-14 11:19:01,0,0,1.5345269,0.511509,0,92.32737,4.092072,0,0
2022-06-14 11:19:00,0,0,1.511335,0.5037783,0,91.18388,4.785894,0.5037783,0
2022-06-14 11:18:59,0,0,1.5,0.5,0,92.25,4.25,0.25,0
2022-06-14 11:18:58,0,0,1.754386,0.7518797,0,92.73183,3.508772,0.2506266,0
2022-06-14 11:18:57,0,0,1.5075377,0.5025126,0,90.45226,4.271357,0.2512563,0
2022-06-14 11:18:56,0,0,1.5,1,0,92,4.25,0.25,0
2022-06-14 11:18:55,0,0,1.5151515,0.2525253,0,91.91919,4.040404,0,0
2022-06-14 11:18:54,0,0,1.5,0.5,0,92,4.5,0.5,0
