time,in,out
2022-06-14 11:34:10,658.1469,-27.17868
2022-06-14 11:34:09,917.0426,-500.3005
2022-06-14 11:34:08,3915.607,-3884.848
2022-06-14 11:34:07,7628.835,-7686.393
2022-06-14 11:34:06,6903.58,-7753.386
2022-06-14 11:34:05,8355.404,-10352.36
2022-06-14 11:34:04,7991.683,-9696.167
2022-06-14 11:34:03,6972.274,-8453.542
2022-06-14 11:34:02,6600.151,-8330.524
2022-06-14 11:34:01,6027.965,-7385.706
2022-06-14 11:34:00,5957.983,-6976.788
2022-06-14 11:33:59,5766.15,-6829.55
2022-06-14 11:33:58,5249.181,-6457.025
2022-06-14 11:33:57,4653.174,-5844.064
2022-06-14 11:33:56,3983.114,-4792.281
2022-06-14 11:33:55,3279.806,-3750.629
2022-06-14 11:33:54,1970.393,-3249.836
2022-06-14 11:33:53,351.6254,-2320.075
2022-06-14 11:33:52,74.50187,-11.83487
2022-06-14 11:33:51,164.57438,-13.684024
2022-06-14 11:33:50,171.9573,-16.382224
2022-06-14 11:33:49,150.10515,-203.345
2022-06-14 11:33:48,110.22845,-348.7303
2022-06-14 11:33:47,107.9527,-52.90552
2022-06-14 11:33:46,153.905,-121.47238
2022-06-14 11:33:45,123.37205,-84.68147
2022-06-14 11:33:44,64.89102,-15.884206
2022-06-14 11:33:43,27.84659,-11.536804
2022-06-14 11:33:42,69.76661,-51.80325
2022-06-14 11:33:41,138.50831,-122.61653
2022-06-14 11:33:40,192.6621,-180.9662
2022-06-14 11:33:39,306.8705,-477.5322
2022-06-14 11:33:38,273.0378,-605.5835
2022-06-14 11:33:37,189.0783,-190.571
2022-06-14 11:33:36,103.86477,-82.61285
2022-06-14 11:33:35,101.82046,-55.28055
2022-06-14 11:33:34,150.59787,-123.09145
2022-06-14 11:33:33,152.55065,-330.1534
2022-06-14 11:33:32,245.6991,-574.6249
2022-06-14 11:33:31,287.5845,-299.8836
2022-06-14 11:33:30,244.8333,-231.9447
2022-06-14 11:33:29,209.3369,-175.737
2022-06-14 11:33:28,112.78142,-292.62
2022-06-14 11:33:27,165.10774,-491.4102
2022-06-14 11:33:26,163.03514,-142.9596
2022-06-14 11:33:25,219.1999,-197.7949
2022-06-14 11:33:24,292.0268,-460.6114
2022-06-14 11:33:23,301.5789,-637.5244
2022-06-14 11:33:22,153.71372,-151.29388
2022-06-14 11:33:21,75.64637,-275.9084
2022-06-14 11:33:20,164.22266,-526.7869
2022-06-14 11:33:19,186.3698,-164.52523
2022-06-14 11:33:18,273.5753,-477.6077
2022-06-14 11:33:17,323.99,-672.2598
2022-06-14 11:33:16,199.7841,-171.9572
2022-06-14 11:33:15,91.96641,-49.61527
2022-06-14 11:33:14,117.06269,-74.75287
2022-06-14 11:33:13,210.3965,-214.354
2022-06-14 11:33:12,280.4548,-472.7378
2022-06-14 11:33:11,270.2604,-602.6761
2022-06-14 11:33:10,203.7992,-192.7377
2022-06-14 11:33:09,141.84867,-105.97808
2022-06-14 11:33:08,109.02445,-90.55026
2022-06-14 11:33:07,187.8795,-216.8695
2022-06-14 11:33:06,264.7974,-482.5512
2022-06-14 11:33:05,219.6512,-499.6122
2022-06-14 11:33:04,242.4248,-212.9771
2022-06-14 11:33:03,202.3088,-176.057
2022-06-14 11:33:02,170.2544,-157.66131
2022-06-14 11:33:01,127.86182,-309.0087
2022-06-14 11:33:00,184.2201,-498.7831
2022-06-14 11:32:59,243.8785,-214.9813
2022-06-14 11:32:58,210.5365,-214.3697
2022-06-14 11:32:57,262.2483,-265.5302
2022-06-14 11:32:56,191.9971,-174.7544
2022-06-14 11:32:55,141.2011,-297.0822
2022-06-14 11:32:54,225.7595,-533.4591
2022-06-14 11:32:53,201.6772,-192.9658
2022-06-14 11:32:52,178.9656,-179.7664
2022-06-14 11:32:51,263.7078,-454.1533
2022-06-14 11:32:50,218.5865,-529.7551
2022-06-14 11:32:49,168.2428,-142.88418
2022-06-14 11:32:48,197.4734,-195.7159
2022-06-14 11:32:47,201.7002,-192.7211
2022-06-14 11:32:46,115.09781,-101.56964
2022-06-14 11:32:45,198.0934,-355.1231
2022-06-14 11:32:44,326.3027,-640.2403
2022-06-14 11:32:43,171.8578,-171.3813
2022-06-14 11:32:42,155.20148,-150.12614
2022-06-14 11:32:41,233.8895,-231.2124
2022-06-14 11:32:40,138.17621,-114.05819
2022-06-14 11:32:39,194.4279,-352.3237
2022-06-14 11:32:38,259.2883,-589.8456
2022-06-14 11:32:37,238.6239,-245.2401
2022-06-14 11:32:36,206.165,-196.1467
2022-06-14 11:32:35,210.8373,-175.8801
2022-06-14 11:32:34,137.98021,-295.316
2022-06-14 11:32:33,184.3377,-512.827
2022-06-14 11:32:32,191.0377,-180.5301
2022-06-14 11:32:31,192.8579,-194.7395
2022-06-14 11:32:30,263.3104,-439.2226
2022-06-14 11:32:29,259.9876,-565.6503
2022-06-14 11:32:28,125.92898,-120.45107
2022-06-14 11:32:27,149.82053,-140.73337
2022-06-14 11:32:26,176.9442,-158.38631
2022-06-14 11:32:25,222.6528,-202.109
2022-06-14 11:32:24,283.1324,-264.6744
2022-06-14 11:32:23,210.0009,-388.713
2022-06-14 11:32:22,218.2902,-556.6659
2022-06-14 11:32:21,86.64441,-70.61271
2022-06-14 11:32:20,201.2307,-178.7505
2022-06-14 11:32:19,199.6491,-178.1998
2022-06-14 11:32:18,218.3484,-403.4947
2022-06-14 11:32:17,305.3637,-641.4697
2022-06-14 11:32:16,241.685,-241.8054
2022-06-14 11:32:15,127.39096,-88.85501
2022-06-14 11:32:14,163.8501,-125.24383
2022-06-14 11:32:13,161.27395,-159.68271
2022-06-14 11:32:12,184.2482,-363.7811
2022-06-14 11:32:11,218.959,-544.0957
2022-06-14 11:32:10,336.8812,-343.7671
2022-06-14 11:32:09,171.8698,-140.75674
2022-06-14 11:32:08,125.48662,-109.94678
2022-06-14 11:32:07,139.84007,-135.89146
2022-06-14 11:32:06,161.23317,-333.3437
2022-06-14 11:32:05,331.7181,-644.4429
2022-06-14 11:32:04,312.78,-302.8318
2022-06-14 11:32:03,177.6188,-171.5841
2022-06-14 11:32:02,125.39674,-294.8786
2022-06-14 11:32:01,123.52036,-451.4075
2022-06-14 11:32:00,170.8911,-150.65968
2022-06-14 11:31:59,302.7399,-280.8497
2022-06-14 11:31:58,165.87587,-351.6551
2022-06-14 11:31:57,295.2227,-635.7251
2022-06-14 11:31:56,191.0732,-173.7989
2022-06-14 11:31:55,103.02774,-68.57578
2022-06-14 11:31:54,142.87465,-108.35389
