time,in,out
2022-06-26 16:58:55,552.9485,-3570.406
2022-06-26 16:58:54,130.64337,-1.840048
2022-06-26 16:58:53,153.35663,-29.76095
2022-06-26 16:58:52,0,-32.39901
2022-06-26 16:58:51,0,-33.12708
2022-06-26 16:58:50,0,-59.11675
2022-06-26 16:58:49,0,-23.75617
2022-06-26 16:58:48,0,-16.560004
2022-06-26 16:58:47,0,-19.44
2022-06-26 16:58:46,0,0
2022-06-26 16:58:45,0,-7.361102
2022-06-26 16:58:44,0,-8.638898
2022-06-26 16:58:43,0,0
2022-06-26 16:58:42,0,0
2022-06-26 16:58:41,0,0
2022-06-26 16:58:40,0,0
2022-06-26 16:58:39,0,-5.520584
2022-06-26 16:58:38,0,-32.24214
2022-06-26 16:58:37,0,-30.23727
2022-06-26 16:58:36,0,0
2022-06-26 16:58:35,0,0
2022-06-26 16:58:34,0,0
2022-06-26 16:58:33,0,-11.041855
2022-06-26 16:58:32,0,-12.958145
2022-06-26 16:58:31,0,0
2022-06-26 16:58:30,0,0
2022-06-26 16:58:29,0,0
2022-06-26 16:58:28,0,0
2022-06-26 16:58:27,0,-7.360362
2022-06-26 16:58:26,0,-8.639638
2022-06-26 16:58:25,0,0
2022-06-26 16:58:24,287.0864,0
2022-06-26 16:58:23,336.9136,0
2022-06-26 16:58:22,0,-5.521008
2022-06-26 16:58:21,0,-6.478992
2022-06-26 16:58:20,0,0
2022-06-26 16:58:19,0,-18.40296
2022-06-26 16:58:18,0,-21.59704
2022-06-26 16:58:17,0,-18.40145
2022-06-26 16:58:16,0,-21.59855
2022-06-26 16:58:15,110.41534,0
2022-06-26 16:58:14,129.58466,-1.840066
2022-06-26 16:58:13,0,-9.520681
2022-06-26 16:58:12,0,-14.159813
2022-06-26 16:58:11,0,-6.479441
2022-06-26 16:58:10,0,0
2022-06-26 16:58:09,0,0
2022-06-26 16:58:08,0,0
2022-06-26 16:58:07,0,0
2022-06-26 16:58:06,0,0
2022-06-26 16:58:05,0,0
2022-06-26 16:58:04,0,-12.8816
2022-06-26 16:58:03,0,-15.1184
2022-06-26 16:58:02,0,-104.89357
2022-06-26 16:58:01,0,-123.10643
2022-06-26 16:58:00,0,0
2022-06-26 16:57:59,0,0
2022-06-26 16:57:58,0,0
2022-06-26 16:57:57,0,0
2022-06-26 16:57:56,0,0
2022-06-26 16:57:55,0,0
2022-06-26 16:57:54,0,-9.203288
2022-06-26 16:57:53,0,-10.796712
2022-06-26 16:57:52,0,-5.522244
2022-06-26 16:57:51,0,-6.477756
2022-06-26 16:57:50,0,0
2022-06-26 16:57:49,0,0
2022-06-26 16:57:48,0,-11.042394
2022-06-26 16:57:47,0,-27.68204
2022-06-26 16:57:46,0,-22.79725
2022-06-26 16:57:45,0,-6.478311
2022-06-26 16:57:44,0,0
2022-06-26 16:57:43,0,0
2022-06-26 16:57:42,0,0
2022-06-26 16:57:41,0,-9.203876
2022-06-26 16:57:40,0,-23.6815
2022-06-26 16:57:39,0,-15.114623
2022-06-26 16:57:38,0,0
2022-06-26 16:57:37,0,0
2022-06-26 16:57:36,0,-2996.978
2022-06-26 16:57:35,0,-3515.022
2022-06-26 16:57:34,0,-11.043708
2022-06-26 16:57:33,0,-12.956292
2022-06-26 16:57:32,0,0
2022-06-26 16:57:31,0,0
2022-06-26 16:57:30,0,0
2022-06-26 16:57:29,0,-36.81566
2022-06-26 16:57:28,0,-43.18434
2022-06-26 16:57:27,0,0
2022-06-26 16:57:26,0,-38.65807
2022-06-26 16:57:25,0,-54.54544
2022-06-26 16:57:24,0,-10.796494
2022-06-26 16:57:23,0,0
2022-06-26 16:57:22,0,0
2022-06-26 16:57:21,0,-5.522683
2022-06-26 16:57:20,0,-11.999936
2022-06-26 16:57:19,0,-19.36302
2022-06-26 16:57:18,0,-15.114365
2022-06-26 16:57:17,0,-3.681673
2022-06-26 16:57:16,0,-30.09033
2022-06-26 16:57:15,0,-30.228
2022-06-26 16:57:14,0,-7.363392
2022-06-26 16:57:13,0,-21.5218
2022-06-26 16:57:12,0,-15.114813
2022-06-26 16:57:11,0,-1.840914
2022-06-26 16:57:10,0,-53.70457
2022-06-26 16:57:09,0,-64.13615
2022-06-26 16:57:08,0,-31.93252
2022-06-26 16:57:07,0,-59.99967
2022-06-26 16:57:06,0,-32.38618
2022-06-26 16:57:05,27.61392,0
2022-06-26 16:57:04,32.38608,0
2022-06-26 16:57:03,117.81717,-3714.923
2022-06-26 16:57:02,138.18283,-4362.6
2022-06-26 16:57:01,0,-6.477247
2022-06-26 16:57:00,0,0
2022-06-26 16:56:59,0,0
2022-06-26 16:56:58,0,0
2022-06-26 16:56:57,0,-7.362535
2022-06-26 16:56:56,0,-10.478158
2022-06-26 16:56:55,0,-15.045084
2022-06-26 16:56:54,0,-15.114222
2022-06-26 16:56:53,0,0
2022-06-26 16:56:52,0,-1.840875
2022-06-26 16:56:51,0,-2.159125
2022-06-26 16:56:50,0,-57.0661
2022-06-26 16:56:49,0,-66.9339
2022-06-26 16:56:48,0,0
2022-06-26 16:56:47,0,-1.840837
2022-06-26 16:56:46,0,-2.159163
2022-06-26 16:56:45,0,-16.566623
2022-06-26 16:56:44,0,-24.95559
2022-06-26 16:56:43,0,-12.000479
2022-06-26 16:56:42,0,-6.477308
2022-06-26 16:56:41,0,-1.840809
2022-06-26 16:56:40,0,-4.000075
2022-06-26 16:56:39,0,-2.159116
2022-06-26 16:56:38,0,-14.72695
2022-06-26 16:56:37,0,-17.27305
2022-06-26 16:56:36,0,-5.52183
2022-06-26 16:56:35,0,-12.000123
2022-06-26 16:56:34,0,-6.478047
2022-06-26 16:56:33,0,0
2022-06-26 16:56:32,0,-1.840872
2022-06-26 16:56:31,0,-9.521837
2022-06-26 16:56:30,0,-14.159941
2022-06-26 16:56:29,0,-8.318261
2022-06-26 16:56:28,0,-2.159088
2022-06-26 16:56:27,0,0
2022-06-26 16:56:26,0,0
2022-06-26 16:56:25,0,-12.885974
2022-06-26 16:56:24,0,-20.63665
2022-06-26 16:56:23,0,-6.477379
2022-06-26 16:56:22,0,0
2022-06-26 16:56:21,0,-3.68206
2022-06-26 16:56:20,0,-4.31794
2022-06-26 16:56:19,0,-46.02034
2022-06-26 16:56:18,0,-63.18269
2022-06-26 16:56:17,0,-14.478175
2022-06-26 16:56:16,0,-6.159445
2022-06-26 16:56:15,0,-4.00025
2022-06-26 16:56:14,0,-26.09138
2022-06-26 16:56:13,0,-33.59016
2022-06-26 16:56:12,0,-13.840905
2022-06-26 16:56:11,0,-8.636661
2022-06-26 16:56:10,0,0
2022-06-26 16:56:09,0,-5.522425
2022-06-26 16:56:08,0,-6.477575
2022-06-26 16:56:07,0,-1.840995
2022-06-26 16:56:06,0,-9.522829
2022-06-26 16:56:05,0,-10.477169
2022-06-26 16:56:04,0,-29.77068
2022-06-26 16:56:03,0,-36.06951
2022-06-26 16:56:02,0,-4.318821
2022-06-26 16:56:01,0,-1.840674
2022-06-26 16:56:00,0,-7.681129
2022-06-26 16:55:59,0,-17.52328
2022-06-26 16:55:58,0,-12.95492
2022-06-26 16:55:57,0,-1.840682
2022-06-26 16:55:56,0,-2.159318
2022-06-26 16:55:55,0,-7.362003
2022-06-26 16:55:54,0,-93.30484
2022-06-26 16:55:53,0,-99.33315
