time,free,used
2022-06-27 02:19:56,14542.2,1467.02
2022-06-27 02:19:55,14541.9,1467.27
2022-06-27 02:19:54,14541.2,1467.99
2022-06-27 02:19:53,14541.6,1467.61
2022-06-27 02:19:52,14541,1468.16
2022-06-27 02:19:51,14285.4,1723.82
2022-06-27 02:19:50,14286.5,1722.66
2022-06-27 02:19:49,14286.5,1722.64
2022-06-27 02:19:48,14286.2,1723.02
2022-06-27 02:19:47,14286.4,1722.81
2022-06-27 02:19:46,14286.3,1722.9
2022-06-27 02:19:45,14286.4,1722.76
2022-06-27 02:19:44,14286.8,1722.42
2022-06-27 02:19:43,14286.3,1722.86
2022-06-27 02:19:42,14286.7,1722.51
2022-06-27 02:19:41,14286.5,1722.68
2022-06-27 02:19:40,14286.6,1722.54
2022-06-27 02:19:39,14286.3,1722.89
2022-06-27 02:19:38,14286.4,1722.82
2022-06-27 02:19:37,14286.4,1722.74
2022-06-27 02:19:36,14286.2,1722.96
2022-06-27 02:19:35,14286.1,1723.1
2022-06-27 02:19:34,14285.9,1723.29
2022-06-27 02:19:33,14287.8,1721.37
2022-06-27 02:19:32,14288,1721.21
2022-06-27 02:19:31,14286.8,1722.34
2022-06-27 02:19:30,14287.5,1721.66
2022-06-27 02:19:29,14287.1,1722.09
2022-06-27 02:19:28,14287.7,1721.44
2022-06-27 02:19:27,14287.8,1721.34
2022-06-27 02:19:26,14287.9,1721.24
2022-06-27 02:19:25,14288,1721.13
2022-06-27 02:19:24,14287.9,1721.3
2022-06-27 02:19:23,14287.7,1721.52
2022-06-27 02:19:22,14287.7,1721.47
2022-06-27 02:19:21,14287.8,1721.34
2022-06-27 02:19:20,14287.7,1721.53
2022-06-27 02:19:19,14286.7,1722.48
2022-06-27 02:19:18,14287.6,1721.6
2022-06-27 02:19:17,14287.9,1721.32
2022-06-27 02:19:16,14287.9,1721.27
2022-06-27 02:19:15,14287.8,1721.42
2022-06-27 02:19:14,14288.7,1720.5
2022-06-27 02:19:13,14287.7,1721.52
2022-06-27 02:19:12,14288.2,1721.02
2022-06-27 02:19:11,14288.1,1721.05
2022-06-27 02:19:10,14288.2,1721.01
2022-06-27 02:19:09,14287.8,1721.39
2022-06-27 02:19:08,14287.9,1721.33
2022-06-27 02:19:07,14287.4,1721.78
2022-06-27 02:19:06,14287.2,1721.99
2022-06-27 02:19:05,14286.6,1722.57
2022-06-27 02:19:04,14287.4,1721.8
2022-06-27 02:19:03,13842.3,2166.88
2022-06-27 02:19:02,13841.2,2168.03
2022-06-27 02:19:01,13840.5,2168.68
2022-06-27 02:19:00,13841.7,2167.51
2022-06-27 02:18:59,13843.5,2165.64
2022-06-27 02:18:58,13844,2165.19
2022-06-27 02:18:57,13844.2,2164.94
2022-06-27 02:18:56,13843.8,2165.36
2022-06-27 02:18:55,13843.5,2165.68
2022-06-27 02:18:54,13842.7,2166.51
2022-06-27 02:18:53,13842.9,2166.25
2022-06-27 02:18:52,13843.9,2165.28
2022-06-27 02:18:51,13847.9,2161.28
2022-06-27 02:18:50,13849,2160.13
2022-06-27 02:18:49,13848.7,2160.51
2022-06-27 02:18:48,13851.2,2157.99
2022-06-27 02:18:47,13851.4,2157.81
2022-06-27 02:18:46,13999,2010.14
2022-06-27 02:18:45,14190.1,1819.05
2022-06-27 02:18:44,14287.6,1721.61
2022-06-27 02:18:43,14286.8,1722.41
2022-06-27 02:18:42,13850.1,2159.1
2022-06-27 02:18:41,13849.3,2159.89
2022-06-27 02:18:40,13848.7,2160.43
2022-06-27 02:18:39,13848.6,2160.61
2022-06-27 02:18:38,13850.1,2159.12
2022-06-27 02:18:37,13403,2606.2
2022-06-27 02:18:36,13411.1,2598.05
2022-06-27 02:18:35,13408.4,2600.81
2022-06-27 02:18:34,12515.8,3493.34
2022-06-27 02:18:33,12521.4,3487.74
2022-06-27 02:18:32,12522.4,3486.75
2022-06-27 02:18:31,12515.5,3493.68
2022-06-27 02:18:30,12516.2,3492.93
2022-06-27 02:18:29,12516.1,3493.05
2022-06-27 02:18:28,12516.7,3492.49
2022-06-27 02:18:27,12519.6,3489.58
2022-06-27 02:18:26,12521.2,3487.96
2022-06-27 02:18:25,12519.4,3489.81
2022-06-27 02:18:24,12082.3,3926.86
2022-06-27 02:18:23,12083.7,3925.47
2022-06-27 02:18:22,12097.6,3911.58
2022-06-27 02:18:21,12100.1,3909.09
2022-06-27 02:18:20,12104.6,3904.54
2022-06-27 02:18:19,12103.6,3905.56
2022-06-27 02:18:18,12104.4,3904.82
2022-06-27 02:18:17,12114.7,3894.48
2022-06-27 02:18:16,11750,4259.18
2022-06-27 02:18:15,11793.8,4215.41
2022-06-27 02:18:14,11477,4532.14
2022-06-27 02:18:13,11514.3,4494.92
2022-06-27 02:18:12,11537.5,4471.71
2022-06-27 02:18:11,11546.3,4462.9
2022-06-27 02:18:10,11590.8,4418.41
2022-06-27 02:18:09,11634.1,4375.08
2022-06-27 02:18:08,11665.3,4343.84
2022-06-27 02:18:07,11712.5,4296.7
2022-06-27 02:18:06,11714.7,4294.47
2022-06-27 02:18:05,11718.9,4290.27
2022-06-27 02:18:04,11717.3,4291.87
2022-06-27 02:18:03,11719.5,4289.66
2022-06-27 02:18:02,11723.3,4285.89
2022-06-27 02:18:01,11726.1,4283.07
2022-06-27 02:18:00,11729.1,4280.07
2022-06-27 02:17:59,11778.3,4230.88
2022-06-27 02:17:58,11388.2,4620.94
2022-06-27 02:17:57,11515.4,4493.81
2022-06-27 02:17:56,11542.2,4466.95
2022-06-27 02:17:55,11555.7,4453.52
2022-06-27 02:17:54,11642,4367.22
2022-06-27 02:17:53,11748.6,4260.61
2022-06-27 02:17:52,11934.6,4074.53
2022-06-27 02:17:51,11967.8,4041.34
2022-06-27 02:17:50,11988.1,4021.07
2022-06-27 02:17:49,12089.2,3919.95
2022-06-27 02:17:48,12174.3,3834.89
2022-06-27 02:17:47,12257.8,3751.37
2022-06-27 02:17:46,12374.5,3634.71
2022-06-27 02:17:45,12414.8,3594.41
2022-06-27 02:17:44,12453,3556.15
2022-06-27 02:17:43,12531.9,3477.33
2022-06-27 02:17:42,12584.2,3424.97
2022-06-27 02:17:41,12585.5,3423.72
2022-06-27 02:17:40,12587.4,3421.79
2022-06-27 02:17:39,12613.1,3396.04
2022-06-27 02:17:38,12722.9,3286.23
2022-06-27 02:17:37,12853.1,3156.1
2022-06-27 02:17:36,12888.7,3120.51
2022-06-27 02:17:35,12936.2,3073
2022-06-27 02:17:34,13008.1,3001.05
2022-06-27 02:17:33,13069.1,2940.12
2022-06-27 02:17:32,13164.7,2844.5
2022-06-27 02:17:31,13375.2,2633.97
2022-06-27 02:17:30,13459,2550.16
2022-06-27 02:17:29,13689.2,2319.95
2022-06-27 02:17:28,13294.1,2715.09
2022-06-27 02:17:27,13385,2624.15
2022-06-27 02:17:26,13396.5,2612.68
2022-06-27 02:17:25,12947.6,3061.62
2022-06-27 02:17:24,12961,3048.18
2022-06-27 02:17:23,13032.7,2976.44
2022-06-27 02:17:22,13080.7,2928.45
2022-06-27 02:17:21,13242.8,2766.42
2022-06-27 02:17:20,13291.7,2717.51
2022-06-27 02:17:19,13379,2630.2
2022-06-27 02:17:18,13393.7,2615.45
2022-06-27 02:17:17,13393.9,2615.31
2022-06-27 02:17:16,13393.7,2615.5
2022-06-27 02:17:15,13394.1,2615.11
2022-06-27 02:17:14,13394.7,2614.44
2022-06-27 02:17:13,13394.9,2614.27
2022-06-27 02:17:12,13394.7,2614.53
2022-06-27 02:17:11,13395.5,2613.71
2022-06-27 02:17:10,13394.8,2614.38
2022-06-27 02:17:09,13396.4,2612.77
2022-06-27 02:17:08,13535.8,2473.41
2022-06-27 02:17:07,13727.7,2281.51
2022-06-27 02:17:06,13822.3,2186.86
2022-06-27 02:17:05,13849.4,2159.81
2022-06-27 02:17:04,13849.2,2159.95
2022-06-27 02:17:03,13894,2115.15
2022-06-27 02:17:02,14151.6,1857.57
2022-06-27 02:17:01,14255.7,1753.5
2022-06-27 02:17:00,13842,2167.13
2022-06-27 02:16:59,13841.5,2167.67
2022-06-27 02:16:58,13839.2,2169.95
2022-06-27 02:16:57,13396.8,2612.34
2022-06-27 02:16:56,13392.1,2617.11
2022-06-27 02:16:55,13392.9,2616.27
2022-06-27 02:16:54,13393.4,2615.79
2022-06-27 02:16:53,13397,2612.16
2022-06-27 02:16:52,13396.7,2612.47
2022-06-27 02:16:51,13399.5,2609.66
2022-06-27 02:16:50,13401.9,2607.23
2022-06-27 02:16:49,13401.9,2607.27
2022-06-27 02:16:48,12962.8,3046.42
2022-06-27 02:16:47,12970.2,3039
2022-06-27 02:16:46,12521.1,3488.1
2022-06-27 02:16:45,12521.7,3487.48
2022-06-27 02:16:44,12523.6,3485.56
2022-06-27 02:16:43,12565.4,3443.82
2022-06-27 02:16:42,12569,3440.22
2022-06-27 02:16:41,12571.3,3437.92
2022-06-27 02:16:40,12571.2,3438.01
2022-06-27 02:16:39,12163.3,3845.84
2022-06-27 02:16:38,12225.3,3783.92
2022-06-27 02:16:37,12269.6,3739.57
2022-06-27 02:16:36,12396.8,3612.33
2022-06-27 02:16:35,12428.9,3580.3
2022-06-27 02:16:34,12440.8,3568.36
2022-06-27 02:16:33,12561.2,3447.98
2022-06-27 02:16:32,12201.2,3807.95
2022-06-27 02:16:31,12345.2,3663.98
2022-06-27 02:16:30,12381.3,3627.83
2022-06-27 02:16:29,12396.9,3612.27
2022-06-27 02:16:28,12000.6,4008.55
2022-06-27 02:16:27,12057,3952.14
2022-06-27 02:16:26,12065.2,3943.94
2022-06-27 02:16:25,12064.9,3944.32
2022-06-27 02:16:24,12064.2,3945
