time,in,out
2022-06-25 03:46:52,745.7538,-65.417
2022-06-25 03:46:51,1306.2462,-114.583
2022-06-25 03:46:50,744.9155,0
2022-06-25 03:46:49,1303.0845,-14.549382
2022-06-25 03:46:48,791.1804,-25.45062
2022-06-25 03:46:47,1384.8196,-53.78023
2022-06-25 03:46:46,744.235,-94.21977
2022-06-25 03:46:45,1303.765,0
2022-06-25 03:46:44,945.2211,-109.06397
2022-06-25 03:46:43,1654.7789,-190.936
2022-06-25 03:46:42,744.6226,-56.7193
2022-06-25 03:46:41,1406.6198,-99.2807
2022-06-25 03:46:40,925.1715,-10.177534
2022-06-25 03:46:39,1409.7417,-94.89439
2022-06-25 03:46:38,913.1061,-134.92808
2022-06-25 03:46:37,1739.587,-69.80914
2022-06-25 03:46:36,1521.0114,-122.19086
2022-06-25 03:46:35,1272.8765,-5.819506
2022-06-25 03:46:34,730.8005,-10.180494
2022-06-25 03:46:33,1236.432,-29.32302
2022-06-25 03:46:32,859.8387,-50.67698
2022-06-25 03:46:31,1315.6855,-74.36927
2022-06-25 03:46:30,814.5208,-129.63073
2022-06-25 03:46:29,1234.1247,-5.875914
2022-06-25 03:46:28,814.4264,-10.124086
2022-06-25 03:46:27,1237.0774,0
2022-06-25 03:46:26,720.5135,-111.28829
2022-06-25 03:46:25,1165.5163,-192.7117
2022-06-25 03:46:24,884.4411,-7.346823
2022-06-25 03:46:23,1164.4665,-12.653177
2022-06-25 03:46:22,881.0329,0
2022-06-25 03:46:21,1165.5437,-37.98443
2022-06-25 03:46:20,883.2766,-90.92114
2022-06-25 03:46:19,1165.2851,-48.9563
2022-06-25 03:46:18,881.2503,-10.138124
2022-06-25 03:46:17,1165.8711,0
2022-06-25 03:46:16,932.4187,-46.91749
2022-06-25 03:46:15,1248.5779,-103.07882
2022-06-25 03:46:14,881.4424,-51.16221
2022-06-25 03:46:13,1166.0467,-174.9208
2022-06-25 03:46:12,787.6416,-263.9207
2022-06-25 03:46:11,1098.3804,-46.86763
2022-06-25 03:46:10,950.4666,-101.60581
2022-06-25 03:46:09,1096.3205,-50.10818
2022-06-25 03:46:08,949.9431,-44.35976
2022-06-25 03:46:07,1098.3881,-33.05861
2022-06-25 03:46:06,952.2095,-46.8815
2022-06-25 03:46:05,1096.7458,-104.55858
2022-06-25 03:46:04,951.2856,-68.39765
2022-06-25 03:46:03,1096.4265,-54.01616
2022-06-25 03:46:02,950.5417,-10.146104
2022-06-25 03:46:01,1097.7203,-46.87577
2022-06-25 03:46:00,997.195,-103.05921
2022-06-25 03:45:59,1178.0069,-38.06502
2022-06-25 03:45:58,951.055,-13.157001
2022-06-25 03:45:57,1096.3248,-30.12962
2022-06-25 03:45:56,950.7123,-56.4809
2022-06-25 03:45:55,1096.9658,-98.06666
2022-06-25 03:45:54,950.593,-38.16582
2022-06-25 03:45:53,1098.27,0
2022-06-25 03:45:52,949.5977,-5.828589
2022-06-25 03:45:51,1098.4604,-10.171411
2022-06-25 03:45:50,951.9864,-89.34666
2022-06-25 03:45:49,1096.0693,-179.4871
2022-06-25 03:45:48,949.9865,-43.16627
2022-06-25 03:45:47,1098.4215,-14.62978
2022-06-25 03:45:46,950.4091,-25.37022
2022-06-25 03:45:45,1098.9822,-46.80316
2022-06-25 03:45:44,905.6331,-103.0837
2022-06-25 03:45:43,1110.5598,-38.11314
2022-06-25 03:45:42,1019.65,-171.1233
2022-06-25 03:45:41,1027.0491,-296.8767
2022-06-25 03:45:40,1020.7613,-46.77963
2022-06-25 03:45:39,1028.4677,-103.158
2022-06-25 03:45:38,1019.6512,-38.06237
2022-06-25 03:45:37,1027.0265,-24.77344
2022-06-25 03:45:36,1066.1748,-43.22656
2022-06-25 03:45:35,1109.8044,-43.71536
2022-06-25 03:45:34,1022.3934,-101.0451
2022-06-25 03:45:33,1033.151,-43.23954
2022-06-25 03:45:32,1043.3539,-5.827642
2022-06-25 03:45:31,1070.089,-10.172358
2022-06-25 03:45:30,1174.3493,-46.86427
2022-06-25 03:45:29,1324.2032,-103.045
